look: 4 | smell: 4 | taste: 4 | feel: 3 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 My to go beer. Not too hoppy and heavy as Torpedo, somewhere in between. I am at a beer store and can not decide which one to pick, here is my to go beer that never disappoint.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 3.75 overall as a beer; 4.5 if rating it as a pale ale. If I want a pale, this is one of my go-to's. A really good pale ale. Not a style I drink as often as others, but I like to mix it up from time to time. A good representation of the style. Hoppy. Medium carbonation. Seems pale ale and IPA is a pretty easy style to do. Most of these taste about the same. Really hard to mess up a pale or an IPA.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Poured from a 12 oz bottle into a dimpled mug, the off white head sicks around a while and leaves good lacing. Color is amber, nice and clear.     Smell of pine and citrus.     Taste is grapefruit bitterness up front, then pine, a floral hop finish then rounded out by the caramel malt that's necessary to balance this hop forward American Pale Ale.    Clean and crisp with medium-high carbonation, this is an all occasions beer that pairs well with a wide variety of foods.      I'm reviewing this beer after drinking it many, many times. It's like running into an old friend and thinking, "What could we possibly have to talk about" but then before you know it you're laughing, reliving old glories and catching up on new events.     Excellent. Hightly recomended. If I had to put together my perfect flight of beer, this would make the cut.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 Exactly what I look for in a brew. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3 Straw yellow at pour, looks redder and more opaque in the glass. A thick head of suds. Mildly scented...corn? Taste is slightly bitter, yet mild for a pale ale. Not especially floral or citrus-like. Mouth feel a little thin.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4.25 Pours a creamy white head. Color is a crystal clear pale amber.     Nose is crackers and toast with floral and citrus. Some dried citrus fruit in there as well.     Taste starts lightly bitter with toasty malt character. The middle opens up to a more crackery malt note with, with the hop flavors opening up to present dried citrus and floral notes. The finish opens up more of the bitterness and just slightly dries the mouth, making you want another sip. There is a sweetness that rides throught the entire sip that is never overpowering.     The mouthfeel is the slightest bit aqueous, but not so much that it's a turn off. The carbonation is right where it needs to be for an APA (this is THE APA, so it's expected.     Overall, you really can't go wrong with Sierra Nevada Pale Ale. It's the one of the standard APAs that every beer drinker has had at least once, and it's always pleasant to go back to it. A perfect partner for a good burger and a solid way to introduce somebody to the wonderful world of hoppy American bears.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Probably my most drank beer 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 Refreshing, mild carbonation and bitterness, just right! 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 Pours a beautiful clear amber, thin white head and active carbonation.  Smell is malty sweet with notes of apple, pine and caramel. Very pleasantly cohesive and complex.   Taste is wonderfully crisp, piney and grassy notes lead, into a lightly caramel/rich malt body, it all tails of into a piney/citrusy hop finish. Classic for a reason, this is a taste that is hard to get sick of.  Mouthfeel is super clean, definitely a drinker. Leaves nothing but refreshment behind.   Overall this is an undisputable classic in the american beer market. For those of us deep in the modern craft scene it can seem out dated or passe but as someone deep in a stint of modern IPAs and big stouts I can testify to the refreshing, crisp delight this beer still brings. Don't be scared, it's just a classic   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Poured a clear golden amber color. Moderate head with significant lacing. Fresh hoppy aroma. Hoppy and somewhat bitter taste. Clean and crisp on the palate. One of my favorite pale ales!   
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Excellent and not to malty for a Pale Ale. People forget, that before the IPA fad, this was the best hoppy (cascade pacific) ale going. Best part is its only 5.6% abv. If you just wanna get f**Kd up get a double IPA . Sierra makes them too.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 This beer turned me on to “craft” beers in the early 80’s and Ive been on board ever since. A fantastic use of cascades. A very solid pale ale and one that I recommend to others when they want to move on from bland Americanized light lagers.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 I wish I could be drinking more of this but i don’t want to be wasting my precious brain cells with something so easy to get. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 Sierra Nevada's flagship product, Pale Ale, is that one beer for me that delivers every single time. It embodies almost everything I look for, and especially what I expect, from a beer: freshness, character, lasting enjoyment from first to last sip, and the ability to stand up to a hearty meal. From the clean amber color to the lovely floral scent, the piney elements in the full-bodied taste, it is my 'house' beer, hands down.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 1 | feel: 2.5 | overall: 2 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 From notes 11/10/12: Pours clear amber producing a finger of creamy, rapidly diminishing, off-white head that leaves pasty rings of lace. Aroma is pale and light bready malt with floral and citrus hops. Taste is similar but more robust with citrus and a little pine in the hop profile. Finishes dry, astringent, peppery and bitter.   
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 IPAs everywhere owe this beer a thank-you card. It is the gateway to the bitter, soapy world of IPA. Slightly bitter yet still a little sweet taste. Floral but not intimidating scent. Toasty color and moderate head. Pours nice into your everyday pint glass. A great overall beer and a great way to try something new if you’ve been stuck to macros.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 2 | smell: 3 | taste: 3 | feel: 2 | overall: 2.25 Too basic of an IPA 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 A good bitter IPA offering. Nice aroma and a hoppy finish. 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 3.75 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 Great American Pale Ale. My go to evening beer. 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4 The perfect go to pale ale. Never a bad choice. 
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Sierra Nevada Pale Ale. Nothing crazy, nothing strange or different, and no over-branding and over-promising only to under-deliver. All this beer is, is a near perfect display of simplicity and quality. With the exception of a few rotating local brews I cycle in, this is my go-to when eating dinner or just relaxing after work.     With the already abundant collection of reviews, I'd rather skip the formality and just talk about my favorite part: The hoppy, "spicy" bite at the end. To me, this truly does set this pale ale apart from others. Some are too smooth and don't have enough attitude, but this has a perfect punch. Nice smooth beginning, citrus and light hoppy notes, and then, the moment that makes you want more. A slightly dry finish into a tantalizing sightly bitter, fairly hoppy, and perfectly spicy ending. This beer likely won't hit your novelty-seeking dopaminergic threshold, but it deserves a spot in any rotation when you just want a really good beer.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Wow! Wonderful tasty delightful ale! Exceptional in every thing.  Looks nice, I love the presentation. Looks like a classic and iconic beer. The aroma is a blast of brightness, grapefruit citrus with light hints of malt. Smells like a summer day when all the kids on the block have a fruity ice pop or snow cone. The taste is where it gets good. Wonderful top end sweetness that leads straight into those American citrusy hop notes. Grapefruit lingering around with a backbone of malt. The finish is semi dry with hop bite bitterness in the end. That semi dryness leads you to want another sip. Over the time drinking, the hops begin to build, making the beer rich and feeling very satisfied. The feel is light to medium with a bit of body. The carbonation is medium. Very smooth and easy to drink. Its a winner and a new American Classic. Credited as the Godfather of Craft beer movement. I can see why. Its damn good!   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Really love the bitterness of this, yet still quite light...perfect straight out the fridge.    Perfect balance of citrus, apricottness, malt and bitterness...top notch, love it   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 3.75 
look: 3.25 | smell: 2.5 | taste: 3.25 | feel: 3.75 | overall: 3.25 
look: 4.5 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Look: textbook golden orange. Head is decent.  Smell: Tropical fruit, grassy hops, some malt as well. Something that reminds me of a lager for some reason, still very good.  Taste: a good balance between hops and malt, as expected from an APA. Hops is more on the grassy side than as I would have thought from the smell, with some citrus notes to go with it. Malty flavours rather biscuit-y. Some alcohol as well, but subdued enough. Probably the most textbook I've ever drunk.  Feel: medium to light body with still a touch of silkiness. Warmth from the alcohol without burning. Classic.  Overall: It may not shock and awe. Most probably, if you're an user of this site it won't. Yet it's got everything and doesn't miss much else. Very enjoyable.   
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3 | smell: 2.5 | taste: 2.25 | feel: 3 | overall: 2.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Sierra Nevada's Pale Ale remains, even in this tremendously saturated market of hops and pales, a go-to crusher for me. I'll go through a case while I'm mowing the lawn sometimes. I don't even have a very large lawn. It's just that good, and it takes me that long when I'm drunk.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Sierra Nevada has a winner with this one. It's got good balance of hops and malt and exceptional flavor. It has become my go to american pale ale. 
look: 3.75 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 My go to Pale Ale 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 4 | overall: 5 The og of the craft beer world. A true classic that has inspired millions. A great beer anytime 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 3 | taste: 2 | feel: 3 | overall: 2.75 The first and the worst from a world-class brewer. SN has so much more to offer - this should be retired to free up capacity for more Torpedo! 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Nice evenhanded brew. Well balanced malt vs. hops. Comes away on the hoppy side but not overbearing. Not in anyway exciting to look at. Gentle aroma of caramel malt is quite appetizing. Easy drinking, well made.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 Served in pint glass. Pours a clear, light copper color. Medium small foamy white head, decent retention.    Sweet and light citrus scent. Very nice.    Taste is clean, malty sweetness, lemon, bit of spice. Not much pine or bitterness, definitely more malty than hoppy, but it’s a well balanced and refreshing beer.     Medium light bodied, solid carbonation. Clean and smooth drinking. An enjoyable very sessionable ale.    Very good APA that still holds well its legend status as a pioneer of the craft boom. Exemplary for the style. Easy 8/10 beer for me overall, 10/10 in the style.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 3.75 | taste: 4.75 | feel: 5 | overall: 5 Pours a deep bronze color with a nice whit creamy head. Smell is somewhat muted.Smells like pine, mild lemon, very earthy. Taste is almost perfect for a pale ale.Refreshing, crisp, pine and hop zing, Feels perfect as well (Well constructed) Nice refreshing pale ale with a perfect balance of hops and malts. Perfect carbonation, head remains throughout entire beer . Overall this beer is an icon. I have been drinking this before "craft"beer was a word. This was always my stand-by in the 80's,90's.   
look: 2.5 | smell: 3.25 | taste: 4 | feel: 3.5 | overall: 4.25 
look: 3 | smell: 3.5 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.75 | overall: 3.5 L4 - classic pale ale amber holding good head from the bottle.  S3.5 sweet and inviting  T3.25 Underwhelming. I’m an IPA fan so maybe it’s that I don’t appreciate subtler flavours, but just not much of anything coming through for me.  F3.75  O3.5 totally drinkable and can understand why people like it but back to IPAs for me.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Bottle poured into a teku glass    Clear copper liquid, micro streams of carbonation, two finger off white foam cap, good lacings     Aroma is spicy, mild pepper,     Spicy hops over a good malt grain taste     Slight bitterness, hop nibble, slightly dry    Good beer   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Meets the requirements of an APA and then some. Good tasting overall beer. Definitely hoppy but not overpowering. Light carbonation with some bitterness. Anber in color with medium lace. Caramel and citrus aromas/overtones.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 A very well balanced, quality tasting beer. Looks and tastes great in a frosted glass any time. Great hop flavor that SN is known for. You can go off and start looking at the new IPAs or other new things coming out all the time. But always come back to SNPA. It's simply as fine a crafted American Ale as can be had!   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 I’ve been drinking this beer for 20 years. I don’t know why I buy anything else. I can get a 12 pack for $15, yet I continue to buy 4 packs for $15-18. It is hoppy and drinkable. IMO it is the best beer for the price.   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 12 oz Bottle  Looks light amber with light/moderate carbonation. Generous head is slow to dissipate, leaving a nice lacing on the glass.  Smells great - fresh malt, sweet tropical fruit, slight hop aroma. Sierra Nevada always seems to have that fresh crafted beer smell  Taste is crisp and refined. Not a massive bitterness but pine is a featured flavor. Also getting various citrus and slight pineapple. Can really tasted the malted barley on the back end. Goes very well with Italian and Mexican food. Not as complex or rich as the Torpedo IPA but that is to be expected, this is very solid for what it is designed to be, a very drinkable but tasty brew.  Grade is an A-   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Perhaps the definitive American Pale Ale. Hoppy but ridiculously drinkable. A great way to introduce someone to craft ales. 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 It seems as if this beer was a classic. It is a very correct beer, without excesses, balanced, with the standars of the style. A good beer that is allowed to drink. For me, too simple.   
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 When the trends fade away, and beer becomes beer again, there will always be Sierra Nevada Pale Ale.   A true staple in not only the hoppy, pale ale style, but in beer culture itself.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 This is a decent beer. The most impressive thing about this beer, for me, is that it operates in two separate consciousnesses. On one hand, the hoppy, fruity, and piney aromas and first sips make the drinker immediately aware that this beer has piggy-backed off of a trend towards more unnecessary hop action while a fine beer hides underneath. Such a move pacifies the beer hipsters, no doubt, but this beer is, fortunately, worthy of more praise than simply acknowledgement over the adequate execution of a trend. I can taste a simple, solid American ale beneath all of the pretense. A hit of corn, of wheat, of that perfect ale balance hides in the aftertaste, wishing it could have been realized.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 12-oz. bottle PKGD 03/07/18 poured moderately into a 16-oz. mug produced a finger sized yet short lived white head with moderate lace.  On the dark side for a pale, the color is clear amber.  Sweet toasted malt and piney hops dominate the smell.  Taste is floral and piney hops at first with a very malty middle, followed by a spicy/bitter hop finish.  Medium/light body is rounded off by the high semi-sweet malt presents and medium carbonation.   On the dark side for the style, the malt bill is noteworthy. Lots of hops yet balanced. I do like single hop beers.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 4.25 | feel: 3 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 I had a draft served in a large frosty mug in a restaurant last night where I usually order a Sam Boston lager, but they've discontinued it on draft. This 'pale ale' is much darker than its name suggests. A rich amber with a good head, quite lacy. It smells enticing. The flavor is full bodied rich and pleasant, not far off my go-to Sam Adams. I'd be happy to drink it again.    Taste Test  Samuel Adams Boston Lager vs. Sierra Nevada Pale Ale  Appearance: Very similar, clear Amber with a white head. The Pale Ale is perhaps slightly paler. Sam's head is perhaps slightly more persistent  Smell: Too similar for me to differentiate, as one who is olfactorily disabled.  Feel: Sam is perhaps slightly more carbonated  Flavor: Pale Ale has the faintest hint of hops  Overall: These two beers, despite one being a lager and one being an ale, are remarkably similar. Both are good.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4.25 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 3 | taste: 3.75 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 2.75 | taste: 4.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
