look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Dark for an ipa but interesting taste. 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Good hoppy finish with solid flavor throughout. A little thicker than typical IPA and a bit caramelly but overall a good choice, 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 A classic East coast IPA, you won't see many beers like this nowadays - especially north of the Mason-Dixon Line.    Robust caramel malt character and spicy, piney hops. A good bitter bite and a lingering finish.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 Have enjoyed this before but finally got around to scoring it.  A: Mahogany with a thick creamy head.  S: Muted zesty hops; would have score higher but the bar’s sani-rinse would have overwhelmed anything in the glass.  T: Deliciously dry with a solid malt finish.  F: Perfectly carbonated; the hoppiness lingered so nicely.  O: As advertised; probably one of the best (to me) of the category.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 Nitro pour at brewery. Amber body, slight haze, soft creamy head. Malts dominate the aroma, brown bread, pumpernickel. Niterness slowly comes in st the taste, malts still prevalent. Not as hoppy as you would think based on the name. More English.   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4 Poured into a tulip glass from a 12 oz bottle. Pours an amber color with a thick foam head. Flavor is very fruity and unique. Notes of grapefruit, blueberry, with a slight bitter finish. Overall a very great beer! If I ever see Victory Brewing, I always try to pick some up.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 Poured into a tall clear glass. Has an dark bronze-copper color, if not somewhat amber. Somewhat sudsy finger thick head. Good lacing.    Sweet caramel malt. Very floral. Orange peel, notes of resin, other citrus notes, bread malt, some grapefruit juice, and wood aroma.    Grapefruit peel, resin, and pine notes upfront. Notes of caramel, tea leaves, toffee, syrup, orange peel, toast, and many other earthy flavors. Overall medium bitterness. Feels smooth.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 HopDevil India Pale Ale brewed by Victory Brewing Company with an ABV of 6.70% This American IPA pours out a deep golden amber color with a nice white. There is also a nice amount of lacing to this brew, it sticks to the side of the glass well. The smell is rich with hop bitterness and a slight sweetness. You also pick up a good amount of earthy grains and malts in the smell as well. So far this brew has the look and smell of most American IPA's on the market, not saying that is a bad thing. Now for the taste, it is Bold with flavors. You first get a blast of hop bitterness, then this brew mellows out to a smooth sweetness. There is a lot going on in HopDevil India Pale Ale. The body of this IPA is a solid medium. There is nothing overpowering about this brew, it has a nice balance to it. It is really hard to pick up on the 6.70% ABV in this brew, it is just that smooth. The mouth feel is Bold, Hoppy, Rich, Smooth, Clean and Refreshing. Overall I'm going to give HopDevil India Pale Ale a 4.25 out of 5. I would definitely look this brew up again giving the opportunity to. Victory Brewing Company - Downingtown, did a real nice job with this American IPA.   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 Excellent, delicious IPA. Looks nice, amber color with nice head and some lingering lacing. Smells of citrus hoppiness. Tastes of nice hops, more orange, lemon and grapefruit than floral. Also some sweet malt to balance everything out, as well as mild grain and caramel. Smooth finish, thin mouthfeel with just the right amount of mild carbonation throughout. Very little bitter aftertaste. Very impressive!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 Clear orange-amber with a big, fluffy, cream-colored head. The aroma is fresh baked bread is just a bit grainy, with grassy and resinous tangerine notes and hints of tropical fruit. Hops dominate the bittering, though a bit more subdued in the flavor and aroma than I prefer.   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 Clear amber with 1/2 head.   Citrus smell but mostly malty.   Taste has a bit better of an alcohol overtone pack a bold flavor with strong resin finish.   Good mouth feel with good carbonation.   Overall not a bad beer but not liking the alcohol taste.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 This is a good IPA. It's a medium body, hoppy, but also malty offering. There's some considerable bitterness at the end so the malt isn't making it sweet. There's a slight hint of citrus and I'm not sure how to explain it - a dark or toffee taste.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 This beer doesn't go gently anywhere. It starts coming and keeps coming and just when you think it's done, it attacks the senses again. Not a beer for snowflakes   
look: 4.5 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 Bottle best by 2-7-18. Nonic pint.    A: pours a clear dark orange/copper bordering on Amber with a pretty sudsy 1 finger sandy head. No visible carbonation. Lacing for days.    S: sweet caramel malt and some floral, borderline soapy hop aromas. Kind of like the old school pale ales I love so much.    T: wow, it kind of tastes like the old school pale ales I like so much. Drinking this is a little like going back in a time machine. Slightly sweet, orange/citrus peel arrival; pleasant bready and malty off-dry middle. Finish is slightly bitter and piney. Very pleasant and would pair well with pub grub.    M: heavier side of mid-weight. Moderate carbonation. Slightly slick finish.    O: i like this beer. It is a relic of sorts; a classic and easy-drinking IPA. Not trying to impress you with magical tropical hops, 1000 IBUs, or even a refreshing crispness. Just lightly malty, pleasantly bitter, citrus and pine combo that says IPA. Will drink again next time I want a spin in the wayback machine.   
look: 4 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Solid standard-like. Would buy again. Not too offensive in any way. Tasty. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 Bottle poured into a Mountain Rambler Brewing Co pint glass    A: Pours copper amber with a frothy tan head that settles to a light layer and laces nicely.     S: Bitter pine and citrus, earthy, slight fruity notes, toasty almost roasty malt, and toffee sweetness.     T: Pine, bitter citrus, grapefruit and lemon, some underlying fruity and floral notes, earthy, backed with a pretty fair amount of toasty almost roasty malt, maybe some hints of dark fruit, and caramel/toffee sweetness.     M: Medium body, moderate carbonation.    O: This one almost ventures into red IPA territory with that big malt back bone. Old school, but still tasty in its own way.   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 L: Copper colored, slightly hazy, nice head retention, spotty lace  S: Good toasted malt, hops are sweet, citrusy, floral, candy-like  T: Great flavor, repeat of the nose, finishes with a crisp bite but its not super strong bitterness. Really easy to drink  F: Victory beers always are incredibly well executed in this regard. Nice carbonation level, really easy to toss back. I bet this beer is more bitter than perceived, although the mouthfeel keeps things rounded out nicely  O: Great IPA, surprised I haven't had it yet. Definitely something worth revisiting.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 1.5 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1 This is not a pleasant drink. I may have gotten a bad batch from the Shopette here on base, but it's just awful. Sorry I can't formulate a constructive review- I am too reviled.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Format: standard 330mL brown bottle with a reasonably funky label - not taking itself too seriously. Very American, and suggests heavily-hopped, which suits me fine.    Appearance: pours a deep orange-amber with plenty of carbonation visible. A fantastic two fingers of tan head pops up and drops to a rocky finger. Looks good.    Aroma: big notes of pine hops with resin and caramel behind.    Taste: I'm quite surprised at how much caramel there is here, still dominated by those hops though, which stands to reason. Very well-balanced, the caramel really adds something to a heavily hopped beer so you don't risk the potential of hop bitterness overload.    Aftertaste: some hop bitterness with a lingering sweetness.    Mouth feel: medium in body with good carbonation, very easy drinking for a beer so high in ABV.    Overall: a very enjoyable American IPA with a fantastic malt sweetness behind that blends well. Very easy to put away for a higher ABV. AU$95 for a case of 24 x 355mL (2017)   
look: 5 | smell: 3.5 | taste: 4.5 | feel: 3 | overall: 3.75 Served on tap, too cold, little head. Liked it but not the service. 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Amber color. Substantial head dissipating slowly. Small nose. Taste primarily of fairly bitter citrus pith on a subtly malty backbone. —Reviewed 2017/10/15   
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 3 | feel: 4 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Serving: 12 oz can (stamped "enjoy by: 18 Jan 2018") poured into a Spiegelau IPA glass.    Appearance: Clear, bright copper brown with a billowing head of off white foam that leaves terrific streaks of sticky lace.    Smell: Malty, toasty aroma with some caramel sweetness and slightly dank, light citrus hops.    Taste: Pleasantly round, malty base of toasted grains and sweet caramel barely balances the bright and earthy hops: lemon peel, pine needles and black tea leaves. Finishes with a spicy bitterness and just a bit of residual sweetness.    Mouthfeel: Medium body and moderate carbonation with a creamy smooth feel.    Overall: Terrifically balanced IPA, with toasty malt and spicy, bitter hops. Older East Coast style, but still so drinkable and enjoyable.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Happy birthday to me! 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 4 | feel: 3.5 | overall: 4 A little darker and maltier than I expected. While the initial smell isn't as enticing as I had hoped, the product is a solid, albeit tame, IPA which would likely be a crowd pleaser - especially for those who do not normally gravitate towards IPAs.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Rating an ipa is difficult as it isn't my favorite style of beer. This one I did find appealling and enjoyable. Although it obviously had a strong taste of hops there seemed to be a larger than normal amount of malt softening the bitterness. Probably one of the only ipas that I would try again   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 3.25 | feel: 4.25 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 3 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 when fresh this is a very solid ipa that can be bought for a very reasonable price. Pours a hazy somewhat lighter copper color with a finger or two of patchy lacing. The smell is kind of on the fainter side with some tropical fruit and pine. Taste follows the knows well with a hit of bitterness up front with some pine and citrus that is immediately followed by a fairly strong malt backbone. mouthfeel was sort of thin but it was what I expected. Overall a very good entry level ipa that won't scare off people who think ipas are all totally bitter and undrinkable. very well crafted   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 Pours a transparent copper color with a thick foam - not much lacing. Smell is faint on the hops as compared to other beers of the same style. Taste is certainly reminiscent of your east coast or new england IPAs. Much heavier on the malt but the balance is clear in this one as the finish is very smooth. A decent IPA especially for the price - but there are better choices for the style.   
look: 4 | smell: 1.25 | taste: 2 | feel: 3 | overall: 2.75 I had this in cruddy bar, so I hope the negativity is product of poor taps. Looked great, smelled awful. Had two and smell was same. Ruined taste, most likely. Again, review could be skewed due to poor taps   
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Dark hazy orange amber colered beer with a frothy bone colored head of about on finger.    Smells of pine and some sweet citrus. Just a touch of dankness. Some breadiness here as well.    Taste follows the nose with that sweet citrus and pine type of bitter. The bitterness on the taste is far from overwhelming. The bitter seems to come towards the back of the taste.    Mouth feel to me was a surprisingly lighter feel than some IPA varities. There is a bit of an oily finish and some resin coating the lips.    Overall I like this IPA and glad I gave it a shot. When I poured the last of my can into my glass I got a shit ton of sediment. I already have some favorite IPA's and do not feel as if I would bump one from my list for this IPA. That said it is a well done IPA and may be the one that gets your motor started. I reccomend this for any fan of the style.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Victory is a great brewery. This is a good beer. 
look: 3.5 | smell: 1.75 | taste: 2.25 | feel: 3 | overall: 2 I was super excited for this one, but found myself disappointed. The smell was cloyingly sweet, and the taste was pretty flat for me. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Poured from a can with a best by date of Nov. 20, 2017. The beer pours a deep, clear amber color. There is a thick off-white head with thick lacing.    The smell explodes with citrus hops but there is also a strong malt backbone.    The taste is deep, bitter pine hops with a decent malt backbone. There is not a lot of citrus that comes through in the taste, just tons of bitter, floral hops.    The mouthfeel is thick with medium carbonation.    Overall this is good but a bit more floral hops than I expected from the smell.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 3 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.25 | taste: 2.75 | feel: 3 | overall: 2.75 L: Clear amber with a tight beige head. Moderate retention, with some splotchy lacing.    S: Super sweet toasty malt, tons of caramel and toffee and toasted brown bread. There's a little bit of grapefruit juice and woody, pine as well, but it's mostly tons of malt.    T: Caramel, toffee, and toasted bread throughout. There is a little bit of grapefruit juice and grapefruit in the mid-palate, but overall this is cloying. There's some earthy and piney bitterness near the finish, but that cloying caramel malt just sticks hard.    F: Medium-bodied, medium-carbonated, very sticky with all the residuals sugars.    O: Not my cup of tea. This is bad IPA, in my honest opinion. Victory makes a ton of great beer and I love most of it, but this is not one of them.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 It pours a translucent amber gold body with a head that disappears within a couple seconds. Even with an aggressive pour, the head didn’t last. Some light lace ran here and there. The smell has an earthy hoppiness that isn’t overbearing. I noticed a bit of clove and cinnamon. The taste has the earthy hoppiness again along with the clove and cinnamon. The palate has a low to medium amount of carbonation. Between light and medium bodied. ABV felt appropriate. Overall, a pretty good IPA that I would come back to.   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 Had Dirt Wolf earlier from Victory so I knew I had to try their other staple IPA. A very nice and nostalgic experience indeed - athough they are from Pennsylvania, this beer reminds me some of the great craft IPAs that have been recently made in Hungary - though just a mere coincide.  Looks also follow this, I noticed that Hungarian IPAs tend to be filtered sharp and clear with a golden brownish, caramellized malty hue. Although on the hoppy side they are unbeatable: this Hop Devil is full of Citra, and it has been shamelessly dry hopped with it as well.  The more I drink it the more it reminds me of the good old IPAs of Hungary, East Coast style from East Europe. Good to know that we had such an example to aim for.  It is quite different from your "average" American IPAs, in a good way. Although for me personally it might not be something shockingly brand new, I am glad for this one. Very well done, and the hopping puts the icing on the cake (or on the beer).   
look: 4 | smell: 3.25 | taste: 3.25 | feel: 3.75 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 1.5 | feel: 2.5 | overall: 1.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 A really well balanced beer that goes down nicely any time of year. Victory make some great brews and this one doesn't disappoint. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Glad to see this brew in cans. Picked-up a six-pack of cans at Luke's in Rockland for about eleven dollars. Solid IPA, have had before, would buy again...a bit malty for my liking, but a very solid brew. Big fan of Victory.   
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
