look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 Wow! Exceptional! Complex! 
look: 4.5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Decanted from a 25.4 oz (750 ml) bottle into a customer taster pint; 2017 release.  A: Pours a deep mahogany to black color with about a one finger, light brown head, retention to a full cap, and spidery lacing.  S: Aromas of dark chocolate, vanilla, whiskey, honey, molasses, plum, and dark roasted coffee.  T: More semisweet than sweet. Flavors follow the nose and work together well on the palate. Bitterness solid and provides strong counterpoise to the sweetness.  M: Full bodied with moderate effervescence.  O: Opened this to celebrate my Father-in-law's 95th birthday. Had read about it and ultimately traded for it (thank you Rkitchen!). This is a great stout: it drinks smoothly, it is not overly sweet, it is complex and balanced (no easy feat for a flavor-adulterated stout). Really just a gorgeous olfactory and gustatory experience. Thankfully, I was able to procure the 2018 release locally and am looking forward to an occasion to open it.   
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Like an Irish car bomb in a beer 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 Great beer but I'm not sure if it's top 25 overall material. Great smell and look, beautiful head especially out of a keg. Definitely something I'd look for again and would be interested to see how well a bottle would sit for a few years.   
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Ebony body topped with a very thick, creamy and dense light tan head. Luscious aroma of gently sweet cocoa and baker's chocolate; some charred grain and fruity esters; peanut butter. Incredible bursts of flavor, highlighting sweet chocolate, bourbon and, yes, maple syrup; some bitterness. Thick and velvety texture to the beer; heavy with residual sugars    This is one damn fine beer! Great appearance and aroma but, brother, the taste and mouthfeel are exceptional. It reminds me of a boozy chocolate brownie. I will be picking more up when the chance arises again...   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 Near perfection! Has me feeling like a happy version of the elf 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.25 2018 batch. Aroma is roasted coffee, whiskey, vanilla, and sweet malts. Deeply black, with only a tinge of ruby around the edges with a back light. Short tan head, creamy and thick, that falls quickly to a ring. Wonderfully thick and creamy body. Initial taste is vanilla, cinnamon, and coffee; just a little whiskey. The finish is slightly bitter, but the sweet malts remain throughout.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Incredible! 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 From the 750 ml bottle in a snifter. This mighty malt bomb pours a rich coal black  with a nice head of tan foam that subsides to a thick ring, thin pool with a sudsy side  saddle, and a nice sudsy and soapy lacing. Nose of coffee, dark fudge, maple, mild bourbon,   and laced with touches of vanilla and brulee. Flavors show a fine balance of flavors  for such a heady brew. Vanilla and rich dark cocoa laden fudge align nicely against  a dark bitter coffee background that is awash in brulee and mild bourbon with a   balanced maple note that is mild without being overpowering. Exceptional  mouth feel; full rich body, medium light soft carbonation that is just enough   to give some light effervescence to this beast with a rich and lightly coating   sweet and bitter malt finish.    Overall----it's Founder's....it's killer----DUH!    This deftly crafted imperial is on par to be one of my favorites minus the price tag  and has helped pull me away from my of late distaste for sweet imperial stouts.  It shows balance and fine crafting.     Cheers!   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Solid jet black color . Medium light carbonation above average body.. thick creamy, slightly oily feel.  Aroma is boozy, bourbon, sugary maple syrup, black coffee a d milk chocolate   Taste is maple and bourbon, mildly sweet with some alcohol burn that lingers. Fudge, coffee, mocha a day taste with some roasted malt.  It deserves a world class ranking   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Matte black body. Bubbly, active two finger head the color of brown leather. Sticky, webbed lacing.  Big aroma of maple and chocolate. There is a beer there somewhere as I can detect the roasted malts of an imperial stout. Also some coffee. And wood.  The malts come out a bit more in the taste. The sweetness of the maple mixed with the chocolate give the impression of chocolate milk. The barrel flavor and nip of bourbon give the impression of chocolate milk with a drop of bourbon. The beer in general gives the impression that I would have saved some money making chocolate milk and dropping in a shot of bourbon.  The body is syrupy smooth. Heavy with medium-low carbonation. Uninteresting finish.    The beer is drinkable. I am sure it is priced according to all that goes into it. It is just too damn sweet.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Lovely dark beer. Smells like heaven. Sweet and molasses. Tastes of maple syrup and the coffee kicks in. Smoother than a cheerleader's thighs. Over the top. Excellence at Founders. 2017 release. Pay the money and get you some.   
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.25 | taste: 4.75 | feel: 5 | overall: 4.5 2018 Release    L - Jet black, inky pour. Frothy brown (with a hint of orange) head. Varying sizes of bubbles, and sticky on the side of the glass. Looks perfect.    S - The bourbon really comes through heavy here. Just opening the bottle almost got a waft like opening a bottle of bourbon. Peat and grass in the background, a little smoky, but mostly sweet. Some butterscotch, chocolate, and vanilla.     T - Much less bourbon than the aroma would have suggested... though still there. A lot of sweetness coming through, maple syrup, brown sugar. A little smoky malt bitterness wants to come through, but the sweetness wins that battle.     F - Light carbonation, expected some real sticky feel and while the stickiness is there, it comes across as more smooth and silky. Not light, but not nearly as heavy as I would have thought.     O - Lived up to the hype. Great choice for my #1000.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Body as dark as a moonless night with a thick foamy head the color of milk chocolate. Very pretty aroma, chocolate, lots of chocolate, coffee, maple & alcohol. Plenty of chocolate sweetness balanced with coffee bitterness. Flavor wise I was expecting more maple, it is still delicious, very sweet & I like that. Feel is viscous & velvety. I think it is slightly lacking in barrel flavors. At $26 , it is the most I’ve paid for a bottle & certainly worth trying but not quite as god as bourbon county stout. Still it is one the best & should be on everyone’s must try lists.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 Just for the sake of this I let my bottle sit for 4 months after bottle date before popping open. 2018 vintage. Aroma is nice dark and milk chocolate, vanilla, bourbon spirit, coconut, light coffee in the background, maple syrup. Taste is sweet chocolate and maple syrup. Slight warming from the spirit. Not much barrel wood. Outstanding beer.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 Smooth. I love Founders barreled aged series and this one is absolutely amazing. The sweetness of the maple adds so much flavor and the bourbon adds to it.   
look: 4.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 Opaque, deep brown body with small caramel head and lotsa lacing.     Flavors are chocolate, sweet malts, alcohol, and some pine hops hiding in the weeds. Carbonation is easy, making it seem easier than it is.     It's good.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 2017 vintage served in a tulip glass in late February for my 50th b-day.    About as perfect a stout I've ever had.  L: dark, like a stout of this type should look  S: brown sugar, chocolate, malt, hint of coffee and vanilla  T: At first it's sweet, then as you adjust it gets more complex. The maple is there but not particularly pronounced.  F: thick, the flavor lingers    O: this was a "whale" beer for me, Had it on my 50th b-day. It was a treat, and I'll get some more next time it comes around.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 5 | overall: 4.25 Served in a red wine glass from the bottle.     Appearance: Semi thick, dark black body with medium bubbles creating a tan head which rose nudge over a finger's length. Settles steady nice and even after one or two sips.     Smell: Milk chocolate and whiskey aroma accompanied by doses of brown sugar. It's a warm scent and literally lingers in your nostrils.     Taste: Sweet complex taste of chocolate which is so evident and complex whiskey with maple. It's a touch overpowering sweet when you start sipping and it's definitely distinct but honestly I was expecting more from the brew.     Mouth: what can I say this beer is sticky, medium carbonation with a super Full body and lingering after taste which overpowers anything you are eating with it.     Overall: Nice pick up but personally founders does make better imperial Stouts and you know where to look if you really want them. Always in a glass, Salud!   
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.5 First review in a long time.Picked this up for my birthday.2018 release.    Look- Thick frothy light brown head 2 finger widths tall.Dark black body with no light showing through.Very little small bubbles,stuck to the bottom of the glass,otherwise not much going on.    Smell- I get heavy notes of chocolate,coffee,maple syrup,and bourbon.It has a really nice smell.    Taste- This one is really strong.Then again it’s been a long time since I drank an imperial stout.I get dark and sweet chocolate,up front with some faint maple syrup.Strong notes of dark black coffee,and bourbon on the back end.Nice dark malty after taste long after the booze subsides.    Feel- Very heavy body with a thick syrupy texture.Chalky in the mouth after swallowing.Very nice feel in the mouth.    Overall- This is a really nice beer.I probably would have appreciated it more 2 years ago when I was drinking a lot of stouts.But this was still a very enjoyable beer for me,even with the high ABV.I would recommend anyone who likes stouts try this beer.   
look: 5 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Waited for this a fair time and it was worth it. Great flavor, High h ABV so beware. Will always have this when in season. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 2018 vintage, bottled 4 months ago.    A near-black orb in my tulip glass, topped with a tan head. Visibly dense.    The nose is coffee, chocolate, and a pastry/cinnamon bun sweetness. Definitely some maple vibes with whispers of bourbon.    The taste is similar. This is essentially a sweeter version of KBS. I get mocha and maple, with hints of bourbon and wood on the backend. The sweetness is tame and balanced and rounds out the beer.    The mouthfeel is medium+. Not quite syrupy but big.    Overall, awesome stuff. It's balanced for what it is. Don't expect a wallop of maple or a dessert stout explosion. Every flavor is equally represented.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 750 bottle into giant snifter    Looks like a stout should - pitch-black and viscous with a thick, coffee-tan head that never fully recedes.    Smoky and oaky nose, with lots of sugars dancing about. The maple is obvious, and earthy-sweet bourbon notes linger.    Super sweet flavor profile, even more than expected. Tons of maple essence, bourbon. Sweet, caramelly notes absolutely dominate, as oak and coffee take a back seat. Plenty of chocolate and carob as well. You can get a tiny amount of that kind of rubbery, astringent signature Founders stout flavor (the flavor in KBS that's unmistakable), but it's so overwhelmed by a sugary onslaught your palate soon forgets. Finishes very long and sweet. In fact, it doesn't really finish.    Fun to drink, but this beer was a little overhyped because of its previous relative scarcity.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.75 A drinkable stout.   I was sceptical at first, after smelling it from the bottle--I wasn't too excited. But once I poured this fabulous stout in a proper glass, the smell (bouquet?) was legit. More maple and coffee than chocolate... It also has very nice smokey undertones. CBS has a solid head and pitch black body.  Seriously smooth for a 11abv stout. Doesn't have a strong boozy taste or smell of others in its abv category. A top tier and pretty complex stout! 4.75 - 5   
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Served on tap in a snifter. Dark, Cola colored liquid with a half finger of mocha head. Nice aromas of cocoa, coffee, roast malt, anise, wood, smoke, and booze. Big flavors of dark chocolate and coffee, roast, bread, Bourbon, maple.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 750 mL bottle dated 10/9/18, poured into Kane chalice and allowed to warm.    Not gonna lie, I am pretty pumped up for this.    L: 1F tan head with very good retention, Leaves some lacing and a nice tan cap and ring. Beer is dark black.    S: Coffee, cocoa, and a bit of oaky bourbon barrel. Some maple sweetness. Good, but I expected it to be more authoritative.    T: I GOT YOUR AUTHORITATIVE RIGHT HERE. Wow. Flavor waves of coffee and cocoa and roasted malts, with the bourbon barrel just in the background, but definitely the right amount. Maple sweetness comes in, but while the maple taste is authoritative, the sweetness is not cloying and is nicely cut by both the roast and the ABV. Yeah, baby, this is the stuff.    F: Medium to full-bodied, Slightly carbonated. Construction superb, balance right up there as well. Drinks unbelievably well for a high ABV stout.    O: Believe the hype. Even with the increased production, this is for real.   
look: 5 | smell: 3 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.75 2018 version 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 Long time, no formal review... However, I figured this one was worth it...    L - Thick - It poured slightly sludgy (in a good way)... Rich creamy froth starts at 2.5 fingers before receding, but never quite disappearing completely... Rich dark brown / flat black color...     S - Brazilian coffee... Fudge brownies... Perhaps just a faint hint of the maple syrup... Mildly intoxicating...    T - Starts like most stouts - roasted malts, chocolate and hints of coffee... The sweetness dials up in intensity throughout... Teeters on a touch cloying towards the finish, but never quite gets there... Very good balance and complexity...    F - Dense and lush... On the fuller side of full bodied... Rich and creamy... Did I mention lush?     O - Outstanding beer... Excellent as anticipated... I've drank tons and tons of stouts and this is rather unique... The sweetness is unlike anything else I've ever tried... The mouthfeel is word class... Worth the elevated price I was forced to pay, but a worthy in indulgence...   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 355 ml bottle served cold into a Chimay chalice. LCBo purchase for $8.50 CDN. Only the highest rated beer, I've had the chance to sample. I guess this makes for a good New Year's Day brew, kick it off in style. 11,6% ABV and best before September 24, 2019.    Appearance - Thick and oily, midnight black in color with a dark tan head of about a finger. Moderate retention and a tiny bit of sparse lacing. Great looking brew.    Smell - Big smells of molasses, dark chocolate, coffee and maple syrup. Some bourbon and vanilla shine through as well. Complex and well put together. Maple and brown sugar show a little more after a few whiffs.     Taste - Molasses at first and quite a bit of unsweetened chocolate. Transitions to sweet maple syrup, but not too sweet. Lots of boozy bourbon and wood flavors towards the end as the is a restrained yet astringent quality to the bitterness. Really good stuff. If anything, I wouldn't object if the maple syrup came through just a tiny bit more.    Mouthfeel - Slick, dense and robust like liquid velvet. Boozy finish leaves a great warming sensation at the back of the throat.    Overall - Really, really good stuff, one of the best stouts I've had although I actually prefer the breakfast stout to KBS and CBS. Still, the maple is well ingrained, being present, but the beer is never too sweet and is really nicely balanced. Even at the extravagant price, complete worth picking up a bottle or 4 (as I did) since this calibre of brew doesn't come to these parts too often.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Serving: 750 ml bottle (“bottled on 10.08.18”), poured into a 9 oz Libbey Embassy snifter.    Appearance: Deep, dark inky black-brown with a short, thick head of mahogany foam and patchy lace.    Smell: Roasted malts and coffee beans, fruity chocolate, maple syrup, burnt caramel, and slight barrel char.    Taste: A big blast of sweet and roasted malt goodness. Coffee, chocolate and roasted malt add nutty, fruity and earthy bitter notes to balance the maple syrup and bourbon vanilla sweetness. Closes with just enough roasted bitterness.    Mouthfeel: Medium to full body with a velvety, creamy feel and soft to medium carbonation.    Overall: A big but harmonious brew; leaning a bit sweet, but still balanced and delicious.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 Bottled 10/2/18.  Poured from a 750ml into a tulip.   Opaque black and gorgeous. Latte colored head with good retention and nice lacing.     Aroma is very nice but a bit overwhelmed by the alcohol for me with notes of maple, vanilla, dark chocolate, sour coffee, and wonderful oak.     Taste is superb with a smooth balance between all the major flavors. Semisweet chocolate hits hard up front and lingers nicely on the palate at the end. I get a subtle maple flavor upfront through midway, which is surprising as I expected a stronger maple flavor, but I’m happy that it’s subtle. Dark roast coffee, sweet roasted malt, and a bourbon barrel background round out the flavors for me. Alcohol is noticeably high as expected.     Mouthfeel is full and luxuriously smooth with a pleasant crispness (from the bitter malt maybe?) that balances the smoothness.     Overall, outstanding and fun but only once a year at best for me. A little too sweet is my only complaint. But that’s just me. The labeling clearly indicates you are in for a sweet beer.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 3 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.75 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 New release for 2018 and Wow! Maple and bourbon nose. Chocolate and coffee aromas are perfectly blended. Super smooth taste, more coffee taste emitted as it warms. Phenomenal beer at any Price. Compare to Old Curmugeon it has less maple taste.   Had it at Sisters’ Barn in Redondo Beach,Ca   
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Ridiculously good. I didn't get much maple at all but it didn't take anything away from it. If they didn't put maple syrup barrels in the description, people would rate this even higher because they wouldn't be expecting a maple bomb. Mouth feel was almost perfect, coffee and chocolate were balanced perfectly with the sweetness. Not too much barrel which can sometimes overpower these barrel aged stouts. Overall it was worth the high price and I will buy it every year it's available.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 Midnight black pour; multi-tonal brown head with spongy stratum of khaki, mocha, and mahogany. Hazelnut coffee, spelt grain chocolate chip pancakes, dark amber maple syrup. There's a little spice and heat from the barrel aging, and juxtaposes well against the sweetness of the malt and maple. Flavor parallels the nose tightly, but with more bittersweet accents of burnt pecan brittle, earthy smokiness. Herbal vanilla balances the deeply pronounced flavors of earth & wood. Body is expectedly full and velvety. Just acrid enough to not be super cloying although my lips still stick a bit.   
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 L-Syrupy rich pour....dark brown/black....no head..    S-Coffee is the first impression and the strongest aroma...kind of one dimensional....straining I get light whiffs of dark chocolate as well.    T-Coffee and espresso for sure but the chocolate notes are more evident here...kind of a mix of sugary milk chocolate and dark chocolate. Also a little char. Not getting much of the barrel aged notes or maple. if it's there it is pretty light and overwhelmed by these other characteristics.     F-Body is rich and full. It's not the biggest beer I've had in this style but it is right in the middle of what I'd expect body and feel wise. Not much sharp alcohol or heat.    O-Quality beer. Wish the maple and barrel aging came through a little more.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
