look: 4.5 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 12 oz bottle enjoy by august 21, 2023, lured into a tulip glass, a pitch black with two fingers of frothy tan head that slowly dissipates. The aroma has some dark chocolate mixed with some hop citrus (orange?). As time goes on, the citrus fades and there is some coffee undercurrent noted. The taste hits with a big blast of burnt roast, followed by some anise and espresso notes, with some citrus and piney hops noted in the finish and aftertaste. As it warms, the espresso qualities are more apparent, but the hop finish does not disappear. The mouthfeel is medium, carbonation medium low . An interesting concoction. A hoppy stout if you will. I wonder what it would taste like in 2023.   
look: 4.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 From notes 3/2/12: Pours ebony with a huge 3+ finger, moderately lasting, mixed coarse/fie foam, mocha head that leaves clumpy, sticky lacing across the glass. Aroma is dark roasted caramel, chocolate and a hint of coffee with a dominate floral hop note. Taste is chocolate milk, coffee with a slight burnt quality, lots of roast and a bitterness that runs from front into the aftertaste. It has a huge hop character for the style. A very nice but different stout.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Poured from a 12 oz bottle into a Dogfish Head tulip    L: Dark, dark brown pour... nearly black with thick brown head. Modest ring of lacing.    S: Roast and espresso.. bitter and dark.    T/F: Dark roasted malts... burned sugars and coffee grounds. Chicory and cocoa... hopping provides some added bitterness and an ooch of hop flavor. Sticky on the tongue... medium bodied... more roast character and bitterness at the finish.    O: An outstanding Imperial Stout. Roast, coffee, dark chocolate, and hops playing very nicely together. A really super beer from Victory.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 Pours jet black with fine, tan head.    Smell is roasty with notes of coffee, chocolate and some coffee grounds and fudge.    Taste is softly roasty with notes of coffee, coffee grounds and chocolate, with a slightly sharp bitterness. Well balanced.    Mouthfeel is medium, well carbonated.    Overall, a nice stout, but nothing mindblowing.   
look: 3 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 4.5 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 3.75 Storm King from Victory     The look is black, maybe some dark brown around the edges. Nice one and a half finger head with some amazing lacing left behind. The aroma is hops, pine, floral, maybe some orange rind. Taste is more of the same, with an underlying layer of very dark, bitter, almost like bakers chocolate before it’s been cooked. Mouthfeel is not quite fully full but definitely fuller than medium. Its got a drying finish I assume from the amount of hops used. Overall this reminds me of fresh yeti, very hoppy and bitter. But I think I like my stouts better without as much hop presence. Maybe this will be better in 2-3 years once the hops fade.    Once it warms up the hops fade a little and the stout flavors come out a little more. Infinitely better at room temp   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.75 It was ok. Good, but just decent for an Imperial stout. I enjoyed it, but not blown away. Typing more letters to review this beer and remember it for future   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Its dark stout beer with a tan head. Smells smokey but there are also some floral, pine and citrus aromas too. Upon first sip the beer is abrasively bitter in a hop forward sense. There's little toasty cocoa and coffee flavors until the beer is allowed to warm. Once this beer hits 47-50 degrees it is at the sweet spot and the hops and stout qualities balance. Would like to try it on cask.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 Kind of thin for an imperial Stout. Thin white head. More bitterness that I like in a stout. 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 12 ounce bottle poured into a tulip glass.    L---Impenetrable, opaque brown, almost black color. Thick, lasting light brown head that left tremendous lacing.    S---Sweet roasted malts dominate. There's actually some hop presence as well, which isn't ordinary for a stout.     T---Roasted malts dominate again. There's some bitter chocolate and light coffee notes. The coffee strengthens on the finish.     F---Not as thick as expected, but still full bodied.     O---This is a good one. An actual Imperial Stout that's not barrel aged. Almost too good to be true. Hard to believe I haven't had this one before. Will definitely pick this up again.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Poured from 12oz bottle into glass. Label is stamped for best by date as '21 AUG 2023'.  Black colored body, with ruby red highlights when back lit. One finger of light tan head settles and sticks around as thin cap and thicker ring. Leaves behind some strings of lacing.  Aroma is roasted malts and floral hops. Has some chocolate and dark fruit smells.  Taste is roasted malts, some mild char, dark chocolate, and prominent floral hops. Some sweet dark fruit and vanilla participate. The end is, as described, the espresso darkness, not really bitter, but rich and thick.  Medium to full mouth feel. Good carbonation for style. Quite smooth throughout.  A hop heavy, rich tasting stout that provides some complex layers of taste.  It has been a few years since I sampled this, but previously, this was my favorite heavy hopped stout. The experience is as I remembered.   
look: 4.25 | smell: 4.75 | taste: 4 | feel: 3.25 | overall: 4.25 At first glance the body appears to be dark black, but take a closer look, hold it up to the light, and it's actually the darkest brown you'll ever encounter. The head is meager, but stays along to the end.   The nose is incredible with dark chocolate, dank root cellar, licorice, and coffee beans.   The taste is all of the above, plus a surprising hop bite that comes across as a bitter espresso on the tail-end.   The mouthfeel is a bit thin for a imperial stout.   Overall a great brew.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.25 | overall: 3.5 I put off this beer for a while because I heard it was too hoppy. I decided to be a little brave & give it a go to see how hoppy it is. This is actually not terrible hoppy at all for an imperial stout. The flavors are a little mild. I am getting some roasted malts and a little dark chocolate presence on the backend. Maybe they have improved on this beer over the years because I actually like it. Cheers! B   
look: 3.25 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 2.25 | smell: 2.25 | taste: 2 | feel: 2.25 | overall: 2.25 
look: 4 | smell: 3.5 | taste: 4.75 | feel: 4.75 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3 | overall: 3.5 Marsh mellow on the nose.     Smoke on the flavor.    If this brew had any type of mouth feel to it other than thin it would be great! I'd say that it is worth trying but nothing to write home to ma' about.   
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Pours a dark, dark, brown. Smell is chocolate and vanilla. I taste mostly dark chocolate, vanilla, macadamia nuts. I don't get a lot of expresso. Alcohol seeks up from behind. Bitterness is well hidden.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pitch black, small head    This imperial stout is really old school and very different from what you got right now.     Roasty and quite bitter (chicory bitterness), it shows a bit of acidity.    Not that thick mouthfeel   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 Straightforward, traditional style stout - lots of roasted malt, a little coffee and chocolate, maybe just a little too much hop bitterness on the back end   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 3 | feel: 4 | overall: 3 Was just not a fan. Tasted like a stout with ipa and thats not what I was looking for. 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 looked like most imperial stout, very dark with just a hint of light coming through the edges of the glass. smells of roasted (almost burnt coffee) but what surprised me was the hoppiness coming through that also made it into the taste. mouthfeel was fairly thick. a very drinkable imperial stout that when fresh is almost like a black ipa.   
look: 3.25 | smell: 3 | taste: 2 | feel: 3 | overall: 2.75 This sort of tasted more like an IPA than a stout... 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 4.25 | smell: 3.5 | taste: 3.25 | feel: 4 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4.5 Good stout. Tried on nitro. Very strong alcohol taste. 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 3 | feel: 3.5 | overall: 3 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3 Nothing special here. Not bad but not great.    Looks like a good stout with nice beige head and good lacing.    Smells like a nice roasty stout that somebody threw a bunch of pine needles in.    Tastes like somebody put an IPA in my stout. What are they thinking?    Mouth feel ok for a thin brown ale or IPA but not for a stout.    Overall not going back here. Pretty much a thin tasting stout with way too much IPA taste for the style.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Poured from a 12 OZ bottle into a pint glass. The appearance is pitch black with a small tan head. The flavor is roasted malt. A very good stout, highly recommended.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Type: 12-oz. bottle  Glass: Ball 16-oz. mason jar  From: Bine & Vine Bottle Shop in Normal Heights (San Diego), Calif.  Price: $2.52 with 10 percent off for a variety 6-pack   Purchased: Nov. 2, 2017  Consumed: Nov. 2, 2017  Reviewed as: American Double/Imperial Stout  Misc.: Enjoy by Aug. 28, 2022    Picked this up on my monthly visit to Bine & Vine, along with a bunch of other stuff. Picked it up without really knowing anything about it or a canned on date. Usually two no-no’s for me. Hoping to be surprised. Thought I liked Victory a little more until I just looked at my ratings. Only one of my eight previous reviews had at least a 4 and it was exactly a 4 (Headwaters Pale Ale). Quick look and most of these reviews were in 2011, my first year starting. Would certainly like to try a few of those again. Anyway, bottle read, “A thundering hop presence collides with massive espresso and dark chocolate notes in this full-bodied imperia stout.”     Poured a pitch black color with 3-to-4 fingers of khaki tan frothy head. Could see a few bubbles sneaking up along the sides of the glass. World-class spiderweb foamy lacing. Excellent retention. (Sight - 4.50)    Smelled dark chocolate syrup, mocha, malt chocolate, caramel, hazelnut, espresso, char wood, burnt coffee, roasty malts and crayon. Had me wanting to try it. (Smell - 4.00)     Taste followed the nose for the most part, but no hiding that 9.1 pct. ABV. Got dark chocolate, roasted coffee beans, char wood, toasty hazelnut, burnt coffee, dark cacao powder, roasted barley, anise and burnt popcorn. (Taste - 4.00)    Full body. Sticky texture. Average carbonation. Abrupt bitter finish. (Feel - 3.75)    Just a solid double stout. Outstanding. (Overall - 4.00)    4.01 | 90 | A-   
look: 5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 From bottle to tulip glass...pitch black with tan head. Moderate head retention with lingering lacing. Smells of licorice and wet espresso grounds. Hoppy and bitter on initial taste, but not unpleasant. Very coffee forward with less bitter chocolate taste. Mild alcohol notes. Feels thin and dry with a burned malt aftertaste - again, not unpleasant. Overall, a good pour, but not if you are looking for the creamy, smooth, malty stout.   
look: 4.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 Poured from 12oz bottle into Spiegelau Stout glass. No date.     L: Deep dark black, ruby edges, two finger tan head has great retention. Spectacular lacing.     S: Smells strongly of lactose, and some semisweet chocolate. Not very appealing to me.     T: Again a lot of lactose, with some semisweet chocolate, but follows into a roasty note that is not displeasing. Some alcohol is present. Not great but not terrible.     F: Light, watery, crisp, lingering roasty dryness.     O: Meh.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 The appearance is pitch black. A semi-aggressive pour yields a huge two-finger creamy tan head. The retention is moderate--after a few minutes, the head dies down to a thin half-finger tan film, but plenty of lacing is left behind.  The nose is big, roasted, and bitter. It smells of unsweetened baking cocoa, beef broth/soy sauce, wet dirt, black licorice, pine, star anise, coffee grounds.  The palate opens up with dark chocolate, a bit of toffee, blackberry, and molasses--just slightly sweet--before a massive wall of roasted malt and hop bitterness overtakes the palate. The dark chocolate transitions into baking cocoa, black licorice, star anise, and black coffee. Super hoppy as well, there's a ton of earth and pine. Slightly metallic as well, like copper. There's a bit of soy sauce and umami, but the massive bitterness steals the show, with the bitterness of black coffee, dark chocolate and pine leading long into the finish.   The mouthfeel is medium-full, nice and well-rounded, mostly full, but the lively carbonation makes it quite drinkable.  Overall, a really good stout. Dangerously drinkable. If you prefer your stouts burnt and bitter, this one's for you!   
look: 4.5 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 Poured black with a 3 finger frothy off white head. Heavy lacing is present. Aroma is like a chocolate malt shake with a hint of coffee. The taste explodes in your mouth racing through flavors of chocolate malt, roasted malt, black licorice, dark roast coffee and hop bitterness on the end that blows away the earlier flavors but makes you want to sip it again. The beer has a thick body, moderate carbonation and is a bit creamy. The hops are a bit too much for me in an imperial stout. But, this is a very interesting brew with complexity.   
look: 5 | smell: 3.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 (I've had this one so many times in the past but for some reason never took the time to review it.)    A - Pitch black pour with thick and frothy toffee colored head. Sticks to the sides of the glass like glue.    S - Dark roasted chocolate with some cream and light charcoal.    T - Dark roasted malt, alcohol, very roasty throughout and ends with a sharp piney lingering bitterness that scrubs some of the malt off the palate.    M - Big and robust with a creamy texture.    O - Just an outstanding stout, hands down. So glad this is available year around!   
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 12 ounce bottle poured into a snifter    A: Pours black with no head development or lacing, looks under carbonated as I don't see any bubbles.     A: Smells fruity like raspberries and blueberries, roasted malts, chocolate, coffee, also picking up some dark fruits like plum, smells very sweet for a double stout, it's probably the hops that are coming through and giving it a sweet, dark fruit aroma.     T: Dark fruit and berries come through really strong on the flavor, espresso, roasted malts, finish is dry with lots of espresso lingering in the aftertaste, as the beer warms the dark fruit and berries do recede but the flavor is still there.     M: Full bodied with very little carbonation, moderate amount of coffee-like bitterness, finish is very dry.     O: I can't get past that initial taste and aroma of dark fruits and berries, it's very sweet, almost taste and smells as if blueberries were added to the beer, it's not balanced compared to the beer's roasted, espresso, and dark chocolate notes.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 Pour is black-ish, looks almost like a big porter, plenty of light leaking around the edges, with a tan head.    Aromas are HEAVY hops, some sharp coffee, and chocolate. The taste is very hop forward - more so than I’ve experienced in any big stout, ever - with a lot of bitterness from the coffe flavors, and subtle chocolate notes.    And it works. It’s a bit thin for a 9.1% ABV beer, and it’s sorta like a black DIPA, but it works. Glad I finally got to try it.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Black with a creamy and lasting tan head that leaves sheets of lacing.     Coffee and bakers chocolate up front in the nose, with molasses, plum and umami coming on strong as it warms.    Super rich, dark and bitter tasting. Roasted, almost smokey, chocolatey malts stand out at first once again. There's a strong wallop of fruit and umami, as well, maybe a flash of licorice, and then a hint of coffee, chicory and wood mid-palate. Chocolate/ coffee bitterness lingers in the aftertaste.    Nice, full-bodied, creamy feel.    The umami could be dialed down half a notch, but overall, this is delicious.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4.75 | taste: 2 | feel: 4 | overall: 3 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 12 oz bottle. Pours black with a medium tan head. Aroma of rich malt, licorice, dark chocolate, coffee, and roast. Flavor is moderate to heavy sweet and bitter. Full bodied with soft carbonation.   
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Pours jet black with rich tan head and very sticky lacing. Very prominent malt nose with hints of coffee, chocolate, black liquorish. The taste is very robust, loads of sweet malt with a light bitter chocolate, some coffee and oak flavors and very mild hops. Some alcohol bite but not too bad, as it warms it softens with more pronounced flavors. Medium to heavy feel.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 1 | taste: 2 | feel: 2 | overall: 1.75 IN a snifter at Flying Saucer Austin.  I CAN ONLY ASSUME that this was a bad keg. I know it wasn't me because i had everyone at the table sample my glass.     Appearance -The pour was ok. Nice head. Dark chocolate appearance.   Smell - Like a wet Juggalo that's been festering in the back seat of a taxi without air-conditioning for a few hours.  Taste - Imagine the same Juggalo in the middle of a field of burning tires, you open your mouth to breath and swallow the Juggalo-tire smoke. Stayed with me for way longer than it should have.  Feel - Like greasy black death slid down the backside of a Juggalo and attached itself to the roof of your mouth.    I will try it again just to make sure this was a one off.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3 | feel: 2.75 | overall: 3.25 Not a horrible stout but as of late I have stumbled across some darn good ones and this one pales in comparison. I'm not impressed enough to try it again. One redeeming quality, it wasn't sweet like many out there, I know many that like that but I prefer more robust and dry than syrupy.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 It pours a jet black colored body that leaves a one finger mocha colored head that lasts, oh for about most of the brew, just slides gently down as the beer is sipped. The body is too dark for any carbonation to be seen rising. Some nice spotty yet spider web lacing speckles the sides of the glass. The smell has a spectacular blend of nice roasty malty with a slightly hidden sweetness that has a slight sugary brown molasses with some nice hops. The taste is slightly bittersweet maltiness with the previously mentioned aromas in the flavoring adding some great roasty coffee coming out. On the palate, this is one exceptionally smooth RIS. Overall, big wow from me, I would definitely have this again.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Poured from 12 oz. bottle to snifter.    A: Pours murky brown with a 1/2 in head. Pretty black.  S: Dark caramel, brown sugar, coffee, and a little pine from the hops.  T: Sweet upfront with a piney hop bite. Coffee and roasted malts carry through the finish.  M: Medium.  O: Never had an imperial stout this hoppy. I think I like it.   
look: 4 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Pours out a very dark black with no light showing through the beer. A nice finger and a half of a light brown head that leaves nice lacing down the glass.    The smell is wonderful! Smells of perfectly roasted malts with some chocolate and and dark fruits. The roast is so close to perfect on the nose!    The taste is roasted malts and lots of hop bitterness with some rich coffee coming out. The hops are very prominent on the taste.    Mouth is medium with a wet finish that seems to leave a lingering hop bitterness on the palate.    This beer is not overly bad but does seem to have a clash of hop bitter that I did not care for. The perfectly roasted malt and coffee bitter were indactive to the style and greatly appreciated. The hops should have been left to a double or imperial IPA.   
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Looks okay. Poured from bottle into glass, dark brown with minimal head and minimal lacing, but a ring of foam that lingers. Smells good, though more like maybe a red ale or a bock with some toasted bread and moderate hops coming through. Also chocolate and coffee notes, as expected. Taste is similar, with hop bite and slight toastiness definitely coming through on the end. Feels slightly creamy with alcohol burn in the throat going down, though no offputting burn on the tongue. Unusual, and not entirely sure what the brewers were going for here. Not bad though.   
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 Knew this would be something different, the label said, "enjoy by 17 Oct 2021." Pours near black. Aroma of coffee / chocolate. Definitely a slow sipper. Heavy body, slightly boozy, which I like. Personally I would think that 1 at a sitting would be fine. Would buy again.   
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 Dark black, white foam, dense lacing, Smells like a cookie I would kill for, though faint. This one is a bit tough for me to enjoy, the alcohol is quite present, I feel like I'm enduring a heavy whiskey mixed drink or something. I'm not so sure about the feel either, this one's a bit flat, which may be contributing to the difficulty drinking. Sorry Victory, this one didn't win me over.  *UPDATE* Storm king is very enjoyable, more so at room temperature with a bit of aeration. I catch hints of dark black cherry and roasted wood. And the carbonation is much better on this one.   
