look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 Hazy dark brown, almost black, with lighter brown highlights. Topped by a creamy off white head with great retention and streaky lacing.  Smells dried sweet cherry, plum, fig, date, brown sugar, honey, toffee, toast, caramel, and hay. Rich, sweet, and spicy.  Tastes of dried sweet cherry, plum, fig, date, raisin, brown sugar, honey, molasses, toffee, toasted brown bread, ginger, and hay. Fairly sweet and caramelized throughout, with a moderately spicy and lightly dry finish.  Creamy and pillowy, medium-plus mouthfeel with effervescent carbonation.  A fantastic Belgian ale! One of my favorites.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Poured from a 1pt. 9.4oz bottle into a Chimay chalice.    L - Poured a dark brown color with ruby edges. Had a nice rocky head of tan foam. Very impressive.    S- Slightly metallic with hints of bread, ripe fruit and baking spices.    T- Malty and slightly sweet with definite caramel and spice notes.    F - Medium bodied with a slight creaminess, slightly sticky, in a very good way.    A definite classic. Another one of my all time favorites.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 Decanted from a 11.2 oz (330 ml) bottle into a custom nonic pint; code L16-638, bottled in 2016.  A: Pours a clear, copper color with three finger, tan to light brown, foamy head with very strong retention, but modest lacing.  S: Lightly tangy/tart at first. Aroma of caramel to molasses malt and toffee.  T: Lightly sweet. Palate follows the nose. Bitterness a little in excess of what would count malty sweetness.   M: Light to medium bodied with solid, persistent carbonation.  O: Creamy, smooth, and delicious. Complex and flavorful. An excellent Abbey Ale.   
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Honestly one of the best overall beers I have ever enjoyed. Very pleasant sweet and spiced maltiness with virtually no bitterness. The smell is of spice and reminds you of holiday cookies. The deep bronze color and ample off white head signal you that you're in for a treat.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 A: Beautiful coffee color with creamy head  S: Malty scent with fermentation with an unique spice scent. A great scent of bakery was also notices. Slightly hoppy.  T: Sweet, light syrup taste. Premium malty flavor. Balanced taste. Creamy feeling in mouth. Excellent.   F: Balanced with rich body.  O: Smooth, sweet finish. A bit stronger and sweeter than Chimay Premiere.     Great Abbey bier, great buy. In the US, pilsner and india pale ale overwhelmingly dominate the market, but it feels good to go back to the basics and the fundamentals. Abbey bier for life.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 Poured into a Chimay goblet.  Look was a deep reddish brown, with a large head that hung around for quite a while.  Smell was of malt and spice.  Taste was again spicy, a little bitter, but great complex flavors.  Feel was silky smooth, good carbonation, easy drinking for 9% ABV.  Overall, a great dark ale true to the Trappist traditions, and so very enjoyable.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 It pours a deep dark color with a foamy head that stays with it throughout the drink. Smell is sweet not sure from what but pleasant. Taste is where it shines, dark fruits coming in and a sweetness like molasses. The alcohol is there but it manly comes in in the aftertaste. Overall very good I really enjoyed it.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Think Dr. Pepper of beers. 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Cerveza de color rojo intenso, con una gran cabeza blanca que perdura por bastante tiempo. En su aroma frutal se distingue ciruelas y cerezas además de almendras. En boca es una cerveza dulce, cremosa, con notas de pan y caramelo.   
look: 4.75 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75 
look: 3.5 | smell: 3 | taste: 3 | feel: 2.75 | overall: 2.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This is the first Belgian Ale I have had that is decidedly tastier than La Fin Du Monde.    L: Pours with a deep red cola body, so dark it seems opaque unless held to light. If you don't stir the sediment, it comes out very clear. Beautiful arcs of fine bubbles lace the glass and the khaki film of head lasts forever.    S: Soothing, sweet and creamy, with soft notes of brown sugar, vanilla and coconut held up by rich almond and black cherry, prune and fig. The base of the finish is soothing oat bread with clove, tobacco and a hint of toffee, with toasted acidic notes trailing off like sourdough crust.    T: Nutty almond swirls dives into sweet vanilla and creamy macadamia nut, beaching on a shore of dried apricots and raisins where coconuts and tobacco are getting toasted nearby on an oak fire.    F: Nutty, creamy, fuzzy, and dry. Perfect.    O: My first time giving a beer full marks across the board. A delicacy, without a doubt. Then again, the price point is fifty cents an ounce.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 5 Sort of a dark brown amber color. Smells of bread and fruit or raisins. Very smooth with a slight alcohol taste. Best beer I've had at this point. Those monks know what they're doing.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Fantastic beer and the best of the Chimay offerings. Highly complex, rich and compelling taste. A lot going on with this beer with hints of caramel, bread, malt and fruit. I usually have a four pack of these on hand. Just sit back and enjoy this one.   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 Taste: Robust, bready, yeast, champagne mouth-feel, with alcohol that is warming in the finish. Fermented bread boozy yeast forward nose. Tan head with delicate lace. Full body.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 At Be Our Guest with Dunn-Rankins and Franks. Poured in a tall glass, it had an ever-rising head. You can tell why it was originally a Christmas beer. It had fruitcake dark druits and bread overtones. Great dessert beer.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 Cloudy/dirty brown with thick lasting foam. Classic example of the style. Taste has slight lemony notes. Only complaint is a slight metallic taste/feel. Not something I'll constantly drink, but worth having now and then.   
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.5 Pour: 11.2 oz bottle into a pint glass. Copper color, 2 finger light tan head. Really beautiful.     Nose: sweet bready malt, caramel, sugar, dark fruit.     Taste: toasted malt, sugar, bitter chocolate, sweet dark fruit. Some caramel, bread and oak. Call moles but extremely balanced and drinkable.     Mouthfeel: moderate carbonation and less than I expected given the style. Creamy full feeling.     Overall: this is as good as advertised. True to the style with plenty of complexity to enjoy.   
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 Poured from 11.2 oz bottle into branded goblet. A classic trappist delight, with a thick creamy head and a smooth nose. Toasted caramel is consistent throughout, with a light feel that belies its dark color. Overall, this is a very smooth historic Belgian that separates itself from the numerous recent competitors through its wonderful level of refinement.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured out of an 11.2 oz bottle, this beer is a mainly clear, dark copper/amber brown color with a light tan head that’s well over an inch thick when first poured that to a thick ring lining the inside of the glass along with some decent lacing. Aromas of toasted, bready, caramel malt sweetness along with some dark fruit notes of dates, plums, and a hint dark red apple. The taste is pretty much the same, with toasted, bready caramel malt sweetness that gives way to some toffee notes, a bit of Belgian candy sugar, a bit of Belgian yeast, and the aforementioned dark fruits. No discernible hop presence of course. Has a smooth, slightly prickly, yet smooth and slightly frothy, creamy, dull views mouthfeel with moderate carbonation. Has a clean finish with a good, sweet aftertaste. A good beer here.    Eric   
look: 4.25 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 This is a beer that lives up to the hype in every way. Truly a marvelous beer, one of the best I've had. 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 4 | taste: 4 | feel: 3 | overall: 3.5 Warm, malty sweetness, a little understated but thoroughly enjoyable. 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Look: Deep, opaque brown with a one-finger white head that remains for quite some time. Has a little hazy amber tinge when held up to the light.    Smell: Sweet fruits, almost like wine with a bit of malt and hops in the back.    Taste: Raisins, dark chocolate, and hops are the predominate flavors. Subsequent sips have some banana esters.    Mouthfeel: Thick, but quite carbonated.    Overall: One of the best beers I've ever had. The quintessential Trappist beer.   
look: 3 | smell: 4 | taste: 4.25 | feel: 3.25 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 poured from a 750mL bottle into a goblet.    appearance: poured with a nice 2 finger high foamy and bubbly head, closer to white than off-white but still ever so slightly tan. the beer itself is a beautiful deep garnet red. great head retention, stayed about 1/2-3/4 inch the whole time.    smell: smells strongly of raisin or prune. a hint of spice, like cinnamon and clove. very light molasses undertones. as the description alludes to, it smells like a wintery beer.    taste: raisin, spices. follows the nose pretty closely. an initial taste of dark dried fruit like prunes followed quickly by a mellowing out with a bit of spiciness (imagine almost an apple cider type spice). the aftertaste that follows is slightly bitter with a bit of the same flavors as before.    feel: nicely smooth. fairly slick, with some carbonation. the carbonation is strong enough that i'd consider this a good "summer cool-down beer", if not for the fairly heavy feel and complex flavors.    overall: a timeless classic. a great strong dark ale with lots of layers of flavor and a thoroughly enjoyable smoothness.   
look: 4.25 | smell: 4.5 | taste: 3.5 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 Thankfully, the blue is more widely available in the U.S. than most any other quad or strong dark Belgian ale. When I enter a restaurant and request the beer list and see this blue is available, I sigh with relief. There certainly are better quads or strong dark Belgian ales, but I always enjoy this classic.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Poured from an 11.2 ounce bottle into a glass.    Look - Opaque dark brown with a mild white head that quickly tamed down.    Smell - Lots of dark notes like molasses, raisins, and plums. I'd love for a scented candle that smells like this.    Taste - Similar molasses and raisin tones from the nose, but also a bit of banana, cinnamon, and pear. Every sip was something new, and one 11.2 ounce bottle definitely isn't enough to experience it all.    Feel - Thick and creamy with a very low carbonation, almost a flat feeling. The 9% alcohol doesn't show itself.    Overall - Exciting and rewarding all around. Belgian monks sure know how to brew.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 Pretty well done. A good balance of malts, hops and sweet spice. However, too boozy for 9%, imho. You really feel every percentage point in your mouth and throat in the aftertaste. Rating would be a bit higher if they hid the alcohol better.   
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 Not a dark beer guy, but ... Wow. Leave it to folks in an Abbey in Belgium to make mind blowing beer of all genres. Dark but not heavy...full taste, but not overdone. A perfect blend for a dark delicacy.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Cliudy brown color,medium body and just above average carbonation. Aroma was malt,yeast,brown sugar,raisins and bananas. Taste was similar,dark fruit and banana was up front,not too sweet at all. An excellent beer   
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 The intensity of a Lars Von Trier film with the beauty of Rembrandt's shadowy portraits. You can picture the Monks slumbering in their coffins when you breathe in the heady malt. A Sweet, dank dose of brown sugar and original sin. You can almost taste the solemnity. This beer is going to make you ponder your mortality and glad you find yourself among the living.     The Rochefort 10 was tried side by side and suffered from the comparison.   
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 From the bottle, it pours a dark brown with a light tan head, which lasts and lasts. The nose is filled with the rich aroma of raisins and bread. The mouth tastes the dark fruits of raisins, etc. Rich and filling.   
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 On tap in a tulip glass in Ghent, Belgium. Incredible head and nose. Deep, rich, complex tastes. One of my favorites. 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 Lovely pillowy fluff of a beer that is deep and rich where it needs to be and there isn't a hint of that alcohol that this hits well under that sweetness and fullness. Deep darkness with a long lingering head on a beer that just drinks nicely and is consistently nice and sets the mark on style   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 I drank Chimay Grande Reserve from my 1 liter Disneyland cup. It is funny that is calledd Blue when in smaller bottles. It is a treat but I had many times before.    Look: dark brown with an inch thick mocca colored head    Aroma: raisin bread, banana     Taste: The taste is sweet raisin bread, figs, banana, maybe some yeast, it is a bit boozy, but very good.    Feel: medium to full body   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Strong contender to Piraat, but would have to drink both at same time to know if I like it better. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.5 Really flippin good beer. Super tasty and incredibly well made. Nose is dates, plum, some prune, clove, and even a bit like red wine. Flavor a bit less complex - sweet, malty dates, clove and banana show up a bit as it warms. No wine notes on the palate though. But really great execution. Paired it with Indian food, which was a pretty lovely experience overall. Awesome stuff.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 L - Cola brown with a foamy head.  S - Sweet malts, bread, caramel. Aroma is very muted.   T - Sweet malts, bready with caramel/toffee and spice. Warming alcohol on the finish.  M - Smooth and balanced. Full, very carbonated.   O - Excellent Beer. Not just one of the best Belgian Ales, this one is truly world class and can hold its own against any other style.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 A: Dark soda brown with decent head and great lacing.   S: Malt, spice, bread, and wine.   T: Follows the nose, very nice wine/raisin flavors with a malt mix and a soft spice. Very smooth and pleasing to drink.   M: Medium  O: Exceptional beer, classic brewing and flavors are stellar.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 5 | smell: 5 | taste: 3.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 3.75 | taste: 3.75 | feel: 4.75 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 Look: Deep dark brown with a slight reddish hue (barely).  Smell: Sweet and malty, boozy. Some dark roasted grains.  Taste: Sharp bite of alcohol right up front. Sweetens up a bit after the alcohol subsides. Belgian yeast flavors blast in. Slight metallic tang. Some charred wood and nutty flavors.  Feel: Medium - thinner fell than expected.  Overall: Very very good beer. Not my favorite "Dark Strong" style beer but very enjoyable. Complex flavors.   
look: 5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
