look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 Poured from a single serve bottle into a tulip...    Pours crystal clear orange with visible carbonation, a limited head, but good lacing. Solid but not spectacular.    The aromas are classic DIPA, although mellow. Grapefruit flesh and zest, mango/guava, floral notes, grass, and white pepper. The hops present with somewhat of an oily aroma.    This DIPA has a strong malt presence at the forefront, but good hop balance. I was expecting more of an uneven hop bomb and was pleasantly surprised by the delivery. The crackery malt seamlessly gives way to grapefruit, pineapple, resin, white pepper, and grass. The ABV is well hidden.    The mouthfeel is medium with a good crisp finish thanks to excellent carbonation.     Overall a solid DIPA.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4 1 Pint 6 fluid oz bottle poured into Duvel tulip. Picked it up at the grocery store for $4.99. No discernible date, however some numbers are printed on the neck of the glass.    Appearance - Pours large off-white head with great retention and thick, patchy lacing. Clear medium-to-deep gold body with light-to-moderate cloudiness from medium-sized floating particulate matter. 4.25    Smell - Smells malty sweet. Grassy, honey, even some dark fruit. The alcohol is not hidden at all. 4.75    Taste - Bitter up front. Bitter in the middle, and faintly bitter in the aftertaste. Some honey sweetness comes through underneath and really surfaces in the aftertaste. Pretty even grass bitterness almost all the way through. Very strange in how monotone it is on that front. But not in a bad way necessarily since it's unique in that regard. 4    Mouthfeel - Medium bodied. Astringent. Normally it would be off putting, but considering the rest of its profile, it works. 4    Overall - I guess the strange quality of this beer is the fact that they use hop extract rather than hops. It's interesting. None of these are flavors I haven't had before, but what makes it interesting is how strangely even they are throughout. 4   
look: 5 | smell: 5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4 Full bodied and delicious. The only real downside of this beer is that it is hard to find. 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Very good rich taste 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 well they got the name right and with the 102 IBU 4 U right on the front i knew exactly what this would taste like when i grabbed it off the store shelf. it was on sale though so how could i not. bomber into a tulip, amber colored beer, like a slightly lighter honey with a pretty decent fluffy white head and some big chunks of floaties. they don't bother me but man they're gross to look at. smells and tastes exactly how i expected, lots of resin/pine, some citrus and sweetness there and literally nothing else going on. doesn't taste quite as bitter and overwhelming as i expected but is just very one note. lingering bitterness to make sure you don't taste much else for a while, decent body. maybe these ipa's aren't my thing anymore but i'm not too mad.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 For now on I'm making sure when I rate a beer on BeerAdvocate I've purcjased at least a 6 pack and will only rate it after 3 beers sampled at the same temperature and mindset LOL ...If you love IPA's - Hop Stoopid is a great beer! Each time I have one my rating for this Lagunitas' goes up!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 5 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 12oz bottle into Nonic Pint  Rubbed out Julian date code  Pours a clear Amber with thin white head and nasty looking floaties   Citrus, pine, caramel  Stale tasting caramel, pine, tangerine  Watery, alcoholy, nice drying finish though  Overall not great at all most probably old, but date code is rubbed out and not readable so who knows   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4 | taste: 4.5 | feel: 5 | overall: 4.5 [Original rating 2011-07-08] I love this beer. Deep gold color with a nice rocky head. Smells like a fresh cut grapefruit. Taste is huge citrusy hops but great balance. A top notch DIPA.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Piney fresh and crisp, hint of citrus, caramel. Pretty nice. Smooth and slightly buttery, Sticky in the glass but not in your mouth. Super drinkable.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 I love this beer, my new favorite IPA! 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Love it. Hop hop hop 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 I’ve been on the search for super juicy NEIPA’s lately and figured I’d circle back to a NW classic. High ibu without being overwhelming- just feels full of flavor rather than full of bitter. Clear amber golden goodness. Nice carbonation- a beer to drink on its own or with tasty food. Solid, available tasty nwipa.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Hop Stoopid | Lagunitas Brewing Company. Split with @nicholas2121 a few months back, this had a 3 finger thick head, solid lacing, and a clear medium gold body.    I smell plenty o' hops with a slightly funky malt complex.    Tastes like snappy, juicy hops with a tart, balancing malt note. Not really "bitter" IMO    Medium mouthfeel with mild carbonation.    I'll rate Hop Stoopid | Lagunitas Brewing Company with an overall 4.5   
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 For 102 I.B.U. this is a deliciously, un-stoopidly, hopped ale. I especially enjoy the finish, one that doesn't leave you tasting bitter stank for the rest of the night (yes, bitter stank does exist). It has a rounded out, lush mouth feel that's medium bodied. Good fucking ale, man. Even better at 8% abv.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 omg, what a pleasure to drink. How can anyone not love this beer? Hop Heads unite! Who cares if Rome falls? Warning: It's hoppy, if you like that kind of thing. I do. It's God's gift to hops, and I'm an atheist.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 5 | overall: 4.75 12 Oz bottle poured into a glass  Look - Yellow, Gold amber colored with a very thick head of foam slow to fade. Not a massive amount of carbonation  Smell - Very typical of IPA's, getting strong hop aroma with notes of malt, mango, wheat, orange, grapefruit, raspberry  Taste - A lot sweeter than i expected. Very tasty though, the perfect mix of sweet and bitter hops. There is a strange flavor that lingers but i can't describe it. The alcohol is picked up at 8% but not really a big deal. Certainly not as bitter as i was expecting for the IBU's.     Fruit, Pine, grass, malt. Excellent flavor, feel, smell, and i love the low carbonation, so drinkable!  Gotta give them credit where it's due, this beer is a little expensive but worth it  I have to give this a grade of A+   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 One of my favorite, if not *the* favorite brewer I have...    ...and what another offering, special, indeed. The coloration is a rustic but light cooperish to the eyes. The beer pours out a white, puffy head and it has really nice lacing all the way down the glass. The smell has strong hints of resin, pine, and some cinnamon - just a light touch of booze, almost non-existent. Mouthfeel was medium-bodied but distinctly carbonated (not something that I gravitate towards), but the taste was an almost perfect blend to what met my nose - with the very distinct bitterness you would expect from something titled with the word "hop" to it. Overall, this is another special beer from what I consider an incredibly special brewer.   
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 5 I was completely blown away by this beer. A beautiful dark-golden color with a complex caramel flavor that doesn't overpower, and despite its 8% ABV, no noticeable alcohol taste. I drank it at room temperature so that the alcohol taste wouldn't be muted. It was perfect! Lagunitas does it again!   
look: 5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 IBU 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 5 Lagunitas made the only beer I rated all 4's but would have rated all ???. Maximus is the most hoppy beverage I'd had to that point. It was great, but only for hop heads looking for hops hops hops. There wasn't really any depth of flavor other than hops, and that was amazing to me. Years later I tried this and well, they have lightning in a bottle with this one. It's simply the best DIPA I've had, even better than Sixpoint's Resin which was tops, until this, but then this has a different profile, so two beers I'm going to revisit again and again.     L: Um... why is there debris in my beer? Suspended. That's not carbonation. There were a few bubbles. It had no head and no lace but the slow moving yeast. Really slow. Medium orange.   S: Frosting on a fruit salad. Mostly tangerine. Not sweet. I've never smelled tangerine so distinct.   M: Medium cream, very slight (!!!) bitter, more feel from the carbonation.   T: This defies every flavor from a Double IPA that I've ever had. It's not bitter yet it's 102 IBU. It doesn't burn. They got the mix of hops so precise that they have made a monster. I taste both tar and grapefruit plus Jujyfruits and tangerine. I have the impression that this has been pre-aged to mellow and wonder how it would be aged more than a year.   O: You would never know this is a DIPA because, well, it's actually a drinkable DIPA rather than a sip able DIPA. Be warned, don't start with this beer or you won't last long. I started with a run of the mill IPA and then had two of these and I was GONE. One of these would be a fantastic way to end the night. Named for what it does. Makes you Hop Stoopid. Best I've had.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Nice- tastes like half an IPA and half a medium ale with the best of both.    Great mouth feel, nice body, smooth with a hint of bitterness- my top beer of the night - try it!!   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 3.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 12 oz. bottle poured into a tulip glass.    L---Golden orange color. Slight bit of haziness. Thin off-white head that quickly faded down to a cap. Left good lacing.    S---Citrus forward. Tropical fruits abound, orange, grapefruit. Some pine in the background.     T---Hoppy and fruity. Tropical fruit shows up most. Very well balanced. There are plenty of malty notes to even out the hops. Reall nice.    F---Juicy & plump. Makes me want another.    O---Excellent offering from an excellent brewery. I'll pick this one up again for sure.   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Orange body with a cyclone of carbonation--interesting. tall khaki head  Strong hop smell. Very grassy, piney, and pungent, with citrus tartness  Grassy hops with caramel and biscuit undertones balancing the bitterness. Slight floral notes  Lightly carbonated, a little dry  Usually I like a strong citrus component to my IPAs, which this lacks, but it's still a very good beer. Very well balanced   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.25 This one has the classic west coast style look and fruity characteristics.   Pours a very light amber with a 1 finger semi-bubbly head that seems to retain a slight covering throughout the time that you drink it.  Smell is extreme pine and resin that fades to something faintly tropical  Taste is mostly pine with a malty ending and lingering hoppy bitterness at the end  As it warms the IBU's begin to shine through but when cold it makes for an easy drinker  Heavy classic IPA mouthfeel (that I think we all lust for)  I have to grab this one really anytime I see it    Cheers   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Not bad Balance ! and Even 102 IBU, it is great balance. I do not know how to say but some ??? tastes. I will learn. Anyhow, great Hop strong IPA. 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Clear deep golden color with white cap and good lacing.    Aroma of bright, shiney piney hops wit some herbal tones.    Taste of clean piney hops with a surprising kick of something like pineapple or tropical like fruit that's very well comingled with the underlying malt. Not an array of flavors but enough to tell me this is a complex brew. I neither scent nor taste the alcohol and didn't realize it was 8% until I read the description after the review.    Medium full texture with balancing carbonation.    Whew, of course I was expecting hop flavors but these come across as rather sophisticated in the way they blend together weaving in and out like the strands of a rope with each contributing without competing. A very competent beer that's easy to drink.   
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 I was hoping for better. This beer poured a pretty golden amber. Odd bubbles suspended and never cleared during drinking. Small head and very piney smell. Taste is simalarly pine and almost metallic and very dry. Not very enjoyable but I will finish it. It’s making me very thirsty.   
look: 3.5 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4 Another Lagunitas delivery. Poured from a bomber into My new New Belgium tulip glass. Nice presentation, a golden yellow perhaps veering to a light orange. Good nose but that is not why one returns to this beer. Thin head but I do not complain. Initial taste is really grand. Hoppy for sure but with an slice of pineapple. Surprising. Slight hint of alcohol but there are plenty of IPAs with more than 8%. Call it welcoming. I call it fine. Served colder the better.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours out a hazy amber color with an off-white head. Head is a little foamy with moderate retention. Plenty of lacing as well.  The nose is tropical. I'm getting sweet pineapple and orange with some earthiness in the middle and a nice hops bite to balance out the sweetness. Aromatic to say the lease  The taste is most bitter that the nose would lead you to believe. You get the same fruit with toned down sweetness and a bitter kick to the palate. Tasty.  Mouthfeel is light to medium bodied. Carbonation is lifting but not to much. Feels right.  This one gets a solid 4. Its pretty damn tasty with a great price point to boot.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 Good beer. Very drinkable for a higher abv%. Smooth and not extremely bitter. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 Solid IPA from my Southern California peeps! 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Pours a golden copper color with about a finger of head. The nose has as much maltiness as it does hoppiness. The flavor is well-balanced, which is pleasant. However, I expected a hp bomb based upon the name.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 Had it from the bottle, so looks and smell didn't have much of a factor. Good IPA with slight citrus character. 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 From a 22oz bottle. Amber with a half finger of head. Smells of pine resin. A sticky feel. Caramel malt backbone with some pine resin, citrus, and bitterness. Yes, it's a hop bomb, but there's plenty of depth too.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Mostly piney hops with a little citrus. Not as hop forward as I expected, a little dry on the finish. Pretty decent. 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Look: Amber, very light cloud  Smell: Hops, citrus, very good  Taste: Very Good IPA. I enjoy this at the tap room in Petaluma.  Feel: Good carbonation and medium body   
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 I’m a hop head and can barely imagine a better one. It’s 8% abv is also just right. Have never had it from a tap but next time (first and only time) I’m in Petaluma, CA will learn if that makes it better.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Golden copper hued body; thick, sticky, rocky head. Piney, spicy aroma. Fine tasteful blend of grainy malt and zesty hop punch and bitterness; plenty of cracker and bread crust. Heavy body; rich and crunchy; some boozy heat and sugary heft.    Ah yeah, a fine - heck, very fine, IPA. It's been around and still delivers a hop bitter, densely flavored punch to the palate.   
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Its Great 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.25 | smell: 4.5 | taste: 3.5 | feel: 2.75 | overall: 3.25 Decent taste of hops, but overpowered by a malt extract! Slight bitterness that stays on the tongue. Have tried several times hoping it was my mistake but always there. Not bad, just better out there   
look: 4.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 Bottle:  Lovely clear medium gold, medium-large fluffy white head, nice sheets of lacing early.    Nose is medium brown cracker with a grassy to citrus rind bitterness. A mix of orange/tangerine peel and zest, grapefruit pith, dry grass and pine needles.    More of the bittering agents in the taste, as expected from the 100+ IBUs. The malt comes through from the nose, but only for a fleeting moment. The more piney hop notes rush in with a vengeance. Grapefruit and tangerine ride along the wave of piney-ness. A bit of earthy dank sneaks in the back of this quite crisp, but somewhat biting beer.    A classic that isn't a singular bitter bomb. Bitter, yes, but there is a bit of a classic citrusy/piney flavor profile that gets wrapped by the bitterness.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Deep amber with medium head  Smell is intensely hoppy, malt detectable and slightly smokey.  Taste is extremely hoppy, lots of citrus, bitter on the finish, and a sweet malt behind all this  Amazing beer   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 2.75 | feel: 2.75 | overall: 3 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.5 Pours a clear orange with a dirty white head. Aroma is basically a hops assault. Flavor lacking a malty sweetness. Nice body and good carbonation. Overall solider, just not one I care for. Lagunitas makes so many other appealing beers.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Flavor explosion. Amazing 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 The 102 IBUs are not over the top. Seeing the label makes you think you’re going to be getting something overly bitter, but the IBUs never overpower. Not much malt backbone that is a trademark of other Lagunitas. Can't say there is anything super memorable about, but good nonet.    Bottled from TJs in Royal Oak MI.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
