look: 4.5 | smell: 3.5 | taste: 3 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 bottle dumped into a snifter as a probably regrettable decision at about 1 am. amber beer with an off white, finger or two head that left a single line of lace and nothing else left. nose is a sweet mess, lots of the obvious brown sugar, caramel and a smack of earthy, almost musty hops. taste is straight sweet malt, bitter hops and a certain booziness. drinks almost hot but the sweetness numbed my taste buds enough to not really notice anymore. full bodied and quite drinkable. considering the price of these things they're pretty solid.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 12 Oz Bottle poured into glass  Look - Golden amber color, lots of bubbles, medium foam head has decent retention and thick glass lacing  Smell - like a very sweet IPA...can pick up hops but the overall aroma is sweet like a sugary syrup  Taste - It's certainly sweet no doubt about that. Initial strong bitter hop flavor turns into a sugar rush and heavy malts. Body is medium-high. Carbonation is medium. High ABV is mostly disguised as this feels like a simple IPA with a fuller body.  The kind of beer that is easy to drink but I'm not sure I would want more than one..    Overall, it's better than the rating suggests. It really packs a punch in both flavor and ABV. I liked it even though it is super sweet and will look for it again as a single, not something i need to buy a six pack of. Grade is an A-   
look: 4 | smell: 2.5 | taste: 2.75 | feel: 3.75 | overall: 2.75 just taste like an average IPA, way too much hopes.... Overall not a bad beer if you’re going for an IPA but I was expecting more of a Strong Christmas ale or a Strong Amber Ale   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 3.75 Color: Dark red  Aroma: Hops, faint malt  Taste: Hops with a nice malt backbone. I like it  Conclusion: 10% abv is well hidden, great balance of malts & hops. It taste better than I expected. Cheers! B   
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Poured into a chilled 12oz glass. Dark amber with a thin lacing head. Nose is is spicy and aromatic. Mouth feel is full and creamy. Taste is WOW, sweet, lingering with a very malty aftertaste. Definitely in current parlance a definite "do over"!   
look: 4.25 | smell: 4 | taste: 3.5 | feel: 4.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 3.5 Boozy but smooth just not much flavor. Good taste in back of throat but not on the front palate 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 Had a pint at Stub & Herbs in Minneapolis.    Look - Vibrant clear brown amber body with a lively long-lasting white head.    Smell - Weak notes of the titular brown sugar, sweet caramel malt, peanut butter. A very weak smell, but a pleasant one.    Taste - Short bread cookies is the flavor of the day here. Sweet, malty, and refreshing.    Feel - A medium chunky body with with a decently appropriate carbonation. A smooth drinker.    Overall - This is a malt lover's dream. Full of sweet bready flavors and incredibly drinkable, I almost wish it was weaker so I could drink more.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Copper filtered with little carbonation and 2 fingers of off white head.    Smells slightly of caramel, then dank, pot like hops.    Tastes slightly sweet of brown sugar, then of dank, west coast hops, catnip, green leaf, and a hint of bitterness.    Medium body with moderate carbonation. Really covers the alcohol.    Got at Walmart, and drinking for the first time in Redding, CA. Excellent brew.   
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 Try it but don't buy the full pack, get it as a single especially if you have not had barleywine type things. They are unique and Not for everybody. First off, this will f&*& you up, compared to other beers at a similar ABV this one would consistently put me to sleep for some reason after just one. It's really sweet but not particularly molasses-y; though that comes through, its not as carmelized as a darker beer. I was expecting big things but it was not something I will try again.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 First off I look at the other reviews and I think am I drinking the same beer as these other people? I am a novice reviewer and take what I say with a grain of salt. Cut to the brass tax, I liked this beer but it won't make my favorites list.  I was expecting a real sweet taste and I must be one of the oddballs out there because I didn't taste much sweetness at all.  I drank it straight from the bottle, did I mention that I am a novice? One person mentioned a slight grapefruit taste and I agree. Another person said you could never tell that this is a 10% beer I agree with that too, absolutely no alcohol burn. Brown Shugga' goes down real easy, I am a sipper, not a guzzler but if I was I might be tko'd. This beer has very little bitterness in my opinion. Try this beer you might like it, one thing I can't get over is how much my experience with this beer is different than others.   
look: 4 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Very pleasant, strong smell right from the bat. Taste has after kick to it, makes your tongue a bit numb in all those flavor. Definitely has that rich smell and taste of sweetness in it. Strangely the resulting feel is a bit weak compared to its strong smell and flavor. But still enjoyable beer. Love the high alcohol volume.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 4.5 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 From notes:    Poured into a snifter/tulip/wine glass from a 12oz bottles    A - a beautiful translucent, blood red copper, nearly tan two finger head and some serious sugar lacing/legs    S - lots of sugar (brown specifically), sweet hops, fresh baked bread (yeast), oaky, musky funk, slight peach/pineapple, citrus orange,     T - rich sugar, nice huge sweet and toasted/roasted malts, nice booze, chewy grains, fruity and earthy hops, terroir, bread yeast, floral, pine, some pineapple and peach,     M - full bodied, well balanced, nice complexity, medium acidity, medium carbonation and a huge sweet feom start to finish    D/O - this is one of my favorites. The fact that this ale happened by accident adds to the awesomeness of this ale. Hearty, balanced, refreshing and perfect for this time of year when the weather can't decide if it is season appropriate or not. If you aren't a fan if huge sugar, malt and hops, this one is not for you and on the other hand this one is for you in so many great ways.     Final thoughts - at nearly 10% abv and less than $10 a six pack, what more could you ask for from a brewery that has mastered the seasonal ale   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.25 | taste: 2 | feel: 2.25 | overall: 2.25 Poured hazy copper color with a small head. Lacing retention was pretty good throughout. The smell was strong with grapefruit and brown sugar. Taste has an overpowering grapefruit taste that ruins any sorta sweetness the beer could've had. The feel is thick with a strong aftertaste.    This beer wasn't for me but is worth a try at least once.   
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 Pours a very hazy dark copper color with a thick foamy head. Head retention and lacing are both excellent. Sweet aroma. Brown sugar, hint of brandy, Belgian yeast. It is pleasant. Taste is very smooth. Brown sugar, slight brandy, maybe some caramel and a little bit of bitterness. Aftertaste is a little too bitter. Medium bodied with moderate carbonation. Good beer but may be too sweet to drink much of it.   
look: 3.75 | smell: 3.25 | taste: 4 | feel: 3.75 | overall: 3.75 Pours copper. Smell is hops. Not much else. Taste is hops, oranges up front. Caramel in behind. Balances nicely as it warms. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 4 | feel: 3.25 | overall: 3.75 
look: 4.75 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 really well balanced strong ale. easy to drink, maybe too easy. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 5/17/18: $1.66 12 oz bottle from Binny's Niles, poured into a snifter. Generous tan thin head, copper color, generous carbonation. Wine and cinnamon sweet aroma. Aptly named sweet taste, malt, wine, rum. Thin texture, carbonation holds, smooth drinking. Overall good offering.   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 1.75 | taste: 1 | feel: 2 | overall: 1.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 2.75 | taste: 4.25 | feel: 4.5 | overall: 4 Pours a pleasing maple brown. Not much of an aroma surprisingly. Nothing really to decipher to the nose. Tastes of red wine and hops. You could never tell that this is a 10% beer. Goes down almost like a lager.    = A good offering from Lagunitas. The aroma leaves a lot to be desired but the mouthfeel and taste make up for it.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 Good color  Too sweet  Bad lingering aftertaste 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 Got a 6pack of 12s for $6.99 on sale at totalwine, that’s a good price and I knew they’d hold up well enough so screw it why not?     Normal pour into a brandy snifter produces a half inch of slightly off but otherwise white head, nice retention with a still frothy collar, deep amber body, decent lacing    Aroma is awkwardly light, I guess the age could have effected it but it’s not very old, I remember it being stronger before but it’s been months, literally can’t smell anything but a hint of booze so I gotta write it off as my nose being weird today..     Taste is slightly bitter hops the first few sips but really mellows out into a sweet barley-like malt, slightly dry with some biscuit notes    Feel is lowly carbonated, slightly thicker then other comparable strong ales, no alcohol burn    Overall it’s another solid offering from lagunitas, I think the aging brought it down from what I remember so drink fresh..     That being said it’s still not the most memorable I’ve had from them but definitely worth a try.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 2.75 | feel: 3.25 | overall: 3 Deep Carmel and super sticky sweet. Too sweet for me, too much sugar. 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4.75 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 3 | taste: 2 | feel: 3 | overall: 2.5 It looks real nice, but that's about it. Very hoppy and bitter. This is a once and done for me. 
look: 3.5 | smell: 3 | taste: 2.75 | feel: 2.75 | overall: 3 Surely a favorite to many, but not this guy. I found it deceptive, with hops and bitterness persisting more than a thick, sweet, brown sugar I expected.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Poured from a 12oz bottle into glass. Stamped info on bottle '262 7 2 2301 0249'.  Slightly cloudy, deep amber colored body. Off white head settles to bubbly cap. Some strings of lacing.  Caramel malt and hops in the nose.  Sweeter taste malts, piney and citrus hops. Strong tastes throughout.  Medium mouth feel.  A strong, sweet tasting ale, quite well balanced with the malts and the hops. Alcohol burn is present.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Another good brew from lagunitas ..    Basically a cheaper sweeter version of arrogant bastards. Big malt and big hops, strong flavor beer..    I will buy again for sure.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 I have never tried a Lagunitas that I liked and I picked this beer for my 200th review. That being said this is probably my favorite offering from them. Beer pours red with a white head. The smell is hop forward but the flavor is orange, lemon and other citrus. Nice and smooth overall not a bad beer at all.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 This may be the first I've had of this style. It's a good looking beer. The smell actually has a little hop to it among other unidentifiable to me things. There is no heat in the taste but there is a slight alcohol taste. This one is hard to describe. The first time I had it I thought I tasted strong brown sugar but this time it's my first beer of the night and I don't taste it. There is some bitter to the finish. Overall it's not bad and I would recommend trying it but I wouldn't buy it again.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3 This was a surprisingly hoppy beer. I thought it would be more malty but it is very bitter. Not a fan! 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 Brown Shugga pours a darker copper color, with a smaller, but long lasting, lacing head. Sweet malty aroma, with hints of earth. Flavor is bold, roasty, malty and earthy. Good body and feel. Overall, a solid, and easier drinker strong ale.   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 Look: light brown, almost almonds looking  Smell: sweet  Taste: sweet, almost malt like 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 3.5 | smell: 2.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Poured from a 12 oz bottle into a tulip    L: Clear copper pour. 3 fingers of fluffy white head leave crazy sticky lacing all over the glass. A little bit of yeast sediment.    S: Sweet caramel and brown sugar (no surprise) mixed with lagunitas hops.    T/F: Follows the nose. Sweet brown sugar and caramel malts. Well balanced by the hops... piney and citrus. Floral... sweet.. ABV not subtle. Medium bodied... sticky and carbonated. The finish is more brown sugar and hops.    O: A delicious strong ale. Super drinkable despite the noticeable ABV. A few of these would be super dangerous. Delicious beer.   
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.25 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 taken from notes> 297 72 2380 0135 marked on bottle.     Appearance- from a hardy pour into a pint glass it's a transparent amber color with a frothy off white head that leaves thick heavy lacing.     Aroma- dank and citrus. hoppy. nice.     Flavor- tastes like the smell but with a heavy chocolate malt presence. abv is really noticable. pretty sharp in the booze department.     Mouthfeel- medium/ heavy bodied. alil silky. good carbonation.     Drinkability- def going to drink more of this in the future. really nice for the winter.     Overall- i was expecting a more malty of a brew but coming from lagunitas this one isn't neglecting the hops. to me this is a really nice imperial ipa brewed with a ton of specialty malts (chocolate and maybe oats).   
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 Pours a darker amber color with a large thick white head on top. Has a super sweet hoppy smell to it. This has a very overpowering sweet taste definitely get the sugar taste.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 This has become an all time favorite of mine - Lagunitas has made many solid reasonably priced beverages, and this is on the top of my list.    Pours rich copper with a little head, just right..    Smells floral and sweet, I get grapefruit also.    Aah, the glorious sip! SO JUICY! RIch and syrupy, tastes of citrus - a mix of sweets and tarts. No taste of strong alcohol at all.    Mouthfeel is also glorius, not thin like many beverages - almost syrupey. Fizz is solid.    Finish is clean.    This is a favorite go-to high-gravity brew!   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Lagunitas knows how to do it. I'm a huge A LITTLE SUMPIN' SUMPIN' fan, but this will do. 
look: 4.5 | smell: 3 | taste: 1.75 | feel: 1.5 | overall: 1.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Maybe the best bottled strong ale you can buy. only surpassed by some of my local craft brewers like Due South's growlers 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 12 oz bottle poured into a snifter.    Appearance  Amber. Good clarity. Light carbonation. 1 finger of white head.    Nose  Molasses, caramel, toffee, overripe pineapple, mango, grapefruit, and dank.    Taste  Molasses, caramelized brown sugar, and toffee. Grapefruit, overripe pineapple, and musky mango. Off-dry dankness with lingering pine and grapefruit zest.    Mouthfeel  Medium bodied, silky, smooth, moderately bitter, and off-dry.    Overall  HIGHly malty with a tropical hop bitterness that cuts the sweetness well. Molasses, toffee, and a brown sugar dryness stand out.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One the best brews I've ever had! Mmmmmm good. 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.25 | feel: 4.25 | overall: 4.5 Clean taste for a strong ale. Well done. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 I am addicted to hops, so actually prefer the "Sucks" substitute, but this is a very tasty ale! 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 Pours a lovely mahogany color with a thick, white head that is slow to fade and clings nicely to the glass. Smell is fresh baked bread, pine, and a little grapefruit pith. Taste is grapefruit up front, dark fruits and malt in the middle, fading to a sweet, almost cloying finish that takes a long time to fade. Fully body. Slow winter sipper, delicious in every stage, flirts with being too sweet and yet somehow doesn't cross that line.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 Pretty beer. Like light molasses. I can mostly smell the alcohol. The taste matches the name - brown shugga and strong ale. A sweet, late night sipper.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 Amazing flavor with little alcohol taste. 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 12oz bottle poured into a pint glass.     Appearance: Pours a clear, deep copper with 1/2 finger of white head    Smell: Piney hop aromas and baked bread    Taste: Hop bitterness up front with plenty of dark fruit and malt in the middle leading to a slightly sweet, boozy finish that reminds you how big this beer is    Mouthfeel: Full body and heft, cloying in the finish    Overall: This beer is not about balance at all in my opinion. But thats what this one is all about. Up front it has a lot of character of an American-style barley wine with the aggressive hop character, yet the malt comes in and hits you even harder leaving the boozy finish. Yet, I still go right back for the next sip.    A winter-warmer for sure.   
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
