look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 33cl bottle, 7m old.    Very light straw, extremely clear. Foam is weak, disappears completely, no lace.    Nose is grain, not a strong aroma, but it is exactly as a well-made pils ought to smell like. Very little hops, though. Diacetyl notes.    Taste has even clearer diacetyl mixing with the subdued element of grain. And an understated crispness and edge, presumably from rice. Pleasant, smooth mouthfeel. No hop taste either in terms of aroma or bitterness, which is the main shortcoming... the crispness is the only element bringing any contrast to the smoothness.     In summary, a flawlessly executed subdued hopless version of pils/pilsner..Very well done for what it is trying to achieve. Unjustly over-vilified in my opinion. The diacetyl is not 'corn', maize does not provide much taste at all, and afaik Budweiser does not even have it. Use of rice is no more to sneer at than the Bohemian and German use of it in a very similar fashion at the end of 19th century. Adjunct process is a cornerstone of witbier, why would it be a crime here? A lot of craft beer is poorly balanced and inconsistent and shows little skill. Whether this style is very exciting is another matter, but you cannot fault the execution, as there is very little to hide behind. I suggest trying to make a flawless light lager of your own.   
look: 2 | smell: 1.75 | taste: 2.75 | feel: 2.5 | overall: 2.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 H48, H49 
look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 3.25 | smell: 3.25 | taste: 2.75 | feel: 3 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 2.25 | smell: 2 | taste: 2.5 | feel: 3 | overall: 2.25 
look: 2.75 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 2.75 | smell: 2.5 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 1.25 | smell: 1 | taste: 1.5 | feel: 2 | overall: 1.5 
look: 2 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 1.75 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.5 | overall: 2.75 Light yellow in color with perfect clarity. Poured with a moderate, soapy white foam with low retention. Aroma of light malt notes with hints of cereal. Light bodied with high carbonation. Flavors are similar to aromas. Light malt and cereal flavors with light graininess followed acidic, medium light bitterness through the middle. Light grainy notes on the back end. Finished cleanly and  crisply with light corn cereal notes. It's been about 15 years since a had a Bud....basically since I discovered what good beer really is. There is nothing offensive with this beer. No off flavors or aromas. It doesn't taste bad. It just generally lacks character of any kind. No head, very light aromas, not much happening with feel, and lifeless flavor. On a positive note, it's better than Bud Light. Very easy drinking and crush able, but a pretty bland offering.   
look: 2 | smell: 2 | taste: 1.75 | feel: 1.75 | overall: 2 
look: 2 | smell: 2 | taste: 3 | feel: 2.5 | overall: 2.5 Quite nice cold 
look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.25 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 2 | smell: 2 | taste: 2.25 | feel: 1.5 | overall: 2 
look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.25 | overall: 1.25 King of Yuck. If you want rice beer, go to Japan. Even Japanese people hate Budweiser. I am guessing of course because Japan makes some pretty good rice beer.     I used to drink this because my Redneck Friends like stuff that suck. Now my friends are all Dead Heads so PBR makes it over Bud.   Taste: Water with rice in it.  Smell: None.  Look: Like nothing.  Overall: Why bother?   
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 2 | smell: 2.25 | taste: 3 | feel: 3 | overall: 2.5 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2.25 
look: 3.5 | smell: 2 | taste: 2.5 | feel: 2 | overall: 2.5 
look: 1.5 | smell: 1 | taste: 2 | feel: 2 | overall: 1.75 The smell after opening a can or bottle of this is almost enough reason not to touch it. A horrendous waft of death in your face that slightly fades as time passes is the main thing you focus on for the first minute.     After the death passes, the taste is slightly bitter grain that lingers for a second before disappearing into nothing. You take another sip, and the same thing happens, again and again till the bottle is gone.     Pours almost clear, a nice mix of foam and carbonation, and a taste that isn't overall bad. Another plus is its slightly higher abv of 5% over most other light-weight beers. I wouldn't purchase for myself ever again, but neither would I turn my nose up at it if I were offered, its alright.   
look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.25 
look: 2 | smell: 1 | taste: 1 | feel: 2 | overall: 1.5 
look: 3 | smell: 2 | taste: 2.25 | feel: 2.5 | overall: 2.5 Look: Pale, straw yellow. Very clear. About a finger of white head that quickly dissipates.    Smell: An unusual sweet smell, like corn syrup and bread. Not immediately recognizable as beer.    Taste: Like water with a vague hint of corn and malt. This might not even have hops, honestly.    Mouthfeel: Like carbonated water.    Overall: The "King of Beers" is one of the most boring, insipid, watered-down pieces of junk on the market.   
look: 3.5 | smell: 2.75 | taste: 1.5 | feel: 2 | overall: 2 
look: 1.25 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.25 If you like beer with no flavor, no bitterness, but sweet, then this is the beer for you. 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3 | overall: 3.5 
look: 3 | smell: 1 | taste: 2 | feel: 2 | overall: 2 I've witnessed Budwieser go downhill over the past several decades. It wasn't really that great back then to begin with, but was ok on Tap. It's really been a study of a corporation attempting to maximize profits at the expense of their consumers. I worked in the rice paddies of Arkansas collecting water samples of the pesticides for EPA agrochemical impact surveys of the rice paddys. Workers were mixing tanks of pesticides with their bare arms before flying the planes spraying the rice. No wonder Arkansas has one of the highest cancer rates of all USA states. AB also introduced GMOs into the production line, hence the Natty line of high alcohol, bad hangover swill. As far as Beechwood Aging, nonexistent anymore except as an adjunct. I will still drink Bud on occasion, but rather not. I hope and pray they get their act back in order. It is nice to see they are attempting to introduce Freedom Reserve and the Beam Copper Ale lately, but it may be way too late.   
look: 2.5 | smell: 2.25 | taste: 2.75 | feel: 2.5 | overall: 2.75 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 4 | smell: 3 | taste: 2.25 | feel: 3 | overall: 2.75 
look: 3 | smell: 3 | taste: 4.5 | feel: 3.75 | overall: 4 
look: 3 | smell: 3.25 | taste: 2.25 | feel: 3.25 | overall: 2.5 
look: 2.5 | smell: 2.5 | taste: 3.25 | feel: 2.75 | overall: 3 First beer I ever had. Definetely not the best beer out there, but it's a classic for a reason. 
look: 5 | smell: 2 | taste: 3 | feel: 4.75 | overall: 3 
look: 2.75 | smell: 3 | taste: 3 | feel: 2.5 | overall: 2.75 From notes 12/10/11: Pours clear pale gold with a 1-2 inch shortlived , white head that leaves little lacing. Aroma is bready with thin grain, cereal, honey and lemon hops. The lager yeast is very noticeable. Taste is a similar more robust version of the nose with the yeast very prominent. Alcohol is more detectable than most 5.0 ABV's even in the aftertaste. Mouthfeel is medium bodied with moderate to high carbonation.   
look: 2.25 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.75 
look: 3 | smell: 3 | taste: 2.25 | feel: 3 | overall: 2.25 
look: 2.5 | smell: 2.5 | taste: 2.25 | feel: 2.5 | overall: 2.25 
look: 3 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 2.5 
look: 4 | smell: 2 | taste: 3 | feel: 2 | overall: 3 
look: 1.5 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 3 | smell: 2 | taste: 3 | feel: 2 | overall: 2.5 
look: 3.25 | smell: 2.25 | taste: 2.25 | feel: 2.75 | overall: 2.5 Noticed that most reviews of “The KOB’s” say, “not as bad as”  (you name the beer). The beer is for people that don’t drink beer. Buys a 6pk, lasts over 1month, kinda beer drinker.   Steady, reliable as Micky D’s, this beer is not in my house.   
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 True ... clean .... refreshing everyday  I like my wicked weed and bourbon county beers as a treat  But everyday Budweiser 
look: 2 | smell: 2.5 | taste: 2.25 | feel: 2.5 | overall: 2 
look: 2.75 | smell: 1 | taste: 2 | feel: 1.75 | overall: 2 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 2.25 | smell: 1.75 | taste: 2.75 | feel: 2.25 | overall: 2.25 
look: 3 | smell: 2 | taste: 1.5 | feel: 1 | overall: 1.5 Its definitely not the king of beers. Still better then bud light tho. 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 I am going to agree with ole buddy on this page & say it is better than your Corona Extra & I do like it more than Bud Light. Cheers! C 
look: 3 | smell: 2.5 | taste: 3.5 | feel: 3 | overall: 2.75 Not personally a fan but definitely a decent beer. For me, anything is better than Corona. 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1.5 
look: 3 | smell: 2.75 | taste: 2.75 | feel: 2 | overall: 2.5 
look: 3 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 5 Look, is this the best beer ever? Hell no, but is it the American standard? You bet your ass. Any event, any setting, any occasion, an ice cold Bud can get any party rockin instantly and for cheap. People love to hate Bud, but at the end of the day, this is the go to beer for ALL situations.   
look: 3 | smell: 2.75 | taste: 3.25 | feel: 3 | overall: 2.75 
look: 3 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 2 | overall: 3.5 
look: 3 | smell: 2.5 | taste: 2.5 | feel: 4 | overall: 2.75 I deleted my earlier review and started all over now that we get full strength Bud in Oklahoma. I am using a new review format similar to the Beer Judge Certification Program (BJCP) Score Sheet.    Appearance:  Pours to generous white head that falls to a thin ring and uneven lacing. Moderate to low head retention. Pale gold-yellow with brilliant clarity.     Aroma:  Extremely low levels of malt or grain. Super clean with no off-aromas but exceptionally bland and devoid of malt or hop characteristics. Some alcohol and cooked rice notes. Slight fruit likely from the A-B house lager yeast and short lagering cycle.     Flavor:   Folks, if you want a full flavor beer that is easy to drink and inoffensive and tastes the least like beer at a premium domestic price point then Bud is your jam. Clean, crisp and watery with seltzer, mixed with light cereal grain flavors and a slight crackery finish. No real hop bitterness to speak of.     Mouthfeel:  Light mouthfeel and medium-high carbonation. No astringency or harshness at all. This is where Bud shines. It feels refreshing and comforting, especially in the face of a hot day outside with baseball and hot dogs. If there is ever to be a case in favor of Bud being the Great American Lager, this is where it resides.     Overall:  In the grand scheme of beers, Budweiser is ripe for extinction on the following points:   1) Consumers are choosing beer less overall.   2) Those that DO like beer tend to choose beer that is either:  ----a) super light (mich ultra, anyone?)  ----b) super cheap (natty, the beast, malt liquors) ... or   ----c) more flavorful/craft beers.   --------Bud is 0 fer 3 on that scale.     The market for bland, flavorless non-light, premium AALs is shrinking.   The Bud name may have hope of living on as Bud Light , Bud Copper Lager, Bud Platinum or something else.     Let's face it. Traditional red-label Budweiser and it's tobacco counterpart Marlboro reds are riding off into the sunset.   
look: 2 | smell: 1.5 | taste: 1.25 | feel: 1.75 | overall: 2 
look: 2.75 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 1.5 | smell: 1.25 | taste: 1 | feel: 1.75 | overall: 1.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Middle of the road and a great gateway beer. It is still brewed exceptionally well and has stood the test of time for a reason, far out does some of the most ridiculous beers out there when you want to go back to something simple. I had many summer nights drinking this beverage and looking forward to a couple more.   
look: 3 | smell: 3.25 | taste: 3 | feel: 3.5 | overall: 3.25 People like to hate on Budweiser, but it ain't bad. Not at all. It can be quite refreshing and you can get drunk for cheap. Taste isn't bad. It's mild overall. A good basic American beer. Not my first choice, but I'd never turn one down.   
look: 2.25 | smell: 2 | taste: 2.25 | feel: 1.75 | overall: 2.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 The beer that the hipsters love to hate.Requires a brew master with extreme skill to produce such consistency at such a volume. I would love to talk with the brew master at Bud. If bud made a over hopped IPA and changed the lable to a picture of Wizard shooting lightning from his hands the hipsters would give it a high rating...that's if they dont rewd the fine print that says its made by Budweiser...   
look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 3.75 | smell: 3 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 2.75 Basic lager. Nothing more. At least I know what I'm getting when I drink it. A little better in draft if available. 
look: 2 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.25 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 2.5 | smell: 2.5 | taste: 4 | feel: 2.5 | overall: 3 
look: 2 | smell: 2 | taste: 2.75 | feel: 2.25 | overall: 2.25 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 2 | smell: 2 | taste: 3.25 | feel: 3.25 | overall: 3 
look: 2 | smell: 1.75 | taste: 2 | feel: 2 | overall: 2 
look: 3 | smell: 2.5 | taste: 2.5 | feel: 4 | overall: 2.5 
look: 2.75 | smell: 2.5 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3 | smell: 1.75 | taste: 2.5 | feel: 2.75 | overall: 2 
look: 3 | smell: 2.5 | taste: 3 | feel: 2.5 | overall: 2.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 2 | smell: 2 | taste: 3 | feel: 3 | overall: 2 
look: 1.5 | smell: 1.25 | taste: 1 | feel: 1 | overall: 1 Entirely overrated. 
look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Easy drinking and tasty! Bready with a short finish. Reliable taste and always reasonably priced. It's a shame that the beer scene has become so snobbish over the last several years. There is nothing wrong with liking this style or other beers with "less flavor". Each style has it's purpose and comparing a Budweiser to something like an Old Rasputin is ridiculous. There is a reason that this beer sells like crazy. In the future I think the rating category of price should be included. This is one of my go-tos. For those who think they're too good for macro brews, get off your high-horse and lighten up. Not everything needs to display how "sophistcated" you are. LIFE IS GOOD! CHEERS!   
look: 2.75 | smell: 2 | taste: 3.25 | feel: 3 | overall: 3 24 Oz Can poured into glass  Look - Most people know this but it is clear and yellow with lots of bubbles. Lots of soapy foam and some glass lacing  Smell - musty grains. Aroma is similar to an old metal bucket or something. Sweet buttered rice.  Taste - Very sweet and fairly basic taste. The rice comes through as well as some malt. Not much in the way of any hops or bitterness. It's not offputting in any way and drinkable although i personally get tired of the rice flavor after 1 or 2. Carbonation is medium-high. Refreshing when ice cold.    Overall, fairly straightforward beer taste, not gonna really wow anybody. It isn't the best beer in the style but its not bad. Would certainly drink it if someone offered me. I give this beer a C+   
look: 2 | smell: 2 | taste: 2 | feel: 2.25 | overall: 2 
look: 2 | smell: 1.75 | taste: 2.25 | feel: 1.5 | overall: 1.75 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 Worst beer on the planet, there I said it! 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 I NEVER drink this but had one today leftover from some friends. Not bad at all, holds a decent white head, and refreshing on a Sunday afternoon. Probably won't be buying it, but wouldn't turn one down. Better than most other American mainstream beer, and better than 1/2 the myriad of craft beers that are springing up with fancy a$$ names LOL.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.5 | overall: 2.75 
look: 2.25 | smell: 3 | taste: 2.5 | feel: 2.25 | overall: 2.25 
look: 4 | smell: 3 | taste: 2.5 | feel: 2.75 | overall: 2.75 
look: 3.25 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 3.75 
look: 2 | smell: 1.5 | taste: 3 | feel: 3.5 | overall: 3 
look: 2.5 | smell: 2.5 | taste: 1.5 | feel: 1.75 | overall: 2 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 3 What is there to hate about this beer? What is there to love about this beer? The answer to both these questions is nothing. Painfully average at best.   
look: 2.75 | smell: 2 | taste: 2.5 | feel: 2.5 | overall: 2.25 
look: 3 | smell: 2 | taste: 3 | feel: 5 | overall: 3 Budweiser: It's fine.    Moderate bitterness with a sweet finish, a perfectly serviceable thirst quencher. 
look: 3 | smell: 2.5 | taste: 4 | feel: 3.5 | overall: 4 How ironic my first review is Budweiser! For 20 years I've consumed almost nothing but craft beer and traditional imports - most notably Belgians, but also plenty of English porters/stouts and other dark, rich, endlessly satisfying more costly selections. What inspired me to review Budweiser was my weekend with friends and NO access to the beers I was accustomed to. There was plenty of everything you see on TV: Bud Light, Miller Light, Michelob Ultra. And since this was a *sophisticated* group, one cooler of Corona! (sorry for the sarcasm). I really didn't want to partake of any of those, so I drove to the local mart and grabbed a 12 pack of Budweiser in 12oz bottles. I soaked them in a cooler full of slushy ice for about 3 hours, and as we began preparing dinner I popped open my first Budweiser in a quarter century. As the glass tipped and the yellow/golden-clear American classic crept up the glass toward my mouth I sort of braced myself, reflecting on all the Cinq Cents, Corsendonk Pale, Westmalle Tripel, and Founders Oatmeal Breakfast Stouts that had conditioned my palette in 2018. Is this going to suck? Will I have to drink horse pi$$ all weekend?     As that ice-cold, crisp, rise-based nectar hit home my first impression was..."WOW!! That is GOOOD!!" and then I waited on the "bad"...the *something* that I was certain would arrive and justify and clarify all the hatred and derision this beer has attracted among my craft-beer-addicted buddies. There *had* to be a reason my friends snubbed their noses and chuckled as they passed the Anheuser-Busch section in our favorite beer stores. "I'm ready for it," I decided. But....the *bad* never showed up! This $.80 beer finished with the same clean, crisp (damn...now I sound like a beer commercial), refreshing, and TASTY character it started with! As I finished that sample, then another...I could reach no other conclusion than I was drinking a DAMN GOOD beer! No, it's not "complex." It's not "rich." There are no "notes of pine" or "hints of orange peel" or "texture of fine Swiss chocolate" or "subtle aroma of peat or almonds." None of that whatsoever.     What there is, though, is gobs of good, clean beer flavor without any lingering aftertaste. Recently I heard a craft beer aficionado refer to Budweiser as an "example of the watery crap Americans want these days" - embarrassingly unaware that Budweiser was formulated in the 1870s. I'm not saying they got everything right. But they got very few things wrong. And for my $.80 Budweiser is an absolute slam dunk!   
look: 2.5 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 1.5 | smell: 1.75 | taste: 1 | feel: 1 | overall: 1 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Good all around beer for the money. What can I say its Budweiser "King of Beers" 
look: 3 | smell: 3 | taste: 2 | feel: 1.5 | overall: 2 
look: 3 | smell: 2.5 | taste: 2.5 | feel: 2.25 | overall: 2.5 
look: 2.5 | smell: 2.5 | taste: 1.75 | feel: 1.25 | overall: 2 
look: 3 | smell: 2 | taste: 2.5 | feel: 3 | overall: 2.5 
look: 3 | smell: 2.25 | taste: 2 | feel: 2.5 | overall: 2.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 For an AAL beer, this is the king of beers. Nice smell, a great taste, and a nice, clean finish with no weird aftertaste like High Life or PBR. Bud has a stronger flavor, not near as watery as a light beer, but still light enough to be a great session beer. Just picked up a 12 pack for $9, so a decent price for a quality beer. Ignore the stuck up beer snobs and grab yourself a Bud!   
look: 2.25 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 2.75 Today I hit that strange milestone in life and had my first, plain old budweiser. It was exactly what I expected, a beer. Tasted and smelled like its ingredients and felt super refreshing on a warm summer night, even if it was the closest thing to water i've had in a beer. I'd never pick it normally, but if offered I'd happily crush a few.   
look: 2.5 | smell: 1.75 | taste: 2.5 | feel: 2.5 | overall: 2.75 
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3 In the spirit of America I bought my annual six-pack of Budweiser in cans. In a deep ice chest that sat for 5 hours bringing them down to optimal consumption temperature (ice fucking cold).    Pours the color of beer. Head towers for about a good minute or so then reduces down leaving random splats around the glass as I work my way quickly through the glass.    It is incredibly important to not let Budweiser warm, to any real degree. In its ice cold state there is nothing wrong with this beer. No major flaws, but also not much to contemplate.     I wouldn't make this beer more hoppy. I do wonder what it might taste like without rice - but I'm not entirely convinced it would be better.    I finished the sixer over two days. See you next year, BUDdy. You still have a friend here in NY.   
look: 2 | smell: 2.5 | taste: 2 | feel: 2.25 | overall: 2.25 
look: 2.75 | smell: 2.5 | taste: 3.25 | feel: 3 | overall: 3 
look: 3.25 | smell: 2 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Bud is a pretty good adjunct lager, very light in flavor but drinkable-especially in the summer, I like the fact that it has good ingredients and no preservatives.   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 king of poor beers that are like beer looks like water with coloring in it. 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Above average all around. Not a terrible beer. Just not one of my favorites. I do get it every now and then. So it’s very drinkable. Usually wind up having one at a bbq. Cheers. Update: Had Budweiser on tap for the first time last night. So good. Cheers again.   
look: 1.25 | smell: 1 | taste: 1 | feel: 1.25 | overall: 1 
look: 3.5 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 2.75 This is what it is and there's a place for this beer. My brother-in-law calls it an appetizer beer, one that you drink to quench thirst before enjoying something else. It won't spoil your appetite before you dive into hops, alcohol and Belgian sugar. Also when you're fatigued by such things. Anyway, I haven't rated this so : palest yellow, cereal hop smell and taste, light refreshing feel. If rather have a kitsch or helles, but I'm not pouring it down the drain.   
look: 4 | smell: 3 | taste: 4.75 | feel: 3.25 | overall: 4.25 Very underrated IMO. Refreshing and not a bad taste at all. 
look: 3 | smell: 2.75 | taste: 2.5 | feel: 2.25 | overall: 2.5 Average lager, despite the hype and advertising budget. Pours clear golden with thick airy head, aroma is faint cereal, taste is more cereal and almost no hops. Refreshing, but not much else to say in the way of flavor.   
look: 2.75 | smell: 2.5 | taste: 3.25 | feel: 3 | overall: 3 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 This is a classic beer. One of the most American beers of all-time. I honestly like it, but it's average. It has quite an average taste. It's a truly an average beer nowadays. I'll drink this whenever there's no beer I like it at a bar. It tastes surprisingly good on tap!   
look: 2.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 2.75 I'm not sure why this has such a low rating compared to other beers in its category. It's a pretty decent well rounded lager, I'd even put it in the same league as Coors banquet. Light years better than bud light at the very least.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 2.5 | smell: 2.5 | taste: 3.5 | feel: 3 | overall: 2.75 
look: 3 | smell: 2.75 | taste: 3.25 | feel: 2.75 | overall: 3.25 What to say about the self proclaimed King of Beers? It’s not a horrible beer. It’s just far, far from the best. It is what it is. Lots of rice and cereal grain flavors. Very little hops character. A classier party beer for maximum consumption. Float trips, concerts, sporting events. Good ice cold on a hot summer day. A good Hefe is better though.   
look: 2.5 | smell: 1.75 | taste: 1.75 | feel: 2.5 | overall: 2.25 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.5 
look: 2.75 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 3 
