look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.25 | feel: 4 | overall: 3 Look: Clear, deep ruby with a nice off-white head of foam. A little visible carbonation.     Smell: Strong hops, with a little toffee sweetness.     Taste: Sharp hops, overpowering much of the rest of the drink with bitterness.    Mouthfeel: Average thickness and carbonation.     Overall: As usual, West Coast brewers fail to let a beer’s complexities stand alone without completely covering them in hop bitterness.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Very nice ale. Would never turn it down. Nice hoppy flavor and a nice finish. Good on a hot day. 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 3.5 | taste: 3 | feel: 4 | overall: 3.5 
look: 4.25 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75 The Original Arrogant Ale!! 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 2 | taste: 1 | feel: 3 | overall: 2 I know IPAs are an acquired taste for the most part. I am pretty adaptable when it comes to different types of beer, but this beer is basically undrinkable for me. The "bitterness" that hits you in the beginning, I can only describe as the taste that hits your tongue when a woman has been spraying hairspray in the air!   
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 A: Pours up a deep mahogany color with a luxurious, creamy three finger, beige head. Nice lacing.   S: some slight grainy notes right off, followed by some caramel malt, very grainy, not really getting any hop aroma in the nose.  T: immediate munich, vienna and caramel malts followed by a pleasant clean bitterness, I cannot stress how grain forward this beer is, the hop profile is not; to my palate; particularly distinct however, opting for bitterness before any real flavor, though some slight piney, resinous notes do creep out as the beer opens up, along with some slight peppery flavors. I also noticed later some berry notes coming out through the malt.  M: Just the right amount of carbonation, with a medium body that feels slightly sticky.  O: This was not my first experience with this beer though it may as well have been, since it has been such a long time since I had tasted it. I have to say, I don't really like stone, and I think this is by far the best stone beer I've ever had, that being said I don't love this beer either, it's very nice, and I do quite like it, but I don't love it. It manages a real lack of personality in the hop department with a good amount of grace by having an exceptionally curated grain bill. This is definitely an important beer, and an interesting relic of another time not so long ago, that being said there is still much to enjoy here, and I for one hope that the approach of the earlier craft breweries like stone is picked back up by the younger generation soon.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 3.5 **  07/26/2018    I know I've had this many times before when it was still Stone; but 'ticking' and rating it here to make it official. I never liked this beer all that much or the tagline of "you're not worthy" or the arrogance of the description. I know, it's supposed to be Arrogant b/c of the name, but it still rubs me the wrong way, Yes, it's got a good amount of bitterness and it's in your face and it doesn't try to smooth that out in any way, but something about the approach turns me off.     That being said, I learned to like Stone much more sometime after this when their IRS and regular IPA and things like Xocoveza became available near me. Also, given some time to cool off from being deemed "Not Worthy", I can look at it with some perspective.    Can to Snifter. (4/11/18)  LOOK: dark amber. medium beige head with excellent retention.  AROMA: biscuit and vegetable; leaves, hay.   TASTE: more biscuity/crackery malt upfront; wood and sap in the finish.  FEEL: medium body; excellent carbonation.    Still not a favorite of mine, but I'll give it props for some of the perepherials as it is well crafted. It is not for the light hearted.      **   
look: 4.25 | smell: 4 | taste: 4.75 | feel: 5 | overall: 4.75 The only downside to this brew is the fact that I can't buy it in a six pack. Overall it's a fantastic beer and one of my favorites. 
look: 4 | smell: 3.5 | taste: 3 | feel: 4 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pint can poured lightly into a 20-oz. mug. Brown/amber, ruby/amber when held up to light. Lots of carbonation, a light pour creates a rocky tan two finger head with sticky lacing that last throughout the drink.  Smell features piney hops and a mix of caramel malt and roasted malt.  Taste starts out bitter from roasted malt and hops. The middle taste is semi-sweet malt fattened up by the abundant CO2. The taste finishes piney and spicy from the hops plus a slight alcohol astringency.  Medium rich mouthfeel, lots of CO2 with a dry finish.  Big, malty, hoppy, the label braggery is over the top and so is this beer-in a good way.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 2.75 | taste: 3.5 | feel: 4 | overall: 3.75 Pours a clear but dark red/brown color with abundant head. Only slight carbonation. The smell is quite strong. Initial taste is sweet then the hops kick in to become bitter, and then a slight coffee dry finish aftertaste. The feel Is warming. Overall a good strong ale   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Not too shabby. I'd rather have something else but for something different, it's worth a try. I'll drink more based solely off of their "sales pitch" on the can.   
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Clear cola color, with tiny little bits floating around in it, and a big frothy light tan head. The aroma is mild, not as arrogant as one would expect, a little hoppy; The flavor is robust, strong, hoppy, with a bitter aftertaste; Mouthfeel is surprisingly smooth for such a strong tasting beer, with moderate carbonation.    The first time I had Arrogant Bastard was in a restaurant. The large bottle was past its drink-by date. I shared it; we enjoyed it. Later I bought a six of 16 oz cans. It was so arrogant I had to have a snack with it to sooth the aftertaste. Then I forgot about it in the back of the beer fridge and this one last can, the one I reviewed above, is way past its drink-by date. It's not my favorite ale, but it's not bad. I like it better when it's aged.   I get a kick out of the arrogance statement on the can. "This is an aggressive beer. You probably won't like it...." and on for two long paragraphs. What a hoot.   
look: 1.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 4.5 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 A: Pours a thick 2 finger head. Bright ruby red with nice carbonation. Beautiful lacing. Has to be one of the best looking beers out there.    S: Malt, caramel, some nuttiness. Slight hoppiness.    T: In your face. First the malt. Then the hops. And it doesn't let up as it finishes bitter. Flavor is complex, difficult to make out.    O: Drank it out of a can. I think the flavor has changed over the years, because I remember it tasting different a few years back. Still good, but doesn't quite live up to the memory. It's a good strong beer. Definitely need to be prepared for it.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Tough to how to say. The bitterness lead the taste. Mid Body. Many need some more bottles to describe detail and to decide the positioning. But no negative impression.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Great Smell. I Believe It Has A Fresh Holly Smell. Great Bitter Taste Just Perfect. I Would Say This Is My First Favorite Beer. Sorry To Say But For Those Who Gave A Low Rate For The Is Beer As It Says On The Container "You're Not Worthy"   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 A friendly 22 oz bottle from Albertson's joined me for this rating. ABA (which I nickname ODB) is my go-to for a cost-conscious ale. Great presence, nice head in my tall glass stein. Really a nice opening taste, resiny pine, some smoke, perhaps a hint of chocolate. One of my favorite ales, I always try to have a bottle on hand because you just don't know.   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 Look: poured from a 1 pint 3.2 oz can, purchased from Wal-Mart in Chapel Hill, NC for $2.53. Pours dark brown with a very slowly eroding 2 fingers of foam. Looks almost perfectly cartoonish— like Gaston’s beet in the animated Beauty and the Beast    Smell: yeast, malt, hops.     Taste: yeast, malt, hops, bitter, citrus. Delicious.     Feel: perfect amount of carbonation.    Overall: 4.5   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 2 | feel: 4 | overall: 2.5 
look: 2.5 | smell: 2.25 | taste: 1.5 | feel: 2.25 | overall: 1.75 
look: 3.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 had this beer only once enjoyed it very much very good and easy drinking with dark like amber color with clear tan rocky head with strong bitterness that great depth and quality.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 1.75 | feel: 2.5 | overall: 2.5 A- Pours a dark copper color with deep brown hues noted as well.....it is clear but it looks chill hazed straight out of the can. The head is caramel eggshell color in hue and the head starts about one finger in thickness, eventually settling down to a thick-ish film over the brew. The head is rather good, showcasing artwork that looks mountain like, and the carbonation is difficult to see, but with some close scrutiny, I see tight, lumbering columns of foam trickling to the top of the liquid.    S- This has characters of brown sugar, caramel and dark toffee, slight warm spice and molasses malt sweetness right up front, with balancing notes of fresh hop cones, slightly Earthy spices such as black pepper and thyme, and a raw grainy farmhouse quality. Alcohol tinges hit my nostrils with a slight ting but nothing to embarrass the brew. Rather nice overall!    T- This is intense overall, and I'm not sure what everybody is so enamored about to be honest. There is a huge blast of bitter hop immediately followed by big metallic astringency that hits all points of the palate, especially the back of the tongue. If I try really hard, I get some sort of malt character, caramel and not much else really....I find the alcohol content overbearing in this one as well......the bitterness lingers much too long and simply put it is rather off putting.    M/O- This has a medium body, full flavored with booze and hops and is a 'tad' over carbonated. I don't think this is very drinkable and I'm not on the bandwagon....sorry. I will pass on this in the future and think too much effort was put on the 'arrogance'.....I think the brewery was too full of themselves on this one.   
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 Man.....I hate this stuff....but nothing reminds me of my youth in San Diego more. Fools always wanted to get the ABA. Bastards! It's too bitter for me! lol...no it's OK. Not my style, as I hate IPA taste profiles, but well done. If I have to drink an IPA at gunpoint, this will be the one.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Poured from a 473ml can. Canned on 16/02/2018 enjoy by 16/02/2019.  over 10k in ratings not much i can add . A strong hoppy ale for sure great flavor with a kick.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.25 | smell: 3.5 | taste: 3.25 | feel: 3.75 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 3 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.5 | overall: 4.5 
look: 2.5 | smell: 2 | taste: 2.25 | feel: 1.75 | overall: 2.5 
look: 4 | smell: 4 | taste: 2 | feel: 2 | overall: 1.75 Aggressive grapefruit flavor 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 Bought a growler. Pours a nice dark amber with a nice head. Smells like a brown ale. Not overpowering smell, but hints of caramel and nut. Taste is not overbearing like some IPA's. Nice blend of raw brown ale taste and molasses. Very drinkable and not obvious alcohol. Great beer!   
look: 4.5 | smell: 3 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 3.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 16oz can best by 4/28/18. Pours a reddish-brown with a finger of tan head. Smells of alcohol and molasses. Medium feel. Taste is earthy, an almost black tea-like bitterness. Distinctive, but a bit harsh.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 2.75 | taste: 2.5 | feel: 3.75 | overall: 2.75 Not dogging the body because trust me it's there. But to me this tastes like alcoholic celery. And I'm not a fan of celery .   Just not for me. 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.75 | overall: 3.5 Poured into stemware.    Appearance: Slightly opaque ruby with a short cream head.    Aroma: Booze. And dark fruits.    Taste: Plums, raisins, dried figs. And booze. Lots of booze. Bitter backing.    Mouthfeel: A sipper, but not super harsh.    Overall: Eh. People love this stuff. I just think it tastes like a boozy raisin.   
look: 4.5 | smell: 4 | taste: 3 | feel: 4 | overall: 3.25 Went down pretty smooth with a pretty classic ale, if a little muted, ale smell. Reddish-brown body, a little hazy, fun packaging. The aftertaste is the only real flaw since it's dry, astringent, and more bitter than the initial taste.   
