look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 (2019)    A: Pours a light copper-orange when held to the light. Has a quickly dissipating white foam head.     S: The honey actually comes through a little bit, along with a faint floral aroma.     T: Overall, the taste is a balanced mixture of the quintessential west-coast floral/pine hop profile and a dollop of honey. I like the addition of honey, as it provides a unique alternative to the "malt backbone" that other DIPAs have. In particular, the flavors I get on this beer are sweet grapefruit, pinecone, honey, orange pith, and a dank oily hop presence.     M: I'd say this is on the heavier side, but with enough carbonation to balance things out. It's obviously not stout-like.     O: Wonderful beer. To me, Hopslam's flavor has a story: it's a beer that once was a typical west-coast DIPA, lost in the sea of millions of the same style. But then, somehow, it got bit by a radioactive bee and turned into a super honey-infused west-coast DIPA that saved the city.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a very hazy amber color with a thick foamy head. Head retention and lacing are both excellent. Aroma is light on the nose but get citrus, caramel, honey, and some pine. Very floral taste with slight caramel and honey finish. Bitter, slightly piney aftertaste. Slightly astringent. Light to medium bodied with moderate carbonation. Very well balanced. Slightly boozy.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 This is perfectly hopped and ends with a subtle honey taste. Very balanced and absolutely delicious! 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 It’s good, but worth the hype? No. 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.75 12oz can. Brew date 01/07/19. Poured into English pint glass.  Very light copper hue with a touch of gold. Thin white head disappears to just cover the surface clinging to glass.  Pine hop scent with a citrus chaser.  I am an IPA novice so I prefer a bit less on the IBU scale. This beer lands right in my wheelhouse with a bite of hop with a smooth slightly rich yet clean taste and finish. The 10% is nowhere to be found giving it an insane drinkablity.   Just enough fizz to tingle the tongue with a easy medium feel.  Honey plays a part in this beer and for me creates a very unique imperial IPA that I very much enjoy.  I try to rate a beer as it is, not as it could or should be. Yes it’s expensive but well worth the cost, especially to share and surprise a fellow beer drinker.   
look: 1.75 | smell: 1.75 | taste: 1.5 | feel: 1.5 | overall: 1.5 Comes across as much cheaper ipa. I have always enjoyed bells two hearted. Hopslam was a huge disappointment. Taste was that of a much cheaper ipa. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.5 | feel: 4 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 This was a very very very good beer. For some reason, the huge honey flavor makes me think of it as more of a day drinking beer (maybe on a somewhat warm summer day on the beach) than something to drink at night.   
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 L- Pours a nice rocky two finger headed Imperial IPA with an amber-gold appearance. The liquid is all together clear.   S- Wonderful hop presence throughout. Grassy, piney, floral, and citrusy hops are all present. An extremely inviting aroma that is very sweet. Very little alcohol picked up, if any. For 10.00 that's insane.  T- The taste is extremely well thought out, and surprisingly refreshing for an imperial IPA. Citrusy and fruity hops make up for a sweet and malty flavor immediately. The flavor is abrupt, refreshing, and memorable.  F- Medium bodied, but extremely fresh and rewarding. Nice carbonation at the end.   O- Probably the best imperial IPA I have every had. It packs a punch alcohol wise, and you can't even tell there is any there... A bit dangerous I could say. But it's pretty astonishingly refreshing. The hop presence is lively and fresh, and it's as sweet as you could imagine. Altogether beautifully made beer. I loved every sip of it.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 I’m an imperial IPA snob....,and I like em with a bit more IBU.....but this one, I’ll make an exception, it’s a great dub IPA!    Excellent from start to finish.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Picked up only one can because of the price, but will definitely get more. Impressive!    Pours a very clear light amber with a medium head that lingers for a long time.   Smell: light, sweet, hoppy, dried fruit  Taste: stronger than smell. Good balance of sweet and bitter. Bitterness lingers on the palate but with rich flavor. Notes are honey, dried fruit, pear, floral, mild pine, and a touch earthy. At 10%, the alcohol is very noticeable. The honey adds a nice balance of sweetness that is not overbearing.   Mouthfeel is incredibly smooth and full-bodied.     Very nice IIPA! Definitely worth looking for. Price tag is high, so good for special occasions.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 5 | overall: 4.25 Looks quite beautiful, with an off-white pinky of foam and generous bubbles rising. A deep amber on this beer, nearly verging on a red ale's color. The head dissipates at a moderate pace, leaving behind bountiful lace. On the nose it's round, sweet, and spicy. Milder than I imagined, but altogether supremely well balanced. A cacophony of flavor from the get-go, with the best texture to a beer I've perhaps ever tasted. Utterly creamy and decadent, with significant grassy and malty notes to go around. Strong taste of weed, much like a Stella has, but with a good wheaty kick at the end. The beer keeps on giving, with something new to taste every sip. Ultimately, I will have to drink this with food. There's simply too much flavor to stand on its own, and I'm getting overstimulated with each taste. If this is your jam, pick up this beer. It's really something, and I'm terrifically impressed by Bell's yet again.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.75 Remarkable double IPA. A very smooth, crisp ale that does not overwhelm you with bitterness from the hops. Bell’s came through with a wonderful ale. I recommend trying it if it is still available near you! I missed it in January of 2018 in Nashville, TN because it sells so fast!   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 I really enjoy this beer. This year's batch is just as good as last. A nice malty, sweet flavor without overpower hops. The flavoring hops and bittering hops are balanced nicely with the sweetness. Just an overall GREAT beer   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 Coppery pour with a rapidly dissipating, two-finger head. Nice lacing. Hoppy nose with pine and sweet orange. Well-balanced flavor, with both the piney, hop bitter and sweet malts making strong plays but somehow not overwhelming each other. Pretty smooth and a sneaky pete at 10% ABV. My first Hop Slam and it's a winner.   
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 Coppery pour with a rapidly dissipating, two-finger head. Nice lacing. Hoppy nose with pine and sweet orange. Well-balanced flavor, with both the piney, hop bitter and sweet malts making strong plays but somehow not overwhelming each other. Pretty smooth and a sneaky pete at 10% ABV. My first Hop Slam and it's a winner.   
look: 4.5 | smell: 5 | taste: 4 | feel: 4.75 | overall: 4.75 A great dipa! Got it recommended to me by the manager of my favorite beer store and it did not disappoint! 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.5 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 We finally got Bells here in Vermont. This one is a dark copper color with a huge, chunky head that coats the glass and sticks around. Aromas of citrus, pine and some fruit. Taste combines some maltiness with citrus/pine and a bit of bitterness on the finish. Mouth feel is medium-heavy, but not overly sweet or heavy for the ABV....still pretty drinkable. Overall, a pretty good high-octane DIPA.   
look: 3.75 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 3 This beer simply isn't that good any more. I don't know if they've changed it or if the increased availability of good IPA's has set it back several notches? I used to covet this beer and the last couple years I bought a six pack soon wished I hadn't.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 3.75 | taste: 5 | feel: 4 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 Outstanding beer here. Not overly complex but very well balanced. Punches weigh above it's weight class with 10% yet dangerously well hidden. Reminds me alot of Fort Hill Jigsaw Jazz out here in Mass.   
look: 4.5 | smell: 4.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Outstanding. This is gold standard against which all other IPAs ought to be judged. The perfect balance of hoppy and bitter while not being too heavy. Founders Centennial (0/5) and this beer (5/5) represent two opposite ends of the IPA spectrum, stock up while you can.   
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 Really late to the party here as Bell's only started NJ distribution in the past year. Hopslam is amber in color, the pour yielding a nice two fingers of foam that sticks around. Tons of lacing. As IPAs go, this isn't super aromatic. It's very floral, and that's backed up by some ripe stonefruit notes. There's a very solid malt backbone underpinning the flavor profile. Pretty high in sweetness / residual sugars as something labeled an "IPA" goes, though not out of character for a 10% ABV monster. A touch of lingering hop bitterness on the finish. As a strong ale that's hoppy but with a pronounced malt sweetness, I could see this maybe being recategorized into the somewhat nebulous American Strong Ale style.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 Smooth double with great aroma. 
look: 3.5 | smell: 1.5 | taste: 1 | feel: 1.25 | overall: 1.25 Another over-hyped beer that just does not meet expectations. It looks awesome, smells hot and tastes like a sweet/ hot malt bomb - I detect low levels of hops and very little bitterness. I got (2) fresh cans from a co-worker canned 01/17/2019 - so glad I did not shell out $20 USD for this...I will power through them and then move on to some good beer..like Founders Centennial.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 On tap at Verona Inn. Pours a golden, effervescent hue with moderate frothing. Assertive aroma replete with hints of citrus and grapefruit. Similar overall flavor profile.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 Had this at my favorite Growler place...GROWLER GIRZ(draft)  This is so EASY TO DRINK,yet a 10% AVB!  Nice taste,backed by fruity smell,with a great balance of malt to hop.  A very fine "west coast"style...no negative in that...more pine & citrus than over powering hop & malt.  Very clear golden,amber color...not hazy at all! Try this one,but watch the high octane if out and about!   
look: 4 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 MA resident coming to the party waaaaay late.     Scooped up a ~10 day fresh can from the local cooler. Poured golden liquid into a glass and watched it rest beneath a puffy white head. Looks the part of an excellently crafted non-hazy IPA, for sure - more clear than cloudy, equal parts amber and honey-gold.    Aroma is ruby red grapefruit, caramel, honey, pine and orange zest. Wonderful balance considering the double-digit ABV. Taste is right there with a touch of honey-sweetness followed by an subtle earthiness.    Smooth as all get-out with reasonable alcohol heat. The feel and surprising drink-ability are its greatest strengths.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 Clear dark copper colored pour with a white head. Light aroma of caramel and honey. Taste is very bitter with floral, pine, and stone fruit flavors backed by a hint of honey. Medium bodied.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 Very good IPA. Strong hop flavors and a good blend. The aftertaste has a bite but it's not repulsive. Its smooth with small floral notes hidden in the hops.   
look: 5 | smell: 3.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 It has tons of citrus and floral hop notes in the aroma. Then the flavor hits with loads of white grapefruit, tangerine and bitter floral hops over pale malt. The finish has some warmth from the alcohol and lingering hop bitterness.   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 From the can (packed 1 15 19), it pours a lovely clear amber color with a large, thick head that leaves lacing as you watch. A large amount of hops in the nose, primarily citrus stinging the nose. The mouth is pineapple with a solid malt base. Easy to drink - at 10%, it is pretty dangerous.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 Pours around a 6 on the SRM color index, two fingers of creamy/foamy head in a Spieglau IPA glass. Smells very earthy,fresh cut grass,fresh hay,raisins. Taste incredible fresh hops,some pine, with a very nice malt bill, that very smoothly hastens the sharpness of the hops. Feels luxurious and well crafted.Nice carbonation, whipped cream like head. I did not believe all of the hype , this is an excellent example of an East coast IPA.   
look: 4.75 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Absolutely delicious. So easy to drink, you would never guess it’s 10% abv. Ridiculously smooth and drinkable. My new favorite beer. The highest review I’ve ever given.   
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 a: clear, dark amber color with some real rich caramel notes. 1.5 finger fluffy white head that fades to about 1/2 finger as i'm typing this    s: pineapple, orange, sweet & tangy grapefruit with a juicy punch upfront that makes the mouth water. there is a large biscuity malt backbone behind that, with a hint of subtle caramel. more juicy orange & orange zest, along with a hint of pine. something slightly floral in the aroma here as well    t: sweet and bitter grapefruit upfront, as well as a big punch of sweet caramel malt and honey. pine and sticky resin behind that, as well as a mild herbal tea leaf bitterness. more bitter pine and sweet malts. grapefruit & orange zest towards the need as well. definitely some alcohol tinge in here towards the back of the tongue as well    m: heavier side of medium, very sticky mouthfeel. medium carbonation, with some nice effervescence on the sides of the tongue    o: this is a serious DIPA. it's heavy in flavor and not shy. the bitter is balanced out by some sweet malts & definitely the honey. the way a DIPA should be. no faults in this beer at all. the price tag does seem a bit steep, but people are paying more for 4 packs these days, so it's probably at a fair level for a DIPA   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 Hopslam 2019  Great WC IPA  Well made beer. Fresh lots of hops. Abv so well hidden ( comes out as it warms). 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 Canned on 1/10/19    Pours a deep golden burnt orange with a steady white head; higher level retention eventually leaves a formidable wall of semi-thick lacing; a clear, exceptional-looking nectar of a beer.    Aroma brings concentrated notes of ultra-dank pine, herbal sweet malts, pithy grapefruit, a pungent forality, and dank citrus rind; more of a hop-malt balance upfront here, with the bouquet hinting toward an underlying intensity.    Taste hints of dank citrus rind with an intense stream of raw hop resin coursing through the center of the profile onward, and touched by hints of honeyed malt toward the back end; intense, bitter, but excellently balanced by the honey.    Mouthfeel shows an incredibly smooth medium body topped with creamy carbonation; prickly and hugely refreshing resinous tones from the hops build throughout; primarily dry near the finish, but with an almost syrupy slickness faintly in the background adding some depth.    Excellently-crafted heavy hitter of an older style IPA; impressive in its balance of both flavor profile and mouthfeel, as well as a finely-tuned, condensed hop intensity. Spectacular drinkability for a 10%er, too.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 beautiful looking beer, glowing clear color bright white head that is fluffy and leaves good lace. pretty light aromatics but very pleasant aromas of pulpy OJ, grapefruit peel, lemon, grassy and slightly floral, sweet honey malts, hint of tropical mango and pineapple quality. on palate is a strong malt sweetness, honey fruits, pine needles soaked mango, plenty of pulpy slightly acidic orange juice, grapefruit peel and herbaceous pithiness. the beer is a little boozy, and can be rough around the edges. i enjoyed it most at a cold temp, as is the case for most high abv hoppy beers i drink. overall a decent offering... gets a little too boozy and harsh as it warms.   
look: 3.25 | smell: 2.5 | taste: 2.75 | feel: 3.25 | overall: 2.75 Not impressed. Hop character is completely buried. Not in line with a beer called "hop slam". Honey provides a little character but the beer drinks much too boring, modest, humble for a 10% beer. For 10% and the $20 price I expect it to taste exciting and indulgent. It doesn't. Waste of money.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 Here goes nothing. The highly-vaunted HopSlam finally flows into my glass via a can dated 1/9/19, meaning that not only did Bell's recently get distribution in New England, but they're paying extra-good attention to the dates they get stuff out here by! Now that is how you treat a new market... I feel very lucky to have this beer right now, that's for sure. I've heard so much about it, and now it's finally time to sink my teeth into it.    Pours a slightly-hazy medium-amber/golden color with no notable hop/yeast particulate in the body. Head builds up to about three fingers at first, but eventually it settles to about a half-finger with soapy lace show and medium legs. Surface is pretty much covered in the same foam, but a little less dense. A fairly good pour with an air of classiness to it. It's not crazy, but it's not boring or underwhelming. I approve!    The nose reminds me a lot of Sierra Nevada's Hop Bullet, and maybe I'll get some hate for comparing an older beer by a much-loved brewery to a newer IPA from an even-older, maybe-more-well-liked brewery, but that was the first thing that came to mind. Strong tangerine/grapefruit and lemon verbena notes with some catty dankness and pine resin. Slight peach/nectarine with a little suggestion of the honey they used in this one. I have had some excellent honey-infused IPAs over the past year or two, and this is definitely the godfather of such an idea, and it deserves to be appreciated for that! That said, I would like this to be a little more aromatic than it is... it doesn't jump out of the glass quite as much as I'd prefer.    On the other hand, the flavor profile is sticky and super-satisfying. I get a bit of citrusy juiciness right upfront combined with some suggestions of stone fruit, grassy hops, pine-resin stickiness and pithy bitterness toward the finish. The honey is prevalent here, surprisingly enough. It really punches through the semi-heavy body and gives a nice balance to the proceedings. I was assuming it would totally be fermented out, but I was proven wrong... light florals and herbal elements definitely congeal in the mid-to-finish of each sip, lending a very full bodied and complex flavor to this classic. And I now understand why it is considered a classic. It may have been the first commercially-distributed triple IPA, after all. Why isn't that a style on BA...?   
look: 4.75 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.5 Pours an amber light haze with a solid head and great lacing. Smells of great citrus, pine and light malt. Taste is too smooth for the novice. The booze is totally hidden in the great beer. Packs quite the punch at 10% but overall this is a Top tier DIPA that you should buy in quantities when you can find it.   
look: 4.75 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 A: Pours a copper color with 2 fingers of head that fades down to a nice cap    S: A good mix of citrus, floral, and fruity hops along with a light malt sweetness    T: Follows the nose. Starts off with the citrus and floral hop notes and then picks up some of the residual sweetness from the honey and a bit of booziness. Finishes with lingering grapefruit and floral notes    M: Medium bodied with moderate carbonation    O: A great DIPA that is far too easy to drink for being 10%. One of the classics for a reason   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 2019 batch. 9 day old can! Poured into a tulip pint glass.   Look : Crystal-clear, deep amber color with a white head that settles into a cap and retains for quite a while.     Smell: Resinous and somewhat dank. Primarily lemon zest, but also some orange and grapefruit on the tail end. Some booziness.    Taste: Sweet honey and resin upfront, a little grass. Grapefruit, some sweet citrus and pine, a hint of lemon. A touch of breadiness to balance out the sweetness, but I know it'll only build as this beer gets older.     Feel: Drinks super light right now for 10%. Semi-oily and smooth, clean finish but not dry.     Overall: This beer is really nice when super fresh. Stands out from the rest of today's DIPAs with its huge honey sweetness, doesn't veer towards the pine bomb WCIPAs that much or NEIPAs in the slightest. Still a winner 15(?) years after batch 1, at least when fresh. I remember standing in lines for this bad boy, now it's almost always readily available when in season. Drink this fresh unless you want a pseudo barleywine!   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Holy Toledo Batman!   Talk about being in the right place at the right time! Never heard of this and didn't know that it was only once annually.   Worth.Every.Penny.  This was truly a hoptasticalicious adventure!  Bright and hoppy, smooth as silk.  Instant love, a PERFECT IPA!   I would totally recommend this to anyone!  Yum!   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 5 | taste: 5 | feel: 4.5 | overall: 5 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 12oz can poured into a globe. One week young at the time of consumption!    A: Deep Amber color with good clarity. Rocky white head retains well. Clumpy lacing.    S: Candied lemon, sugared white grapefruit, orange pulp. Grassy with a bit of an earthy/herbal tone too. Clover honey. Caramel and pound cake.    T: Green and oily up front with soft herbal tones and perhaps a touch of scallion. This soon transitions to full blown citrus. Bitter white grapefruit, lemon peel, pulpy orange. Bitterness is firm and clamping, reaching its apex on the back end. Honey, caramel, and pound cake sweetness help to keep it tethered. Brush of alcohol. Honey, orange slices, and some firm bitterness on the finish.    M: Full body with a chewy feel. Definitely some residual sugars. Some heft, but it isn't too weighty. Hop astringency grips at the tooth enamel a little bit.     O: A one-two punch of honey and malt sweetness and citrusy and green hop bitterness. It hits it's balance perfectly. A big beer, but not too hard to drink. This used to be an occasional treat in the rare instances I came across it in my travels in years past. Now it's available in my home market, with impressive freshness! Score!   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
