look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Picked up a bomber at Binny's in downtown Chicago on 5-11-18 for $11.99. Bottled on 4-13-18. Stored in the beer fridge upon our return to PHX.    Beer poured golden orange with a very nice white head that has some great hang time.    Nose is fresh citrus forward, very nice.    Taste is grapefruit and orange forward over a large malt body. Finish has a nice medium touch of rind to let you know this is an IPA.    Mouthfeel is light to medium bodied, very refreshing yet very smooth.    Overall a very good double IPA! Back before the craft beer explosion this was one of those holy grail beers and i am happy to finally try it many years later!   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 L- Has much the same look as the golden beers. Slightly cloudy, but transparent towards the edges. Beautiful to look at, especially with a perfect pour.    S- Not to give anything away, but the beer smells delicious, just as the beer does itself. I think the sight of the beer provides you with an anticipation of whats to come.    T- It's technically an imperial indian pale ale, but it has a unique flavor that has been very seldom overshadowed, IMO. I would highly recommend this beer for something not TOO boozy, but as tasty as it gets.    O-I can see this going to become one of my go to beers when I'm the midwest. I live in the W US, so these are seldom available to us. Hell, just buy a few kegs and make it last a while.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 A-Pours a very nice light amber color with a generous head and lacing  A-Aroma has abundant hoppy hints  T-The taste follows the nose with a resonating hoppy flavor  M-A medium bodied excellently carbonated beer with a very nice bitterness  O-A very well balanced beer with a very strong kick   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 From tasting notes 10/14/17  Had on-tap at 3 Floyds Brewing in Munster, IN    Appearance - Served in a 10oz nonic glass, slight haze and golden orange in  color with a white, solid layer of suds across the surface that thickens around the edges. Lacing coats the glass in massive amounts of broken sheeting.    Smell - Strong citrusy aroma that hits on both grapefruit and orange notes. Faint breadiness. 4    Taste - Follows the nose. Orange upfront with a light grapefruit bitterness. Hints of toasted bread and, once it warms, emerging caramel. Light, lingering grapefruit pith notes.    Mouthfeel - Medium-bodied with light carbonation. Slick, easy drinker with a slightly watery finish.    Overall - An easy drinking DIPA that sacrifices full flavor in favor of drinkability. I much prefer a more complete flavor experience, but to each their own.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Pours dark honey color. Nose reminds me of a barley wine, malty and bitter hop notes. Taste is bitter, citrus, stong malt notes. Mouthfeel is medium, foamy. Tasty beer, thanks @ovaltine!   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 Copper colored with an inch of frothy and creamy beige on top. The aroma is a blend of gentle, piney hops and light crackery malt. I'm tasting plenty of orange rind and tangerine with intense bitterness. There's some light crackery malt to keep things from getting out of hand. The mouth is resinous and dry.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Poured from 22oz (650ml) bottle into glass. Bottle on date is '4-11-17'.  Somewhat cloudy, orange/amber body, persistent white cap and considerable lacing.  At its age, aroma is somewhat muddled, with citrus and peach noted.  Taste of mango, peach, and citrus, with caramel. Still very tasty. Good amount of bitterness but tempered by sweetness.  Fuller, mouth coating, slight syrup in the mouth feel.   Outstanding Imperial IPA. Will purchase this any chance I get. Hides ABV very well.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 Poured from 22oz bottle into Chimay goblet.    L - Clear-ish amber pour, no head.    S - 3 Floyds unique hop smell, pine, resin, grass, pineapple, tropical fruit.    T - Slightly sweet, strong piney hops, with a clean grain finish    F - Slick hop oils on the tongue, slightly dry at the end.    Another solid 3 Floyds DIPA. Crisp, with clean well-balanced flavors. Strong, but not nuclear to the taste buds.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 From @FFFjunkie's BIF box. Poured from 22 oz. bottle into 3 Floyd's pint glass. It pours a cloudy, medium amber color with orange hues, and an enormous, foamy, ecru-colored head and tons of lacing that persisted through the pour. It's really attractive. The nose is malt-forward with subdued tangerine, pineapple, resinous pine, and floral hops. This is delicious! The first thing I taste is fairly sweet malt followed by tart grapefruit and lemon. There follows sweeter fruit: tangerine and pineapple. As if that's not enough the finish is a battle between creamy caramel and fairly biting hops. The overall taste is complex and pleasing; the flavors all blend really nicely. The mouth feel is pleasantly creamy with moderate carbonation and with its 9.5% ABV and 100 IBU, it's not for the faint of hearted. Overall, this DIPA has it all: it's attractive bold, complex flavors, and a pleasing mouth feel. I'm enjoying it immensely!   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pours a slightly hazy golden orange with two fingers white head.   Smells of citrus, orange, pineapple, sweet malty presence.  Tastes starts with the juicy orange, pineapple. Finishes with a somewhat sweet caramel toffee like malt presence.  Very smooth medium body. Alchohol was very well hidden until it started to warm a bit.  Overall a really tasty brew!   
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Tasted from bottle. Pours a cloudy gold with thick white head. Tons of lacing. Big time aroma of citrus hops and some pine notes. Taste definitely follows the nose. Citrus flavors of mango and grapefruit with some piney floral notes. Very well balanced double IPA. Excellent sweet malt backbone. A nice clean bitterness throughout without the bite at the end. Hides the high ABV very well. Very smooth medium bodied IPA. One of the best for sure.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Illegible bottle date.     L - bomber pour into a tulip. Golden hazy orange with a pillowy frothy 2 finger head. Very inviting.    S - citrusy. Lemonade orange. Sweet and bready. Not overly exertive here though.    T - wow. Better than I expected. Huge on flavor. Dank, resinous, and at the same time malty and sweet. It reminds me of DFH 90 minute with its malty backend.    M - absurdly creamy. It's a milksstout of an ipa. Quite a bit of heat for 9.5%, almost tastes and feels closer to 12-13%.    O - There are many "top 250" beers that I don't agree should be there, this however, after my initial impression seems fitting. Like most all beers though, I'd prefer this in a standard format. Especially after digging into this and noting it's immensely filling nature. Good thing I have a bottle capper.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4 | feel: 4.25 | overall: 4.25 Pours slightly hazy honey orange with thin ivory head. The aroma is tropical fruits and pine. The flavor follows the nose, but I also get caramel malts and alcohol. A very thick feel for an IPA and overall a wonderful beer that I wish was available here in Minnesota. Thanks Tom for bringing this over.   
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 5 | overall: 5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 I poured half of this into a tulip and about the other half into a snifter. The appearance was a nice looking hazy to almost transparent looking golden orange to brown with a decent looking sediment rolling around and within the carbonation. The head is fairly a white to an off-white sort of fluffiness filling the top of the glass evenly and ends up leaving a decent sort of white foamy lacing all around the glass. The smell was an authentic sort of citrus hops to somewhat a nice caramel maltiness that doesn’t leave anything to be desired. It does what it needs to do. The taste was a pure bittersweet and does what it should to please the tastebuds in a very nice showing of citrus to caramel-ness coating them. There is a slight aftertaste of bittersweetness, but isn’t overbearing. There is a quick dry finish. On the palate, she sits about a medium with a sipper sort of sessionability to it. The carbonation is quite fulfilling and nice. Overall, I say this was a great DIPA, well worthy of having again.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 Pours a beautiful clear amber. Some slight lacing. Aroma is blueberry and slight pine. Taste is DANK as sh!+. Big blueberry taste with nice pine resin. Mouthfeel is warm but sticky. Great classic DIPA from 3 Floyds!   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Appearance - Pours semi transparent golden color with thick sticky white head. Excellent lacing.    Aroma - A big blast of pineapple, mango, orange tropical aromas.     Taste - Wow just a really juicy IPA, great mango, papaya, pineapple sweet tropical flavors. There is only a slight hnt of the alcohol just great taste.    Feel - Medium bodied well carbonated a touch of bitterness and dryness.    Overall - An excellent IPA no sign of the alcohol wonderful flavors.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 Mostly clear orange color with three fingers of off-white head that leave heavy lacing.    Light aroma with a definite floral and tropical element --maybe lychee, maybe mango, maybe papaya -- but delicate and perfume-like. The tropical note also gives a faint nutty, buttery impression which may or may not be due to the malt. It's pleasant nonetheless.    Definitely unique tasting, again with the tropical flower thing going up front. Maybe a little vanilla. A little strawberry. A twist of lemony citrus. And then some dull, tea-like bitterness on the backend.     It's medium to heavy bodied with some slight prickliness in the feel.    This heads in a different direction than most DIPAs. I'd love sipping this on the side of Kilauea. It reminds me of this cocktail I had in Volcano once with a Hawaiian flower in it whose name I just can't recall.   
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 bottled dated 4/11/17 
look: 5 | smell: 4.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Bomber poured into a teku glass    Two finger taupe foam cap, deep amber in color, good lacings    Good citrus aroma from the pour, juicy orange , tropical fruits    Good malt backbone over citrus hop taste    Well balanced, prominent hop bite. Hops linger on the back of the tongue    Good beer   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 Wow, Dreadnaught from Three Floyds, is an extremely good Imperial IPA (ABV 9.50%, IBU 100). I got it via a beer trade I can see on the price tag left on that the guy who bought it paid 12 bucks (or $11.99). Why do all prices end with 99 in the US? Anyway, if I had paid for it I certainly would have thought it was well worth the money.    Look: semi-clear to cloudy copper hue with a one-inch inch white head.    Aroma: it has a wonderful piney and fruity aroma.    Taste: There's some sweetness, toasted caramel, and lots of fruit, grapefruit, peach, mango, and lots of pine to top it off. Quite delicious.    Feel: medium body and carbonation and its juicy.   
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Poured from a bomber into a Teku glass. Huge citrus and mango aroma right from the bottle on the pour. A hazy orange color with a one-finger white head. Aroma in the glass has the fruit, and also malt - caramel and some toffee. Bitter orange marmalade flavor, mixed with tropical fruit. The malt is prominent with bread and a bit of caramel. Clean and dry on the finish.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 5 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 A 22 oz bomber (no date) poured into a TH tulip.     Look- A deep orange color with nice thick head. The lacing was spread out down the glass.    Smell- Some citrus and grapefruit comes through but the malty alcohol comes through.     Taste- Very hop forward with a nice blend of the citrus fruits. The alcohol is well hidden making this super drinkable for a DIPA.     Mouthfeel- Lots of carbonation with a nice crisp finish.     Overall- A fantastic DIPA without the boozy flavor you expect from a brew at almost 10% ABV. A fantastic change from the NE IPAs I have been drinking. Definitely get this one if you have a chance.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 L - pours a striking copper bronze. Reminds me of the last little bit of a summer evening sunset. Rich, boisterous head packed full of fluff and foam. White on top, tan on the bottom.     S - strong, penetrating aromas of candied peach and mango. Vanilla and resiny pine. Caramel malt.     T - pure hops. Earthy. Sticky pine and glowing flavors of orange candy and the gooey center of Milk Duds. Loads of malts and hops. Resonating bitterness clashes with the rich, frothy, sweet caramel candy.     F - like a candy milkshake. This is so decadent. There's definitely a syrupy booziness that is dense as can be. It's like it should be highly carbonated, but all those bubbles are densely packed together for what results in relatively low carbonation and a huge, thick, juicy body. Mmmm...    O - a classic that sets the standard for hopped up IPAs. Has the extreme malt character I love with an assault of oily, resiny hops. This is a big beer.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 It's ok.   Not overpowering, easy to drink 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 Bottle poured into pint glass; nice carbonation with modest head. Hops, grapefruit and malts to nose. Great peppery, resinous piney taste with hint of orange and other fruits. Medium body, well balanced. Peppery hops linger nicely on the palate.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 This has been a long standing favorite. It is really nice to have after drinking NE style for a while. It soothes the palate with toasted caramel and sweet cream after a nose and front end of intense pepper, vanilla and pine and overall hoppiness. Some may not like the heavy malt back end. But give it a chance. It is highly complex and pretty good by a fire right now. The malty sweetness is balanced by the creamy mouth feel.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 My brother turned me on to this....Thanks Bro' ! It was nice and hoppy with citrus and piney notes while blended in with a mildly balance of malty flavor. I like it better than 3FFF's Zombie Dust.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Translucent amber color. Aroma is hop candy, candied oranges, ripe grapefruit flesh with brown sugar on top, malt, and pine resin. Taste is orange, Apple, and honey on the front of the tongue. As it crosses the mid palate I get darker fruits like dates and dark cherries. The finish is orange peel and pine resin with hop bitterness. Also salt and pepper as it warms. This is a sweet, sticky beer that lingers on the palate, but the carbonation and light mouth feel keep it in check. It's going to be too sweet for some people, but I appreciate the extra flavors the malt brings out. Also quite drinkable for 10.5%.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 First had 6/5/15 at Three Floyds brewpub. The hop taste and aroma remind me of Victory Hop Ranch, which is my least favorite IPA. Although this beer isn't nearly as bad, they share characteristics that I just can't get behind. This was my least favorite beer on my trip to the brewery.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
