look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.25 12 Oz bottle poured into glass  Look - very dark almost black as expected. Medium foam head slowly fades, some excellent glass lacing  Smell - Mocha, lots of chocolate and coffee. A bit of caramel and grain.  Taste - Very bitter chocolate and hops. Creamy coffee and oats. Slight metallic flavor like cherries. It has a full profile, I personally don't think it goes down easy because it is filling. Carbonation is medium. A bit of alcohol warmth. I would like even more coffee flavor.    Overall, it's very good, bold flavor stout. It really is a great morning brew and i would like to try it a few more times to get a consistent idea of what it is. Grade is an A   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 So Glad this is distributed in Colorado now 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 Love this! Taking a suggestion from another reviewer and putting a few aside for a year(if I can stand it)! 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Fresh, these have a very strong dark, bitter chocolate and coffee nose and flavor. Let it rest a year and it’s a whole new experience. 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.75 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Coffee- chocolate flavors, a little roastiness from the coffee, but the oats definitely make it smooth, or so they tell me. Not too thick, easy to quaff, and it won’t knock ya sideways at 8.3%. A great anytime stout and you can pay more, but a better value won’t be found.   
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 3.75 | overall: 4.25 Excellent stout. The taste and aroma are both superb, but IMO drinkability is a bit too low, even for a stout. 
look: 4.5 | smell: 4.5 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Finally picked this up-not really my style-after seeing so many good reviews. And I can see how stout fans love this. Smells exactly like what it says it is. And tastes like it says it is. Beautifully balanced. Bit of bitterness up front with a bit of carbonation and finishes smooth with nice little taste of chocolate. Glad I finally tried.   
look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 Draught 8oz snifter at the Brass Tap here in Baltimore. Have enjoyed this many times before, but, apparently, failed to rate - My Bad! Hard to imagine a better looking pour. At almost half the price of the CBS/KBS definitely a worthy option.   
look: 4.25 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Black, opaque, with a tan finger thick head that persists.     Big coffee and chocolate  with hints of sweet malt - slight hint of hops.     Coffee up front leads to chocolate and hints of oatmeal. Great balance between alcohol and Malta.   
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Exceptional beer, great taste feel and presentation! Perfectly balanced between alcohol content, coffee, and dark beer. 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 Not a stout fan but this one may win me over. Nice choco coffee taste aroma that blows away most stouts I have tried 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Black black with tan head that leaves good lacing. Enticing aroma of coffee, with caramel, chocolate. The taste leads with coffee until it explodes into a great blend of dark chocolate and coffee. Fairly boozy and sweet, with a moderate bitterness that blends nicely with the chocolate for a real cocoa experience. Pretty thick and oh so smooth with moderate to low carbonation bite.   
look: 5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.75 Dark and strong. The chocolate and coffee come together very magically. Many chocolate’s are not as defined but this one is powerful but not overwhelming.   Highly recommend.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Dark as night. Big bold beer - gives a whiff of brewed coffee. Great stout with a hint of chocolate but not a candy beer. First glass was magical. I have a 1/6 keg mostly to myself....will update when I empty it (may take a while).   
look: 5 | smell: 5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.25 | overall: 4.75 Look - Dark Dark Dark Black.... light does not stand a chance getting through this one. I got a 1 finger head upon pouring from a Founders squatty 12 oz bottle. The head receded slowly and the lacing and foam ring stuck around the whole time. I can't imagine this one looking any better for a Imperial Stout.    Smell - Nice rich blast of coffee - not too dark of a roast of coffee it seems, but more of a caramelly medium roast. Smells sweet and dessert-like. A lot of Chocolate and a bit of caramel also come through.     Taste - There is a bit of a bite at first but I can't really determine if any come from hops or if it is from the heavily roasted grains and coffee. Somewhat sweet towards the middle, but dries out and gets more 'stout-like' towards the end. Pretty strong chocolate flavor - which is great as most 'chocolate' beers barely show hints of it. Coffee flavor is quite forward here, but not so overpowering that you don't get other flavors - this is very well balanced. Very complex - some wood, nutty, campfire notes fade in and out and increase towards the end. Awesome beer here!    Feel - This is a full bodied beer, but I was expecting it to be a bit thicker. I like my stronger stouts chewy. Can't fault them too much though, it is still pretty thick and rich - carbonation never completely gives out.    Overall - This beer is one that must be tried. Founders recently started distributing this way westward (Colorado) and this one was on my beer bucketlist. I'm very happy to have gotten the opportunity to grab a 4-pack and will continue to grab as many Founders' beers as I can.   
look: 5 | smell: 4.25 | taste: 5 | feel: 5 | overall: 4.75 The best damn stout I've ever had. The color is a deep black. It pours almost like a light chocolate syrup, with a dense brown head. The initial flavor really snags your attention and is... hard to describe at first. Good. Yeah, that's the word. Really delicious! Luxurious coffee flavor with a kick of spice, followed by an intense chocolate creaminess, roasty malt, a lick of dark currant, and warm hops. A myriad of bold flavors, all in perfect balance. The drink-ability of this beer is really impressive for the thickness... dangerously alluring. A perfect compliment to this cozy, dark holiday season!   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 2.75 | taste: 2.5 | feel: 4 | overall: 2.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Felt like I was taking crazy pills after my first sip, good stout but nothing to warrant the hype. However, as it warmed a bit all the flavors and smells came to life. Next one will be allowed to breathe for a bit, try it a little warmer than your normal beer temp and enjoy!   
look: 4 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Overall great beer, can't beat it. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Amazing beer! Mix it with Dirty Bastard for "Dirty Oats" and you will be amazed! Soooo good! This beer is dark, has a chocolate and coffee flavor, high percent, tastes great! Only possible problem is it is a filling beer but with the high percent you don't need to drink much!   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 This is the taste of fall for me. So many flavors throughout from the coffee that hits you right away through to the lingering chocolate that stays with you to the end. Unnecessarily excellent and I love the people that brewed this for showing us such a wonderful beer!   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 What a stout should be. Full flavored, robust coffee goodness that smacks you in the face. Nice alcohol presence throughout. 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Wow!! This is one of the best beers I have ever had. It poured dark brown into a frozen glass with a tan colored head. The aroma was of fresh roasted coffee beans. The front has a smokey cocoa flavor, however, it has a tinge of caramel notes. It finishes with full roasted coffee flavor. To quote Tom Cruise, "I'm In Love!" :)   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Poured from bottle (bottled on 9/4/18) into a snifter on 10/15/18. Inch of foam on top which took approximately 45-60 to dissipate. Color is black, srm 40+. Aroma is deep sweet maltyness. Taste is complete and full with extra chocolate, very limited alcohol taste as well. Mouthfeel is extremely smooth with mild carbonation and the last notes of flavor floating around just after completing the taste. Overall an Amazing beer.   
look: 4.75 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 Oil black body, one finger of tan brown head  Roasted coffee, cocoa, acorn, malts, rye  Coffee, malts, chocolate, walnut  Creamy  Decent beer. Not a huge fan of the style but it's good   
look: 5 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.5 Founders Breakfast Stout - 8.8%ABV- 60 IBUs. 12oz bottle dated 7/30/18 - poured into a snifter at slightly too chill.     Pours a pitch black, opaque shade. A hard pour yeilds a finger of cinnamon colored head, receding fairly quickly. Edit: Now that it's mostly gone (the beer), I can see that it's truly a dark dark brown. It looks like coffee concentrate. Deep brownish black, a brilliant sheen, and slick.    Nose is dark chocolate and a heavy hit of cayanne chili. Subtle notes of ground coffee beans and maybe some vanilla. The chili pepper is big though. There's a slight acidity that I'm guessing might be from the coffee that's in here.    Palate is huge bittersweet cocoa and java. Mocha. Finishing much more coffee than chocolate. I'm also getting a touch of that chili pepper, but not nearly as much as the nose would indicate. That hint of acidity translates, to a minor degree, to the palate. Like oily black coffee. It's sweet upfront, and then the roasty toasty comes in and cuts that sweetness in half. There is a slight bitterness to it that is a byproduct from the huge amount of dark roasted malts, rather than from hopping. The big sweet kick keeps that bitterness in check, and helps keep it moving without becoming unpleasant. For an imperial stout, I'd actually say the bitterness is on the lower side, but definitely expect a little more than your favourite 6ABV milk stout.  Warming up, that chili is coming back out, and it truly reminds me of Mexican hot cocoa with a pinch of coffee in it.    The mouthfeel is soft and silky. Rich, slightly viscous, with a nice mouthcoating quality. Thick outmeal character. Carbonation is low, naturally, having to fight through the heft and viscosity of this beer. It's nice and thick and chewy, as the style calls for.    Overall, this is very good. The alcohol is well hidden. The chili pepper note throws me off a tiny bit, but the sweetness works to its benefit. It's well rounded, and not too much of anything. There are stouts I much prefer, but all in all, this is definitely one of the better ones I've had. I'm glad I got to try this one, and it has quite a bit going for it (mouthfeel), but I cannot justify buying a 4 pack, and I can't quite call it world class. This is all subjective. I can see it being the holy grail for some, I guess I just prefer lighter milk stouts. Cheers.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 I am frankly incredulous that I have not previously reviewed & rated this beer! How did I allow it to pass me by for so long? I sought this one out even though it only comes in a Bottle while I am trying to eradicate my backlog. That is indicative of how important it is to me to get this one in.     From the Bottle: "Double Chocolate Coffee Oatmeal Stout"; "60 IBUs"; "The coffee lover's consummate beer. Brewed with an abundance of flaked oats, bitter and imported chocolates, and two types of coffee, this Stout has an intense fresh-roasted java nose topped with a frothy, cinnamon-colored head that goes forever."    I began by Pop!ping the cap & knowing that it was a very fresh bottle, I proceeded with a C-Line pour. Man, it came up quickly with a pseudo-cascade that formed two-plus fingers of dense, foamy, rocky, deep-brown head with excellent retention. Color was Black/Opaque (SRM = 44), allowing ZERO light penetration. Nose smelled like my morning coffee - a mélange of deeply roasted beans from different locales that I blend together each day & fill the basket to the point that the water has to be coaxed through the filter. Rich, strong coffee with hints of chocolate & smoke. Mmm. Mouthfeel was thick, full, rich & creamy, like a dollop of coffee-chocolate ice cream had been scooped onto my tongue. Mmm. The taste was at once chocolaty and coffee-like with a hint of smoke. Mmm. I have had this many times over, but always out in town, where I rarely do field reviews any more. It is always a treat, just like it was tonight. Loads of lacing formed as I drank through the beer, savoring every sip. I guess that I have taken it for granted in the past since my time with it for this review makes me feel like a born-again virgin. It was like I had never experienced it before, while I know that such was not the case. Finish was more chocolaty than coffee, so I am going to say that it was semi-sweet, but if you want to go with semi-dry, I am not going to put up much of a fight. This was a truly enjoyable experience.   
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.5 | feel: 5 | overall: 4.75 Full of roasty malty flavor this brew would be great for a cold quiet night. I especially appreciate its limited hop profile. So many brew are massively over-hopped nowadays but his one does not disappoint. Would recommend to those who like stouts but has a definite bitter bite that some won't enjoy. CHEERS!   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Notes: this beer was bottled five months before opening.     L- Pours a dark, dark stout with with a half fingered tannish brown head. Very frothy and very fizzy. Loses it's head pretty soon.  S- Chocolate, vanilla bean, molasses, caramel, oatmeal, and coffee all melded together. Wonderful combination of aromas.  T- I get notes of bitter dark chocolate, sweet vanilla bean, creamy oatmeal, caramel, candied yams, and bitter roasted coffee. A slight alcoholic bite is also noted.  F- Decently thick bodied beer. Wholesome with slight carbonation. Pretty much what you'd expect.  O- Overall an extremely well made stout. What did I expect? CBS and KBS are absolutely phenomenal and some of the best beers I've ever had. This beer is literally the youth version of those. Of course this stout is great.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 5 I like the label design. The picture of the baby eating oatmeal for breakfast is quite appealing. There are a lot of adjuncts in this stout. Some stouts have one adjunct in it like oatmeal, chocolate, or coffee while this stout manages to cram all 3 adjuncts into one stout. I like this beer better than the bourbon barrel aged KBS by the way. The oatmeal gives it a creamy frothy head. I am tasting some chocolate but the main thing that I am tasting is the sumatra coffee. I would not age a stout that has adjunct like coffee or chocolate because both flavors will dissipate over time, matter of fact this beer is better when consumed fresh. This taste like a World Class stout to me. Cheers! A   
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Best stout I can find easily. Just a great sippin beer. 
look: 4 | smell: 5 | taste: 4.5 | feel: 4 | overall: 4.75 Smooth and sweet. This one will stand the test of time and keep being brewed, the different versions of it are worth venturing out for but this is a great base line for this style.   
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of the best stouts on the market. The smell is extraordinary and the taste backs it up. If you like coffee and chocolate, you’ll like this beer 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
