look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4 Great tasting way to bring in the Fall here in Florida! Fantastic pumpkin brown ale! 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.75 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 L: Bronze body with light brown 2 inch head. Good lacing.  S: Malty with nutmeg and pumpkin  T: Seasonal spices with strong pumpkin finish. Flavor stays on the palate for a while.  F: Smooth, just the right amount of carbonation   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 Surprisingly delicious pumpkin ale - this from someone that doesn't really like strong pumpkin flavors and all the spices that go along with it. Nice orange color with some fluffy white head and very spotty lingering lacing. Smells of pumpkin, spices (nutmeg and cinnamon), some vanilla. Tastes similarly, along with some caramel, brown sugar and malt. But boy that pumpkin taste is well-balanced with the beer, and never overwhelms it. Smooth mild slightly creamy mouthfeel. Good carbonation. Dogfish Head does it again! I already have many more pumpkin beers from other breweries to try at home.   
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 Look: Clear orange with a thick white head of foam that quickly dissipates.    Smell: Savory sweet. Pumpkin pie and malt.    Taste: Not as strong as I expected. Mild malt, almost unnoticeable pumpkin pie, and a twinge of bitterness on the tongue from hops.    Mouthfeel: Average thickness, high carbonation.    Overall: While not bad, it's disappointing that the pumpkin flavor isn't stronger.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 Draught pint at The Brass Tap in Baltimore. 
look: 3.5 | smell: 2.75 | taste: 2.75 | feel: 2.5 | overall: 2.75 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.25 | taste: 4.25 | feel: 3.75 | overall: 3.75 12 oz. bottle poured into a tulip glass.    L---Clear, orange/amber color with a medium, off-white head that faded quickly and left ok lacing.    S---Malty. Fairly slight aroma. Pumpkin pie is there, but not strong.    T---Much stronger than the smell, thankfully. It's nice that they actually use pumpkin in brewing instead of just the spices, like everyone else. It makes a difference. Has a real pumpkin pie taste.     F---Medium body, decent carbonation, refreshing. No bitterness of note.    O---Overall, a quality pumpkin ale.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 Bottled 8/14/18; drank 9/5/18 @ the Yarchives.     See-through orange rust appearance.     A rough pour yielded a nice khaki head; frothy lace.     Mild notes of pumpkin pie, clove & even fainter hints of cinnamon in the nose; not much of an odor.     Medium mouthfeel.     Mild pumpkin & cinnamon flavors up front; macro lager aftertaste on the finish.     Not much flavor here and a bad aftertaste; although this isn't abhorrent, I'd rather have a glass of water.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 ‘‘Tis the season.. oh wait, wrong season...    Back to beer, poured from 12oz bottle into a Bruery stemless snifter, reddish clear copper body, white head with light retention    Aroma is definitely there, pumpkin forsure but also some spicy cinnamon and sweet granola, even some faint earthiness    Taste follows the nose but just a tad bit light on the pumpkin for the finish, still solid, pumpkin spice followed by a semi sweet malt    Mouthfeel is smooth, normal consistency but has a slightly sticky lacto feel to it, no alcohol presence detected    Overall for being my first pumpkin style, I’d say it was a good experience and a great example of the style (from the style description)   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 12oz bottle into a pint glass. bottled 8/13/18, so not even 2 weeks old here.     crystal clear deep yellow/orange/amber body. decent carbonation. small off white head leaves light lacing.     The aroma of pumpkin spice is not strong on the nose.    ..but it is strong in the taste. and pretty bitey on the tongue. slightly sweet, with a somewhat sour bitterness towards the end. dogfish advertises this as a "brown ale" brewed with pumpkin and spices. But any brown ale taste is buried by pumpkin spice.     around medium on the mouth, slightly sour spices on the finish.    Overall, and I freely admit that the spice side of pumpkin ales is less appealing to me that those brewed primarily with the vegetable itself, this one was a little to bitter and spicy to be enjoyed by this particular palate.   
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 Poured an orange amber color with a one finger white head that dissipated quickly to a thin film. Light spotty lacing. Faint vegetal aroma with little spice and malt. Light pumpkin pie spice flavor. Clove is more prevalent with brown sugar close behind. Light hop bite on the tail. Overall, this is a very drinkable brown ale. However, there are better pumpkin ales out there. Although not a big fan of pumpkin ales, I do like brown ales and this is very balanced. I would buy this again.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 Dogfish Head Pukin’ Ale - 7.0% ABV - 28 IBUs  Date: 08/02/18, consumed on 8/22/18.   Appearance: The color is a mix of amber and orange, curiously not that brown. Its fairly clear and produces a finger of off white head which dissipates rather quickly. Additionally, something I rarely mention is artwork, but the 2018 label is gorgeous.   Aroma: Vegetal pumpkin, some spices, and a good strong caramel malt backbone. Clove sticks out most among the spices, a yeast aroma is also present. Surprisingly, there isn’t a ton of brown sugar sweetness either.   Taste: Big toasted brown ale malt flavors up front, a little pumpkin flavor, some pumpkin spices, which are thankfully used conservatively. The pumpkin pie qualities are all here, but this is a more subtile take on the style. Punkin’ has a medium full mouthfeel and does get a little sweeter as it warms, but its still no sugar bomb. The style helps to beef this beer up, negating the need for over spicing or sweetening. A very pleasant, if unremarkable pumpkin infused brown ale.   Biased comments: I believe using a brown ale as the base produced better more rounded beer that also more closely resembles actual pumpkin pie than the pumpkin ales I’ve come across. I’m also thankful it has some actual noticeable pumpkin flavor as well, I just wish it had more. A worthwhile beer, but honestly, Oktoberfest beers are slaughtering pumpkin beers this year.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Dogfish Head Punkin Ale, 7% ABV. Pours pale red with a half-finger tan head, which dissipated quickly leaving no lacing. Nose is pumpkin and slight spice. Taste is pumpkin/squash, pie spice, and light citrus, with moderate bitterness. Light carbonation, so good mouthfeel. Overall excellent. One of the better pumpkin beers I've had.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3.25 | taste: 2.5 | feel: 3 | overall: 3 This beer smells better than it tastes. As it’s marketed as a pumpkin beer, you would expect to taste pumpkin. Sadly, it’s almost nonexistent. It’s a brown ale basically. You will smell the nutmeg and a little pumpkin, but the taste is disappointingly flat. Dfh was a pioneer of pumpkin, but my opinion and the opinion of others I know is that this recipe changed. Something is drastically different from Punkin of old. It used to be better. We don’t know if it has to do with pumpkins or something else, but it’s been a topic of discussion. There are many many far better pumpkin beers on the market in my opinion, once’s with more prominent pumpkin and spice. That said, one thing has never changed and that is DFH Punkin is the best Punkin to make chili with. Again, I don’t know why but I have tried many other pumpkin beers and there is no better beer than dfh Punkin to make chili with. So all is not lost. I would drink dfh Punkin if I wanted a low alcohol brown or if I am having chili, so not very often. Usually I want a mor3 flavorful Punkin or a much stronger Dark brown ale. That’s my opinion. I hope that you will make some chili with it.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3.25 
look: 5 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 4.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Type: 12-oz. bottle  Glass: Clear 14.75-oz. porter/stout tulip  From: Bine & Vine Bottle Shop in Normal Heights, Calif.  Price: $2.78 with 10 percent off for a variety 6-pack   Purchased: Oct. 5, 2017  Consumed: Oct. 20, 2017  Reviewed as: Pumpkin Ale  Misc.: Bottled on Aug. 28, 2017 at 10:53 p.m. ET    Picked this up on a recent trip to Bine & Vine. Hadn’t tried it before, had pretty good reviews (3.93) and I got 10 percent off with a purchase of six different beers overall. Not always in the mood for pumpkin beers, but was tonight. Bottle read, “Our fall favorite, full-bodied brown ale is brewed with real pumpkin, brown sugar, allspice, cinnamon and nutmeg.”    Poured a medium amber-to-copper semi-clear color with 2-to-3 fingers of frothy khaki head. Lots of bubble streams coming up from the bottom of the glass. Very good spotty lacing. Excellent retention. (Sight - 4.25)    Smelled all the spices up front, including nutmeg, allspice and cinnamon. Also notes of toasted brown sugar, pumpkin, red apple and pumpkin pie. More real than artificial and had me looking forward to the taste. (Smell - 4.00)    Taste was not initially as good. First thing I noticed was metallic notes. Got better after though. Also nutmeg, allspice, cinnamon, peppery spices, pumpkin, caramel, Life cereal, raisins, hints of fig, pie crust, roasty malts and wet leafy grass. (Taste - 4.00)    Medium body. Sticky texture. Average carbonation. Long, spicy finish. (Feel - 4.25)    A really good pumpkin ale overall. Outstanding for the style. (Overall - 4.00)    4.04 | 90 | A-   
look: 2.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 Beer pours a beautiful caramel color but no head. The smell is pumpkin and nutmeg that translate to the flavor. It's a little more carbonated than I than I like. At 7% this is not a bad brown beer.   
look: 4.25 | smell: 3 | taste: 4.5 | feel: 4.25 | overall: 4.25 Lovely deep amber color but thin head. Not much aroma on this one. Taste is what I expected from Dogfish, very good and complex. The pumpkin is not so obvious and then turns to more beer like. Makes you want more. This is probably the best Pumpkin beer for beerknurds in October. Cheers and Respect. On draft at Ron’s Corner Tavern.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Poured from a 12 oz bottle into a pint glass    L: Nearly clear golden brown pour. Thin white head. Modest lacing.    S: Pumpkin pie spice... squash/pumpkin. Brown sugar.    T/F: Not overly pumpkin-y which is a good thing. Definite pumpkin presence, but also some solid malt presence, spice, brown sugar sweetness followed by some hopping for bitterness which comes through at the end. Medium to light in body... well carbonated without being fizzy.    O: Probably the best of the 'pumpkin' beers... which is kind of like being the thinnest kid at fat camp, but this one's pretty drinkable... kind of an 'after dinner' beer, and I'm good for maybe 2 of these each fall.   
look: 4 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 3.75 Pours a deep gold with a light gold, lasting, frothy head but no sticky lacing. Aroma is cinnamon, nutmeg and clove (and it says allspice - so maybe that too?). Taste seems to be allspice up front - again, I feel like the pumpkin is either extremely minimal, or almost entirely masked by the spice. These "pumpkin" beers are really more "spiced" beers than anything. Feel is medium with medium carbonation. Overall, just your average pumpkin ale...better than some..not as good as others.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pint glass at the Green Parrot. Clear copper with a small creamy head. Cinnamon is the major smell, with some other spices (All-Spice?). Taste is very good, but more pumpkin pie (spice), than pumpkin. Nice and easy going down. A very nice fall brew.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 Pours a beautiful clear orange gold with almost no head. Smells of loads of fall spices, pumpkin, brown sugar, and malt. Tastes of powerful spices, namely nutmeg, cinnamon, and maybe allspice, light pumpkin, brown sugar, and some sweeter malt. Medium in body and carbonation. Overall this is an enjoyable beer, but it tastes to me like a spiced beer rather than a pumpkin beer as the spices are incredibly prominent while the pumpkin is barely there.   
look: 4 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4 Poured into a Great Divide cervoise glass.    Look: Very clear copper body with a beautiful, silk-like light cream colored head that recedes to an even soapy film. Very pretty random patches of lacing.    Aroma: Toasted cinnamon bread, spicy ground cinnamon, allspice, alcohol.     Taste: The 7% alcohol seems to really cut through the taste right off the bat. However, sharp cinnamon opens the profile with a more genuine meaty pumpkin flavor in the middle. Hints of brown sugar and pumpkin spices follow. A tangy, hoppy finish.    Mouthfeel: A little dry and boozy.    Overall: The beer is a little too sharp and hot for me, but certainly a nice pumpkin sipper on a chilly Fall day.   
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 This is a solid pumpkin ale. Dogfish uses high end ingredients so it can be pricey but it's worth a try. This is a pumpkin ale that isn't too sweet like some other ones. Southern Tier Pumking is a good pumpkin ale but it's on the sweet side, so if that beer put you off give this a shot. It has a big mouthfeel and is full of malty flavor. Not much hops at all and the spices aren't too overwhelming. At 7% it sneaks up on you   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 L - Poured a clear dark amber with 1 finger white head which receded quickly. Minor lacing.  S - Pumpkin-y, spicy, malty mix.  T - Followed the smell, actually but a little more spicy than pumpkin. Nice.  F - Easy mouthfeel. Pretty smooth.  O - A nice drinking beer. Tasty and enjoyable.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.5 Reminds me a little of Yuengling Lager, with a small taste of pumpkin and sweet. 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 I really like how they put this ale together. Mostly malt. Modest spicing. Thanksgiving in a bottle.  Having Had 14 now from Dogfish Head, I probably am entitled to pronounce them one of the most creative brewers I know. The temptation in a subtle ale is to try to do too much. They did just enough to convince me that having only one this year would be a mistake. Punkin Ale is back on my list.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 12 oz bottle poured into a pint glass. Colour is quite caramelly. Heavy spice especially nutmeg smell. Delicious flavour, easy going pumpkin/gourd with again spice especially nutmeg. It feels quite warm and smooth with lingering pepper like spice.   After note. I slowly drank this beer from 37* F to room temperature and might I add that the pumpkin/gourd flavour was much less "pie" and much more fresh baked or roasted. Wonderful.   
look: 3.5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured into pub glass.    Appearance: Thin head ring, patchy lace. Pale amber.    Nose: Pureed pumpkin cream and nutmeg    Taste: Same as taste, some wheaty backbone and hop crisp. An almost Oktoberfest base.     Mouth: Not as thick as I anticipated, but nice and smooth.    So often Dogfish goes above an beyond, I was a little surprised this pumpkin ale didn't have a big twist to it. It was just a good pumpkin ale. If that;s the most I can complain, I guess they're still doing it right.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 A local favorite in the fall. Picked up a six pack early in the season and decided to have one on a late Saturday night. This is a good dessert beer for me. A little sweet for dinner but perfect when relaxing on a fall night. Great balance of sweet and spice and still tastes like a beer. Glad I have another five.   
look: 4.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.5 I like that it does not just say pumpkin spices like some of the fall beers might. It actually says allspice, cinnamon and nutmeg.   Looks great in my snifter glass.  A hint of spice in the smell  Small head that disappeared quickly.   Nice mouth feel.  Easy to drink.  I almost want to make some sort of bakery item with this instead of water in a recipe.  I will drink this again before the season ends.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 For the style. A fairly clear dark amber with a quickly receding head, and very minor lacing on the glass. The aroma is good amounts of pumpkin, brown sugar, cinnamon, and nutmeg. You can pick everything out, nicely. The flavor is nice and punchy, and in your face with all of those flavors. Pumpkin spiced cake! The feel is medium body, dry, and well carbonated. Gonna be my favorite pumpkin brew, for sure.   
look: 3.75 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 Poured from 12oz bottle into a Standard Pint glass. Bottled on August 12th 2017? Stamp is a bit mucked up. This beer has been highly recommended by a number of people so when I saw it in my local bottle shop I had to give it a try.     L: Slight chill haze, of a black tea like color. Thin half finger white head fades after a minute or so however there is almost a thin blanket of bubbles lingering on top.     S: Smells of spices, nutmeg, clove, allspice and cinnamon. Lots of pumpkin meat here too. Nice aroma and gives me hope for the flavor being balanced between pumpkin and spice.     T: Well balanced flavor of Pumpkin meat and spice flavors, all the same notes as the aroma. Very nice.     F: Medium body, average carbonation, clean finish.   
look: 3.75 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.25 Pours a deep gold with nice head and sticky lacing, lots a carbonation also. Getting a decent spice on the nose with some brown sugar, pumpkin, and clove essence. The taste is ultra smooth with the flavors following the nose. This is by far my best pumpkin beer so far, its great tasting and not over the top on spice and sweetness, exceptional beer for the class.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Looks dark orange  Smells almost identical to pumking ...lots of cinnamon nutmeg   Taste is like pumpkin, but not quite pumpkin pie. It's even bitter  Mouthfeel leaves a very dry aftertaste.  Overall I have to say I like pumking more but that's got stronger spice profile in the taste which I prefer the stronger beers.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3 | taste: 4.25 | feel: 3 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Love the sweet notes in this punkin ale. Smooth finish with a crisp bite. Just the right amount of spice hints. 
