look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Good one from DFH ! 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.25 It has been an interesting couple/few days. I somehow got on a DFH Bottle kick & just decided to keep it going until I was completely finished with them. I had picked up a couple at Sliantra & then a trip to Subs & Six Packs netted me some more & soon, I was off and running (often running, like for the bus).     From the Bottle: "A wood-aged marriage of an Imperial IPA & an English-style ale, this hop monster is tamed by time spent aging in oak tanks."    Jeez-O, man, I could swear that I have had this before! Well, a check of several databases reveals that I have, but never at home for a review. No time like the present, beginning with a Pop! of the cap. I really enjoy a C-Line pour since there is no telling what is going to happen. In this case, it puffed up to form just under three fingers of dense, foamy, rocky, tawny head with excellent retention. Until it suddenly exhaled and fell like a soufflé when the oven door is banged shut, that is. Wow! In its wake was some of the densest, stickiest lacing that I have seen in a while. I am going to get Sam to clean this up as it may require a jackhammer to remove & I blame him for it. Color was Amber to Deep Amber/Light Copper (SRM = > 9, < 13) with NE-quality clarity. Nose held notes of caramel, vanilla, oak, pineapple & hemp line/rope. 8=O We used hemp line as mooring line on some ships & going into the line locker, it had this kind of woody, resinous smell, but also ropy. Mouthfeel was big, thick & full, like a dollop had been scooped onto my tongue! I let it roll around like a playful puppy, really allowing the flavors to build to a crescendo. The oaky woodiness was prevalent, but the caramel & vanilla flavors acted as a nice counterpart with a warming sensation from the alcohol. Tasty? You'd better believe it! Dangerously so, in fact, since it was going down like water. NOT recommended! Yowza. I also tasted a pine/hemp resinousness that I had not gotten on the nose, but at the same time, I did not taste the pineapple that I smelled. Very interesting! Finish was actually cool and bracing, like a shot of peppermint schnapps. That is imprecise. The taste was minty, but not pepperminty. More towards evergreen. Very clean, dry, literally breath-taking. It was like being in a stand of evergreens as snow falls all around and just taking a deep breath. Get the sensation? Whew. My only bugaboo was its extreme drinkability. I almost feel like taking a nap after this. Goo.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Poured into tasting snifter with a bold rich orange/amber color with a nice full white foam and awesome lacing to boot...some of the best lacing I've seen.  The aroma has a light citrus/pine pink grapefruit aroma to it. It would make a great air freshener...hahaha sorry officer it's my air freshener. lol  The taste is an adventure...can taste all of the citrusy notes along with the piney notes. It is seriously an adventure for the taset buds. I wish I had an endless bottom to my glass.  As for the feel...it is a nice creamy smooth feel with a slight mild edge & snap to it that is very nice...which probably comes from the "oak-aged", but It keeps the ABV hidden well...I think.  Overall a must try beer, again, again, and again!!! Have fun !!!   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4 | taste: 4.5 | feel: 5 | overall: 4.5 [Original rating 2016-01-01] Pours clear orange gold with a thin white head that disappears quickly. Aroma of sweet malt, wood, tobacco, alcohol. Taste is similar, sweet malt with vanilla, a little hops balances it but it’s malty for an IIPA. Nice thick mouth feel.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 Not too hoppy ( tho I like my HOPs), Not too malty...A beer that has a higher volume than others, that is very smooth compared most...big recomendation to experience for yourself   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 From the growler via DEPS in NKY and enjoyed in a snifter. This  legend of a strong ale/IPA pours a illuminated lightly cloudy orange  hazed amber with a beautiful head of white foam that settles to a thick ring,  thin light layer, and shows some delicious lacing. Nose of sweet brown sugars,  heavy grapefruit and orange zest, sweet oak, and earthy malts with herbal notes.   Flavors exceed the nose by a long shot with grapefruit, white grapes and light yellow  raisins awash in herbal and citrus hops with a touch of pine amid rich honey and light  brown sugar notes. Sticky, rich, earthy, and laden with oak and hints of vanilla. A   monster of an IPA. Excellent mouth feel; medium sticky body, medium light carbonation,  and a rich warming citrus and rigid malt backbone finish.    Excellence from the Dogfish folk!     Cheers   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3 | smell: 4.25 | taste: 3.75 | feel: 5 | overall: 3.75 An Imperial IPA, weighing in at 10.0% ABV aged in oak barrels for a month. Overall a pretty good beer, but maybe mislabeled. Strong oak flavor, which isn’t inherently bad, but it masks the hops considerably. I interpret it as more of a strong ale, with perhaps a little more hoppiness than usual, rather than a BA IPA. Mouthfeel is very smooth and creamy. I like MoreBeer4me's description that it's like taking 90 Minute, making it a little thicker, and adding a shot of whiskey.   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 L: Hazy, translucent amber with a huge creamy off white head. Very good retention, with lots of streaky lacing.    S: Oak, vanilla, pine, caramel, ruby red grapefruit, blood orange, toast, and cranberry and currant.    T: Caramel and toast upfront, and then ruby red grapefruit, blood orange, and plum--and then a massive, oak and vanilla smoothness. All of the oak flavors, but minimal tannins. Somewhat sweet, but never cloying. Dangerously drinkable.    F: Pretty full-bodied, moderately-carbonated, creamy, and rich.    O: A really delicious DIPA/old ale combo, with tons of great oak flavors.   
look: 3.75 | smell: 4.25 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 12oz bottled 3/28/18 (3 months ago) poured into a DFH branded teku glass at fridge temp 10% ABV. The beer pours bright orange amber in color with sticky off white head. The head recedes to an island and leaves plenty of lacing. The aroma is faint with caramel and oak. The taste is semisweet caramel with an earthy hop bite finished by an oaky vanilla note. The mouthfeel is medium to full bodied, adequately carbonated and mostly dry in the finish. Overall, delightful and unique. It opens up as it warms so don't rush it.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Hazy amber with a creamy white head; Rich inviting aroma, perhaps a hint of sweetness, not much in the way of hops; Smooth mouthfeel with just a hint of alcohol sting. Rich luscious flavor, just ever so sweet with a hint of liquor. This is not like many IPAs. The hops are hidden. Dogfish Head 90 Minute is my go-to IPA. This is its rich uncle.   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 3 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.5 Pours a perfect sticky clear copper with a lot of lacing as the beer goes down. Smells like a fine fresh ipa at first sniff with plenty of piney hops coming through being eaten up by vanilla oakyness and wet foresty wood. Taste is vanilla and oak right away with a malty flow into piney hops so smoothly. Really nice mouthfeel and sticky. To me this tastes like a barleywine, and the best one I've had. Highly recommend, although a bit pricey. Reminds me of white oak jai alai but full force, stickier and just very well rounded with no artificial or sharp flavors. Awesome   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Let me describe exactly what this beer tastes like.... Take a bottle of 90 Minute IPA, give it a bit more body and thickness and then drop in a shot of whiskey of some sort. That may not sound great, but the results are fabulous! Although some others state the alcohol is hidden, I didn't think so. In fact, if I didn't know the ABV, I would swear it was more like 15% and not 10%. Very tasty and a great sipping beer.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 3.5 | overall: 4 Poured from a single serve bottle...    Pours a deep copper-nearly amber, with an excellent remarkably light-colored foamy head and fantastic lacing.     The nose gives away a strong, just shy of overbearing malt backbone that is alive with dark sugar and toasted grains. The hops arrive soon thereafter, but wet, and muted. The barrels are almost an afterthought, but a pleasing one.    The malt character carries over even more strongly to the palate, with the hops arriving, but in a semi-sweet fashion. Orange rind comes to mind, with the typical citrus notes undoubtedly influenced by the barrel aging.     The feel is a bit off. Rather heavy and almost sticky (though not cloying).    Overall an interesting brew worth sampling.   
look: 4.25 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 Amber copper color with a thick two finger head with medium retention.  Aroma with notes of caramels, mild pine, a bit of wood, toffee, orange marmalade and grapefruit.  Flavor with notes of caramels, overripe pineapple, apple juice, vanilla, young wood and Cointreau liquor. Dry, boozy and bitter aftertaste.  Medium body with appropriate carbonation.  This felt like a hoppy and caramelly Old Ale. I would actually consider this an American Barley wine. Too much caramel for my taste, I guess hops faded over time.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Poured from a bottle dated 11/20/17 into the test glass  A - Lite cedar colored, active carbonation can not hide. The cap of of white is dense, lacing is incredible  S - A glass full of wet hops, medium toast oak, sweet brown sugar  T - Follows the nose well, add toffee, some delicate char, and a blend of orange reduction with molasses  M - full palate coating, a touch slick, wonderful tropical reduction in the linger  O - I have waited to long to try this, a very good blend then the oak aging all add up to a very fine offering   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 On tap. Caramel-blonde color. Great aromas of oak and hops, caramel sweetness. Flavor is much the same with emphasis on hops. Hops are caramelized and transformed by the barrel aging. Slightly sweet but not overly so. Overall a tasty adventure.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours a dark copper. Notes of vanilla and sticky caramel, the nose is oak driven. Carmel base with hints of toffee, citrus, and resin, all balanced out by the hop bitterness. Extremely tasty and surprisingly easy on the palate.   
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Can hardly make out the bottling date. 2/30/17? Consumed on 4/6/18. Could very well be passed its prime.     Reminds me a lot of the 90 minute IPA. Some subtle differences but nothing major.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 2.5 | taste: 2 | feel: 2.5 | overall: 2.25 Wow this is oak aged. This is the first hard liquor barrel aged IPA I have ever had. Whew! this is pretty nasty. Hey! at least the high ABV is hidden well. All hype & beer label artwork temptation but no action in the flavor. Cheers! C-   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4.5 Poured a 12-oz, bottled 11/20/17, hard into a Spiegelau IPA glass, getting a thick head right up to glass edge. The slightly tan fine-bubbled foam lasts long over a copper brown SRM 9 slightly hazy lovely bottom that keeps up a fizz of just a few tiny bubbles. Pretty new label with the out-of-alignment funky font makes all look scores high. Very slow-to-subside head leaving dramatic lacing on glass far side keeps the good look going. For sure the Spiegelau glass helps keep the head thick, all the way to the last sip.    Smells really rocket-fuel ethanolic, with sweet malty breadrolling. I'd rather smell more hops, but won't fuss about this, as taste is just fine, with enough bitter hanging on under the tongue to keep the malty sweet predominance from cloying. The oakwood is not clearly wood-flavored, but makes a smoothness hiding any sharp corners.     Where's the IPA in this? I'm finding it a bit too well-hidden, but then that's just my IPA addiction hungering for a hops sting that doesn't happen here. Comfortable mouthfeel of melted caramel candy malt is hiding the alcohol until I swallow and feel the fumes coming up through my nose. No noticeable hops aftertaste, and still no oak lingering.     A homebrew buddy of mine puts oak sticks right in his bottled IPA, so I miss this flavor in a brew allegedly oaked. Maybe Sam needs to scrape down the barrel? How many months does it take for wood to lose all its savor, I wonder?    Overall, I almost love this brew, but can't recognize quite enough of the IPA part of its vaunted English old-ale/IPA "marriage."   
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4.25 Bottled 4/1/17. Color of a well used penny, nice tan head that fades quickly, leaving just a little lacing. Aroma has some sweet malts, oak and a hint of fruit. Flavor matches the aroma, a bit too sweet on the finish. Medium bodied, not much carbonation. I know it's a blend, but seems to be a "old ale" to me. I'm thinking Old Curmudgeon.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured from a bottle into a tulip. Pours dark orange red with a fluffy white head. Smells of citrus hops with slight oak finish. Tastes of very nice citrus hops with just a little bit of oak, not overpowering, but nice enhancement. Beer is medium bodied and easy drinking, good carbonation. Overall, a very good beer.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 1.75 | smell: 1.5 | taste: 1 | feel: 5 | overall: 2 Way too sweet for an aged beer. I know it's a blend but tame down the fruitiness so I can taste more of that oak. May have something to do with types of hops used, but this beer would be better with more bitterness.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 Burton Baton has a very thick, ivory head, a bright, orange, mostly opaque, but not cloudy, appearance, and heavy glass lacing. Aroma is of strong & sharp pale malts, and the flavor is of strong, yet not harsh, pale malt, moderate hop resin, sweetness, nougat, and dates. Mouthfeel is heavy, and Burton Baton finishes medium dry and memorable. Also, I never really noticed a wood aspect.     RJT   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 Lovely lacing and a beautiful color.  Aroma is a little oak with a lot of ethanol.  Flavor is vanilla, oak, resin, some pine, some citrus, and bitter hops.   Overall, great beer fantastically balanced flavor just wish the aroma had more character to cover the ethanol but at 10% ABV I suppose that's hard to do. 13.99 a four pack   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours a slightly hazy amber with a large white head that retains well, and a few floaties. Smells of oak, hops, and malt. Tastes of oak, hops, sweet malt, caramel, biscuit, light booze, and some sweet fruits. Medium-heavy body with medium carbonation. Overall a very tasty barrel aged IPA.   
look: 4.5 | smell: 5 | taste: 5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4 Pours a hazy, medium amber producing a shy 2 fingers of off-white, frothy, somewhat lasting head that leaves only a few motes & webs of lace. Aroma is caramel, brown sugar, fruity, rich & oaky with floral, grapefruit, pine & boozy alcohol. Taste is rich oaky, roast, fruity, burnt caramel malt fronted with toffee, earth, floral, grapefruit, pine & alcohol predominating after the mid-sip to finish. Aftertaste is a balanced malt/hoppy bittersweet that gravitates toward unbalanced bitterness & slight astringency. Alcohol is prominent in both nose & mouth. Mouthfeel is medium-heavy bodied with moderate, carbonation, dry but sweet at the same time, with a drawing nature on the front half of the tongue. Very unusual. I fill that this is it's appeal. One that certainly lives up to their motto "Off-centered ales for off-centered people".   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Strong complex 10% IPA with oak! 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 First had poured from 12-oz. bottle, gift from a friend, into tulip pint. English malt and huge, bitter and witheringly dry hops. What an English DIPA ought to be. In an ideal world, whenever you walk into an English pub and order "a pint," this is what you would get.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 Amazing. Picture Dogfish Head 90 resting on oak with a harder water profile. Similar aroma, color and mouthfeel as DFH 90 but with very a subtle oak flavor. DFH 90 is my favorite accessible local beer but Burton Baton will be my go-to as long as it is available.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Another good brew from Dogfish! Enjoying this Brewery since 1998! It doesn't knock my socks off like Pliny the Elder, but it is really a good brew. Sit down with this one on a cold winter night!   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 A: Cloudy dark orange pour, good head that sticks around.  S: Citrus, oak, dank/biting hops that are well blended  T: Follows the nose, but flavor profile tends more towards oak/hops/roasted malt.  M: Medium/full bodied. Not too syrupy considering the above avg ABV.  O: Excellent beer that I've been drinking for years. Before I knew anything about it, I thought it fit right in between 90 Minute and 120 Minute, then found out the reason why - b/c it's have 90 Min. I will always buy more of this when available.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 5 | feel: 4.5 | overall: 4.5 wow!!! two of my favorite styles mixed together and then throw them on oak!!!! Wow! 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Looks sorta cloudy burnt orange, mango. Nice 2" head,lacing is also evident in glass, Wow, smells like citrus,vanilla,lemon again,oak smell,hop filled. taste is orange zest, vanilla, caramel, ethyl. Feels not too slick for a high ABV. Refreshingly crisp with semi dry finish. Have been drinking this for years and never bothered to rate it. I know from experience that this tastes a tad bit better 2 years old.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 Solid American double IPA. Slight wood earthy flavor mixed with citrus hops. Good malty backbone. Good drinking beer at high alcohol. 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 This is a great hybrid beer. Lusciously complex and intriguing. Great mouthfeel with slightly sweet start and long piney finish. I love it! 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.5 A deep copper color and excellent head. Nice lacing. Good carbonation. Smooth hoppy aroma. I taste fruitiness like dates and the oak wood comes through, just a tiny bit of unobjectionable bitterness on the back end. Very smooth mouthfeel for a 10% ABV DIPA. Overall this is excellent and worth the $16 price for a 4 pack. Dogfish Head is truly a Standard in brewing. Well Done. Hopefully this will continue to be available locally. It is surely near the 90 Minute IPA i have come to adore.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 This is a great beer. Looks like a normal ipa, nothing fancy. Smell is subdued with hops, oak, maybe vanilla, and some mild malt. Taste is an incredibly smooth dipa. Slightly hoppy with a perfect barrel aged flavor underneath. Somewhat subdued, certainly not a hop bomb but really, really tasty. Sometimes barrel aging a dipa makes it just an overwhelming bomb but this beer is great. It might have the best mouthfeel I've ever experienced. Super smooth with just the right amount of carbonation. By far, my favorite dogfish head beer. Certainly doesn't taste like a 10% dipa. It will definitely sneak up on you. A must try if you can find it.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours a deep golden amber with thick head and lacing. Smells of light citrus, hops, wood, floral. The taste is very pleasing, smooth oak flavors with a tangy citrus zip and some floral sweetness, little pine and dryness on finish. This is a very easy to drink beer even at 10%ABV, would give this a medium feel but easy to consume, very well made beer.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 This beer pours a deep amber with a moderate head. The aroma first conjures up an image of bacon, there is a rich salinity here, with wood, vanilla, caramel, wet pine, toffee, and sweet malt. The flavor starts with a healthy dose of vanilla, toffee, caramel, pine, sandalwood, golden raisin, date, chocolate, and molasses. The mouthfeel is rich and full, with soft but plentiful carbonation. Overall this is a wonderfully impressive beer - much more barrel character than IPA, but great in the guise, a really solid and full beer with just enough presence to provide balance and focus.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 Loved the flavor. Sweet vanilla at the beginning and a bit of heat at the end. Very drinkable and not too boozy. Not super hippy but was very balanced.   
look: 3 | smell: 3 | taste: 3 | feel: 4.5 | overall: 3 Smooth with a good color, but tastes like an Amber ale. Not very hoppy 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.25 | smell: 4 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 A dense cream-colored froth crowns this deep amber brew and extends to the rim of the tulip. Caramel and faint hops are noticed in the aroma, but take some effort getting to. Tastes of caramel and brown sugar up front with the wood and vanilla notes quickly showing themselves strong before a faint presence of pine is noticed. Alcohol heat is strong at the end; showing who's boss and demanding respect. Body is medium to heavy and quite creamy, but doesn't ever feel "big".    What an excellent change from all the West Coast vs. East Coast biz, and a very tasty and well-made one at that.   
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 Pours a deep copper with just a hint of fog to it. Three fingers of khaki head, which retains well. Good lacing left behind. Aroma is oak, pine, bread, and alcohol. A touch boozy. Flavor profile is oak, pine, resin, bread, with a touch of boozy, alcohol. Mouth feel is medium-thick, with a velvety, smooth texture. It's quite filling. Overall, the oak and alcohol both show up, limiting this to a slow sipper.     Served in a 12oz snifter from a 12oz bottle.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
