look: 3.75 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3.25 Not what I'm looking for in an IPA. Disappointing 
look: 2.75 | smell: 2.75 | taste: 2.5 | feel: 2.75 | overall: 2.75 Pretty disappointing IPA really, everything is just slightly sub par which in my experience makes the whole thing just average or maybe a little less. Won’t be giving this one a second chance. Also not a bit fan of the extremely bitter aftertaste.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Basic IPA, this did not completely knock my socks off. It reminds me of a milder version of Solid Gold by Founders, for an IPA this is another great introduction to the style that will not blow you away. It stays in its lane and I respect it enough for a good rating.   
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 It pleases me that Lagunitas IPA has appeared at so many restaurants and bars in the area - alongside Sierra Nevada Pale Ale, Lagunitas IPA is one of my constant go-to beers. I can drink a lot of it, and I never regret ordering it.    It's sweet, has a great hop balance of bitterness, pine, and citrus, and finishes nice and clean. Given a lack of local options, I'll choose this one nearly every time.   
look: 2.5 | smell: 2.75 | taste: 2.5 | feel: 3 | overall: 1 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 Look: Straw colour, just a tad darker than your average lager, thin head. Not remarkable and I mean this in the good sense.  Smell: Resinous hops, some fruity notes as well. Not much malt.  Taste: hop punch, essentially resinous but with some citric notes (grapefruit, I'd say). Malt is on the faint side. I wonder why they added wheat when it doesn't really add up to the taste. Aftertaste is basically grapefruit. Still, good.  Feel: medium to light bodied, relatively high carbonation, dry finish. Very good.  Overall: Good but not great.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.5 L - Mid clear amber pours with 5mm white head that's slowly reduces to lacing.  S - Subtle hints of perfumed conifer.   T - What you expect of an IPA but balanced by it's richness. It's certainly way away from trying to be a 'fashionable hop-bomb'.  F - The richness of the 6.2% comes through loud and clear for me.  O -It's well balanced to me. Nothing stands out screaming out of place. And maybe that makes it a 'VGood' beer. It all comes together in that way. I like it, and would buy it again.  Bought from a London supermarket, likely M+S Tesco or Waitrose.    Hazy copper with a nice steady head of foam with pretty lacing. Nice smell of light fruits, flowers, pine and malt. Taste follows the nose, although the malt is more prominent here. Taste could have been more intense in my opinion. Medium bodied and quite sparkly. Good IPA, but not one that manages to stand out of the crowd. Reliable choice though.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 Look was a nice golden color, head dissipated quickly.  Smelled of strong hops and malts.  Tasted just okay to me. Perhaps I had a bad bottle. Hopiness and good biterness were there, but tasted off, sour.  Mouthfeel was okay, average carbonation.  Overall, disappointed, not up to par with other well-known IPAs. Will not try again until I run out of much better IPAs.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 3.75 
look: 5 | smell: 3.25 | taste: 4.25 | feel: 3.75 | overall: 4 355ml bottle. In contrast to some reviews my bottle contained no discernable yeast, therefore no haze. I wonder whether exported bottles (to the UK) are filtered? An enjoyable beer. Complex flavours of resin, tea and fruit. Clear gold with white head. Citrus finish. Medium body and bitterness. Quite different from other IPA's.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 Pale copper with moderate creamy head and good lacing. Aromas: malt sweetness, toffee and citrus hops. Flavour hop forward but still let’s the malt come through if indistinctly, slightly metallic Finnish.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Hazy copper with a nice steady head of foam with pretty lacing. Nice smell of light fruits, flowers, pine and malt. Taste follows the nose, although the malt is more prominent here. Taste could have been more intense in my opinion. Medium bodied and quite sparkly. Good IPA, but not one that manages to stand out of the crowd. Reliable choice though.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 Of the widely available IPAs, this is one of the most consistent. It's the "Old Faithful" of American style IPAs; wherever I go, if I don't want to be adventurous, I can always rely on this solid IPA.    (As always, I rate "look" for label/container design, not the look of the beer inside; I'm an artist and designer.)   
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 From notes 11/31/11: Pours coppery orange with a nice, lasting, white head of foam that leaves good lacing. Aroma is pine and floral with some citrus and grass in a thin caramel and bready malt background. The taste is resinous pine and fruity with a low malt profile. It is hop forward with good hop/malt balance in the middle, it finishes dry and bitter with a bitter aftertaste. Mouthfeel is thin-medium body with moderate to high carbonation, lively in the mouth.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 2 | smell: 1.25 | taste: 1.5 | feel: 1 | overall: 1 Sold out and now it is crap. see it over and over again. Big Beer buys out a brewery to get more shelf space and then runs the beer. Will never buy it again. Such a tragedy.   
look: 4.5 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.75 Copper with a hint of haze, lots of fast rising carbonation, and 2 fingers of white head.    Smells of skunk, malts, Budweiser, a hint of chilli pepper and fruitiness.    The taste follows the nose, then finishes with a big, dull, bitterness, grapefruit pith, and rust.    Medium body, slightly syrupy, with moderate to high carbonation.    Got at BevMo in Redding, drinking here Aug 18th, 2018. All right beer I hadn't realised until recently I'd never tried.   
look: 3 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 Drank from a 12 ounce glass bottle.    Look - The label is a plain but bold statement. I can get with it, but I'd prefer something more.    Smell - A sweet dankness with hints of dirt and flowers, like a grandma's garden. Quite the lovely bouquet.    Taste - A strong bitterness up front, but gradually trails off with a sort of over-ripe fruit sweetness. Little to no malt backbone to support it though.    Feel - Thin body and high carbonation give it a lively sparkly character that keeps the hops slightly at bay.    Overall - Less enjoyable than other IPAs I've had, but not awful. Drinkable but not always enjoyable.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Solid all round IPA - if you like American style ipas you’ll like this.    L4 - classic IPA  S4 - strong inviting nose  T4 - soft fruits, very drinkable  F4 - classic IPA  O4 - rock solid   
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Usually the best drink at an airport bar. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3 | feel: 3.5 | overall: 3.25 Look: Deep gold with an average, foamy white head.    Smell: Strong bitter pine scent from the hops. A very tiny bit of spicy malt.    Taste: Average IPA bitterness, but not too strong. Weak malt character in the background. A little soapy.    Mouthfeel: Average thickness and carbonation.    Overall: A little more balanced than some other IPAs, but still far too bitter and soapy to enjoy. Down with the IPA menace, I say.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 2.5 | taste: 2 | feel: 2.5 | overall: 2.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 I had this on draft numerous occasions at Buffalo Wild Wings. Excellent pair with Wings and the beer was just so delicious on draft tasted very fresh. I would give it a 5 but unfortunately the package bottled beer from the store didn't taste as fresh. Probably been sitting on the shelf for months. So it's kinda a hit or miss for getting it fresh on the shelf.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3 | taste: 3 | feel: 3 | overall: 2.75 Poured into a tall Peroni glass. Two inch head on top. Dark golden color. Nice bubbles. Smells of honey and spices. Robust flavor of burnt caramel. Slight alcoholic burn-- which can be expected at 6.2% ABV. This may be their flagship ale but I don't think it's quite as interesting as their other, crazier ales.    This beer wipes me out. Just the smell of 12th of Never brings a smile to my face. This IPA is a strong beer without being pleasurable. I won't be getting it again.   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 2.75 | feel: 3.25 | overall: 3 
look: 4 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Very refreshing, does not give you that heavy feeling in your stomach that many more flavorful IPAs do. Smells very floral, better than many women's perfumes. Has a nice bitter bite to it. If you're a New-England style IPA lover then this beer is not for you. Before I had this IPA I thought all IPAs were just bitter and nasty tasting. This is the beer that turned me on to IPAs. It is my benchmark. It's simple compared to all of the craft IPAs out there but complex enough to never get bored of it. Much better around 35 degrees F so if you haven't had it yet, put a BOTTLE in the freezer for 15 minutes before trying it; as opposed to having it on draft somewhere where their kegs are not quite cold enough.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 This beer certainly smells great, better than it tastes although i like the taste. It is a very, very fresh-tasting beer though (the most positive quality in my opinion), the only issue i have with it is too much grapefruit taste, not enough of anything else on the back end. There is a little bit of a bready/malty flavor going down at the end but not enough, not nearly as much as I would prefer. That being said, i do very much enjoy this beer in the summer when i am eating something like Mexican or American grilled food. The type of beer I would buy a few times a year but not all the time. I give this beer A-   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 My go-to IPA. Just a solid beer; very refreshing on a hot summer day. 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 2.75 | smell: 2 | taste: 2.5 | feel: 2.5 | overall: 2.5 So the first question is....this is an IPA. A weak collar of amber gold awaits you upon pour, An incredibly weak nose follows of hops...that's it. Tastes equally dull and little character and body. A huge disappointment.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 2.5 | taste: 2 | feel: 2 | overall: 2.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 2.75 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3 | taste: 3 | feel: 4 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Very refreshing, easy-to-drink IPA. Nice amber color with some head and a little lingering lacing. Smells of floral and citrus hops, tastes similar along with caramel, malt and corn. Nice sweet backbone and just a hint of bitterness. Smooth clean mouthfeel, mild amount of carbonation. Very light and crushable!   
look: 3.5 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 5 | overall: 4.5 My go-to beer. Sure, there are better, but this one is readily available around here since it's local, and it never disappoints. Medium in color, nice head, and it tastes good. I would describe the aftertaste as a little bitter but I like it - the aftertaste is much better than some other highly rated IPAs I've tried.   
look: 4.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 A: Poured a 2 finger head with some beautiful lacing. Color is a very light burnt orange, the beginning of Autumn when the leaves have just turned. Light carbonation. Can't get prettier than this.    S: Citrusy, piney hops. So incredibly fresh smelling. Some vanilla and almost tobacco.    T: Nice blend of hops and malt flavor. Aggressively mellow if that's possible. The pine comes across but is balanced by an almost a creamy wheat. Alcohol is noticeable but decently concealed. Leaves a slight bitter after taste and finishes clean.    O: A heck of an IPA that doesn't shove a pine branch up your mouth. Can drink this all day. Definitely a go-to beer in all regards.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.25 | taste: 2.25 | feel: 3 | overall: 2.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Overall: solid but unmemorable. Plenty of hop bitterness. 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 This is a great beer love the taste and of course it's hoppy kick is the best. Color almost bourbon    Aroma- piney, earthy, citrus and grapefruit    Taste- loads of hops, couldn't taste the base beer at all nor is it to harsh. The bitterness is big but not over whelming. Pick one up if you can worth the try.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 I would say this ipa is more bland than others I’ve had. If you are wanting something easy drinking then you can go to this. But taste wise not a fav.   
look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 A nice citrusy flavored, hoppy IPA. Not too hot at 6.2%. Recommended. 
look: 3 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 2.25 | feel: 1 | overall: 2 I got Lagunitas IPA for free and drank it at an office.   Look: Lagunitas IPA had average amounts of foam.  Smell: Lagunitas IPA smells like a light beer.  Taste: Lagunit as IPA tastes bitter.  Feel: Lagunitas IPA has average amounts of carbonation. Lagunitas IPA has a vague sour flavour.  Overall: People who savor lemon juice may enjoy the Lagunitas IPA flavour!   
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3 | feel: 3.25 | overall: 3.25 A bit skunky for me 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3 | taste: 1 | feel: 2.25 | overall: 1.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 NOTE: I compare all other beers to Sierra Nevada's Pale Ale; there may be better out there, but many that are worse.  This gives a full 2 finger aromatic head that lasts.  The color is a hazy medium light amber.  There is plenty of aroma from malt as well as floral citrus/piney hops which seem like they will never end.  There is plenty of taste from hops which is a distinct citrus/pine.  Lots of citrus at the beginning of the palate changing to pine with a slight bitterness at the end. Flavor is full throughout the palate with a hint of malt which offers a smooth finish.  Overall, love the full, rich flavors, and aroma.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 A very good IPA. You won't be disappointed by any means 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 2.75 | smell: 1.75 | taste: 2.5 | feel: 2 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4 
look: 3 | smell: 3.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.25 | overall: 3.5 
