look: 4 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3 | smell: 2.75 | taste: 2 | feel: 2 | overall: 2.25 Not really a fan. 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 H07 
look: 3 | smell: 2 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.25 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 2.5 | taste: 2 | feel: 2 | overall: 2.5 
look: 3.5 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 3.75 Great tasting beer 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 Golden brown color, not much head. Can smell the malt and hops. Smooth mouthfeel except for the carbonation, which is very fine and vibrant. Tastes fine in the body, relatively full, but a bit thin and metallic in the aftertaste.   
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 5 | smell: 4.5 | taste: 3.5 | feel: 4.75 | overall: 4.5 Overall taste is good.    Nice for sipping, leaves a slight aftertaste.     Bought many times. Will buy plenty more. Great for the cost. 
look: 4 | smell: 3.75 | taste: 3 | feel: 4 | overall: 2.5 I'm more of a fan of the seasonal Sam Adams beers as they go down easier, but this is an extremely bitter and overpowering beer that is really meant to be a sipper. My favorite part is when you swallow and you can taste the caramel and it starts to become sweet then the aftertaste is metallic and extremely bitter and unenjoyable. This is best enjoyed with a steak or something that can help hide the power of the hops here.   
look: 3.25 | smell: 2.75 | taste: 3.25 | feel: 3 | overall: 3.25 This review is based on Boston Lager brewed in the UK by Shephard and Neame so I cannot compare it to the USofA brew but given the high standards of the brewer it will be probably similar. It has a delightful copper colour shaming the yellow mass produced UK lager. The head white and high did diminish quickly. It has a reasonable hoppy taste not normally found in standard lager however. I good beer smell too. I am not a lager drinker by choice but would drink this brew on a red hot day when lager/pils etc chills better than a fine ale.   
look: 4.25 | smell: 3.25 | taste: 3 | feel: 4 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 Pours a clear, pale amber coloration with a medium, frothy, lasting head. Smell is dominated by bready, caramel malt, with just the merest hint of citrus hops and honey. Taste follows the nose, with caramel, bready, grainy malts at the forefront, being back up by rather light citrus/herbal hops. Finishes more sweet than bitter, with a light metallic/medicinal note developing in the aftertaste. Smooth mouthfeel with a light/medium body and medium carbonation. This would make for a rather pleasant, if not terribly exciting Lager if it wasn't for that somewhat harsh metallic/medicinal aftertaste, which is not really that bad, but a little unpleasant nonetheless.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 2.75 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 I just reviewed the brewery and the page stated that I had 0 beers from this brewery. The Helles, I say. Since my most recent was a Boston Lager a few days ago, I'll add this one. Definitely mild and drinkable, more pronounced hops than a macrobrew, yet enough to appeal to those who previously drank swill all those years and said, "hey, there's flavor in this bottle!" My hat's off to Jim Koch, who created Boston Lager, and when he got our attention, he offered many more pleasurable beer styles. Enjoy so many of his Noble Pils, porters and stouts and it began with a Boston Lager.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2 | overall: 2.75 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.25 | smell: 3 | taste: 2.25 | feel: 3 | overall: 2.5 good looking and average tasting lager. pretty good but it looses points for that sharp aftertaste. I might try it again to see if its an acquired taste.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 4.25 | feel: 3.5 | overall: 4.25 Very good 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 Big head when I poured it into my glass. Nice combination of bitter/sweet for the first mouthful. That soapy aftertaste M. mentioned is kind of present, but not anything terrible. Getting in the vicinity of hoppitude. This despite a 30 IBU rating. Maybe they’re actually putting soap in the mix. The finish is definitely soapy. I think I have two or three more of these in the fridge from my variety pack, and they ain’t that good. Yeesh. 2017/09/11   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 A decent drinkable lager. Refreshing taste. Not too much of anything. Clean crispy. I can’t find anything not to like. My sample from a 12 oz btl. Best from a ice cold fresh tap. I will buy again as a change of pace not super what I want beer.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 3.25 | smell: 3.5 | taste: 2 | feel: 3.5 | overall: 2 Yuck. Feels nice but taste like pennies. Ugh! No more. 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 It's a decent beer, but it still does not deserve the praise that it gets. It has a harsh finish going down although I do like it more than Budweiser. Cheers! B-   
look: 2 | smell: 2 | taste: 2.5 | feel: 2.25 | overall: 2.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 3.75 | overall: 4 All in all a wonderful lager. Wheat harvest. Hickory. A slight hoppy bite to finish and dry the malt. The one thing I love about this beer is its texture. Have yet to brew a beer with such texture. 4 stars to the brew master a Sam Adams   
look: 4.5 | smell: 4.25 | taste: 3.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 3.75 | taste: 3 | feel: 4 | overall: 3.75 I finally gave in to the constant attack of ads on tv and got a 6 pack and poured it into a pub glass with a nice enough head, That left quickly, so don't blink. Shows up Tobacco amber/brown and it's perfectly, perfectly clear. Great appearance really. The tase... uh yeah well about that. A little bitter and thin for a lager of any kind. Not malty enough...really? Shallow and One dimensional. 1 and 2. The feel is good, but the carbonation is just barely enough... The musta been a hit in the 90's or so? Great crisp and clean finish though. And a happy ending (glad it's over). My judgment on the beer: a foul tip.  Won't repeat.  I appreciate SA as an entity, but just can't get on board with their palate.     Might make a good 2 tone with a cheap unlikable stout.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 4.25 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 1.5 | taste: 3 | feel: 3 | overall: 1.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 Got me back into good bier after being back from Germany for about 3 years. Forgot that bier could have a flavor and Samuel Adams was a favorite for a number of years before Craft really took off.     Sweet and bitter. Smells a little like an IPA, but doesn't taste like one due to the low bitterness. Does not improve when warming, Nice to revisit a classic.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3 | taste: 3.5 | feel: 2.75 | overall: 3.25 
look: 5 | smell: 4.25 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 2.5 | taste: 2.25 | feel: 2.5 | overall: 2.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3 | feel: 3.25 | overall: 3.25 L- On the dark side of amber, and as clear as the glass. Pours with thin white head that reduces to lacing.  S- Fresh grains and toasty malts, promising.  T- Immediately toasty, and that builds. If blind-folded I certainly wouldn't suggest this could be a lager. I think it tastes more like something between a bitter and pale ale, It's pleasant but not quite what I expected.  M- It's got a prominent feel, I don't think I could make a session beer of it.   O- Perhaps a better style for me in autumn/winter.  Bought in London (Waitrose?). No BB to be found on the lables, glass, nor cap...   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 Needs to evolve into a more subtle lager. Right now it comes down like an uninspired IPA. Like a good steak with too much salt on it. 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 I have been drinking this for about twenty five years. I am almost exclusively an IPA guy these days, but can appreciate a good lager. This is always a safe choice when out a bar.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 Served in mug, pours an amber color, can clearly see through beer. Head dissipates but leaves a ring of lace. Decent lacing on glass while drinking.    Breaddy smell mainly, picking up hint of spice.    Malty and sweet on the front, get some caramel taste but then that bit of herbal spice at the end.     It’s very well balanced, perfect amount of hops to offset the caramel. Easy drinking.    Overall it’s a very solid beer. Like most, one of the beers that got me away from macros into craft brews. It’s a very enjoyable beer that fits in the middle ground that can stay in the fridge and be enjoyed by macro and craft drinkers alike.   
look: 2.5 | smell: 1.5 | taste: 2 | feel: 2 | overall: 2 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 Thia was a beer that many, many years ago got me on thr craft beer road. I decided to revisit it and here is what I "found": pours golden amber color with a big bready aroma. Dark, malty flavor with no bitterness at all. Coats my plate well, somewhat heavy...but not too heavy. I find that I could still sit and have a few of these now and again. It is still a refreshing, clean and easy drinking beer...even though my tastes have migrated to the "hoppy side" of the spectrum.   
look: 1.5 | smell: 1 | taste: 1 | feel: 1.25 | overall: 1 Not worth the money. They have lost their touch. Poor quality. 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3 
look: 3.5 | smell: 3 | taste: 4 | feel: 3.5 | overall: 4.25 Pleasantly hoppy and refreshing. Distinctive taste. For a widely sold beer this is one that has never disappointed me. 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 16 oz Pint Can poured into a glass.  Look - It's refreshing to buy a commercial beer that has rich amber color instead of the usual straw colored lagers  Head is decent and lingers with good lacing. Only moderate carbonation.  Smell - First thing i get is some spice, some fruit. Also getting almost a belgian-like yeast, and hint of hops. Smells like freshly brewed which is why Sam Adams got the "craft beer" label in the first place, certainly not typical mass-beer.  Taste - it does taste like a Belgian beer but it doesn't dominate the palate. Also getting some sweet tropical flavors, a bitter wave of hops that i personally really enjoy, finishes with malt. Really easy to drink, not a light beer by any means but not egregiously filling. Carbonation is below average which is nice, less burping than an average beer.   This isn't my favorite beer style but this is a very solid beer that i buy at least yearly.   I give this excellent beer a grade of A   
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 3 The definition of innocuous mediocrity. Nothing at all remarkable here, tastes and feels slightly watery, better than a budweiser if you just want a lager that you can get anywhere that sells beer.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 This is a great lager. Could drink these a lot. Balanced beer overall with just enough kiss of hops. Has a nice sweet malty backbone. Will always remember this as a good gateway beer.   
look: 5 | smell: 4 | taste: 5 | feel: 4.75 | overall: 5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Lager that pours a golden colour with a hint of orange accompanied with a thin lace that kept throughout the drinking session - roughly 15 minutes. Light carbonation, muted bitterness. I felt any aromas present were hard to detect but from what I gather it was sweet - perhaps more banana than citrus - and pleasant. More malt than hop. Anyway, good overall crisp tasting beer.   
look: 4.25 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 2.5 | smell: 2.75 | taste: 2.5 | feel: 3 | overall: 2.5 Europeany without being vinegary. Not a fave but drinkable 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 5 | feel: 4 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 a nice looking beer made simple and good to drink and good looking color and head. 
look: 3.25 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.75 Look : One finger white head, yellow orange body.    Smell : See below.     Taste : Toasted bread, earthy and mildly spicy hops. A note of citrus.     Feel : Medium body and carbonation, mildly dry finish.   
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 
look: 3.25 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 3.25 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Truly solid beer spicy hop yet excellent finish. 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Nice and easy to drink. Nice golden, slightly hazy color with some nice head. Smells very faintly of malt, tastes of malt and caramel with a very faint amount of citrus rind hops. Clean finish with negligible bitterness, decent carbonation throughout. Safe but a little boring.   
look: 3.5 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3 | taste: 2 | feel: 3 | overall: 2.5 
look: 2.75 | smell: 3.25 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Samuel Adams makes great beer in My opinion. I've never had any flavor I didn't like. 
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3 | taste: 2.25 | feel: 3 | overall: 2 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 3.75 Ahh, yes, Boston Lager, that staple of airport bars that I otherwise generally ignore. Malty but only lightly sweet, with a bit of a hopped punch and a suggestion of lemon on the finish.   
look: 4 | smell: 3 | taste: 3 | feel: 2 | overall: 3 This beer disappointed me considering how much I enjoy some other Sam Adams offerings. There is a nice caramel note to the flavor but overall I feel like it's overpowered by an excessive bitterness. The mouthfeel is also thin and watery. Overall, it's okay but not something I'd drink often.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 5 | smell: 4 | taste: 3 | feel: 3 | overall: 3 The left side of the label says "FOR BREWERY-FRESH TASTE, ENJOY BEFORE MONTH NOTCHED" with a mark over "AUG 2018"    Appearance: The beer has a brilliantly clear body. The body has a nice copper color with light amber and gold as light passes through. The head is large, white, and rocky.    Aroma: There is a slightly spicy smelling hop aroma with hints of wild flower.    Taste: There isn't a lot of flavor here. It starts out with a bit of alcohol and herbal hops, with a touch of tea-like earthy flavor. The middle is pretty empty. The finish is where this beer really shines. It has this caramel flavor which feels very clean.    Mouthfeel: Wet, easy to drink, light, with a body that sits about 3/4 on the light-to-medium scale. A very faint herbal bitterness in the finish.    Overall: There is nothing interesting or unique about this beer. It rests comfortably at the lower end of Vienna Lagers. It has enough character that is worth drinking but it never tastes especially fresh. I recommend it in a scenario where you can't find a better beer, but overall there are better Vienna Lagers on the market in the U.S.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 5 | smell: 4 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3 | taste: 3 | feel: 3 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.25 Clear gold yellow color, just below medium body and just a little heavy on the carbonation. Aroma isn't overpowering, a little malt and a bitter hop smell.  Taste is pretty similar, much more hop bitterness than expected and kind of masks the malt. Not a bad beer,perfect for party's and guests who are new to craft   
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3.75 | overall: 3 Look: Amber gold with a big white head.    Smell: Surprisingly hoppy, almost like an IPA, backed by citrus.    Taste: Bitter malt, without the hop or really the citrus flavor that the nose would suggest.    Mouthfeel: Pretty thick for a lager, with minimal carbonation.    Overall: I'm not too sure on this one. It's supposed to be a Vienna Lager, but it ends up tasting more like an IPA that's gone off.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 On tap. 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 A good beer in a pinch, nothing special about it but it tastes good, is easy to find, and is a good pick if you have to share a 6-pack with friends who aren't beer snobs and won't appreciate barrel aged sours.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Your typical american lager. Amber color, some spicy flavor. Nice aroma. I agree with the other reviews, it goes great with bar food. Good beer overall.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 5 
