look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 12 Oz Can poured into glass  Look - Very clear filtered golden colored, thick foam head and lots of glass lacing  Smell - I don't think it can be better for an IPA, outstanding juicy aroma with ripe sweet tropical fruit. It really makes me feel like it's summer.  Taste - Very sweet and sugary. Lots of juicy tropical fruit and piney hop resin. I don't find this to have a grapefruit flavor, rather it's sweet mango and peach followed by pine tree, the flavors never combine, to me anyways. Carbonation is just medium. Medium bodied, but fairly drinkable. Bitterness may seem strong to those that don't drink much of these types of beers, but to me it's perfectly balanced, not too bitter.    Overall, there is a reason this is expensive and now i know why, hands down the best IPA i have tasted, so fresh and juicy. And it's not super filling which is great, looking forward to buying more. Grade is A+   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 De Espuma - Tienda de Cerveza. En copa Teku. Jugando a Avernum 6. Bastante amargota, con notas citricas y pinaceas. Limpia en boca, aunque algo jabonosa, con cierto aire industrial. Largo retrogusto amargo   
look: 3.5 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Smooth light and delicious. Very good IPA. Just a little short on distinctive taste 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Quality every time! 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 Had to see what the hype was about. Different, not sure about the super high score. Doesn’t really cut like other IPAs but not bad. 
look: 4 | smell: 5 | taste: 5 | feel: 4.5 | overall: 5 The best IPA period. No need to waste time with the various derivatives, though they are special, original Sculpin is why we have IPA’s.     The flavor cuts through the floral happiness to reduce bitterness. Too many IPA’s just add a ton of hops, flavor be damned. Sculpin uses them properly.     Not for a sesh, but good food and 2-3 Sculpins make for a enchanting evening.   
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 Pours a nice white head, a bit carbonated, with more a malty character than grapefruit. Great tasting drinkable beer. Price point is a bit high for an american IPA at 7% ABV   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.5 | taste: 2.75 | feel: 3.25 | overall: 3.5 Definitely was expecting something a bit... more. It was a fine beer, sure, but it was absolutely mediocre. An average IPA that is worth spending money on, but not more than you'd pay at a grocery store.   
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3 | feel: 2.5 | overall: 2.75 Has to be one of the biggest disappointments of the year for me. I was quite excited, as I love the style, the ratings are high and this is the first time I saw this sold in Toronto.  The nose is decent, but man the taste isn't. Way too bitter (and this bitterness overwhelms any other possible flavour within), with lingering effects that also include an uncomfortable film in the back of your throat.   I bought a six pack and I will finish but...A real bummer, this one.   
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.25 | feel: 5 | overall: 4.5 I like I like 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 At $2.64 per 12 oz bottle I had expected a very good product and it was very good; however, was it exceptional for the value? It certainly was flavorful; however, it was not hoppy like Sierra Nevada Pale Ale, which I do like. (Not associated.) It had very good taste, a very good feel and smell but that extra hoppiness that one expects with a craft brewed IPA just was not there. It was certainly worth buying to try and I may even buy some more in the future but I think I'll have to wait for it to be on sale.   
look: 3 | smell: 2 | taste: 1 | feel: 1 | overall: 1 Used to be good. Sold out. Cranking them out ad nauseum. Now just a shelf turd, 15 months after bottle date. 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 A 12 ounce can poured into a IPA glass.    Look- Deep gold, above average head retention and lacing, no visible sediment.  Smell- Citrus, grapefruit, floral.  Taste- Grapefruit, citrus, lemon.  Feel- Thin body, average carbonation, slightly astringent finish.   
look: 3 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Just amazing beer 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 I'm very picky when it comes to IPAs – it's all too easy to make a hoppy mess! – but Sculpin is one of the most consistently satisfying I've had the pleasure of drinking. When I'm not in a mood to experiment, it's my go-to IPA.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 This is an excellent IPA! First had it with Julia in California, maybe Carlsbad, at a bar that had just okay food but it had this beer on tap, and I remembered it. Able to get it in bottles at Elkton, hooray!   
look: 4 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 L - hazy, opaque golden with a medium off-white head that dissipates quickly but leaves behind a good amount of lacing.   S - piney, bitter hops along with sweet citrus up front. The smell is pretty prominent and refreshing.   T - Piney bitter hops up front and throughout mixed alongside notes of tropical fruits and citrus - tired together with a very slight malty backbone.   F - Medium bodied with a moderate amount of carbonation. Smooth, somewhat creamy but somewhat crisp.  O - This is an incredible all arounder IPA - it's balanced quite nicely. It's a standard, no frills IPA, but it does everything it sets out to do, an needs to do to be a great IPA, very well. Can't believe I hadn't tried this one sooner.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5 It pours a bit hazy golden color with a small head. The smell is of citrus but not very much almost no smell at all. The taste is tropical fruit, grapefruit and maybe mango. Overall a nice IPA just not great.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4.5 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 From an IPA "hater"......this is good! Great even! I got the Aloha "tropical" version of this yesterday and it was too bitter/hoppy for me. THIS is what I was hoping for yesterday: peach, pear and grapefruit taste in that order. Make sure to get thos on the bottom of your tounge--that's my favorite part of this taste. Brings out the pear more, somewhat similar to a Belgian beer. Ya, looks nice in a glass too. Bitterness is balanced against the fruit perfectly for my taste. San Diego makin me proud again with this one.   
look: 4 | smell: 3.5 | taste: 2 | feel: 2 | overall: 2.5 I was looking forward to trying this one based on the many positive reviews, but it's just not for me. I prefer a standard, straightforward hoppy IPA (floral notes are a bonus), and this one registered as just another juice bomb. Try it for yourself.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 4.5 | feel: 4 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Nice clean IPA. Great full body with fruity and strong hops flavor that's perfectly balanced; it had better be at $14:99 a six pack. 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 1.5 | feel: 3 | overall: 2.5 No no and NO! I made an account because this beer should not be the second best American IPA. It is a solid beer, but the grapefruit is WAY too robust for this to be just an IPA. If this were a fruited beer section (no idea if they exist on here yet), then this beer would definitely compete for the top spot. There are dozens of incredible IPAs that I'd put above this.   
look: 3.5 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 There have been many IPAs brewed by almost every home brewer and craft companies offering those brews for sale and this one is among a very few at the top of the list.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.25 Clean and clear, darker amber.  Soft off Whit head.  Aroma is strong pleasant and citrus prominent.  Taste is straight west coast hop forward. Grapefruit is prominent, but earthy bitterness lingers.  Perfect slick mouth feel.  Outstanding.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Seems to molt smell than hop. But strong bitterness and weaker sweetness. Mid body. 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 1 | taste: 1 | feel: 2.5 | overall: 2.25 I tried this highly rated IPA based upon the high number of reviews. This was my first and last brew from Ballast Point. If I wanted grapefruit in my drink, I would make a paloma from one of my fine tequilas. I am delving into craft beers very late in my life and this beer only backs up my theory that craft beers are for hipsters who have yet to graduate from snowball syrup to fine distilled spirits. I did find one great craft beer with Founders Centennial IPA and it's bye-bye Heineken for me.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 IPAs WITH ANY HINT OF CITRIS FRUIT... NOT SO MUCH....    Actually - pretty aweful in my (male taste bud’s) opinion.     This pretty awesome IPA is tasty and damn good looking beer.     Had it on draft in a warm pint glass at the end of June 2018.     Shocking good and will definitely be my go to IPA (** if the bottle/can tastes the same) for the summer months IF I can find it at my favorite B/W Store in Maryland.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.75 | taste: 4 | feel: 3.5 | overall: 4 Great nose. Tasting notes that make me think of citrus rind, some hints of pine and mango or pineapple maybe? Just the right amount of bitter and sweet.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 Good IPA although a bit overrated. A touch of citrus, mostly grapefruit and slightly sweet with a mild bitter finish. I'd buy it again and for those who never tried it, give this one a twirl.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Not sure what all the fuss is about, it seemed kind of weak to me, almost like a session IPA. Orange amber body with decent rocky head. Normal IPA/hop aromas, taste also, and somewhat subdued, less hoppy than a NW IPA. Good, but not great.   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 On tap at the Bier Markt - Square One. Served cold into a pint glass. Review from notes.    Appearance - Clear dark amber colored brew, a half finger of off-white head sits on top and lingers for most of the beer. Good clarity.    Smell - A tropical aromapalooza with grapefruit being most prominent, but lemon, melon and pineapple making guest appearances. A very fine IPA aroma.    Taste - Pretty good as well with the grapefruit being the showstopper and a touch of melon and pineapple (with strawberry momentarily?) mid sip. Taste finishes very bitter with lemon and grapefruit and some piney flavors seeping through. A touch too bitter for the sake of being bitter to my tastebuds.    Mouthfeel - Medium bodied, expressive carbonation, fine dry finish. Here and on the nose is why I see this is absolutely considered a world class IPA.    Overall - Really enjoyed my experience with Sculpin, would love to try a fresh bottle or on a beach somewhere much south of here, see how it stacks up.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3 | smell: 3 | taste: 3 | feel: 2.5 | overall: 3 once a good IPA, this was the gold standard. But has failed to hold up since being taken over. This is a last resort along with Goose Island for a complex IPA.....   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 My first love when it comes to IPAs. If I owned a bar I would have this on tap. I avoid it now because it’s overpriced and I’ve moved on, but I must admit, this is a truly great beer.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 3.75 | overall: 4 Well balanced IPA with notes of light citrus but not overly butter. Apricot comes through in finish. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Tasted from a 12 oz bottle bought in Oxnard, CA.    L - Hazy but bright with a golden-orange color; it almost looks like a witbier. Head is off-white in color and not very impressive in initial size or persistence.     S - Aromas of huge citrus (mostly grapefruit) and tropical fruits to a lesser extent. There is a nice cracked grain note and some bready malt in the background.     T - Sharp, almost sour, hops flavors hit initially, with lots of grapefruit juice character. These same sharp citrus flavors stretch through the mid-palate and into the finish and aftertaste. Along the way there is just a bit of grainy malt.    F - Medium body. Low to moderate carbonation. Very strong, bracing bitterness from the hops. Low alcohol warmth. Dry finish.    0 - I find this a nice West Coast IPA, but in my opinion it is a bit one-dimensional with the grapefruit-character hops and little else. Not a lot of malt to offset, or any kind of depth of flavor.   
look: 4.5 | smell: 3.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 this is my favorite IPA so far it smells like hops are right in your face, super clear and taste is fantastic. 
look: 3 | smell: 3 | taste: 3.25 | feel: 2.75 | overall: 3 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 2.5 | taste: 3 | feel: 3.75 | overall: 3.25 What happened to this beer? Over the past few months, I've had several Sculpins that were less than 6 weeks in the bottle, and they all lacked the intensity and punch that I associate with Sculpin back in the day. I don't want to sound like a conspiracy theorist or some old fart who drones on about how "they don't make 'em like they used to", but unless my tastes have changed dramatically in the past couple of years, someone has watered down the recipe for this beer. It's not terrible by any stretch. It's just ... underwhelming.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 2/17/18: 16 oz draft pour into Flamingo plastic cup in their poker room. Mild carbonation, blond pour, minimal white lacing. Pine citrus aroma, taste consistent with aroma, heavy bitterness, very pleasant. Nice firm mouth feel, medium body, fizzy carbonation holds. Overall very good IPA.   
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 Poured from a can into a glass at the Amtrak Legacy Club in the Chicago Union Station (by the way--- getting priority boarding, a nice place to hang out, wifi, free snacks, soft drinks, and a happy hour with decent craft beers and ok wines is pretty awesome)    The beer pours a pretty hazy honey colored beer, with a golden hue. White head.    Intense aroma, spot on for an IPA. Some citrus and sprucy notes. Slight bit of spices. Balanced dry-maltyness.    Just a good IPA. So much better balanced that many I've had lately. This one is worth looking for.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 3 | taste: 1.5 | feel: 3 | overall: 2 Something seems different with this stuff these days. Can't put my finger on it, but I can't even finish a 12 pack anymore. 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours a carbonated lacey amber. Aroma is floral with citrus. To the tongue it’s not terribly bitter but not overly light. Good mix of hops. Light leftovers in the mouth with not much of an aftertaste.    = A good IPA by my standards. Nice floral and citrus notes. Hits the belly well.   
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Very pleasantly surprised by this IPA - lives up to its reputation. Smooth orange-yellow color, moderate head, crisp citrus notes with grapefruit and orange. Finishes mildly bitter but much less harsh than the usual IPA offerings. Crisp mouthfeel with decent carbonation throughout.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.75 | taste: 4.25 | feel: 5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Everything a west coast style IPA should be. You can find it here folks.     12 oz can poured in to tulip glass Canned on 14 March 2018    L: Golden tangerine held up to the light. lots of fine bubbles streaming up to the top.  S: beautiful hop bouquet with citrusy nose, mango, and a little hop dankness  T: Mango, peach, orange nicely balanced by malts and smooth bitter finish  F: light bodied for big IPA  O: a vey well done IPA, but not as good as it's big brother, grapefruit sculpin. widely distributed, and pricey   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4.25 
