look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 The last of the first 3 impressions, and the one that cemented IPA over Imperial Stout for my overall preference. Stone and Bells are my faves, until I discover a brewery I think is better. My tastes are pretty set after a decade, but change could happen.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 12 oz    Pours a clear but very dark brown, looks opaque unless held to light. Head is light tan, pillowy, and dissipates to a lacing.    Smells of toasted biscuit, coffee, and piney and woody hops.    Tastes of pine and honey on toasted biscuit, woody hop finish. Bit of caramel on the follow-up.    Medium to full body with a bite of carbonation on the tongue.    Delicious IPA with some dark beer elements that mesh perfectly. Great pour, great taste, great feel. Nothing is short of excellent. A must-try.   
look: 3.5 | smell: 1 | taste: 2.5 | feel: 4 | overall: 2.75 Maybe something's off with my smeller, but I smell very little from this brew. Taste is nice at first, but it has that bit of funky taste that is the reason I don't drink Porters. Not bad, but not something I will drink again.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 A twelve ounce bottle dated 07/09/16 with enjoy by 11/06/16 poured in a Stone snifter for the review.     Look- Pours a medium thick oily black with a generous finger of tan foam that settles leaving ample lacing.     Smell- Dark roasted malt, pine and some char.     Taste- Dark roast and pine forward followed by solid floral notes and a hint of char in the finish.     Feel- Oily and quite thick like an oatmeal stout with a semi dry finish.     Overall- Not my favorite style, but I found this one rather interesting. It tasted like a blend of stout/porter with an IPA. Worth a shot for fans of the style.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 3.75 Definitely not retired: was part of the summer 2016 sampler pack distributed nationwide. Reminds me most of Wookey Jack. Is Jekyll and Hyde in regards to being imbibed straight from the bottle and poured into a glass (the latter is recommended. Without reservation.) The juiciness of the hop profile is alternatingly all-for and against the dark wheat ale profile. It's smoother than your garden-variety bubbly porter, less substantial than a stout. The aftertaste calls for a stronger coffee residue but is somewhat astringent. Has upside. Alcohol is well hidden.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 So happy this is back even if it is just for a limited amount of time.  Appearance is black with a tan two finger head. Some redness as well when held up to light.  Aromas of dark fruits, chocolate, citrus, floral and resiny hop along with some malt sweetness. Really nice and complex.  Tastes are citrus, resiny pine, malt sweetness, chocolate.  The palate is medium plus with a nice creaminess that lingers really well. Big bitterness as well that stays.  Overall this is probably still my favorite beers aer from stone. The best black ipa I have had.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Entry is briefly sweet, then dry cocoa bitterness kicks intermingling with the bitterness from the hop. Hops are fresh, floral, citrus (lemon), pineapple, earthy, woody, resinous, and intense. I love it. Body thickens up slightly as the beer warms. Hops linger on the palate. Alcohol is forward at times and can be a little sharp. This has gone off the market, but was brought back on in a variety pack. One of the better black IPA's out there. Made in the Stone mold- big, brash, in your face. True to style. If you close your eyes, you get IPA all the way and maybe a little of the dark properties, which in an informal way is how the style is suppose to present itself. This is a really nice beer. It's intense, but it's surprisingly drinkable. I was at the bottom of my glass before I knew it. Not a beer for all. If you are a true IPA fan, grab it if you can get it.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 12 oz bottle. Sublimely pours perfect black with thick tan head, just sits there eventually leaving coating lace. Roasted malt n hops fill the nose. Roasty taste, lots of piney bitter hops bite mid way and dominate the rest of the sip. A hop lover's black  IPA. Medium silky feel. Glad they are bringing this one back occasionally.   
look: 4 | smell: 3.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Poured from a 12oz bottle into a pint glass, about a month after bottling. Pours a deep brown, or mahogany in color. Close to black, but not quite. Head is fairly small (1/4 inch to 1/2), but this is mostly due to my pour, I think, because it's been bigger and more sustained in recent times I've enjoyed this. Lacing however is still pretty present and clings to the side of my glass throughout. Smell is of chocolate and coffee at first, and then of fruity hops. Taste is immediately a roasted quality that leads to more coffee, and some dark chocolate. A slight sweetness, and then a tame, but appreciated hop bite, just enough to stay true to the style. Feel is fairly full bodied and a tad creamy, like a stout of similar strength. Overall, a very tasty and enjoyable beer. Smell was a little more tame than expected, but the layered flavors in each sip more than makes up for what was likely due to a less than perfect pour.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 I got this as part of a seasonal 12-pack mix. The bottle was date stamped as bottled on 6/3/16. I poured a 12oz bottle into a tulip glass.    L: It pours a one finger head and leaves a pretty decent amount of lacing, and is quite black.    T: I really like the black IPA style to begin with. The taste of this one did not disappoint, with a delightfully hoppy taste with significant toasted malt.     F: Rolls over the tongue pretty much like any of the Stone IPA's, a nice feel.    If this beer were available all of the time, I would buy it regularly.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 Received this in the new Stone's 12 bottle variety pack. 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 5 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Great dark IPA , a hoppy bite with notes of dark chocolate and coffee. 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Poured from a bottle into a nonic pint glass. As the name implies, the beer is black. Nice head, nice lacing. I enjoyed the taste but have to say it is not my favorite IPA. I would probably not buy a six pack of this but if included in a mixed twelve pack I would go for it.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 L: black with one finger of white head nice lacing as you drink  S: roasty toasty figs and pine  T: toasted malts, grapefruit, pine, and a hint of alcohol  F: Black IPA feel is tricky. It's crisp, it's got medium carbonation, and the bitterness from the hops and toasted malts are leaving me thirsty. I kind of perceive it as heavier. I believe this is the feel that has been intended.   O: This is a fine brew.   
look: 4 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 I'm so glad they brought this back so I'd have the opportunity to try it! Stone released this in their Mixed 12 Pack, paired with their classic Stone IPA, Ruination Double 2.0, and their new seasonal Citruy Wit. It pours nearly jet black with about a 1/2 inch head and heavy lacing. You get a mild hoppy, resinous aroma initially, but the first sip is a sweet and hoppy burst of flavor, complimented by bready, malty notes that finishes with a subtle pine flavor that does an incredible job of balancing out the full flavor of this beer. So glad to experience this, would love to see it go into regular circulation. 4.5/5   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 Amazing aroma that includes dark fruits, roasted malts, dark caramel, and pine. A rich, complex flavor. Starts a little sweet, and then waves of chocolate malt, bitterness, toasted bread, pine, and caramel malts. This is such a unique and flavorful beer, showcasing phenomenal malts with some hops to give it a bite. Renewed my faith in the oft underwhelming black IPA style.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 12oz. bottled 04/30/16    Pours dark maroon, nearly black with a creamy frothy tan head. Smells like caramelized raisins, dried fig and plums, some candied grapefruit and orange citrus, mild licorice, some tropical pineapple, papaya, dark roasted caramel, toffee, molasses, subtle vanilla, chocolate, coffee, with mild earthy grass and pine. Tastes like dark roasted malts, burnt caramel, toffee, molasses, vanilla, dark chocolate, charred coffee, dark raisins, dried fig and plum, candied caramelized grapefruit and orange citrus, some tropical pineapple and papaya undertones, with earthy grass and pine. Feels medium bodied, creamy with moderate low carbonation. Overall a really nice black IPA.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.5 | overall: 5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pitch black in color, with very slight ruby edges when held to light. Ample tan foam that retains and laces incredibly well. Aroma is pure hops at first - pine, citrus, slight spice. The subtle roasted malts follow, adding a nice complexity. The taste is more balanced between the roasted malts and the hoppy characteristics. Piney, resinous, and roasty. Medium light body with moderate-high carbonation. Slightly bitter, dry finish. Really happy Stone brought this back!   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.5 I am not an IPA drinker so this one was a little rough for me. However, I can't deny it is full of body and flavor and will make any IPA lover beg for more. The smell of coffee (and maybe chocolate) is pleasant and again makes this a standout among IPAs. If you love your porters and/or IPAs then this is for you. For those of you who shy away...take several steps back.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Nicely done black IPA, lots of roast grain and hop bitterness without being overwhelming. Black with abundant beige head, smell mostly of roast grains, hops come in at the taste. Nice mellow bitter finish, some lingers, making you want more.,   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Black ipa pours black, gives about a 1/2" tan head on the top. Aroma smacks of dry hopping. This is definitely better than most black ipas aroma wise.    Taste, lots of hops, bitterness, a little bit of roast, always hoping to stay away from that with black ipas. Definitely hides the high alcohol pretty well. Not my favorite style of beer, but this is one of the better ones (and first).   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of the best Black IPAs you could have. When a drank this i was a hop head and this beer was my bridge to the dark side (BA stouts). I was sad to see it retired.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Pours dark brown with small tan head, head dissipates quickly no lacing.  Smell hoppy smell some toasted malt notes slight grapefruit notes.  Taste nice hop up front flavor bitter orange or grapefruit peel on the back end toasted malts.  Medium body odd after taste   Overall a decent beer probably would not have this again.   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 Pours a very dark brown with a nicely presented tan head. Lacing as you enjoy the brew. Roasted scent assaults the nose, with a bit of citrus following. The same in the mouth. Enjoyable!   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 This was poured into a nonic pint glass.  The appearance was a fairly dark brown color with a one finger off white foamy head that had slow dissipation. Lacing was fairly thick and stuck around for a little bit and then slid into the beer.  The smell started off with roasty burnt caramel and then the big bitter burst of citrus just sharpens under my nose really nicely.  The taste was roasty coffee leading into the semi-roasty to burnt caramel and then somewhat bittersweet through the citrus. A light citric and roasty aftertaste leads into the finish.  The mouthfeel was about medium bodied with a fairly nice sessionability about it. Carbonation hits nicely on the tongue with enough IBU's showing its respected bitter harshness.  Overall, wondering if I might be the last reviewer of this, slightly saddened to see it go, but hey, there's always other black ales in the sea to minister palate wrecking ability that they tend to have.   
look: 4.5 | smell: 3.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 4 | feel: 3.5 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Special favorite strong, black brew. Awesome. 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 3.5 | taste: 3 | feel: 4 | overall: 3 
look: 3 | smell: 3 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 Cola brown with ruby highlights as light shines through. A couple fingers of creamy, inviting tan colored head that leaves huge sheets of lacing.    Not getting a whole lot from the smell, but roasty caramel malts come through alongside some resinous hops and a bit of alcohol.    Taste is roasty coffee, caramel sweetness (especially when warm), and maybe some bitter-sweet chocolate. The lingering bitterness from the dark malts blends into the bitterness from the hops, which also lend a faint hit of citrus. Mouthfeel is not especially heavy to begin with, and an abundance of carbonation makes it feel even lighter.    Overall it is a tasty brew that, while not mind-blowing, is consistently and reliably delicious. I'm sad to see it go.   
look: 5 | smell: 5 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 one of my all-time favorites  so glad this is a regular release now  love the hoppy ipa's from stone and the black ipa is just icing on the cake  far and away the best black ipa i have had the pleasure of sampling and another classic from stone  deep dark color, amazing smell and a bit less subtle hoppiness than the ruinten or ruination which hit you over the head  a perfectly drinkable and enjoyable beer  poured from a bomber into a pint glass  enjoyed frequently   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 Poured from a 22oz. bottle.    A: Pours a deep black with a reddish dark brown appearance when held to light. Head if an inch and half of frothy creamy mocha color. Excellent retention and leaves behind some beautiful lacing.    S: Dark malts, roasted coffee, and caramel upfront. Then I find aromas of citrus, subtle notes of tropical fruits, some alcohol, and a resiny pine hop aroma at the end.    T: Dark malts up front, then a blast of earthy pine hops, and coffee flavors. In the middle you get some dark bread, caramel, and citrus. Finishes with a resinous earthy hop bitterness.    M: Light to medium bodied with a moderate amount of carbonation. Slick and smooth fairly easy to drink. I can't help but wish there was more to this though.    O: A great Black IPA and one of those "classic" brews in my opinion. Well balanced and solid I have enjoyed many of these in my life and will enjoy many more.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 I had this a little while ago but I still remember how good it was. The smell was great. Not to hoppy tasting. Great color in the glass and went very well with the burger I had with it   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.25 | feel: 3.75 | overall: 3.5 Had in a stone variety pack. Poured from the bottle straight into a pint glass.    L - Nice and deep black with a thick, heavy tan head standing a finger and a half high.    S - Burnt coffee, nice roasted maltiness enveloping into toasty warmth.    T - This is where the disappointment comes in. The black coffee and the toasty essence come in, but it doesn't have the punch or embrace the smell lead you on the believe it would.    F - Thick, light to moderate carbonation, lingering coffee for days on end.    O - Good beer, but the taste missed the punch.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 3.5 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 Dark brown pour from a bottle. Small light brown head. Piney aroma with hint of roast. Hints of the roast malt backbone but the piney citrus hop is dominant. Lingering pine and chocolate roast finish.   
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 This is just about anything I could want a beer to be. Smooth and dark with a rich creamy head. Just the right balance of hops and malt to balance the ABV. Dangerous beer. Don't skip it if you get a chance.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.5 A- Dark ruby with an off white head, good retention and lacing  S- Hint of booze, plenty of hops  T- Coffee, malty with an aggressive hop finish. Plenty of lingering bitterness  M- Bright  O- Hoppiest of black IPAs. The roasted malts could be stronger, but a very good black IPA nonetheless   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 2.25 | smell: 3.5 | taste: 2 | feel: 2 | overall: 2.5 This just does not fit my palate. Drain pour for me. It seems like it is probably a nicely constructed beer but I could barely drink it. 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 This is one of my favorite styles, and this ranks up there with the best of them. 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.5 Surprisingly darker beer but with excellent flavor. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Appearance: Black, with a tinge of ruby highlights underneath it all. Huge head of off-white suds, and thick, ornate, detailed lace all make the initial showing a pleasure.    Aroma: Delicious and balanced, blending chocolate roasty maltiness with fresh fruity, citrusy hops.    Taste: Bold, assertive, and big, with the bitter citrus hops taking precedence over the roasty malts. There are, of course, notes of burnt chocolate in there, adding a subtlety to the big hops. The mix is masterful and this is a downright wonderful brew.   
