look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Stone RuinTen Triple IPA pours a semi clear yet slightly cloudy amber color. A sizable bubbly soapy lather of a head caps the top, its white color accentuated by a tan hue. It retains well and leaves plenty of sudsy lacing.  The aroma, modest at first, is not necessarily a harbinger of things to come. Lots of caramel at first. There is the slightest bit of pine and cooking herbs and spices. Fruity yet not as citrusy as other IPAs; light grapefruit, however, there is a stronger emphasis on dried apricot, fig, and peach. The aroma opens up more well into the drink and on the malty side. For example, a biscuity malt makes its presence felt. Finally, wonderful sweet aroma of warm and freshly baked blueberry muffins caps things off.   In the mouth it is a complex combination of plump and juicy fruitiness, smooth and velvety malts that coat the mouth like a soft pillow, and a moderate to high pine hops prickle. Medium to full bodied, even chewy, yet dangerously drinkable. Feels like a hoppy barley wine at times. The carbonation is gentle. The fruity tones consist of apricot and moderate grapefruit and citrus twang on the backend. Sweet finish with a strong herbal, resiny and bitter linger.  I drank a whole bomber to myself and barely noticed the high ABV...until I got up! A more malt forward DIPA but with a strong hops bite. I enjoyed it a lot.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 2.75 | feel: 4.5 | overall: 3.25 I don't get the high ratings... Are they based on the brewery's reputation and the fact that it is such a "big" beer?  A "triple IPA" like this is most likely aimed at hopheads, so why would a brewer decide to "balance" the hops with such a syrupy sweet load of malt?  The hops are huge and dank, dank, dank. I kept thinking of a damp moldy basement and wet cut grass, along with some grapefruit rind and overripe orange. Not at all bright and crisp, which I would prefer. Alcohol is well hidden. Then comes the malt, which is brown sugary syrupy and cloying. My palate adjusted to the hops within minutes, after which I became increasingly annoyed by the sweetness and the needless complexity and confusing mess of tastes. In that sense it reminded me of Arrogant Bastard only bigger, hoppier, thicker, sweeter, more confusing.  In contrast to this one, I do highly recommend Stone's Enjoy By xx.xx.xx IPA.   
look: 4.25 | smell: 4 | taste: 5 | feel: 4.75 | overall: 4.5 Poured on draught at a local brewery. The sweetness of this beer just jumps out at me. What a great taste and feel. Very Creamy. While I get the citrus somewhat it's the sweetness that sticks. I think that to me over takes everything else which would normally be a bad thing but not here. This is that delicious. Well-done   
look: 4 | smell: 3.75 | taste: 5 | feel: 5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Poured from 22oz bottle into Snifter glass. Bottled on June 6th 2017.     L: Beautiful amber, nice and clear, Finger width off-white head has excellent retention.     S: Strong aroma of citrus, grapefruit, orange, melon and some herbal backnotes of grass.     T: Very strong citrus again like the nose, the herbal fades away here.     F: Chewy! Super strong bitterness, medium-full body, low carbonation, dry finish.     O: Not a super complex TIPA, but tons of hop presence as expected and a neat beer.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 22oz bomber poured into a snifter.  A-Orange hazy color with a white head   S-An orange peel aroma mixed with pine, malts and hops.  T-Very hop forward but also got guava, citrus, pine, grapefruit in the taste.  M-Full creamy mouthfeel with a nice crispy hop finish. Medium carbination and the bitterness was medium on the verge of high but still enjoyable to a non IPA drinker.   O-Not a huge fan of IPA's but this one is definitely something I would buy again. It was not overly bitter and had a pretty complex profile.   
look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 2017 bomber. This year has orange peel and vanilla in it. Its a nice juicy ipa at 10.8%. Clear filtered look. Tastes juicy, hoppy with hints of the orange peel and vanilla mentioned. This is an enjoyable beer if you can handle the flavors mentioned. I'd prefer it without the vanilla, but it's not overpowering. I'd like to try one bext year if they ditch the vanilla.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 A 22 oz. bomber poured into a snifter glass.     Appearance- An amber to red hazy color with less than a finger of tan head. Thin spotted lacing around the glass.    Smell- Citrus mix of grapefruit, orange, tangerine and other tropical notes. The malts are combined with an awesome piney aroma.     Taste- The bitterness and piney notes blend nicely with the citrus flavors. I expected more alcohol in the taste but not much there. Actually finished a little sweeter than the aroma led me to believe.     Mouthfeel- Nice carbonation pushes the crisp taste with light dryness for the finish. An interesting lingering taste kind of just stuck there.     Overall- A great triple IPA with a brilliantly disguised high ABV. The bitterness and tropic notes combine for a dangerously drinkable brew clocking in at almost 11%.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 From Untappd 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Stone Brewing 'RuinTen Triple IPA' @ 10.8% , served from a 2015 edition , 650 ml bottle purchased for $15  A-pour is a cloudy orange from the bottle to glass with a small off-white head leaving a spotty lace along the pint  S-pungent , hops & malts  T-smooth tasting TIPA , butt no wow factor   MF-ok carbonation too start...fade's quickly , yep full bodied  Ov-could be a great beer fresh or even some age , just a year late in trying this beer , bit of a shelf turd from Cook St.  prost LampertLand   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.25 | feel: 4 | overall: 4 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 5 | taste: 3.75 | feel: 4 | overall: 4 Ok so I understand that it's Jan 1st New Year's Day and my bottle was brewed June 8th and I am supposed to drink this 90 days within its bottling but only found out about this beer a month ago and Stone hasn't given a 2017 release schedule yet so I figure it's either now or never, so anyway on with the analysis:  Poured into a goblet, color is blood orange scotch-like copper with a bubbly puddle of a head. Solid mass, no bubbly body. No smearing of the glass.  Aroma: pineapple, coconut, peach, and orange.  feel: mildly dank, medium tannins, boozy, malty.  Taste: tastes boozy, more like a scotch ale rather than an IPA and no tingling of the tongue that I expected and what was very prominent in 2.0. Now this is a most likely result of this beer being 7 months old and perhaps a new bold flavor arises when not drunk fresh. If stone brews this in 2017 I will definitely buy a fresh one to compare but as already mentioned it was a now or never putchase.  Other flavors detected: pineapple, guava, peach, orange, grapefruit, peach, coconut, malt, pine, biscuit, and mild dankness. It's almost like a super smooth double arrogant bastard.  As always have to salute Stone because it's dank, good consistency, brewed well, and tastes delicious even if not fresh.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 4.5 | feel: 3.75 | overall: 4 Good malty undertone 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 650ml fresh bottle poured into a sniffer.    Clear in texture, glow and very beautiful orange amber color with thick fluffy off-white head that withstands with very good retention, it only slowly dissipates to everlasting frothy crown along with plenty of sticky and refined lacing patch and spot along the glass-side. There is some visibility of slow risen effervescence pushing upwards.    Garden of hoppy eden bursts in the aroma with intense notes of floral, juicy, citrus, bitter orange, grapefruit, lemon, resin, oily, pine, passion fruit, pine apple, very tropical, slight grassy, some dank, and some spice, anyway, malt is not being forsaken with a note of breadiness in the background.    The taste is still mainly dominated by hoppiness affair with notes of everything indicated in the aroma. Malt is more pronounced here with sweet breadiness and caramel qualities in order to try to alleviate the extremity of the mighty hop. Alcohol is pronounced in the middle with some booziness while it is hop again to wrap up the finish with a solid, persistent yet clean bitterness that is also lingered as a long tail in the aftertaste.    Full body with silky smooth mouthfeel with some lively and crisp carbonation that is well suit to carry all the things well, yes this beer has big body but the feeling is just right, not too heavy or not too thin, dry finish.    Wow, this is just wow. There are loads of hop to entertain any hop heads. Anyway, I didn’t feel that it is too much excessive. Thanks for the part of malt that tries to add some complexity and balance, excellent DIPA without doubt.   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 3.5 | overall: 4 It pours a golden orange color, slightly hazy with a modest head. The aroma is of hops (it is an IPA), very floral & sweet. Taste: there is the orange, sweet & & bitter & a salty finish. The vanilla bean is the last to arrive at the party but the orange is the last to leave. A nice balance & interesting selection of flavors. In not a fan of IPA's but I like this. I think it could use a little more fizzz, though. Very good.   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.75 Pour: deep reddish caramel color with a nice two finger head that dissapated to a small white ring around the top. Left a nice lace on glass.    Smell: biscuit malty smell with citrus and pine undertones.    Taste: citrus and pine upfront from very strong yet balanced hops. The middle is another level of hop spice and earthy flavors. The finish is suprisingly clean with just a light hop oil left in the mouth.    Feel: mid weight beer with perfect carbonation.    Overall: by far one of the best IPA's I've ever had. From the pour to the finish quite impressive.   
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.75 Ordered from Beer52, and poured to a regular kitchen glass due to lack of proper beer glass. Drank on a tasting that had so far Founders Backwoods Bastard, Bourbon Barrel-Aged Arrogant Bastard and Brooklyn American Ale. Note, this beer was bottled on November 2015, totally NOT FRESH.    A: The appearance is bit hazy with a yellow-y and orange body with a white head that vanishes quickly but leaves nice lacing.   S: The aroma is a perfect round shape of malt, pine and citrus together, all in the same strength. Very good tone to it.  T: This taste is one of the most wonderful things I've ever had even though the beer is to be TOTALLY NOT FRESH. On the start of the sip, you can taste the sweetness of the malt that when you start bringing the beer back to the throat starts to be a bit more bitter to each half of inch it crawls on mouth. In the end, it ends a bit bitter with a touch of citrus and hops, while the citrus profile is present in the sweetness, in the transformation, and in the end. It's totally great, amazing, incredible.  M: The mouthfeel is great, the bitterness is high but nothing harsh, nothing like a kick, more like a friendly touch. The density is great as well.  O: Best. Stone. Beer. Ever.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3 | feel: 3 | overall: 3 On tap at the Office in Summit. I was rather disappointed by this brew. The alcohol was not well-masked at all, in fact, it was cloying and overwhelming, and distracted from the overall flavor of the brew. Pours an amber hue with minimal frothing. Strong pine flavors evident. Not recommended.   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 Poured from a bomber into a snifter. Bottled 6/8/16.    Pours a slightly hazy, Amber-red color. 1/2 inch tan head with good retention. Wispy, thin white lacing.    Aromas of tropical fruits and citrus notes of orange and tangerine. Piney hops accompanied by sweet and cracker malt tones. Earthy hop notes as it warms.    Strong piney, hoppy bitterness accompanied by orange and citrus rind notes. Sweet and fruity notes follow.    Medium-bodied, smooth, very crisp, good carbonation, with some dryness near the end.    Overall, a good triple IPA. Stone definitely hides the ABV well with this one. Nice fruity and citrus notes to tone down the bitterness to the perfect level. Fairly easy drinking for a triple.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 I won't repeat what so many other lovers of this beer have already stated. Let me just say that as man who appreciates a good IPA, this is one of the very best.  I got it through a regional beer club. It came in a bottle and poured a rich, deep copper color with a wonderful aroma. It is just the right combination of bitter and malt.  If you can find this beer, buy it. You can thank me later.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 4.25 Bomber poured into a wine glass.    Look: Clear golden color, almost orange. One finger white head. Drops down to a nice solid cap, some speckled lacing, and some very oily legs when swirled.    Smell: Orange, nectarine, and vanilla stand out the most. Sweet fragrances come through as honey as well. Other citrus notes come through as grapefruit, and maybe tangerine. Pretty balanced in the nose, but it leans a little malty/sweet.    Taste: A mouthful of oranges and nectarines, gives way to tangerine, then pithy grapefruit. A nice malty honey sweetness doesn't let this one get too bitter. Big citrus hop flavors with big malty sweetness leads to a balanced beer overall, that's bursting with flavor. Taste definitely exhibits some spicy alcohol character as well.    Mouthfeel: Subtle carbonation, soft and oily. Incredibly subtle mouthfeel for such a big beer.    Overall: This beer is pretty quafable for such a big IPA. Balance is good. Hoppiness isn't harsh or out of control. If you have a bottle in your fridge I'd say drink it ASAP. I have had a couple bottles of this since it was released, and it was better a few weeks ago.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 A-a clear amber color with a fingers worth of white head that sticks to the glass    S-aroma of lots of citrus, pine, and some caramel malts    T-taste is similar to the smell and starts out with lots of citrus and piney bitterness but also has a layer of sweet honey and caramel    M-nice body, good carbonation    Overall a very big tasting beer, but well hidden alcohol. Pretty good.   
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Bottled on 6/8/2016. Poured into IPA glass. It pours a pretty, hazy orange-amber color with one finger of milk-white head and lacing. The tiny bubbles ascend the glass throughout the pour. It smells of sweet malt, pine needles, grapefruit, orange, peach and other sweet, tropical fruit,and resinous hops. What a taste! It has a solid malt base with a touch of caramel, followed by a combination of sweet fruit and citrus, and a nice hoppy finish. I'm actually surprised it isn't more bitter and biting. All of the flavors blend seamlessly to produce a great taste experience. You can also really notice the alcohol. If there were ever a "chewy" IPA, then this would be it. It's rich and creamy and the 10.8% ABV packs a punch. Overall, this is an outstanding Triple IPA, definitely meriting its lofty rating. It drinks like a Barleywine. It could easily be savored with a good meal or for after dinner. Just great!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Kind of a musty orange color with a good pine and citrus smell going on. Nice caramel consistency along with the bitter citrus flavors. This doesn't drink like an almost 11% beer. Stone does it again with their amazing IPAs. Should have picked up two at the store!   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Definitely a hop bomb! Had a reddish, malty color and flavor. 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 Maybee it because it is very hot outside but this is a superb beer. Best IPA I have had 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 22oz. bottled on 06/16/16    Pours clear rusty dark orange with a creamy off white foam head. Smells like fresh melons, red berries, guava, ripe papaya, pineapple, peach, red grapefruit, orange citrus, dark caramel malt, biscuity toffee, brown sugar, with bitter leafy herbal pine and dank earthy grass. Tastes like dark roasty caramel malt, biscuity dark toffee, charred brown sugar, dark red berries, melons, papaya, guava, some peach, red grapefruit, orange citrus, pineapple, with bitter leafy herbal pine and dank earthy grass. Feels medium-light bodied, creamy with moderate carbonation. Overall a really great and balanced triple IPA.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 Look: Deep amber. Dense, off-white head.    Smell: Pine and citrus rind. Some caramel, malt sweetness, and raisins.    Taste: Grapefruit rind and pine instantly gives out to tons of sweet, bready malt, and caramel. I get some hints of raisins and molasses as well. A mild piney, bitter aftertaste lingers for a while, seeming to almost stick to my tongue.    Feel: Medium-full-bodied. Low carbonation. It's pretty thick, maybe more so than some may like, but it's smooth.    It's not something I'd want to, or even could, drink all the time, but it's a great experience. A lot of really intense flavors mingle together in a very satisfying way.   
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 Look forward to this beer every June, not just a big bold hoppy beer, but so much hop flavors and complex notes going on, Outstanding!!! 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 Okay. Phone the neighbors and wake the kids. This is super solid. I am a bit worried that I am not noticing the high ABV. That can be a dangerous thing on a beverage this tasty. Find it, drink it, enjoy it.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 Big, bold and beautiful. Bottled on 16 Jun 2016. Pours a deep copper with a nice off-white head. Visually, my perfect beer. Overflowing with piney hops but still remarkably well balanced. Maybe my new favorite IPA.   
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.75 This a STONE beer! I have been a fan for a long time. If you are looking for something intense with DEEP hops then you are here. Very piney like stone is known for in their HG beers. Not overwhelming but intense...yes I used intense again...I can't write a book like they do about their stuff but INTENSE. Get it, gobble it, and feel....Don't drive!!!!!!!!!!   
look: 4 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 Yes this beer will destroy your palate! It's big, it's bad, and it is what you think it is. It will get you lit in a hurry, but that's okay. Hopefully your not driving and its the last beer of the night.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4 Big malty and boozy IPA with grapefruit and pine.The pine is the star and is balanced well with the sweetness. The bitterness lingers on in this copper colored, crystal clear beer. This is a big, in your face Imperial IPA that works.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
