look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Scotch ale not quite as dark as a porter. Should have liked but the flavor was really blaah 
look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 3 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Mostly just tasted like a light stout or heavier porter to me. The scotch taste was light. 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.5 Lived in northern Scotland for 4 years in the 70's. This has all the flavor to remind me of that time. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 A bit on the bitter side on the back end. Otherwise, a good quality scotch ale. 
look: 4 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Color: dark brown, cloudy, tanned head  Nose: spicy, sweet, dark fruits (raisins, prunes), rich, chocolatey   Palate: malty, rich, similar to certain Belgian ales I've tried  Finish: nice hop balance and warming from alcohol    Definitely one of my better experiences. Didn't get too much peat or earth. Will buy again   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Poured into a pint glass via bottle    Color is a rustic brown    Smell is sweet and rusty (old bottle perhaps?)    Taste is sweet and malty with some hop bite    Low carbonation    Light mouthfeel    Not a huge fan of this style and this beer didnt do much to convince me otherwise   
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 The nose on this beer is so excellent. Caramel malt, toffee. Very sweet malt flavor with some peaty-ness. That fades quickly into a more intense hop finish than one would expect with a scotch ale. I think that's why I like it so much though. The hop finish is right up my alley. I could see why other would be dissuaded from it within this style of beer. $8.99 a six pack for this 8.5% sipper is a great deal and it's a beer that I will pick up fairly often.   
look: 3.75 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 L: Pours a dark red purple mahogany color with a small brown tan head and no lacing on the glass.    S: Sweet molasses, caramel and cherry, a slight note of burnt sugar. Some toffee, smells very malt without much hop. Also smells very inviting.    T: Molasses, caramel and toffee, slightly tart cherry, a burnt sugar that adds a slightly off putting bitterness. Not as big of a fan of the taste as I am of the smell. It is still pretty good but a let down after the aroma.    F: Medium body, not quite as heavy as I expected but still work.    O: Great aroma, flavor not quite as good but still a solid beer.   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Look- Reddish brown.  Smell- smells of dark fruits almost cherry like.  Taste- sweet malty flavor, with a hint of alcohol burn in the end. It’s a nice sipping ale for a cold winter night.  Mouth feel- medium.   
look: 3.5 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 Bought at Supermarket Liquors in Fort Collins. Bottled October 18th 2018.    Pours a dark reddish brown with an off white head of foam, nice lacing.     Smells of burnt brown sugar, caramel malt, toffee.     The taste is burnt brown sugar which gives it some bitterness, caramel malt brings the sweetness, toffee, maybe some vanilla, kind of toasty.     Fairly light bodied with lightish carbonation, finish is decidedly burnt and bitter.     Not much alcohol interference, still a sipper that I enjoy.   
look: 4.25 | smell: 3.5 | taste: 2 | feel: 2.25 | overall: 2.5 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 Poured into a tall clear pint glass. Pours a dark ruby hue, somewhat pinkish thick head, good lacing and retention. Tiny floaters are present.    Aroma is very floral and herbal, all quite pleasant. Notes of cherries, prunes, dark fruit, some butterscotch, caramel, toffee, roasted malts, and smoke.     Much like the aroma. However upfront is the smoke and roasted malts, along with the bitter hops. Feels creamy smooth.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3 | smell: 3.5 | taste: 3.25 | feel: 3.75 | overall: 3.5 Pours dark ruby with pinkish tinged head. Clear beer with vast amounts of swirling chunks.    Apple aroma, touch of toffee and caramel.    Taste adds burnt, bitter sugar, . Full body, well carbed, alcohol present.    The acrid bitterness is amiss, unfortunately.   
look: 5 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Poured from 12oz bottle into glass. Label has bottled on date as '06.05.18'.  Deep amber colored body, with ruby red highlights when back lit. One finger off white head sticks around as creamy cap. Leaves behind a scattered pattern of lacing spots.  Aroma of roasted malts and caramel/toffee. Whiffs of dark fruit, smoke, peat, and hops.  Taste is sweet caramel and toffee malt, with the additions of smoke, prune, peat. Has some floral hops floating in the background. No bitterness, no char.  Fuller mouth feel, with good carbonation.  Yummy beer for in front of the fireplace, but it is sweet. Good enjoyment in the mouth, and brings up images of wind swept Scottish islands.   
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Pours a dark amber color. Smell is butterscotch. Taste is malt, hops, butterscotch, brown sugar, and plum. Slight chocolate taste. 
look: 4 | smell: 4.5 | taste: 1.75 | feel: 1.5 | overall: 2 It had a really creamy feel to it which doesn't appeal to me. The after taste didn't settle well with my taste buds. 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Amazing beer! Mix it with Breakfast Stout for "Dirty Oats" and you will be amazed! Soooo good! This beer is dark, has a chocolate and coffee flavor, high percent, tastes great! Only possible problem is it is a filling beer but with the high percent you don't need to drink much!   
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 3.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 12 Oz Bottle poured into glass  Look - dark amber reddish brown with a thick tan head. Decent glass lacing.   Smell - Gotta say i expected more from this, just lacking any real aroma. Not smoky or scotch-like at all but it smells like any average strong malty ale  Taste - I had expected this to be real smoky but adjusting my expectations, this is a real good beer. Flavor is quite sweet but with the bitterness taking over to finish it nicely. Very malty and medium-full bodied. Can't really detect the alcohol. Carbonation is only medium-low. There's not one flavor that takes over, very well balanced.    Overall, this packs a punch. Nothing really scotch-like about it but it's my first scotch style ale so i didn't know what i would be getting. Regardless, I like it a lot. It's filling but its enjoyable. Grade is an A   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3 | smell: 3 | taste: 2 | feel: 3 | overall: 2.5 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Couldn't decide if I wanted a cold seltzer to quench my thirst or a glass of scotch...I reached for one of these that had been sitting in the back of my fridge for well over a year. Great beer. Packed full of flavor.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Decent beer / dark ruby color with a strong malt taste coupled with bitterness. It’s definately a decent beer, but I prefer many of the other offering from Foudners more like KBS, and Breakfast Stout.   
look: 3.5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 Pours a dark brown with thin tan head that quickly reduces to a solid rim. Sweet, porter-like aromas of malt, chocolate, caramel, cherry. Caramel especially shines through in the flavor, accompanied by a substantial sweetness. It's mildly earthy, smoky, and peaty. There's a moderate amount of alcohol flavor coming through. The sweetness is pretty well balanced by a fairly heavy dose of bitterness that lingers long into the aftertaste. Smooth and moderately carbonated.   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 1st Founders beer I tasted some years back while on fly fishing trip to Michigan. Tried 6 pack after very hot humid day on the Au Sable and it hit the spot. Try Scottish ales when I see them but have not found one better. Will keep looking. Scottish spey casters visiting the Golden Gate Angling Club were overjoyed to find they could get it in the bay area to take back to Scotland where it has a following.   
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 12-oz bottle into Belgian ale glass    A - generous head of khaki over a body of deep red/brown; nice web of lace    S - brown sugar, dark fruits    T - caramel and brown sugar, dark fruits, touch of earthy bitterness, hint of peat, semi-dry finish     M - light/medium carbonation, smooth and chewy medium body    O - a very nice Scotch ale   
look: 4.75 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4 Pours caramel brown with little head straight from fridge. This feels like a beer that would shine better at a warmer temperature. Very boozy from the start but as it warmed, flavors of peat and dates come through. At the finish the glass definitely smells of scotch whiskey and oak. Not sure if it's growing on me or if the high ABV is kicking in! Another interesting brew from one of my favorite brewers.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 Pours a dark reddish brown with a khaki head, excellent lacing.  Nose is toffee, caramel and brown sugar. Taste matches the nose with just a hint of alcohol. It's been awhile since I've had one, forgot good it is. Now I need to dig out a Backwoods Bastard.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 355ml bottle, poured into Stone snifter.  A: Dark mahogany, opaque, an initial tanned head made a quick getaway, left a moderate amount lacing.  S: Cherry, caramel , toffee, molasses.  T: Followed the nose, made a good job of hiding the booze.  M: Not much in the way of carbonation, creamy texture, light body for the high abv.  O: Nice beer for the colder weather, Stone Arrogant Bastard on steroids.   
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 12oz bottled 6/5/18 (72 days ago) poured into a thistle glass at fridge temp 8.5% ABV 50 IBU. The beer pours bright medium brown with ruby highlights. The head is light brown and quickly falls to a few bubbles. The aroma is strong with malt (burnt sugar, earth, toffee). The taste is semisweet caramel with an earthy, medium bitterness. There are hints of peat and alcohol that poke through as it warms. Mouthfeel is medium bodied, adequately carbonated and somewhat dry in the finish. Overall, very good. Certainly a first place for value. Recommended.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 Pour out dark brown with red hues. Head is khaki colored with moderate retention. Lacing is minimal but even around the glass.    The nose is sweet and malty. Picking up raisins, cinnamon, licorice, caramel, cotton candy, molasses and lightly toasted grains similar to toasted wheat bread. There is also a hint of booze. This beer is extremely aromatic.    Sweet and a bit boozy up front. Getting the raisins, caramel and a hint of chocolate. Vanilla is present through the middle and continues through the finish. Tasty stuff.    Mouthfeel is full bodied. Feels a bit slick. Carbonation feels nice. Not too bubbly.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Great brew. Heavy enough for the Porter lovers, but not too aggressive. Great match with burger or red sauce, steak, summer or winter. Well-brewed.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Probably my favorite scotch type ale. Not overly sweet, slightly boozy, looks great in the glass, smooth taste and finish. Very enjoyable to sit back with this one plus its easy to find and cheap. Can't beat it at $9 for a six pack. Try it!   
look: 4.5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 Love the ole dirty bastard! 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 This is the second year I've had this beer. This year it was much more smoky than last. Very similar to Oskar Blues Old Chub. Still a solid and tasty brew.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Finally getting around to this one. Pours a brown color that turns almost mahogany in the light, with a good two finger off white head that slipped away pretty steadily. Some pretty good lacing is left behind, and a fingernail or two of a ring is settled on the top. Smells of some deep wood and smoke, lots of malty goodness though not as strong of an aroma as anticipated. Taste follows with a strong smoky and malty flavor, a bit of raisins and caramel come through and a hop undertone that keeps things balanced and well in check. Zero burn, finishes very dry and the lingering taste of a barrel stick with ya. Haven't tried Backwoods Bastard yet but this could only get better with some bourbon in the mix.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4 Excellent variety Scotch Ale. Heavy chocolate, finishing in smoke with palatable hops rounding it off. 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 4.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 4 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3.5 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.75 | taste: 4 | feel: 3.5 | overall: 4.25 Great Scotch style ale! Really incredible aroma and a great look when gently poured into a glass. Decent lacing. Taste is earthy, smoky, and reminiscent of aged wood. Surprisingly hoppy. Feel is a little abrasive, but overall good. Well worth a try, as it's widely available in many areas of the Midwest.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 pours an opaque black smells of bourbon molasses and a bit of smoke. substancial roasted malt tastewith a burnt and dry finish. the driness remains for quite some time, mouth feel is very carbonated i haven't had many beers of this style but it is the second best behind backwoods bastard that i have had and the finish is its strongest point   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 3.25 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Very nice, smooth scotch ale. Nice dark brown color with small amount of tan head that fades. Minimal lingering lacing. Smells faintly of scotch and raisin. Tastes of raisin, plum, scotch, caramel and malt. Mild alcohol taste throughout, quite well hidden. Smooth, mild mouthfeel with no bitter aftertaste. Maybe a tad sweet but still great when paired with dinner.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 2.75 | taste: 2.75 | feel: 3 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 4 | feel: 4.5 | overall: 4.5 **  04/25/18    bottle to tulip glass.    LOOK:Dark brown with the slightest maroonish hue. Healthy off white head, fades to a small lasting head. Great retention.   AROMA: grape, barley, touch of wood and/or smoke.  TASTE: Raisin, plum, brandy, bread, fruitcake.  FEEL: Medium to full bodied. Creamy and very smooth.     One of the better scotch ales I've had.     **   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Wow, this is great, it pours a dark amber but still able to see through it. The smell is of dark fruits, raisin manly to me. The taste is of fig, raisin and a good blend of malts. Somewhat thick to drink but not unpleasant. Overall much better than I had expected.   
look: 4.5 | smell: 3.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours a dark reddish brown, head dissipates quickly. Some floaty chunks.  Nose is apple, apricot, raisin, plum.  Taste is toffee, raisin, apple, cranberry, maybe some coffee at the end.  Mouthfeel is fairly creamy, nice bubbles and moderate thickness.  Overall, very enjoyable. Thankful for an opportunity to try a style that I don't seek out very often.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Hot damn, we have ourselves a winner here, my children. Rich and velvety like Emily Rarajkowski popping out of a cake, I’m feelin’ this one. Smooth scotch flavor, smooth malts... can I say yes please?   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.25 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 2 | feel: 2.75 | overall: 2 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 3 | feel: 3 | overall: 3 
look: 2.5 | smell: 3.5 | taste: 4.25 | feel: 3.5 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 Bottled 1/5/18. Poured into a tulip glass.     Pour: reddish brown with a slight tan head. Head dissipates fairly quickly leaving some clouds and a thin ring.     Nose: sweet malts dominate the nose. Some alcohol vapor, dark fruits.     Taste: light roast malts, plenty of sweetness. Some bitterness on the backend.     Mouthfeel: a little oily, moderate carbonation. Nice.     Overall: I love Backwoods Bastard and haven’t had Dirty Bastard in a long while. While this is a decent Scotch Ale, I’m maybe not a huge scotch ale fan. Not very complex, more sweetness without anything to balance it. Ok but not a go to.   
look: 4.25 | smell: 3.5 | taste: 3.25 | feel: 4.5 | overall: 3.25 
look: 4.75 | smell: 4.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 Pours a dark brown Mahogany with an impressive 2 full finger sticky head, great retention and sticky side glass lace.  AROMA: Strong molasses, caramel, raisin, prune. Maybe some chocolate licorice.  TASTE: Burnt malts, sweet molasses. Complex but too sweet for my liking.  This beer has a lot going on but that complexity, while interesting, does not end with a refreshing ale.   
look: 3.75 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3.25 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of my go-to's 
look: 5 | smell: 4 | taste: 4 | feel: 5 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.25 | feel: 3.75 | overall: 3.5 Dark brown body, decent lacing at the begining, didn't persist throughout the session though.    Strong caramel notes on the nose. Complex.    Flavor somewhat subdued compared to the aroma. Yes, caramelly, but strong, biting hop bitterness is also competing for presence.    Overall this beer is all aroma, and no flavor. Smells great, complex and inviting. The hop bitterness and flavor are WAY too high. It detracts from the caramel notes.    Not a bad beer, definitely worth searching out. Could use some fine tuning though--or let it age at least 12 months to let the hops drop out before trying it. My bottle was just under 6 months old according to the bottle date.   
look: 4 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
