look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 A 22oz bottle of bourbon barrel aged stout dated 12/18/18. Slick oily black appearance with a thin veneer of brown head. Mild aroma of sour mash. Flavor is all about that bourbon barrel, boozy with vanilla and oak. Stout flavors are clearly an afterthought here. Roasted barley provides the color, like a porter, but roasty and toasty flavors hardly make an appearance. Though boozy, it doesn't burn, and at 11% this could prove quite dangerous (I'd have guessed around 8.5%-9%). BBA imperial stout is BBA imperial stout... but this one doesn't impress.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 22oz bottle poured into a tulip glass at 51°F. Bottled 11/13/18.    L: Pours dark brown with tan head with low head retention. From the pour, it looks like it will be a bit thin.  S: Roasted malt with more dark chocolate notes and no burnt aromas. Picking up more fruit esters than I would've expected. Pleasant aroma but not getting any boozy notes from the bourbon or anything that really screams stout.  T: Very slight burnt flavor, but mostly very smooth with lots of vanilla sweetness. Maybe a touch of chocolate. Not getting any boozy flavors from the bourbon and not much complexity overall. It's good, but there's not much depth here. It's all sweetness. Hides the 11% well.  F: Smooth but thin. Low carbonation. Does build over time to feel a bit sticky, but not too bad.  O: This is a very inoffensive BBA stout. It's a slightly thinner stout, without strong bourbon flavors or heavy burnt notes from the roasted malt. Judged on its own merits, it's a good tasting stout for anyone with a sweet tooth. However, I would expect many people who regularly drink BBA stouts to be underwhelmed.   
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 I really love this beer it's got the perfect amount of Bourbon barrel taste 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.5 L: Dense dark brown with small head. The look matches my expectations prior to pouring.  S: First time I am having a barrel aged stout, so this aroma is new to me on a beer. Getting the bourbon barrel oak first with vanilla underneath. Notable chocolate and banana once you get past the bourbon.  T: On the first few sips the bourbon barrel is immediately noticeable. As it comes closer to room temp the chocolatey and creamy malt character really balances well with the barrel oak which you start to get towards the end. Initially I thought the barrel aging might just be kind of a novelty, but it really does add character and balances the taste well.  F: Creamy with a pleasant carbonation for this type of beer.  O: This is a well executed beer all-around. It is a balanced and exciting option when I am in the mood for something with higher abv (11%). I normally don't drink stouts, but I will definitely drink more of this in the future.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 5 | overall: 4.75 I figured with a name like Dragons Milk it would be different. I was not disappointed. I little strong with a powerful vanilla taste. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Dec 30 18. Banana/coconut and bourbon. Oh Yes! It delivers! Def bananas enough coconut and bourbon barrel. Smooth not chalky. Soooo tasty! 11% easy drinking. Go get it. Not complex   
look: 4 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 12 ounce bottle poured into a tulip glass.    L---Deep, dark brown that allows no light through. Light brown head was fairly small, but appropriate for ABV. No real retention and much better than expected lacing.     S---Milk chocolate is most noticeable. Smells a little boozy, but that's just the bourbon barrel. Some roasty vanilla and a touch of coffee are also present. Very nice aroma.    T---As in the nose, milk chocolate is dominant followed by the oak & bourbon of the barrel. Vanilla is more prominent than it smelled. There's a lot going on here. Complex and excellent.    F---Rich, thick & creamy. Mouthfilling. Perfect for the style. Minimal carbonation.    O---Wow, this is a good one. It definitely opened up a ton as it went from fridge temp to room temp. If only every beer could be like this, the world would be a better place.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Very impressive! Mouthfeel is full-bodied, smooth in the Guinness vein. A deep vanilla flavor comes at you from the outset, balanced by oak barrel aging process.   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.75 | overall: 4.25 This is definitely a sipping beer. Strong flavor excellent finish 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 12 oz bottle into chalice. Dated 11/21/17. Been aged in cellar for a year.   look is black. Smell is sweet roasted malt. Taste follows and has little boozy end. Feel is medium and smooth. Overall a very nice representation of this style.   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 This is good, but the Nitro Milk Stout by Left Hand seems to be half the price here, and as good flavor, though this may be a little more complex. This is 11% though:)   
look: 5 | smell: 3.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 Looks almost perfectly black, smells like aged bourbon, tastes of chocolate, coffee, licorice and bourbon, and is mildly carbonated and goes down very smooth.    Overall, this is an exceptional imperial Stout that was definitely worth the hefty price tag and I will certainly buy it again. I find many strong imperial stouts to be a little bit too overwhelming at times especially when drinking more than one, but Dragon's Milk, while just as strong as any other does not feel like it's too much. When combined with the fact that it goes down so smoothly and is 11%, that makes this a dangerous imperial stout!   
look: 4 | smell: 3.75 | taste: 3 | feel: 2.75 | overall: 3 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Excellent Stout! I am normally a DIPA drinker, but this is the time of year for stouts and wanted to try this one. I had it on tap and plan to get stock some for the holidays. Delicious!   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 This was my first introduction to an imperial stout and I fell in love from the first smell to the last sip. Itsyhard for people to understand a female liking something this strong11% dark and full of flavor. When I am asked how do you “drink it?” I say slow and with a great steak or a red sauce pasta!  This IS my happy place beer   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Aroma of cocoa, coffee ice cream, sweet root beer, booze, vanilla, brown sugar and bourbon. Heavy dark brown, almost black pour. Tastes of cocoa, root beer, coffee ice cream, bourbon, spice, oak, vanilla with a booze on the back end. Robust, heavy, and full flavored. Lingering finish. Great beer.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Poured from 22 oz bottle into chilled glass mug. Very dark colour, dark brown with very little light seeing through. Very thin head. Smells of sweet malts. This has a great taste and that's coming from someone who is more of a pale ale/IPA fan. I find stouts overly sweet/heavy but this one is right on the mark with great mouthfeel and at an 11 abv that'll kick you into the next level. Great beer! Prost!   
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Great BBA stout. Much smoother and less bitey than its peers. Very creamy mouthfeel with heavy notes of dark chocolate, coffee, and bourbon. More subtle notes of dates, sundried plum,vanilla, toffee, and caramel. Overall, a great beer to enjoy during a chilly December day in the northeast.   
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 From notes 1/27/13: Pours clear, deep brown with red highlights producing 1.5 fingers of tan, somewhat lasting, frothy head that leaves a nice coating of lace. Aroma is coco, dark chocolate, bourbon and woody vanilla with hints of caramel, coconut, coffee and figs. Taste is semisweet chocolate, heavy bourbon, dark roast, toasted pumpernickel and molasses with hints of burnt caramel, toffee and dark fruits. The booze is up front and forceful. No noticeable hop presence. Aftertaste is boozy, sweet,faintly peppery but short-lived with only a hint of bitter. Mouthfeel is medium-heavy bodied, creamy, silky and thinly chewy with low carbonation.   
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 It looks delicious, it tastes delicious and it smells delicious. Creamy mouth feel; hints of chocolate, vanilla, roasted malt. It's up there with my favorite stouts from Founders.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Poured from 12 oz bottle into tulip glass. A thin tan head drops quickly on this dark brown nearly black brew. Plenty of streaming bubbles at the top of the glass. Aroma is boozy with roasty malts as well. Mouthfeel is heavy, thick, viscous. Flavors of cocoa, chocolate, coffee, bourbon, earthy hops. Overall: outstanding!   
look: 3 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Pours a very dark brown with a half inch beige head that settles pretty quickly to a ring and leaves ample lacing. Smells of booze, roasted malts, coffee and chocolate. Taste follows the nose with additional flavors of vanilla, oak, a hint of lactose sweetness and a bit of dark fruits. Medium bodied for the style, light to medium carbonation, creamy mouth feel.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 3.5 | feel: 3.5 | overall: 3.75 Boozy. 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 My first reaction was that I loved it. Sweet, heavy and lots of flavor. As I kept drinking through the pint, the syrupy nature of it became a little overpowering. Still, I do like it and would get it again. But probably only one per sitting. Which is fine given the ABV. It's like a desert. I didn't taste the ABV.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 5 | smell: 4 | taste: 2 | feel: 4 | overall: 3 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Had this a number of times, most recently a few weeks ago at the 'tailgate.' My judgement is that this is NOT a stout. That said, it IS an amazing beer. The last one I had--a bomber that was aged about three years--was amazing in that the barrel character came through very nicely, and it was smooth and roast-y as well. I would happily buy this again.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 For the price, this is a very tasty stout.   Notes of vanilla, coffee, and roastiness with a nice bourbon/barrel finish. Nice milky creaminess in the mouthfeel.   
look: 4.25 | smell: 3.5 | taste: 3 | feel: 2.5 | overall: 2.75 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Exceptional smoothness - needs a medium/hard poor (like most stouts).  A great blend of the milk/bourbon traits. 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Wow-- great taste IMO! Coffee joining up with malt, chocolate and vanilla at the end of the mouthful really make this an enjoyable beer. Beer is average in carbonation, and is very well blended. I highly recommend trying this beer, and at $14.99 a 4-pack make this a reasonable price for a high quality stout beer.   
look: 4 | smell: 3.25 | taste: 3 | feel: 4 | overall: 3.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 This pours a bold rich dark color with a nice tan foam with fair lacing to it...for the aroma it is a vanilla chocolate/coffee flair, that makes the dragon's breathe smell wonderfully inviting.  The taste is just as inviting into the dragons breathe...it has a nice vianilla/chocolate and that bourbon aged oaked barrel coming thru. It does well at making the ABV, but still lets you know it's there :)  As for the feel...it also lets you know all of the above...smooth yet a lil' snap to it !! This makes it...I think this is where the name arrived from. The milky smoothness of the dragon's breathe, and then the fire of the flames ! all in all...one of my favorite stouts, and hopefully will stay that way, even if they go macro. so maybe you should try it NOW! Enjoy & have fun doing so.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Just yummy! 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 Malty with hints of vanilla and great bourbon taste. Some of my favorites include Westbrook Brewing Company's Siberian Black Magic Panther, Cigar City Brewing Marshal Zhukonz Imperial Stout and Founders Kentucky Barrel Stout. Dragons Milk ranks up there very high with these other favorite beers.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Dragon's Milk has a medium, beige head, a dark brown appearance, with ruby highlights and moderate lacing. Aroma is of bourbon barrel and coconut, and the flavor is of dark-roasted malt, cream, coffee, raisin, and coconut. Mouthfeel is thin, like a porter, and Dragon's Milk finishes medium dry.     RJT   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 I have the bourbon barrel aged version of the Dragon's Milk Imperial stout. This is also an adjunct free imperial stout by the way. I have only had 3 other bourbon barrel aged stouts & I did not care for any of them. I am glad that I did not give up on the Bourbon Barrel Aged Imperial Stout beer style because it lead me to this wonderful creation. New Holland did a good job masking the 11% abv. I heard New Holland is starting to be mass produced, oh that is bad news. I am glad that I was able to try this beer before it got mass produced. So far this is World Class Bourbon Barrel Aged Imperial Stout in my opinion maybe my opinion will change after I drink a few more different Bourbon Barrel Aged Imperial Stouts from a few different breweries. I also dig the name of this beer its clever. The bourbon gives this base beer somewhat of a vanilla thing going on with some faint cinnamon action interplaying their as well. Thanks to this beer I will continue to drink Bourbon Barrel Aged Imperial Stouts, but it is too bad they sold out to AB INBEV. I expect the quality of this stout to go downhill eventually. Cheers! A   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Awesome and unique. The notes of milk in it along with the bourbon notes are going to give it that cold winter night kind of vibe, this is also a beer you can crack open in the middle of summer and enjoy it on a cooler night. All around a great darker beer.   
look: 4.5 | smell: 4.75 | taste: 4 | feel: 4.5 | overall: 4.5 Super flavorful, rich and creamy. But has a bite that is very much from the bourbon barrels. Overall pretty great beer 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 I'm at a loss. This is amazing! 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 3.75 | taste: 2.5 | feel: 2.25 | overall: 3 11% in this stout powers through everything else it makes the beer spicy and unenjoyable. 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This has excellent taste the bottles the label the box all have excellent detail on them. it does sneak up on you I am not use to a beer that is as strong as dragons milk 11% is a little up there but anyways I will definitely be buying more   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 DATE: September 15, 2018... OCCASION: Watching The Searchers--though I will never catch up with my dad's John Wayne prodigious list... GLASSWARE: Corsendonk tulip... this pours as intimidating as one might expect of a dragon--jet black breathing two fingers of creamy brown head... first smell is of graham cracker, lactic milky sweetness, fragrant boozy bourbon and oak, charcoal and peat.... what astounds at first sip is its smooth draw, which at 11%, is a massive accomplishment... its full-bodied finish lasts with a creamy, thick ease... the peat and earthiness evoke an Islay scotch, while its sweetly toasted malts suggest hearty bourbon... brackish, complex, a citric flavor sneaks through its murk... light vanilla bean, chocolate, milkiness, and a subtle fire that is stoked by each sip... this is a beer worthy of finishing off a night, a dessert, or a cigar.... I waited a while to try this, and glad I did on tap....   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 1.25 | feel: 1.25 | overall: 2 I am new to the site, and I looked up several reviews on drinks I've had, and mostly agreed. This, however, is not even close to the quality I am used to. I am a general fan of Founders, and I love their Breakfast Stout, and Dirty Bastard, however... This is bottom shelf quality. It tastes like watered down, generic, Crown Royal. It's price is outrageous compared to it's quality. I'm a three strike sort of man, but with what I paid for this, compared to what I got... that's two strikes at once.   
look: 5 | smell: 4 | taste: 5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 There are a bajillion different versions of this beer, but I had the original, and after that, I'd be happy to try a bunch more. It's pretty high-alcohol, very boozy, and very good. You definitely get the rich stout flavor from the barrel aging, and the sweetness from the imperial portion really comes through. Well-made, and now I'll look for some of the other varieties too.   
look: 4.25 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 4 appearance: during the pour, the beer is a very brownish-black, akin to coffee, but it quickly becomes almost pitch black when in a full glass. held up to the light it has dark ruby highlights. after pouring, it formed with a 2cm creamy tan head that fell into a nice cap.    smell: nice and rich and chocolatey. reminds me of a chocolate stout but more roasty. there are hints of vanilla on the nose as well, reminiscent of a creamy dark chocolate mousse with a dash of coffee.    taste: the initial taste is very sweet and chocolatey. as it slides down the mouth and throat the vanilla comes up very noticeably, but only for a moment as the aftertaste gives way to more dark chocolate that blends very well with vanilla.    feel: very smooth, thick, and creamy. full bodied but not heavy. goes down like a charm, very little burn noticeable for 11% ABV. after a period of time some warmth becomes evident in the belly but it remains there and lingers comfortably.       overall: a very tasty imperial stout that's easy to drink and has a nice alcoholic kick. personally, it's a little too sweet, as i prefer more of a russian style imperial stout, but i won't complain. recommended if you like sweet and creamy stouts with a hint of roastiness.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.5 Vanilla stout. Pretty good overall but immedietely got the shits. Could only give it a 3.5 overall for that 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours a black with some ruby in shallower parts of the glass. Aroma is very boozy with some bourbon, malt, coffee, chocolate on the nose. Taste is much of the same with a nice balanced melding of all these flavors without too much roastiness being evident. If anything the roastiness is probably a little too subdued and this is coming from one who doesn't particularly like stouts and porters due to the roast. Either way this is a pleasant sipper.   
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 I gotta say that this beer is one of the best crafts to come out. Its slightly too bitter but I have found that only to be the case with bottles. The drafts are not as bitter so to start out trying it I would go with a draft.   
look: 5 | smell: 3.75 | taste: 3.75 | feel: 3 | overall: 3.25 It delivers where you think it should for a double stout...it is mouthy on your tough so not a beer for if you are in a hurry 
look: 4 | smell: 3.75 | taste: 3.25 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Very nice stout that lives up to its high expectations. Nice deep dark black color, some tan head and a little spotty lingering lacing. Smells of bourbon, wood, vanilla and a little chocolate. Tastes similarly, along with some mild coffee, caramel and malt. Slightly boozy but really quite well balanced and alcohol isn’t that forward. Smooth, slightly creamy and soft mild mouthfeel. Good carbonation and the flavors really mellowed as the beer warmed. Outstanding beer!   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 3.25 | feel: 4.25 | overall: 3.5 I really wanted to like this beer. It is a very complex beer, however it is too astringent (bitter) and I could never overcome this barrier to the other flavors in the beer.   I have another bottle, and will give it some time and come back to it as it might be a pallet issue.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3 | smell: 4.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 Don't drink shoe polish. 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
