look: 3 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 A classic and unique beer that has a rich history. Great for just having a light beverage with a lot of character at the end of a long day. Always handy to have around the kitchen as well, as it is a great cooking beer.   
look: 5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.75 Poured into a pint glass Anchor Steam beer is a remarkably beautiful beer, Such clarity and with around a half inch of head that dissipates rather slowly. On the nose, I can detect some roasted malt character and a crisp, if rather neutral hop aroma. The roastyness comes through in the taste, in fact, it reminds me somewhat of a dunkel except fuller bodied(which is to say, I'd consider this beer medium bodied), with a good amount of carbonation, enough you can feel it but less than, IMO, a pilsner or something equally highly carbonated. This is followed by a crisp but short hop finish. Overall, I thought this was a good craft lager with a heavier body than found in most Lagers, which I like in this beer.   
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Just a good all around, balanced, easy drinking beer. The taste somewhat reminds me of some pilsners I've had, just a little bit. Good for summertime outdoor activities like barbecuing. Got this one in an Anchor variety pack, I thought I reviewed this one before but I guess not.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3.25 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 2.25 | taste: 3 | feel: 3 | overall: 3 Golden with tan head    Smell is sweet with a kind of "standard beer smell".    Taste is well balanced with slightly fruity candy like sweetness and a dry bitter finish    This is an okay beer. Not bad, but wouldn't go out of my way to get it.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 Pours golden amber with Lacey head. Solid drinking Ipa-like amber. 
look: 4.5 | smell: 4 | taste: 3.25 | feel: 4.5 | overall: 3.75 This is the godfather of American craft brews, you could get Steam Beer from Anchor brewery as far back as 1971 (yes the brewery has been in operation since the 1890's and Steam beer as a style goes back even further but the current recipe was re-introduced in 1971). This predates Yuengling (1987 and no I wouldn't call that a craft brew but the beer most Americans drank and brewed was so bad back then that I'd argue it did quaify then, it did help raise the bar for us), Sam Adams (1985), and even Sierra Nevada (1980). That was really the reason why I bought myself a sixpack for the Fourth of July. Turns out this is a sturdy, tasty brew. I 'd also argue its fairly unremarkable. The look is fairly attractive to me. I'm primarily an American Amber beer guy. Even though Anchor says they use a combination of pale and caramel malts, the color leans towards the caramel malt side. Plus it has a very nice, prominent, stable, well-formed head, so of course I'm a fan. The smell is fine, though unremarkable. It smells more or less like beer, malty, a bit hoppy a bit yeasty. The taste: sturdy, simple, enjoyable. though unremarkable. There is a strong (and fairly sweet) malt character balanced by hop bitterness that definitely is not excessive, though also not overly complex. They use cascade hops, but it is not hopped with anywhere near the complexity or intensity of Sierra Nevada. This is not the most interesting beer in the world, (in fact I'd rate it a bit less interesting than any of the other 3 "craft brews" I mentioned that followed it), but this is still as solid brew. Mouthfeel, I rate highly because overall this has enough oomph to let you know you are drinking beer rather than water, but its still definitely sessionable. It even though it has far more flavor and character than your typical pale macro lager, I do not think I'd have any problem knocking these back all day. It also does not get any harder to drink as it warms. Overall, I gave this a 3.75. It's good and its uniquely American, and in the dark days of mass-produced domestic garbage, Anchor were arguably the first to show us that there was a better way. If I was around to drink in the 70's its possible that I'd drink pretty much nothing but Anchor Steam Beer. But in the 2nd decade of the 21st century, a lot of other brewers and beer drinkers have learned from these pioneers. We have a ton of alternatives, many more interesting, some cheaper, some both. I could happily drink this any time, and I'll probably get it again at some point. But my 6pack was $10. Granted they do use all 2 row barley, but stil, Yuengling Traditional brewed with some barley and some corn is better imo and costs $6, and if I want to spend $10 I can get stuff like Troegs Perpetual IPA. So while I think this is a solid beer, I don't think its the best pick around for the money. I agree everyone should try it at least once though.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3 | taste: 3.25 | feel: 4 | overall: 3.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Nice amber color, with adequate foamy head. Rich flavor and nice finish. I had always heard about Anchor Steam during the days when American macro-brews ruled, now I know why! A reputation well deserved   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 3 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 3.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 L: Clear and clean looking amber body with a constant stream of bubbles floating up. I got about a finger of white head that leaves the faintest of lacing along the glass.    S: Simple but wonderful. Strong hop bitterness and a citrus aroma that cuts through perfectly.    T: Simple but even more wonderful. Crisp and clean hops and a beautiful grapefruit tartness. What a surprise!     F: Clean with enough heft to the body to make it feel consequential. Wonderful carbonation is active on the tongue. Wonderfully refreshing with a dryness afterwards.    O: This one shocked me. I don't have much to say, because it's not much more than a simple lager, but if this isn't one of the best crafted and tasting in the style. This going to become a go-to for me.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 Amber color. Very clear. 1/2 inch head with staying power fed by sparkling beads. Yeasty floral smell. Citrusy hopping predominantly grapefruit and floral notes . Mildly bitter with dry finish. Thin mouthfeel.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Bottle poured into Beavertown schooner. Pours an attractive amber colour. Plenty of carbonation in evidence. Lightly malty on the nose and palate. Enjoyable if unspectacular beer. I can see why it is held up as a classic of the craft beer world but there’s nothing here to blow me away.   
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Nice easy-to-drink lager but a little disappointing considering the hype. Nice amber color with thick white foamy head, some nice lingering lacing. Smells faintly of malt and grain, tastes similarly although there is a hint of bitterness at the finish. Mild thin mouthfeel, slight lingering bitterness. Decent amount of carbonation.   
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 A long time favorite 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Draft into a tall Pilsner glass.     Pour: rich golden color with some amber tones. Nice 1-2 finger head that dissipates to a slight ring. No lacing to speak of.     Nose: some malt sweetness but fairly benign.     Taste: caramel, bready malt. Followed by some hop bitterness. Clean, crisp, refreshing.     Mouthfeel: fairly high carbonation that pleasantly stings the tongue. More substance than most lagers, but still very crisp almost like a Pilsner.    Overall: like everyone says: it’s a classic that stillbrates well. Drinkable anytime and with nearly any food. Refreshing but not watery. Full bodied but not heavy.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours a clear amber with an amber two-finger head that lingers and laces the glass nicely. Roasty, malty taste, with a perfect slight bitterness and crispness on the finish. To the nose roasted malts and a little fruity yeast. Overall, an excellent (nearly perfect!) example of this style and an easy-drinking year-round go-to beer. Highly sessionable. I can't imagine any true beer lover not really liking this beer! If I ever get to San Francisco, touring this brewery will be very high on my list of things to do.   
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 So subtle, the mix of lager smoothness and ale fruit essence imparted by the yeast is exceptional. Great head retention, beautiful amber color, I could drink this all summer long   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 I've really got nothing to compare this to (in terms of the style), so here it goes.    Pours amber with a thick foamy white head. Lots of carbonation springing from the bottom of the glass  Aroma is: lager yeast/wet wood/some corn/toast/butter  Taste is: estery/toast  Feel: medium bodied - high carbonation - some slight astringency on the finish lends to a slight crisp bite  Overall: For my first judged steam beer, I liked it, and would certainly have again.   
look: 3 | smell: 2.5 | taste: 2.75 | feel: 3 | overall: 2.75 **  04/24/2018    Bottle to goblet.     LOOK: Maize color, clear, medium white head.   AROMA: rice, barley, mild hops. solid old fashioned beer smell.  TASTE: mostly malty cereal, with touches of mild fruit (apple?), wood, hay.  FEEL: light bodied, good carbonation.    A quality classic brew that has lasted through the decades; just falls a hint beneath current expectations.    **   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Look: It pours amber with a slightly off white head. Head retention is moderate.     Smel: It has aromas of toast and low caramel. It has a bit of mintiness in the background.     Taste: The flavors are fairly balanced between the caramel, mint, and toast. It has moderate bitterness.     Feel: It has a moderate body.     Overall, there is a good balance between toast, caramel, and mint.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 4.25 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 A nice beer in a different style. I drank it on the warm side and found it to be quite good. 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 Malty, caramel, yeasty aroma. Taste was similar but much more hop bitterness than expected and the bitterness lingered a bit. Overall an interesting beer that I've always enjoyed every now and then   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 3.75 | smell: 3.25 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3 | smell: 2.75 | taste: 3.5 | feel: 3 | overall: 3 An interesting beer with a light amber color with a quick dessipating off white head. Has a malty scent, and tasted a little grassy. A kinda unique lager that i wasnt expecting. Im glad i tried it, but honestly not a big fan of the style.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Poured from a bottle into a Kolsch glass, cause I had one. Golden brown color with moderate fisheye head, some lacing. Smell is slight malt, slight grassy hops, fairly delicate. Taste is more hop bitterness than I would expect from the smell, spice and biscut, lots of carbonation, not much hop flavor. Overall more flavorful than a larger, less Kick than a IPA, wouldn't call it sessionable, but could drink two in a sitting.   
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Look: Pours a clear amber with a substantial, fluffy, straw-yellow head. Solid.    Smell: Malty and sweet, a little spicy, and more hops than I expected on the nose. A real classic "beer" smell.    Taste: Clean and slightly floral upfront, resolving to a bright, spicy, malty flavor mid-palate, and finishing rich and biscuity/bready. Really excellent, and not similar to many other beers. I can understand its mass appeal based on taste alone.    Feel: I recall having some Steam poured from a tap a while ago and thinking it was rather thin, but I've just poured this one from a bottle and it feels more substantial. Either way, this is a lagerish beer, so the feel is appropriate for the type. It's highly carbonated, too, and that's really nice--the fizz makes it almost like a savory soda.    Overall: This was my first beer from Anchor, but it won't be my last! It has a lot of the qualities you get from other regional beers that have blown way up (think Fat Tire or Spotted Cow), chief among which qualities is a very pleasant drinkability coupled with enough character to retain street cred with the craft beer set. Steam is unique, it's *really* tasty, and it's now my go-to session beer. If you haven't tried one, go get it. It's out there.   
look: 4 | smell: 3.25 | taste: 3.25 | feel: 4 | overall: 3.5 Pours a dark orange golden color with a white head. Not much lacing. Smell is malty sour. Taste is the same. Mouthfeel is light, crisp and refreshing. Overall, would make a good summer beer.   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 3 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4.5 has a nice sourness to it but is expensive for what you get. i really want to love it but the price point of $2.40 per 355 ml is a tad much. otherwise its a great beer and a shining example of a California common brewed in California.   
look: 2.25 | smell: 2.25 | taste: 2.5 | feel: 2 | overall: 2.25 This is the first and last california common style of beer for me. I notice that a lot of people seem to like this beer, but I don't maybe there is something seriously wrong with me. It just taste funny to me & is not my cup of tea I guess. Cheers! C-   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 2.5 | overall: 3.25 
look: 5 | smell: 5 | taste: 3.5 | feel: 4 | overall: 4 My first review here... just wanted to start writing thoughts down, call it a public beer journal, if you will.    ~~~~    If I were to one day become a rich man, this west-coast brew would be a fine one to stock up on and leave around for myself and others to enjoy at leisure. It has a strong mouth feel and depth of flavor coming in at a decent 4.9%. Crisp, refreshing, dependably solid... and enjoyable - always feels like I want to have another one!   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 There is only one way to drink this beer. It is when you are young, jobless and in a true bar on Geary near Union Square. And the beer somehow makes you forget your resume is third rate, you have no connections in this sweet town, your cash is gonna run out in about 10 days and those suits in the hotel closet only make you look like a fool. This beer tastes perfect right then...33 years ago and 3,000 miles from a friend. Perfect. Anchor on Geary. I bet that bar is long gone, not the style for the jackasses who have ruined that city. That's what this beer is...   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Poured from 12oz bottle into glass. '7SE' is marked on bottle label.  Clear, medium amber colored body. Off white head settles to scattered islands/ring. Scattered spots and medium webs of lacing.  More delicate aroma of light malt, caramel, some dried fruit, floral/woody hops.  Lighter taste of light malt, caramel, dark dried fruit of raisin/prune. Floral hops really fill out the taste profile.  Appropriate medium mouth feel for the aroma/taste profiles.  Classic, solid approach to an American craft beer. A real departure from American lagers from years past, and still a treat to the present.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Since, 1981... the most well-balanced beer I've ever had. This one never grows old. Tastes great with any meal and in any season. 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 I didn't have an appreciation for this beer until I paired it in San Francisco with sourdough bread and different meals. It's a perfect combination with the city's food scene, but is also refreshing by itself.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.25 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 Pours a clear amber producing 3+ fingers of frothy, lasting, eggshell head that leaves patches & rings of chunky, sticky lace. Aroma is caramel & pale malt, bread & clean grain, herbal, with a hint of evergreen. Taste is caramel, bread, grain, grass, earthy herbal, pepper, pine & a moderately bitter hop character from mid-sip that intensifies into the aftertaste. Mouthfeel is medium bodied with moderate carbonation, smooth with a light prickle and moderately astringent aftertaste.   
look: 2.75 | smell: 2.75 | taste: 2.5 | feel: 3.5 | overall: 2.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 One of the best lagers out there. Goes down great while having excellent flavor. A classic. 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 From a 355ml bottle served straight from the fridge at 8 degrees Celsius into a white wine glass. Best before date: 04/2019.    Look: The beer pours a clear deep amber/light copper with 6cm of dense, tan head that dissipates into a craggy cap in 4-ish minutes. Great lacing and overall retention. Effervescent.    Smell: Moderate strength and sweet. The malt bill is layered and subtle with notes of toasty pale malts, dried fruit, and faint caramel. Fresh, herbal hops with cedar-like notes are also present, however a bit milder than I expected.    Taste: Follows the aroma with moderate strength and bitter balance. The front is malty with notes of toast, dried fruit (raisins), and light caramel. What follows is fresh, herbal hops with pronounced bitterness. The finish is very pleasant with medium intensity and length as well as a bitter balance.    Feel: Medium body with fairly mild carbonation. Creamy and leaning towards dry. No astringency or alcohol warming. Nothing unpleasant whatsoever.    Overall: The first American craft beer. I remember having it once before but I lacked the perspective and mileage to fully appreciate it back then. This brew is pleasant all around with great looks and mouthfeel as well as an aroma and flavour to hold your attention till the last sip. Quite simple yet nuanced with excellent craftsmanship. If not world-class, I still consider it a must-try for any beerlover/enthusiast.   
look: 2.75 | smell: 3 | taste: 3.25 | feel: 2.5 | overall: 3 
