look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Bottled on 1/28/15    Pours a deep brown with noticeable amber hues and a beautiful crimson sheen when held near light; a large head of tan foam is about as close to perfection as I’ve seen on a beer, and is spectacularly retained; moderate thick, soapy lacing holds briefly where the head does relent. All-around brilliant-looking brew.    Aromas of candied figs, vanilla, plum, and toffee, all rounded with an ultra-balanced malt character; pronounced dark fruits and hints of brown sugar become more prominent on the back end; notes are all pronounced but never overwhelming.    Taste profile shows a great variety of subtle, well-rounded notes including molasses, dark fruits, raisin, plum, caramel, banana, clove, and hints of earthy spice throughout the mid-palate; bubble gum and a slight hoppiness leading through the finish that leaves a faint herbal touch.    Mouthfeel brings a medium body with heavy carbonation integrated to a great benefit on the palate; bits of spice, yeasty, and faint hops influence a uniquely dry kind of stickiness that adds weight but refrains from setting a more cloying, imbalanced tone. This is ultimately smooth, robust, very faintly boozy, and quietly deep on the palate.    A spectacular display of balance, from the depth of flavor and pure execution of aroma to the attention given to each note on the profile; an excellent quad meant to be sipped and savoured easily, with little worry of one aspect interfering with another.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 5 | feel: 5 | overall: 4.75 Poured from an 11.2 oz bottle into a tulip glass.   Tan head is thick and leaves moderate lacing. Color is deep garnet with some sediment. Moderate haze. This looks very artisanal.   Tastes of pumpernickel, raisin, prune, dark cherry, molasses, a hint of banana and a slightly peppery finish.   Mouthfeel is velvety with moderate carbonation. The high alcohol level is hidden beneath expanding layers of flavor.    I give this beer my full recommendation. If the sound of angels singing were represented in taste form it would be this beer.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 A: Amber color with white, rocky head. The foam structure is absolutely beautiful, showing a great body.  A: Aroma is very fruity in the first sniff, along with a great scent of malt. Slightly sweet like apple or pear.  F: Bold strong malt flavor, with different levels of other flavor - British Black Tea, caramel, fermented fruit. I did not taste too much pine, hoppy flavor at all. Mostly, I tasted the full body with sophisticated multi-level scent.  M: Extra bubbly, more bubbly than I expected. Smooth in mouth, and a slightly sweet, malty aftertaste. Warm sensation in throat by alcohol, but not burning.   Overall: this is one of the bests Belgian quad I have had. I was told this is similar, slightly more fermented compared to the Holy Grail - Westvleteren 12, but this beer is a good beer to drink by itself.   
look: 4 | smell: 3.25 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 잔에 따라 마시지 못해서 Look와 Smell은 대충 평균치 떄려넣음. 벨지안 쿼드러펠은 처음인데, 트리펠보다 오히려 부드러운 느낌이.. 물론 이 맥주만의 특징일 수도 있겠지마는, 벨기에 현지 친구가 추천해준 맥주답게 맛이 좋았다. 여기 와서 먹은 맥주중에 지금까지 제일 나은듯.. 이게 2유로라니 와우!   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.75 | overall: 4.5 Beer pours a dark brown with a good head as well as lacing. Extremely smooth for a beer of its level of ABV. Complex taste of caramel and molasses. Very drinkable.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Exceptional Belgian Quad. Pours a beautiful deep brown with a light Bruin head. Extremely malt forward and complex... best appreciated at a warmer temperature...pour two and experience a subtle opening opening of the taste profile. Wonful lacing that clings to the vessel throughout the drink. The taste of deep caramel, molasses and plank aged Gouda. Mouthfeel is full without a thick viscosity and subtle small carbonation is not overpowering but balanced.   This is an easy beer to like but it is in my opinion a well crafted Belgian Quad and as good on tap as any imported beer from Belgian. And that is a very high standard.   
look: 5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 Great quadrupel 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 3.5 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This is my favorite Abbey Ale style dark beer it's my go-to if I want to drink a 10% beer that tastes like Heavenly nectar very very good beer only need two and you're good   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Decanted from an 11.2 oz (330 ml) bottle into a snifter glass; best by 03/09/21.  A: Pours a clear, dark copper to brown color with ruby highlights and very, very lively head formation leaving an initially 3 to 4 inch, fluffy, light brown head, strong retention and solid lacing.  S: Tangy/tart. Initial aromas of blueberry (at least some kind of berry), with cocoa and cookie emergent.  T: Semisweet with caramel/molasses, raisin, and walnut, as well as a bit of cocoa, tobacco, and lactic acid. Bitterness clearly present, but as a counterpoise to the malts.  M: Medium to full bodied with robust and persistent carbonation. Very, very smooth and playful.  O: Delicious and fun. Not quite a spiritual experience, but certainly in that direction.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.75 The colour is dark brown, the liquid clear. The three fingers head is beige and compact, and it sinks slowly to a thick lid without leaving any lacing on the glass.    The smell is strong yet smooth. Brown malts, dried fruits, alcohol, crispbread, matured cheese, roasted nuts and a hint of soap.    The taste is semi-sweet with roasted nuts, dried apples, crispbread, red berries, toffee, banana candy and passing notes of salty crackers and bitter herbs. Full Body. Hot clean alcohol in the aftertaste as well as pumpernickel, treacle, matured Cheddar, ripe bananas and caramel. The long finish is very smooth with digestive biscuits.     The carbonation is strong, the many small bubbles fresh and short-lived. The liquid is smooth but not sticky.    It is way too easy to give high scores to this kind of strong, semi-dark and rewarding beers, and I really try to balance my scores after that knowledge. Still, this is a very, very fine beer.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 5 
look: 4 | smell: 2.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Poured from a 25.4 oz bottle into a Victory Golden Monkey goblet.    L: Dark brown with a ruby red tinge when held up to the light and a 1.5 fingers of off white head.  S: Dark fruits beautifully blended with a rich and sweet malt. Gave off a slightly musty smell which disappeared after it warmed up a bit.  T: Initially a semi-sweet malt-forward taste which evolves into a rich, fruity taste with hints of raisins and dates as it warms in my mouth. Finishes with a distinct brown sugar/molasses taste with warming alcohol that stings the tongue in the best way possible. Amazing.  F: Excellent strong carbonation with a full mouthfeel that isn't too heavy. Velvety and creamy. High ABV gives a nice warming sensation.    O: No wonder why this beer is so high on the Beers of Fame list. It is rich and complex but still refreshing, even at 10% ABV. At $9.99/25.4 oz bottle, it's fairly priced. Get yourself a big bottle of this and enjoy all night. You won't regret it.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Rich, malty aroma and terrific mouthfeel. Some sweetness that the alcohol modifies to a satisfying mouthful of flavor. A dangerous brew; it"s hard to stop.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 This is hands down one of the greatest beers of all time. 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 On tap in YEG airport, then 750 ml bottle from LCBO in Dundas. Pours a reddish brown with off white head. Sweet caramel malt on nose with distinct aromas of dates, dark fruits, a bit fruity/bready. Taste follows with caramel malt - dates - raisins and brown sugar - like drinking cinnamon raisin bread. Smooth full creamy mouth feel with some underlying booziness. Fantastic.   
look: 4 | smell: 4 | taste: 5 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 3.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 4.25 | overall: 5 
look: 4 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Most interesting beer I have ever tasted. Love it. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4 | feel: 3.5 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 One of my favorite beers... top 5 certainly, of all styles. 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.75 It pours a rich mahogany color with a large ivory colored head, good retention.    It has so many fruity smells. Grape, cherry, fig, maybe some pear or apple. It’s got a strong malt presence with a nice caramel smell.    It’s sort of fruity, hints of spice with some cloves or pepper and a bit of cinnamon or nutmeg. Caramel malt taste is still there. It’s almost indescribable the amount of different tastes coming out of this beer. It’s very complex but it’s not overly complex to the point that it loses its balance.     It’s a full bodied beer, definitely getting the alcohol out of this one. It’s a little warm but not burning by any means. This would be a perfect winter beer.    This is my first Quad and I’m impressed. I’ve been a big fan of other brews by St Bernardus and this one does not disappoint. It is amazing the amount of flavors in this beer and how well they complement and work with each other. It’s a bit expensive but falls in the you get what you pay for category. I would definitely pick up a bottle of this again. A truly good experience.   
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.75 This stuff is liquid sex. 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Poured from a brown 11.2 oz bottle. Has a cola color with a 1 inch head. Smell is of dark malts and fruits, Taste is dark malts, spices, grapes, alcohol is prevalent throughout. Feels medium/full bodied in the mouth and overall is a good beer, but I was expecting so, so much more.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 The beer pours chesnut brown with a medium off white head. The beer has medium carbonation. It smells of raisins, plums, figs, and cherries. The beer tastes of raisins, plums, figs, and cherries. The feel is medium and complex. A good quad over all.   
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 4 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 As close to perfect as you can find in a quad. The nose is heavenly and matches the smooth and clean body and flavor. Subtly complex with caramel and fruit jam under a malty cover. This is surprisingly easy to drink for 10% abv...though the price keeps you from drinking too much.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 This quad pours a beautiful clear, reddish brown color with a creamy, off white 2-finger head. That provides excellent lacing retention down the glass. It has a malty sweet nose with dark fruits, such as fig, prune and raisin ,as well as a dark cherry, to go along with a dark bread and a spicy, cinnamon funk. The taste is thick and creamy on the palette with a sweet caramel or toffee, some dark bread and an array of dark fruits, with a spiciness on the back end. Complex, yet well balanced, very little alcohol hotness. For my first Belgian quad, this was excellent! A full and hearty brew, not for the weak, especially if you favor this style of beer. While it's not my preferred style, it's a great departure the big hop bombs that I favor. Big in ABV and big in flavor, St. Bernadus Abbot 12 sets the bar high.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.25 | overall: 4.75 Fantastic beer. Surprisingly light alcohol taste for 10%, great flavor with a slightly thin mouthfeel 
look: 4 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 From notes 11/2/13: Pours a dark and somewhat dull hued ruby brown producing 2 fingers of tan, frothy head that recedes faster than you would think but leaves a nice surface cap and coating of lace. Aroma is Belgian yeast, dark bread, dark caramel, dark fruits, roast and a hint of alcohol. Taste is rich dark bread, dark fruits of all kinds, caramel and molasses, Belgian yeast, pepper, spice and an alcohol note that is heavier than in the nose. Lots of carbonation. Smells and tastes great, full bodied and filling yet highly drinkable for the ABV. Very complex.   
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 On tap    A- pours a dark brown color with a one-finger creamy off-white head that has great retention and lacing all the way down the glass    S- smells of fruit cake, raisins, fig, spicy yeast and clove    T- dark brown breads, toasted bread crusts & fruitcake, followed by lots of dark fruit; raisin, fig & date. Mid-palate gives a caramel sweetness and spicy yeast that adds hints of clove, banana and phenolic notes. The finish is fruity and peppery with a linger of fruit cake and caramel    M- medium-heavy body with moderate carbonation leads to a creamy mouthfeel and a slightly warming finish    O- one of the best quads out there, and a benchmark of the style   
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 12 oz. bottle poured into a Chimay chalice.    L---Clear, rusty, reddish brown color. Thick, off white head with great retention. Excellent lacing. Just about a perfect appearance.    S---Malts notes are predominant. Fig/raisin. Fruity, with a bit of breadiness. You can tell it's a quad.    T---Follows the nose, but is even more so. Malty. Bread/yeast are obvious. Fruitiness is not hidden either. Alcohol is noticeable, but that's just fine.    F---Lighter than expected, but still full enough. Very well carbonated.     O---World class. Without a doubt, one to drink when/wherever the opportunity presents itself.   
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 Beautiful dark brown-red pour. Full smells on the nose and the taste palate to match. I get a bit of dark cherry. Semi sweet start in the mouth with a semi bitter finish. Incredibly smooth, and well balanced carbonation, though not as velvety as some other quads.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.75 Holy fuck 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 now I see why it's been on the list.strong and smooth 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 This one has been a long time coming, should have saved it for some special number or time but what the hell. 12 oz bottle into a tulip and a smile on my face. Deep mahogany with an everlasting off white head, some chunks of lacing. Deep fruit aroma with hints of spice, bready malts and caramel sweetness. Similar to raisin bread almost. Wonderful flavor. Lots of dark fruits, bread, some cinnamon spice and some funk. Thick and creamy. Leaves your mouth warm and numb. I need a minute with this one. Top notch.   
look: 4 | smell: 5 | taste: 5 | feel: 4 | overall: 4 Great, dried fruit with a surprisingly clean and refreashing finish. 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Poured a well kept bottle into a large Duvel tulip. Looks like a luminous gemstone brown, with a head that's impressively tenacious for the strength. Beautiful five star glorious nose of prunes, brown bread, green apple, papaya, it's equally enjoyable to smell this beer as opposed to drinking it, where you're almost robbing yourself of the wonderful aroma by finishing the bottle.. I'm usually more into dubbels than quadrupels, this is my favorite example of the latter, and pretty much the only one I'm well familiar with that I'll readily buy. For the flavor I get this sharp round malty masterpiece, candi sugar seems to contribute but in only a supporting manner. Caramelized malt, strawberries and huckleberries, a flash of pear or mango, than the mild funk and strength show their hand but it's so balanced with a wintergreen pineapple loooong lasting but light refreshing finish, where the the subtle beta-linoleic Belgian hops respectfully wrangle in amongst the other powerful contenders. I wish I could find a British mild ale with a similar but slightly tangy zing and I'd be in heaven. In any case this is a non sour Belgian masterwork!   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 As close to a perfect beer as I could ever want and ranks #1 with me as the best beer I have ever had. Its simply a joyous event to drink this wonderful beer and I do my best to always have some on hand. By all means pick some up!   
look: 4.75 | smell: 5 | taste: 5 | feel: 4.5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 Fresh bottle, served in a clean Chimay glass at around 55°F with a bbq spiced pork chop and sweet potato fry dinner on Independence Day in the Rocky Mountains.    Clear, dark reddish brown with burnt orange tints at the edges and ruby highlights in the light, several streams of bubbles visible, about a finger of tannish white head with some nice lacing and even some short legs.    Unmistakable, lightly fruity, malty Belgian quadruple. Hints of sweet cherry, plum, red grape and a smidgen of raisin, caramelized malts and sugar. Fresh. A little bit of mountain air and spring water, but maybe that's from the fresh mountain air and rain clouds coming in.    Same, unmistakably Belgian-y quadruple. Follows the aroma exactly, but with a little less fruit and a little bit more semi-dry red wine character (almost a hint of Cabernet Sauvignon). The spiciness of the yeast comes through very well, as does some minerality from, I can only imagine, crisp Belgian water and good barley. Pleasant alcohol warmth in the finish with a bit of sweet fruitiness and even some dry, brown (but noticeable) hops in every second or third sip.  Towards the end of the glass, there's a tinge of some, well, almost "off" note that isn't a buttery flavor, definitely not cardboard, perhaps a slight cocoa butter and dried pluot something-or-other. Interesting, not off-putting at all.    Fairly full-bodied, creamy, a little fluffy, rich but not too rich. Exactly how it should be. Scrubs the palate very well during a meal.    Overall more drinkable than I was expecting, not quite as fruit-forward or richly malty as I was hoping, yet in another way exactly what I was expecting. Pretty much perfect.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Murky rust brown color. Above medium feel with above average carbonation but it still came off light and fizzy. . Aroma is yeast,dried fruit,plums,yeast,and a grainy fruit cake like smell.   Taste had all the flavors that showed up in the aroma. Dried fruit and plums came through the most but it still was complex and very flavorful. This was a top notch beer that I will certainly visit again   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 Best by 12 2021.    Huge dark fruit aroma with fig, plum, raisin, currants, light pear, some clove, cinnamon. Taste follows the nose with a pleasant and noticeable sweet character, bready whole grain malts and a balancing phenolic character that pairs well with the light touch and warmth of the alcohol. Fairly crisp and thin mouthfeel, but tons of flavor. A fantastic quad, no doubt.   
