look: 4 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.25 It has a nice rich amber color which is most likely the result of artificial coloring. It produced a nice head. The favor was lighter than I expected and the hops were equally light. Overall the taste and drinking experience was comparable to Heineken. Not bad, but I hoped for better. I want to try the new Yuengling Pils.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 2.75 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Pours amber colored with a small white head that has decent retention. There is some lacing left on the sides of the glass.     The aroma is mostly of toasty, buiscuity malt and slight caramel. A bit of spiciness, perhaps from noble hops, cuts through.     The flavor follows similarly with toasty malt and some caramel. There is just a hint of malt sweetness that is well balanced by hop bitterness.    It has depth of malt flavor without being sweet. It remains crisp and drinkable.     Carbonation is moderate, body is medium-light.    Pretty solid beer overall: crisp, tasty, and drinkable at a great price.   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 2.5 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 4 | smell: 3.5 | taste: 3 | feel: 4 | overall: 3.5 
look: 4 | smell: 3.25 | taste: 4.5 | feel: 4 | overall: 4.25 Smooth lager and very easy to drink. 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.25 | overall: 4 Excellent lager at the price point. 
look: 2.5 | smell: 4 | taste: 1 | feel: 1 | overall: 1.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 I've only had this a couple times at chain restaurants that didn't offer much else. I can see why it was served ice cold, there just wasn't much to it after it warmed. I didn't get some of the off flavors others have mentioned. Honestly, I just didn't get much at all.   
look: 3 | smell: 2 | taste: 4 | feel: 3.5 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 2.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 Deep amber lager with a flat smell. Pours a nice head and finishes smooth. It feels watery and lacks body. However for a standard $20 a case beer it exceeds expectations and is my go to if I drink cheap at the bar.   
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 Hitting some ticks on the most popular beers list and after a disappointing Pabst Blue Ribbon, this was next... Blech! Can't just be me, BA - this is a terrible thing to drink - it's not just that it's flavorless, its that it tastes gross - I'm not even going to bother with descriptors... Beers like this are why lagers get a bad name...   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 3 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3 | taste: 4 | feel: 3.5 | overall: 3.75 12 oz Can poured into glass  Look - amber orange color with a decent foam head and lots of glass lacing  Smell - not a whole lot here, just basic beer aroma with some corn and malts  Taste - Can definitely tell there is caramel malt added, gives it a nice sweetness. A slight amount of hops detected but it's certainly not bitter. It's very good for a red lager. Carbonation medium-high and body medium-low. It's highly drinkable and quite refreshing.    Overall, i really like this beer. Certainly better than most other lagers you find at the grocery store. It was better when i had it out of a keg but that is to be expected...Grade is a B+   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 4 | taste: 3.25 | feel: 2.75 | overall: 3.5 
look: 4 | smell: 3.25 | taste: 3.25 | feel: 3 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 From notes 10/4/12: Pours a clear medium amber producing several fingers of short-lived, white head which leaves minimal lacing as it recedes. Aroma is toast, grain & caramel malt, fruity with hints of nuts, grass and earth. Taste is caramel, lightly toasted bready malt, corn, pepper, grass and earthy hops. A little bitterness in the aftertaste. Mouthfeel is medium bodied with moderate carbonation; silky up front it finishes with a prickly bite.   
look: 4 | smell: 3.75 | taste: 4.5 | feel: 3.5 | overall: 4.25 This is the only beer i willndrink that isnt a stout or porter. If your looking forna cheap good lager look no further. It does have a unique taste, but not in a bad way. If a bar doesnt have a stout or porter this is my go to. Plus you cant beat the price   
look: 3 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3.25 America's Oldest Brewery. Yuengling has outlasted Prohibition, as well as, the corporate beer takeover of the last half century.    One extra star just for the sake of respect and staying independent all of these years.    Yes, it is not your first choice, however, when you are stuck in an airport or in a bar with very little lighting in Pennsylvania or any of the mid Atlantic cities and towns, I say, "Good to see You my old friend."   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Went to Florida, and, obviously, could not find my usual casual summertime brew (Schlitz). Where I would typically find The Gusto was this. And it is a mighty fine good 'ol American brew. The microbrew/import snobs may not agree (I'm not interested in your avocado beer!), but if you typically drink a straightforward American lager, this should be at the top of the list. Unfortunately, their distribution footprint is quite limited. But it is very good for a mass-produced American brew.   
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.75 | smell: 2.75 | taste: 3 | feel: 3.25 | overall: 3 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Pours a clear beautiful golden copper color with a khaki head. Smell had malt and a mash of fruit,hops,grass and toffee. Taste was very smooth with toffee and malt some grassy citrus hops in the finish. Mouth feel smooth and creamy with very little hops,very drinkable and nice on a summerlike day.   
look: 4 | smell: 4.25 | taste: 5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 2.5 | taste: 2 | feel: 3 | overall: 2.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 12oz Bottle  $6.99 6-Pack    Good ol' Yuengling Traditional Lager is a handsome beverage. It's bright copper body glows when backlit and the clarity is near perfection. Each individual bubble can be seen shooting to the surface if you pay attention. The dirty white foam is silky and a finger high when poured. It settles, eventually, to a skimming with some puffy little islands here and there.    This beer shows some quality. The nose is grainy off the bat, creeping towards, and eventually catching up to toasty. So the main notes are that toasted graininess and a soft, surrounding earthiness. Softly spicy, complimentary hops bring up the rear. This is fairly one dimensional but what's there is enjoyable.    Unfortunately, the flavor doesn't quite live up to the nose. The same aspects are there for the most part but they're a bit watered down. White bread crust and a soft caramel sweetness get things moving and actually push through to the finish. They're met with a whisper of green apple and cereal grain sweetness. A mix of spicy and floral hoppiness wraps it all up neatly.    Traditional Lager is a medium bodied beer with a rather aggressive carbonation that fits well. Those bubbles get this beer moving at a good clip and leave an impression on the tongue. The finish is fairly dry which manages to boost the drinkability even higher.    This is a fine beer in its respective category. It's interesting enough to keep you coming and good enough to plow through many. A well made beverage on a large scale with a bit more character than a lot of the others in the same category.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 4 | overall: 3.5 Pours an amber color with a white head. Sweet malt smell. Taste is the same. Mouthfeel is light and easy to drink. Overall, it’s a sweeter microbrew like beer.   
look: 4 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 4 This is not a great beer, but for value for money its way up there. When I see this on tap I always have a pint or two. You know most beers on tap that are meant to be a pint are served in 16oz glasses and so many times when the head settles lucky to get 13 0r 14 ozs so where I am 2.5 to 3 dollars not such a big deal. When you pay 5 to 7 dollars for a micro brew now there's another story. Also keep a few at home for when I know its the last of the night. Why any one would buy Bud or Coors or any other cheap beer over this I have no idea its way above them.   
look: 2.75 | smell: 2.75 | taste: 3 | feel: 3 | overall: 2.75 OK beer. 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 3 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 A nice amber color when poured out. Surprisingly it wasn't heavy or dark tasting. Like all the other macro brew lagers I like, this is a good one. Smooth almost creamy taste with subtle carbonation. Very easy to drink. I sat down to watch a ball game and had two down before I knew it!   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 2.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 Decent brew. A cut above most other mass produced lager's yet still cheap ($10.99 for a twelver in my area). Malty sweet up front with a hint of hoppage on the back end and it's very consistent. One thing I will note to those who aren't familiar with this classic - BUY IT IN CANS. For some reason the bottle ruins this beer. I can't stress that enough. If you buy it in bottles, you are guaranteed to think it tastes awful. If you're standing in the beer section right now looking this beer up (which I've done many times over the years with countless different brews) go ahead and give it try - just make sure to BUY CANS!   
look: 4.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Poured from 12-ounce bottle into a frosted shaker pint glass. Clear dark amber color, with a thick long-lasting white head. Nice aromas and flavors of caramel and dark bread, with a floral overtone and a whole lotta skunk. This could be pretty solid if it weren't for the green bottle. Word to the wise.   
look: 3 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 2.5 | smell: 1.5 | taste: 2.75 | feel: 2 | overall: 2.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Traditional is the way to go. This is a Labatt or Budweiser with more personality and better tradition. the crisp clean finish that this beer brings makes the lager a very recognizable taste and makes this one uniquely American.   
look: 5 | smell: 4 | taste: 3 | feel: 3 | overall: 3 Living jn Philly I grew up on this shit. My taste for it has changed over time as my pallet has evolved. Its gone from my favorite beer to one I find about average. But, being Americas oldest brew it deserves respect. Around Philly we all just order it by asking for "lager". It will always have a special place in my heart and everyone should try it but my rating is fair.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.5 A good cheap beer that is very drinakable. 
look: 3 | smell: 2.75 | taste: 2 | feel: 2.5 | overall: 2.5 Decent copper color, weak flat head, tinny, biting taste. Lousy beer. 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 5 | feel: 3.25 | overall: 4.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 4.75 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 2.5 | taste: 3 | feel: 3.25 | overall: 3 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 One of my staple session beers along with Pabst. Always a good choice as my first beer of the day, usually before dinner. Not one I'll drink later at night however when I normally enjoy premium brews, BUT...."Laaageeer" will always have a place in one of my two beer fridges. Enjoy!   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 2.5 | taste: 3.25 | feel: 3 | overall: 3.25 Its Yuengling. Its drinkable, and smooth enough you could pound them back. Sweet and earthy taste, without anything on the nose and the mouthfeel of a macro. My go-to cheap beer.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 2.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.5 My go-to "cheap" beer. A slightly sweet taste with a really nice finish, Yuengling is simply a good beer. 
look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 As a red lager I think this stuff is top shelf.Wish we could get it out west.Smokey and the bandit,where are you when we need ya? 
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Best brewed beer in the US 
look: 3.5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 Poured from a bottle into a Lager glass. Date code is 0318, appears to have been bottled on the 031 day of 8 year.    Looks nice and clear with a light amber color, leaves a thin lacing that stays on the glass. So far, so good!    Has a very lightly sweet smell with some complexity to it. Maybe a little spicy and slightly earthy? Can't really describe it, except smells very nice.    The taste combines a light sweetness from the malt with a roasted malt/earthy flavor. The hops add a lightly spicy flavor with very little bitterness. Has a clean finish.    Has a medium/light mouthfeel. Not thin, but also not heavy at all. Easy to drink. Very user friendly.    Overall, this a nice easy drinking beer that goes extremely well with food. It is similar to a Vienna Lager or maybe an Amber Lager in style.   
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 The original craft brew. I remember back in the awful 70's, that this was truly the best America had to offer. Still holds it's own with a slightly malty faintly bitter, thirst quencher. My go to when I want something simple and honest. Far better than any other AAL. For certain.   
look: 3.5 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3 | smell: 2.75 | taste: 2.5 | feel: 2.75 | overall: 2.75 
look: 3 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 4 | overall: 3.75 H 
look: 3.5 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3.25 Served in mug, beer pours a very clear amber color. Lots of carbonation. Decent head that dissipates quickly into white lacing ring.    Bit of a breaddy smell.    Clean and refreshing taste, slightly sweet but not too much going on here.     Very easy drinking and sessionable. Goes down very smooth, no aftertaste.     It’s a quality lager. It’s in a middle ground where it’s not necessarily fair to put against micro crafts, but it’s not a typical watered down macro either. For the price, it’s worthwhile for the craft drinker that wants to have a good fridge stocker for parties and guests. Good overall lager.   
look: 5 | smell: 3 | taste: 5 | feel: 3 | overall: 5 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 A grain front that goes into a bitter finish. An original craft beer before craft beer was a thing.    Taste rating in words: It's history, it's the beginning   
look: 3.5 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3.25 
look: 3 | smell: 1.75 | taste: 1.5 | feel: 1.75 | overall: 1.75 
look: 3.25 | smell: 2.75 | taste: 2.25 | feel: 2.5 | overall: 2.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 4 | overall: 3.75 Best domestic macro brew out. 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 4 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4.75 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4.5 This is my go to beer as it is fairly cheap. I prefer it in bottles as it seems to be slightly more bitter this way. Anyone else with that experience? Maybe it’s just slightly skunked haha. It’s interesting enough and goes well with most foods. Best beer for the money here in northern Alabama. Everything about this beer is solid from the amber color to just how refreshing it is in a hot day.   
look: 3.25 | smell: 2.75 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Brought back a few of these after visiting the in-laws in Northern Indiana in early May. No bottling date visible.    Beer poured an amber color with a nice white head that has some decent hang time.    Nose is bready.    Taste is subtly sweet, bready with a touch of cracker. Hop addition is nicely done for balancing the sweetness.    Mouthfeel is light and refreshing.    Overall this is a very easy drinking, flavorful, and refreshing lager. Glad i got to try this!   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 2.5 | smell: 2.5 | taste: 3.25 | feel: 3 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 America! 
look: 3 | smell: 2.75 | taste: 3.25 | feel: 2.75 | overall: 3 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 Brewed in Tampa as well as PA. The best of the American lagers. Consistent, flavorful and easy to drink. My favorite go-to beer and the best beer value. A case is usually < $20.   
look: 3 | smell: 3 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 2.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 My "go-to" lager. Nothing too fancy or complex -- just a solid lager. 
look: 4 | smell: 3 | taste: 3.75 | feel: 3.25 | overall: 3.5 Clear dark amber color. Bready smelll. Little head and little lacing. Mouthfeel was thin and slightly creamy with moderate carbonation. Has a toasty, nutty, semi sweet caramel taste with a hint of lemon zest. Moderate hops, more than your typical macro brew, but less than most craft brews. This is a decent beer. Not as good as a Sam Adams. About on par with a Shiner Bock. Maybe not quite as nutty and sweet as a Shiner. You could do a lot worse. Give this one a try if you haven't already.   
look: 3.75 | smell: 3.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 ABLE 2018. Clear light copper with a modest head. Basic malt nose. Light body with a great crispness. Very good for a basic brew. 
look: 3 | smell: 3 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.25 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 ONe of my favorites when I'm in the states. Cheap, good and very available 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 Look - poured from a 12 oz can. Amber red in color with lots of carbonation. Carbonated head that dissipates quickly into a hint of lacing.  Smell - toasted malts and light hops. no fragrance that stands out to be amazing, and no smell that makes it putrid. Right on the average.  Taste - malt forward, hint of sweetness, and crisp and refreshing finish. the taste really distinguishes it from an adjunct, putting it in line with craft brews.  Feel - light bodied, heavy carbonation, and light on ABV at 4.5%  Overall - one of the best lagers money can buy at this price. Yuengling separates itself from the adjunct lagers with its great taste and lack of off-putting odors. An easy go-to beer at any time.   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 2.5 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 2.75 | taste: 2.75 | feel: 3.75 | overall: 3.25 
look: 1.5 | smell: 2 | taste: 2 | feel: 1.75 | overall: 1.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 THIS LAGER HAS A TASTE YOU JUST KEP COMING BACK FOR MORE 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 2.5 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 3.75 | smell: 3 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 5 | smell: 3 | taste: 4.5 | feel: 4.5 | overall: 4.5 16 ounce mug fed by 24 ounce can. Same label on the can as the bottle. (See brothers review). Love the color, taste and mouthfeel. Lacing ring remains after each large swig. Hops and malt balance each other into a mild lager taste. neither bitter nor sweet. Tastes like a nice beer should, and is easy to put a bunch of these away at a time.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.5 | overall: 4 A solid, longtime PA staple lager. When compared to most of the adjunct lagers people drink, you can pick it out of the lineup. Pours with a moderate head, dissipates quickly, and for a lager, very easy to drink. Best paired (in my opinion) with any kind of fish. Readily available and easy on the wallet, I keep going back to this beer when I don’t want to test the waters with micro-brews. Been a Yueng fan for years and will continue to be!   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.25 | taste: 2.75 | feel: 2.25 | overall: 3.5 
look: 3.25 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 2.75 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 5 | smell: 3 | taste: 3 | feel: 3 | overall: 3.5 Got this in Ruston, LA while visiting my daughter who attends La Tech University. I guess I expected more from hearing all the hype. $5.99 for a sixer of pints is a super deal. Poured into a clear plastic hotel cup. Beautiful amber color, not much smell, way lighter taste than I anticipated. You would never imagine this was an amber beer from the taste. It almost tastes like a light beer. It is flavorful but nothing extraordinary. I taste some adjunct like corn syrup as well. It’s good but not as good as I was led to believe. Great for the price and if it becomes available in the Houston area I’ll get it again.   
look: 2.25 | smell: 2 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 2.5 | smell: 3 | taste: 3 | feel: 2.5 | overall: 2.5 12oz undated can poured into a vintage bow tie glass at fridge temp, no ABV listed on can. The beer pours bright light amber with short lived off white head. The aroma is minimal and really is just a hint of yeast and malt. The taste is pretty standard AAL with a little tart edge. The caramel in the color does not translate to taste. Mouthfeel is thin bodied, adequately carbonated and undry. The oily/soapy finish is a little off putting. Overall, ok. This appears to be an AAL with added color. Might have been a better beer with more lager time and less color.   
look: 4.5 | smell: 3 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 Yuengling is historically superior compared with the big 3. Yuengling is the definition of American beer, they where the first, they remain small and they have never backed out of the game. That's American.   All things considered, this is a very tasty beer. Beautiful rich amber red color and a lovely yeast smell. You get a lot of cracker tasting notes, and some bitterness at the middle and end of the swallow. The feel is thin and very much like a light Beer. Occasionally I get a slight pear like taste which doesn't happen often. This is about as close as you can get to a European lager but still remain American taste profile.This beer has a very nice Hop spice that many american beers don't have. You can think of this beer as being a hybrid between a helles and pilsner. I get a faint maltiness that is much weaker than the helles style, yet its present. Has slightly more robustness than miller high life, rich flavor but not up to par with European All-Malt Lagers. For what it is, Yuengling is a very good beer and a makes a good detour if you want something with more flavor than Highlife or Pabst. This beer makes a good introductory into the world of euro-style with american lightness. I think there is far greater beers out there, however if you want a good rotational beer for any day of the week, this one is the go to.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 2.5 | smell: 2.5 | taste: 2.75 | feel: 2.5 | overall: 2.75 
look: 2.75 | smell: 2.75 | taste: 3.75 | feel: 3 | overall: 3.5 
