look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Allowed to attain a temp of 55 to 60 Degrees. Poured with a thick dark tan head. no light from my 500 lumen E2D Surefire could penetrate the Stout goblet. Pronounced coffee notes, roasted malts. not boozy. Smooth body. Great flavors.   
look: 4.5 | smell: 4 | taste: 3.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3 | taste: 3.5 | feel: 4 | overall: 3.75 For those who love stouts this is an easy choice. Not too aggressive but with a rich smoothness and excellent flavor. Head is good and creamy bitter notes highlight this stout.   
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Delicious, impressive beer that lived up to its high expectations. Jet-black, oily color with a little lingering tan head and spotty lingering lacing. Smells of dark roast coffee and dark chocolate. Tastes similarly, along with caramel, vanilla, molasses, plum and malt. Very smooth, moderately creamy mouthfeel, not too much bitterness at all. High ABV is quite well-hidden. Good mild carbonation. An outstanding beer and I am trying to get my hands on others from this amazing brewery!   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.5 Drank with my buddy Shom in Chicago. Aged for 5 y ars in basement (60-70F). Very smooth for a big stout. The booziness that is usually present with this beer is gone and replaced with a sourness and stone fruit. . Chocolate. big coffee flavor that lingers. Orange peel. Get more grain smell as it warms. A little thin in texture which is not typical for this beer.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 Bottle from 2014    A: Poured into a snifter to a deep black beer topped by a dense two finger light tan head which retains well and leaves decent lacing  S: Smells of intense roasted malts, dark chocolate and espresso  T: Taste is nice roasty malts with some bittersweet dark chocolate, italian roasted coffee, slight oxidation, hints of charred wood. Swallow is more roasted malts, charred wood, espresso, and dark chocolate.  M: This beer has a thick and silky body that's a little chewy. Carbonation is light but adequate for the style which contributes to a creamy mouthfeel while the beer has a drying finish.  O: Overall this one is rock solid. It represents the style well and has great flavors. It drinks really well and has some nice complexity going for it. It's definitely worth a try if you can find it.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Pours pure black with a coffee brown head. The smell is deep dark roast with a hint of brightness. Flavor comes across as coffee and roasted malts without an extreme acidic taste you sometimes get with imperial stout. Alcohol is hidden pretty well.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 2.75 | smell: 4 | taste: 3.75 | feel: 3 | overall: 3.5 For one of the big famous Imperial Stouts in the world of craft beer, I don't think this guy is a serious competitor. As with Dragon's Milk, this is fairly bland for a RIS, but it's widely distributed and available year round, which I believe heavily contributes to its fame and fandom.    L: Very boring pour: even with a heavy hand, it barely produces a half-centimeter film of pale mocha brown head, and dissipates rapidly enough to evoke a nostalgic twinge of disappointment.    S: Smells tasty, but closer to a barleywine than a RIS. Milk Chocolate is the main player and he has his dudes, vanilla and coffee, backing him up. Some sour prunes and dried cherries try to make themselves known, but they get buried in toffee/caramel sweetness and roast. Licorice and a touch of perfumey leather lend a dryness to the finish.    T: Personally, I've never had an RIS that I couldn't taste alcohol in, but I agree some of them hide it better than others. This is one of those, without a doubt. Unfortunately, that's about the only great aspect of this beer, flavorwise. Very sugary, very forgettable. There's a bit of a cantaloupe melon aspect to the sweetness, but it needs more roast, and really lacks complexity overall. Perfect salt level though, with a lovely pretzel note for the finish.     F: Even among imperial stouts, this has a syrupy texture and a cloying finish. It has a bit of dryness that helps, but it's not enough to balance with the sugar.    O: A very nice RIS, but I absolutely would not rank it as one of the world's 10 greatest stouts, nor even the world's 100 greatest. It's better than Dragon's Milk, at least.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Inky black body; dense, creamy, light tan head; curtains of foam along the glass. Roasted grain aroma infused with a mildly fruity component; dates; cocoa. Milk chocolate and charred grain flavors; muted booziness; dates; a bit of coffee. Heavy body; mostly smooth but also delivering a low-key crisp and dry abrasiveness in the background; alcohol warmth.    A big, powerhouse stout, that does an excellent job of blending dense, dark grain sweetness with an edgy alcohol note.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 2016 vintage. Appearance: deep dark brown/Black, opaque, with a low lying khaki head and nice lacing  Aroma: All malt, with rich dark chocolate, toffee, caramel, and light roast  Taste: Rich dark chocolate with a light toffee and roast. Beautifully balanced with just enough bitterness to balance  Mouthfeel: Medium bodied with a light creaminess and a light carbonation   Finish: Roasted malt and bitterness lingers on the finish with a touch of dark chocolate   Overall: Beautifully balanced for an imperial story with coffee. Profile is insanely smooth throughout, from aroma thru the finish. Dark chocolate and toffee are most prevalent, but a lightly roasted coffee note balances while remaining smooth. A light creaminess tonthe body helps blend the flavors together. This beer has 2 years of age, and stands upbas a top notch imperial stout   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 My favorite non-BA beer in San Diego. Glad to see this made it to cans and the brewery has pretty good pricing on growlers (~$12/32oz). Also glad to see wide distribution of this beer outside of CA, although I was sad to see it cheaper in WI than CA. AleSmith is my favorite tap room in San Diego. They always have some sort of BA variation of this beer on tap.   
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 LOOKS: Jet black with a couple fingers of tan foam that sticks around. Retains some lacing down the glass.  AROMA: Dark roasted malt, dark roast coffee, dark chocolate, cocoa, toffee, and it's a bit earthy. Wee bit of alcohol, and a little leather and tobacco, as well.  TASTE: All of the above, with a very mild, but, lingering bitterness. Actually, well balanced between sweet and bitter.   FEEL: Full body, average carbonation level, a little sticky, and dries up on the finish, a bit.  OVERALL: Damn nice stout.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 Canned 2/1/17, consumed 7/14/18    L: Deep, dark black with a nice thick dark tan head that left a good amount of lacing.    S: Big, well-rounded aroma blend of roasted malts and coffee, with slightly lesser tones of chocolate and caramel.    T: Follows aroma with a noticeable level of sweetness, delicious and again just wonderfully blended.    F: Wow, absolutely standout amazing - medium, smooth & creamy, NO TRACE at all of the high level ABV (seriously this stout hides alcohol better than ones with half the ABV). Little bitterness that fits in very nicely. Just a perfect feel that immediately invites another sip.    O: This beer certainly deserves every piece of recognition that it gets. Very refined in all aspects. It's pricey, but it's a noticeable level up over your everyday imperial stouts.   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Has just above average body,slight oily feel  Aroma is black coffee,dark chocolate, roasted malts  Taste is very similar to aroma,maybe some dried fruit and vanilla also. It's barely sweet and that works perfect with the slight coffee/chocolate bitterness. The alcohol is somewhat hidden but still clearly there. Overall it's excellent, definitely worth a try   
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.25 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 Look: Pours pitch black. Small fingers worth of tan head from a careful pour, with some glass lacing.   Smell: Big aromas of roasted malts, chocolate, toffee, caramel and dates. Slight coffee presence on the nose accompanied by a slight booze burn. As it warms, the coffee and dark fruit comes out a little more. Chocolate is huge component of the smell.   Taste: Follows the nose. Roasted malt and chocolate are the big players in the taste. Dark fruit flavor is in abundance. Slight notes of caramel and butterscotch. The initial taste is chocolate and malt, and the finish is semi-sweet with slight bitterness. Residual flavor is sweet yet smoky. The booze is overall well hidden, but is slightly detectible. Coffee is prevalent in the taste, but isn't as strong as I would have thought.   Feel: Smooth and pleasant on the tongue. Medium in body and weight, with moderate to high carbonation for the style. Easy to drink.   Overall: A fantastic stout, and one that I would repeatedly come back to. It has just the right amount of sweetness without becoming overly sweet. I am very grateful to have tried, and would happily recommend. Cheers!   
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 Finally I try this beast which was waiting for me for a year and a half in the cellar. I was waiting for a special occasion. But I think a nice spring day is an occasion enough.   Actually I was waiting for someone ti share it with, I didn't find someone worthy enough.    As i pour from the easy looking 1 pt 9.4 fl. oz. I can see a a gorgeous pitch black body. As it goes it forms a nice beige head    Now I can make an aproach with my big white nose and smell the beauty.  I can tell you right now, this is the best part of the beer. What's amazing is that vanilla is all around in this coffee imperial stout. Ok coffee is there too. In a latte form. Caramel, chocolate, and a certain je ne sais quoi.    As my tongue comes across the ale, it shows its balance with a soft sweetness. The roasty bitterness does the rest. The hops are still present with a bergamote/earl grey presence alongside blueberries.     The smooth mouthfeel brings just what you need to compliment the flavours.     This is one of the first coffee imperial stout. It's nothing compared to what coffee beers are right now. This is no pastry stout. This is a beer. This a much refined beer.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Complex, sturdy delicious stout. First class beer. Oakland CA, May 2018 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 If I could give this beer a 6 I would. My opinion is that this beer is the best beer I have ever drank!! No after taste. The flavors of coffee and Malt are well balanced. It is not extremely heavy like other 12%’ers are. So it’s not going to make you feel full. This beer is well balanced in every aspect. I recommend this beer to everyone no matter what your preference is. Cheers!!! And thank you Ale Smith!   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 Brilliant black pour with white pillowy head for days. Aromas of dark chocolate and French roast coffee. Flavors of coffee, toffee, and dark fruit flavors. Theres also faint plum flavors and hoppy bitterness balance this beer’s malt backbone. This beer is truelt about the coffee thought. Masterfully done. Extremely creamy mouthfeel.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 I think this is the best imperial stout I have ever had to date. Poured from a can into a tulip glass. Pitch brown with a great beige head and lacing. Wonderful smell of dark berries and chocolate. Carries to the taste, but so much more. Hint of coffee, almonds, dark toasted malt, dates, dark raisins. All this without being too sweet. These guy hit a beer sweet spot!   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 Liquid Meth in a bottle. Popped open a 22 oz. great stout head. good smell. warm taste with vanilla, chocolate and coffee. By the time I drank half of it - well let's just say it had a great effect! I will save this great beer for those "special stouty occasions"   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 2018 dated 16 oz can, slightly chilled. Poured moderately fast, which created very little mocha head that didn't last long. Nose is rich coffee, maybe fig and caramel. First sip brings light licorice and caramel sweetness, with the coffee more in the back than expected. Mouthfeel is creamy, full, with lasting dark chocolate aftertaste. Alcohol seems completely hidden...dangerous (stealing another reviewer's term). After warming, it just gets creamier while keeping its mocha, chocolate, coffee, fig, licorice balance. Really delicious and much too easy to tip back until empty. About ten minutes after finishing, the alcohol came to visit, reminding me this is strong beer! If it's this good fresh, I'll need several cans to cellar. Pricey for the area, but what else would I do with my money?   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Poured from a 26 oz bottle into pint glass in March 2018. There was a bottled-on date on the bottle of 4/5/2016. I drank this within 1 month of purchase.    Appearance: Very dark black with a three finger high tan/brown head. Head is creamy and thins out to about 1/4 finger, and leaves a little lacing on the glass, more lacing than most other stouts but not nearly as much as with IPAs.    Smell: Strong aroma of chocolate, roasted coffee, and caramel. There is some additional sweetness from malts. Not much hop aroma. A little earthy, maybe oak aroma.    Taste: There is an interesting combination of flavors. There is strong chocolate flavors along with caramel. Also some smoky roasted malt flavors, and coffee flavors. There is a little bitterness from hops, but the caramel, chocolate, and coffee flavors dominate. There is a strong alcohol presence that matches 12% on the label.     Mouth-feel: Thick, but with an extremely smooth and creamy body.    This is a very good Imperial Stout, and it has a variety of flavors that adds a nice complexity to the beer. It is very smooth and enjoyable to drink. I would definitely buy this again.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 Thick, dark, and boozy. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 I think Ale Smith Speedway Stout with Coffee had just the right amount of coffee flavor. It was not overwhelming and tasted like "normal" but strong stout. It was very good.    Look: black with a thick mocca colored head    Aroma: roasted malts, coffee, chocolate    Taste: Roasted malts, a little bit of milk chocolate and cream, and a significant amount of coffee, slightly boozy but the right amount.    Feel: medium to full body   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Bottled 4/16/16. Consumed 2/3/18.     A bit past it's prime for the amount of coffee in this brew.     I enjoyed this brew, just thought it would be immensely better if it were more fresh.   
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Black with a creamy tan head. Heavy, sticky lacing.     Strong roasted malts, a little cream and a faint whiff of alcohol in the nose. Whatever coffee is there is very muted.    In the taste the nice roasted malt flavors are coupled with a strong sweetness -- there's a bit of chocolate and cream to it, but it's straight-up sugary, too. I wouldn't call it a dessert stout, but it's close. The coffee isn't very forward at this age, but there is a tasty flash of it in the aftertaste.    Very thick, creamy mouthfeel with just enough carbonation.    This is a bit too sweet for me to revisit often, but it's still very solid. Hard to read the canned on date, but it looks like 1/24/17, which could account for the muted coffee.   
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.5 | smell: 3 | taste: 4.5 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Loads of flavour. Starts with chocolate, then licorice and coffee. Finishes leathery with a hint of tobacco. At 12% this beer doesn't drink boozy. Smooth and flavourfull all the way   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Bottled 2/18/15  Label states "Imperial Stout With Coffee"  Pours very dark with nice head. Huge coffee and chocolate aroma. Lots of chocolate and coffee up front, fairly thin but still flavorful. Overall a great stout, probably a little past its prime...    12/16/17  Bomber  4.25 rating   
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 I am writing this review on the basis of a two year aging experiment. Pours a touch thin and has a light khaki head around the edge of the glass. Considering the age it smells like stale roast and alcohol. Taste is heavily milk chocolate. Feel is just the slightest tad carbonated. Overall this beer is better fresh with the strong coffee notes. Those notes devolve in to mills chocolate but the stale roast flavor predominates throughout and detracts from the aging experiment. Definitely better fresh.   
