look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Wonderful stained mahogany body. Beige head, with hints of pastel yellow, almost shiny. Leaves a pencil line thin ring around the glass.  Malty sweet aroma. Roasty, caramel, toffee, wood and alcohol.  Toasted, roasted malts in the taste with plenty of caramel sweetness. Lots of barrel but delicately balanced.   Heavy body. Medium carbonation. Dry bitter finish with a bite of pepper, smoke and char.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Purchased from Berts Better Beers. I was able to taste a 2013 that was laid down to age from their cellar. What a special treat. Six years old and aged to perfection. A lovely amber color with foam that kicked up an inch. Flavor was beautiful with melow bourbon flavors. Overall outstanding.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 Coffee colored thin head terrific dates, figs and very fruity smell! Full body mouth feel. Delicious flavors mask the alcohol! Three of these would "deep six" me! GREAT tasting "Wee Heavy Scotch"!   
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 355 mL bottle from the LCBO; best before Jul 20 2018 (2017 batch, 11.1%) and served slightly chilled. Not the ideal candidate for review (given its age), but what're ya gonna do - I'm just trying to clean my cellar out.    Pours a very dark mahogany brown colour, with ruby red highlights and some flocculence. One finger of frothy, tan-coloured head rises to the surface, lasting for no more than 90 seconds as it quickly wilts down to a soapy collar of bubbly foam. The scattered lines of lacing are a bit scant, but it looks good otherwise. Straight-up bourbon whiskey is by far the most noticeable element of the aroma - bold and unrelenting, with oak wood, vanilla, treacle and toffee adding some depth to the nose. The alcohol fumes are also difficult to miss, though the opposite is true of its hints of date, raisin and chocolate.    A beast of a beer, of that there can be no doubt; the bourbon whiskey remains dominant, with rich dark malt flavours of treacle, toffee and toasted nuts also coming through in force. Fruity notes of date and raisin crop up by mid-sip, with barrel character of oak and vanilla not far behind. Finishes herbal and a little spicy, with suggestions of black cherry and butterscotch coming through at the beginning of a long, shamelessly boozy aftertaste that includes some charred wood flavour. Full-bodied, with low carbonation levels that barely register; feels smooth and soft on the palate, with (slight) numbing and warming effects from the ethanol. Reasonably drinkable, perhaps even dangerously so.    Final Grade: 4.13, an A-. Backwoods Bastard is not a subtle beer, but that shouldn't come as a shock to those who are familiar with Founders' BA series. Honestly, I think I'd take Dirty Bastard over this BBA variant, nine times out of ten - though to be fair, I don't love bourbon, I merely tolerate it - and this is the very definition of a bourbon bomb, with the spirit totally overwhelming the base wee heavy. If that's what you're in the mood for, then look no further, I guess - but if you're like me, this beer will serve as more of an interesting diversion vs. a mind blowing must-try. Worth a go if you can find it... I'll update this review as needed, if I stumble upon a fresh bottle.   
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 A beautiful dark beer whose appearance is only held back by the lack of head retention. An incredibly smooth sip with some bourbon bite on the backend that makes for a delicious sipping brew. Not a beer that I would buy all of the time due to its strong nature, but one that I still seriously enjoyed and would drink from time to time.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 This is another brew that I got into trouble with last summer camping.. Beware... That high ABV will sneak up on you. 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 Dont know if this is helpful as I am new to rating beer but this stuff is good!! 
look: 4.25 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Absolutely exceptional! A must try! 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 Looks like dirty water but a great tasting bourbon beer. 
look: 3 | smell: 4.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 I did not consider price in this review. If I factor the cost and convenience of availability this beer is a 5. A great beer to have in the fridge at all times.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Good, but not my favorite from the bourbon series 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 DATE: December 1, 2018... OCCASION: the tree is up in all its glory... time for part two of my Founders big beer comparisons... GLASSWARE: Duvel tulip... pours a dark black body that sports an off-white, thick, creamy head that arcs into extensive coral... the thick scent of vanilla, creme brulee, lactic acid, sweet bourbon, peat, and more bourbon--this hits with strength and allure....its first sip is ridiculously smooth and easy... there is not a hint of alcohol in its medium body, with a creaminess that resides well after it begins... subtly destructive... the vanilla and bourbon make this an unbelievable flavor, with residual peat, brackish malts that rise like sweet rye... this is a beer I cannot believe was available for eight bucks a grunt, making an event of the night... takes the Dirty Bastard and ups the ante..   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 11-22-18 
look: 5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Definitely looks beautiful. Dark dark copper with a dense and almost luscious tan head. Bourbon comes through on the nose, a little vanilla, and caramel. Taste is very nice. The bourbon really does add something to the acotch ale that really ramps up the interest. The bourbon is strong and very forward, but then you get a nice sweetness of caramel/maple syrup, with a noticeable lingering bourbon after taste with a bit of bitter abv. A very nice style, perfect for the end of a chilly day working outside and relaxing.   
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 4 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Stone The Crows! LOL! This is one badass beer. Absolutely insane flavor explosion! Yes....It's a 5 out of 5 for what it is and the style of beer. Tastes like a creamy Makers Mark with some sweet coconut and vanilla added. Fabulous!   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 Good bourbon flavor, dark, rich and heavy flavor. Need to pair this with a piece of dark chocolate for an after dinner dessert. Must be enjoyed slightly above the room temperature where the beer isn't too cold and will give a soothing feel and flavor to enjoy.  1. Good rich body with three layers 4/5  2. Perfect smell throughout the drink, until the last sip 4.25/5  3. Perfect low crisp that helps you hold the beer flavor and does not overpower the taste 4/5  4. Rich body with a good flavor accompanied with a heat that helps you relax 4.5/5   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 From a bottle at the Reserve in Sarasota. Lots of alcohol in this one. Great for reading a book on philosophy. Complex mix of malt and plumb and syrup. Sip and read. But don't drive.   
look: 4.5 | smell: 3.5 | taste: 4.5 | feel: 4.5 | overall: 4 Pours a beautiful deep copper color, with a short tan head that lingers and laces. The aroma is bourbon and molasses, with a good dose of booze, which is perfect for the style. The taste starts out with a big bourbon note, followed by maple syrup, and finishing with coffee and a slight hops bite. An excellent beer for sippin' on a fall evening. Guaranteed to warm you up!   
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 fantastic seasonal favorite, as if Innis and Gunn and Belhaven had a bastard child. Malty with just the right touch of bourbon barrel finish, smooth malty whiskey barrel wonderfullness, malty smooth on the front side, whiskey barrel on the backside, lip smacking goodie.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Pours dark caramel with nice head. Notes of whiskey / scotch. Taste of bourben barrel ale whiskey with brown sugar and coffee. Great strong brew! 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 2017 Release.    This beer pours a deep rusty brown, murky and dark, but with a reddish hue that you can spot in certain lighting. The head is about two and a half fingers thick, frothy and leaving small archipelagos of lace around the glass as it settles.    Sweet, dark fruit, oak, malt, and molasses greet the nose. It’s got a subtle but present peat and as it warms, hints of chocolate as well. At first I wasn’t a huge fan of the nose , but as it warms I really get a well-balanced complexity that only improves with every sip.    For 11+%, I expected a heavier, more in-your-face flavor profile. Granted, this is 2017’s release, so it seems that time has only mellowed this beer. Peat, malt, bitter fruit, booze, and light hops characterize a beer that functions well together as a whole, but I expected just a little more when combining the complimentary oak bourbon barrels and scotch ale style.    Smooth, medium mouthfeel. A fairly low but apparent carbonation. Smooth, warm, and not overly boozy. Sticky finish.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Super complex... Heavy on the whiskey flavor. Smoky... Not bad, but not super drinkable either. 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 Pours deep mahogany with cherry glints. The gigantic tan head lasts forever and drapes the glass in lace. Malty, peaty aroma. Rich. complex malt flavors explode in the first sip. Peaty, roasty, turbinado sugar, vanilla all in the mix. Oakiness and warming alcohol in the back. Ripe berries and cocoa too. Full bodied with light, creamy carbonation. Light bitterness and thick maltiness in the finish. Alcohol heft is understated throughout.    A fantastic Wee Heavy, a celebration of malts. Juicy and complex. A must try world class beer.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 This one is alright. I am not overly impressed as I thought I would be by this one. I thought the barrel aged series would kick the dirty bastard up a few notches, it did not.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 The best brew I have had in a long time. Strong and to th point. 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 Pours a dark dark brown. Low carbination. Smell is malt, caramel, currents, plums, raisons. Taste is malt, currents, slight nutty flavor. Brown sugar undertones. Alcohol is very well hidden. Coffee accents as it warms.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Heavy bourbon taste. More bitter than sweet. 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 Deep in color, relaxed lacing; fell easily to the side of the glass. The nose of a great former brew, reminded me of Les Trois Mousquitaires Rauchbier, sweet and subtly oaky. I will grab another 4-pack very soon.   
look: 4.5 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 This is exactly what fall and winter should be. Sip this by a roaring fire, not a drinker. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 A little heavy handed on the smoky notes otherwise a great beer. This is definitely a sipper,the flavors and aromas change nicely as it warms. A very enjoyable beer.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 Poured from a brown 12 oz. bottle. Has a cola color with a 1/2 inch head. Smell is of molasses, whiskey. Taste is whiskey, dark fruits, molasses, malts, somewhat sweet, alcohol is present throughout. Feels medium/full bodied in the mouth and overall is a quality beer worth trying.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Dark semi-transparent appearance with tan head that disipates quickly. Aroma is a sweet malt with bourbon. Taste is also a pleasant blend of malt and boubon that is slightly sweet and smooth.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Love this one... One of my favorite 4sure 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Poured into a tall clear pint glass. Opaque brown body, looks like root beer or cola. Finger head, sticky lacing.    Strong molasses notes, bourbon, oak, vanilla, toffee, butterscotch, figs, raisins, and dates.    Initially very sweet, upfront with notes of butterscotch, caramel, dark fruit, and toffee. Vanilla body. Dark chocolate aftertaste. Feels very creamy smooth.     A delicate oaky beer compiled with dark flavors, along with a sweet assortment of notes for balance. Excellent.   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 Appearance: An opaque brown body that is even when put up to direct light reveals little. A finger of head was produced that did not produce any lace but retained exceptionally well.    Smell: Very potent, but I don't think I am a fan of what this brew portends. In particular I pickup a strong molasses note, powerfully roasted malt and a solvent like quality that comes from a high alcohol brew that doesn't hide that fact well. Warming brings it out more, but it is completely irrelevant as it's strong at time of pour.    Taste: Shortbread and toffee malt starts us out masterfully as there is just the right amount of underlying sweetness, it continues to build with a slight charred oak hit with hints of raisins. Sadly while doing so, what I feared creeps into the beer, a powerful alcohol twang that punctuates the beer with some earthy hops giving it a very strong whiskey like note. Don't get me wrong, it's still good, but that undisguised alcohol should either be concealed or embraced without as much sweetness to start.    Mouthfeel: As stated, it has a solvent quality to it that is undesirable to me, unless you are really playing up the scotch and whiskey aspect. This one does at the end, but certainly doesn't at the start. That leads me to my biggest issue with the beer, it's transitioning, and it's not too often I encounter this problem (because most brewers don't seem to be able to pull it off). Most times when I take issue with transitioning, it's because the beer doesn't go from one flavor to another in a smooth fashion. That it feels either rocky or a 90 degree turn. I don't get that here, as it seems to make it journey from almost excessively sweet, to boozy, bitter, charred whiskey in a fairly graceful fashion. The issue is that it's simply too far a spectrum in such a short period of time. It's like a one day cruise. Sure, it's nice and I get to my destination, but it seems like the cruise was a waste and I could have flown for cheaper. Anyways, the carbonation is good and the aftertaste is still a bit boozy and cloyingly sweet.    Drinkability: Not as heavy as I would expect from something this boozy, but just on the heavier end of medium bodied. It's not quite a meal, but would say an appetizer for sure. Not exactly what I could call refreshing, but Scotch ale doesn't usually fill that niche. I like that it avoids dry aspects but I'm not a big fan of the feeling it leaves.    Final Thoughts: When I drank this, my mind actually wandered to a quote from a Sherlock Holmes adventure. I decided to look it up. It was from "The Adventure of the Norwood builder" where Holmes explaining how he caught the criminal in this adventure said "But he had not that supreme gift of the artist, the knowledge of when to stop." which pretty much echoes my sentiment on a lot of beer from the US (apart from the tried and true stereotype that macro lager is water, but I digress). This beer I feel perfectly expresses that sentiment. There is such an extreme transition here, that it comes across as drowning out it's own substance. Cranking the volume to 11 often deafens the listener to the music. Pretty much, the niche of this beer is after dinner in the fall or winter instead of whisky, because dinner wasn't substantial enough. As good as this beer is, it's far too small a niche for my liking.   
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 5 | overall: 4.25 Sweet, bourbon, nuts, caramel with amazing mouth feel. Most barrel aged tend to be heavy; not this fine release. Finishes well (slightly dry in a good way) and very balanced. The 11% is ok with me as well.   
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 Pours a bit of head, but it dissipates... only a little leg.    Aroma of bourbon and beer nuts is seriously enticing.    Lots of whiskey (seriously boozy) and fresh oak in the flavour, nuts, caramel, sponge toffee, raisin.    Light residual sweetness with a drying finish.   
look: 4.5 | smell: 3.5 | taste: 1.5 | feel: 2.25 | overall: 1.5 I was very disappointed by this beer and was not even able to finish it. I am a huge fan of Founders and especially of their Dirty Bastard, so I figured that I would naturally enjoy the Backwoods Bastard. I was incorrect. The scotch flavor was so overpowering that I could not enjoy it, and it tasted nothing like beer.    With all the positive reviews, I wonder now if there was something wrong with the one I was served. If someone offers me one in the future, I would be willing to give it another try and modify my review if it was different. But as it stands, I can't recommend this to anyone who wants a drinkable beer.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Chewy and wholesome mouth feel with a pronounced caramel-bourbon flavor. Hints of toasted butter and brown sugar. I’m not much into smelling my beer, but when I do, I smell Backwoods Bastard.   (P.S. If the alcohol content weren’t so high, I’d be marinating my ...well you get the idea.)   
look: 5 | smell: 5 | taste: 5 | feel: 3 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 Barrel aged wee heavies have slowly become my favorite style. This beer has a great price point at around $14/4pk and drinks best at about the 2-3yr mark. This beer is pretty hot and not great fresh, and so I'd definitely recommend some time on it. Other than Lagunitas' High West-ified, this is probably the best BA value you can find, and definitely my favorite from Founder's offerings. So happy they made this available year round! I stocked up and so should you.   
look: 3.75 | smell: 4.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Searched far and wide for this drink! Finally found a couple bottles of the 2017 release!! Man what a drink! 11.21% alcohol. Yeah you get the scotch! Yeah you get the bourbon flavor too!! Nice brew here. Extraordinary nose with exceptional flavor. Has a nice kick to it!   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Extremely sweet - but in a wonderfully smooth way. Intensely tastes of molasses and licorice with a distinctly pungent aroma. Definitely tastes barrel aged. I like this quite a bit.   
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 DID NOT want to spend 20 bucks on 4 beers to share at a 4th of july party... but I had to sample one on the ride to the party and WOW! nope NOT sharing these jewels... Absolutely on the best beers Ive had in a long while.. from the carmel color to the hint of coconut taste.. simply awesome.. I did let my gf sample a taste and even she was convinced.. it is great!   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Dirty Bastard is incredible-Backwoods Bastard is impeccable! So yum 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a dark dirty brown with a thin tan head. Decent lacing. The smell is of cooked molasses and malt with caramel and bourbon. Tastes of heavy malty syrupy malts with some fruity and spicy notes, and light hops. Very chewy mouthfeel and moderate carbonation. There is no doubt that this is a very well made beer. But it is a little too syrupy sweet and malty for my taste. It could stand a few more hops and a little less malts. Still, a very good beer, but one at a time is enough to satisfy you for a while. Would not recommend this for a session beer.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 5 | taste: 4.25 | feel: 4 | overall: 4.25 
