look: 4.75 | smell: 4 | taste: 3.5 | feel: 3 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 16.9 oz poured into a nonic.    Appearance: Black, with a leathery tan head. Fair amount of lace, especially at top.    Aroma: Chocolate, coffee, brownies, chocolate ice cream. Cocoa beans.     Taste: Lots of fudgy chocolate, with a slightly bitter coffee-like finish. Very much a chocolate stout.    Mouthfeel: Pretty easy on palate. Somewhat dense. Dessertish.    Overall: A classic sweet stout. What’s not to like?   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 3.75 | smell: 2.5 | taste: 1.75 | feel: 4 | overall: 2 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 Very strong flavoured stout. Lots going on with nice dark chocolate punch. Very enjoyable 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Before I knew much about craft beer, I was already drinking Young's Double Chocolate Stout. I loved the texture and the taste - I couldn't exactly crush these (still can't), but I sure tried. Sweet, thick, rich, and still a memorable beer, even after years of ticking. Highly recommended for the style - it's a fantastic representative.   
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.75 | overall: 4.25 Poured into a Fremont small snifter. Pours a very, very dark mahogany brown, appearing opaque black in the glass with a one finger, ultra fine, light brown head with great retention and nice lacing. This was a can with a widget inside and the head is an excellent simulation of a nitro pour. Aroma of dark toasted and biscuit malt, milk chocolate; a hint of vanilla and coffee. Flavor follows, with slightly sweet, dark toasted malt, milk chocolate, a little vanilla and more roast and a slight coffee component in the finish. Luxuriously creamy medium body with great mouth feel. One of the classic chocolate stouts and deservedly so. A little lighter in flavor than I expected, but everything is mellow and well integrated. The chocolate is authentic tasting, but somewhat understated and the finish is a little drier than the initial taste. The creamy body enhances the balanced flavors and I would buy this widget can over any other format for that reason. Very pleasant and satisfying. Another beer that I've had many, many times, but never reviewed for some reason.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3.5 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 L - Black as night, as it should be, but with some translucent porter qualities on the fringe in a glass...proper.  S - This is where the bulk of the chocolate hides, on the nose, especially when still chilled. Heavenly  T - As it warms, those aromas of chocolate turn more oyster stout-like, and it does occasionally...  F - lose a little CO2 carbonation as it warms, and seems watery by the end of the near-pint serving but still delicate.  O - One of the classics, even if it is often overshadowed by other "showy" higher alcohol stouts these days.   
look: 4.25 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 We just don't like flavored beers. Besides, have had much better chocolate beer like Stone's Xoxoveza. 
look: 4 | smell: 4 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 %00 ml bottle from the lcbo (thanks Ian). Pours dark brown with tan coloured headwhich settles to 1/4 inch and stays. Paired it with a triple chocolate cheesecake -- so I am on a chocolate overload. Not generally a fan of stouts but this is an exception.   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 3.5 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Had at the pub in Orlando Florida. 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 had this beer before from the bottle great beer, just tried it nitro- love the way the ber settles in the glass it's great to watch - very smooth stout   
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 silky smooth cold weather beer that's pretty exciting to find on nitro. there is a british style pub near me that I will visit just for beers like this, especially on a cool day and if futbol or rugby is on.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Pours a deep dark brown color with a small top of cappuccino coloured head.  Aroma is of dark chocolate,caramel, coffee,bread and roasted malts. The flavour is sweet with strong flavour of dark chocolate and some notes of coffee. The finish has a some small bitterness, while still having a good amount of the roasted malts and the chocolate in the flavour.I sense is a little bit watery in the finish. The aftertaste has a good lenght with a good feel. Mouthfeel is silky and smooth with a moderate carbonation.Goes down very easy.   A delicious stout. Great flavour. Enjoyed it a lot.   
look: 2.75 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Widget can pour pour yields a 1/2 inch creamy, creamy, creamy, tan head over a dark brown body with gorgeous, sticky lacing. Nose of chocolate and some coffee. Taste mirrors nose with flavors of a light and sweet coffee. Nice feel and overall, I can't believe I haven't reviewed this yet as I've been enjoying it for years. Cheers!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 Look: Virtually black until you hold it up to the light for a bit of brown shine. Thick, tan foam on top.    Smell: Sweet, milky malt. Not a whole lot of chocolate on the nose.    Taste: Dark roasted coffee and chocolate, with a sweet malt countering most of the bitterness until the aftertaste.    Mouthfeel: Thinner and more carbonated than expected for a stout.    Overall: I'm not sure if I'd call it "double chocolate" but it's still a fine drink.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 Five bucks for a bottle over at H-E-B. A little on the expensive side, but I think this one is meant for the occasional treat rather than having every day.    Look, smell, and taste are all exactly what you'd expect. Dark, creamy, and chocolatey. Like a lot of other dark flavored beers, I pick up some coffee notes here and there too. Pairs extremely well with a chocolate muffin. I can imagine you might pack on the pounds if you drink this too often, so use sparingly! Overall, an excellent stout with a strong flavor that doesn't taste artificial.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 3.75 Now I have had both the can & bottled versions. I do prefer the can version due to the creamy/foamy head that the nitrogen gives. This does taste like some form of luxurious liquid. I am picking up on the dark chocolate sweetness, some roasted malts, slight caramel. The mouthfeel is quite thin but most nitrogen beers usually are that way. I recommend you drink this beer fresh, no later than say 4 or 5 months in the can for the best taste. Cheers! A-   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Poured from a 330ml bottle into glass. Stamped on bottle neck is best by date of '20/02/18'.  Dark brown body with brown highlights when presented to light. Bubbly two finger light tan colored head settles to bubbly cap. Good area coverage of spotty lacing.  There is a dark fruit component to both the aroma and the taste, which is quite comparable in expression to the different senses. Aroma also has dark malts and chocolate.  Taste expresses a solid dark malt base, and lighter additions of chocolate and coffee. Sweetness on the light side.  Thin to medium mouth feel. Very easy drinking. Not exactly dry but quick to clear the palate.  Solid stout with chocolate that can be paired with many foods. Clean, and induces repeated sips.   
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Decided to revisit this one after several years, and it's much better than I remember. A rather aggressive pour into a nonic pint glass yielded a ton of thick, soapy tan foam atop an almost ebony-colored body. Scads of sticky lacing as the head settled into a thick cap. This has a very nice roasty malt character, with lots of chocolate flavor as expected. There are also notes of tart fruit and dark roast coffee coming through as the beer warms toward room temperature. Medium light in body, not too sweet. Surprisingly dry finish, with a little lingering roasted coffee-bean bitterness. This is light enough, dry enough, and low enough in ABV to make it a great pairing with all kinds of food. Not overpowering, very drinkable. Although a little on the spendy side, it's worth an occasional splurge. Widely available in the U.S.   
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 Pours a dark brown color with a beige head that is slow to dissipate. Smell is roasted malts, dark breads, and a hint of chocolate. Taste is chocolate, coffee, roasted malt, and a little bit of hop bitterness that keeps it from being too sweet. Medium weight with some active carbonation. It's a pleasant stout, tasty, and not too heavy.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 Beige head that dissipates quickly. The beer is almost black in colour but in the light it’s dark brown.    The smell is chocolate and dark brown bread.    The taste is chocolate, some coffee, and dark malt.    The beer is full bodied and the finish is heavy and slightly bitter.    The beer is outstanding and a must try.   
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 Bottle BB 1/24/18. CBF pint.    A: pours an opaque black with one finger sandy head that fades to spotty islands of bubbles. Great drapes of lacing.    S: honestly, I expected more chocolate. Sam Smith's chocolate stout was overpoweringly chocolatey; this is not. That's not to say there is no chocolate here; there is - but it is subtle. This is also an old bottle. Chocolate smell is, of course, more pronounced as it warms. An almost almond-like note comes with it, and some coffee. Imagine a dark roast with a shot of almond syrup, black. Amaretto.    T: arrives malty, ever so barely sweet, slightly sour. Mid palate is roast and some floral English hop, turning slightly sour. Sweeter than Bell's Kalamazoo stout, less so than Left Hand.    M: lighter end of midweight, active but not overwhelming carbonation. Slick, but lighter weight and low ABV keep it drinkable.    O:This is a classic English stout par excellance. I like this better than SS chocolate, and about as much as SS Oatmeal stout. Very similar, in fact, to that oatmeal stout. Earned a place in my regular rotation.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Noticable but not overly felt chocolate flavor ! 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Bottle from LCBO - pours deep dark brown, almost black with a creamy parchment coloured head with good lacing. Aroma: caramel, chocolate, sweet tobacco, toast. Flavour: Espresso bean, chocolate, toast. Complex mid/full mouth.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 3 | taste: 3 | feel: 4 | overall: 3.5 Not what I was expecting. Disappointed TBH 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 3 | taste: 3 | feel: 4 | overall: 3.5 
look: 4 | smell: 3 | taste: 3 | feel: 4 | overall: 3.5 I'm not impressed despite the high ratings, wonder what I'm missing.  Poured from a 14.4-oz nitro can. Looks, tastes and feels like Guiness with some chocolate flavor added, maybe a little smoother and creamier but that's all I'm getting.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 Have been getting this lovely drop in 500ml Cans recently , I have found Young's Double Chocolate Stout , to be better than ever. It seems to pour better , and the creamy head is retained longer . The taste is luxurious , chocolate and coffee flavours divine , and my local store in Perth , Australia is currently selling them at $17.99 for a 4-pack , a comparative bargain in my book   For a regular drinking pleasure ,, when you want to enjoy a few (5.2 % perfect ) I can't go past this ..superb   
look: 4.25 | smell: 4.5 | taste: 5 | feel: 2.75 | overall: 4 Smooth and taisty 
look: 3.25 | smell: 3 | taste: 2.25 | feel: 3.25 | overall: 2.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Delicious from tap. On a cold winters night, a handful of these is as close to heaven as I'm likely to get. 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 4 | overall: 5 Nose is dark cocoa bean espresso. Appearance is dark night molasses. Its a beautiful looking stout. Head is tan about a finger. Taste is dark chocolate bean and some toasted malt, in no way overpowering , just perfect. This is a world class stout. Enjoyable through and through. I had this beer with fresh caught striper cooked in beer batter breading. Pure greatness together. I was surprised that it paired with seafood so well. Stoked.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 Opaque with a nice thick tan head. Too dark to see carbonation. The head recedes quickly, but not too quickly and laces nicely. Smells mildly sweet, like raisins. Tastes like raisins, mild molasses maybe, touch of cocoa, mixed with a roasted/toasted mix, but far from too sweet like most stouts I've had. I've been looking for a stout that's not too sweet. This is a solid and great beer.   
look: 4 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 Poured into a clear pint glass. Black and faintly brown color with a dark tan foamy head.     The most obvious smell is roasted coffee beans and other toasted malts, alongside with the chocolate/cocoa scents to the brew. There's a hint of vanilla in there too. All of it smells very rich and sweet, the flavors dancing in the scent.    The taste has a prominent chocolate flavor, most notably milk chocolate however it's not overly sweet. Vanilla also is another key flavor. Others include cream, a staunch coffee presence, and slightly bitter hops. The myriad of different sweet flavors balance with the hops. Feels smooth and creamy going down.   
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 Poured from bottle. This is a well balanced, full flavored Stout. Pours with a nice head. Smooth and chocolate creamy initial taste, followed by roast tannin bitterness on the back side. Subtle mineral taste in the background. I like this beer and would definitely drink it again.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 5 | overall: 4.5 So smooth!  Served on tap in a pint glass.  Pours with a creamy, foamy off-white head. The beer is a dark chocolate brown/black. The taste starts sweet and progresses to mild hops and a little sour that lingers on the tongue. Each swollow brings back the whole sequence - and then I ordered another one!   
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 If you like dark chocolate that's silky smooth with a nice body that fills your mouth and coats your stomach this is perfect stout. It has the right amount of malts, Chocolate, and cream, def good with a bowl of ice cream.   
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 Poured from a 12oz can into pint glass in September 2017. There was no bottled on date, and I drank it about 1 week after purchase.    Appearance: Very dark black with a very thick tan/brown head. Head is thicker and creamier than many other stouts, and left a good amount of lacing on the glass.    Smell: Balanced aroma of roasted coffee, toasted malts, caramel, chocolate, and cocoa as well, but overall the roasted malts dominate the others. I do not get much hops aroma.     Taste: Strong chocolate flavor. There is an interesting balance between the coffee, roasted malts, chocolate, and some bitterness from hops. The chocolate makes it sweet, but there is bitterness enhancing the taste and adding some complexity. There is a medium alcohol presence.    Mouth-feel: Medium alcohol, but with a very smooth and creamy body.    This is a nice, complex stout, and it has a variety of flavors that adds a nice complexity to the beer. Although this is a medium-bodied stout, it is very smooth and enjoyable to drink.   
look: 4.5 | smell: 5 | taste: 4 | feel: 4.25 | overall: 4.5 Wowee does this bad boy take that Chocolate taste, smell and look out to town for the night. It's a refreshing "dessert" beer to me with it's heavy chocolate taste of course but also lighter vanilla and coffee tones that we've come to expect from a lot of stouts and porters.   It pours like a beaut, nice rich black color and a light tan head make ya wanna oggle more than drink.   Definitely getting this one again   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 A classic sweet Stout that really is quite unique.    Has the whole Guiness widget pour from a can method. Once settled have less than and inch of thich dark cream head with an opague brown/black body.    Smells of malt, milk chocolate, and some vanilla and a touch of dates.    Taste improves as it warms. First notes are strong vanilla, chocolate with balanced malt with a touch of alcohol and a slight hint of coffee in the finish.    Body is lighter than expected, but very refreshing, this would be a meal of its own with some more body, but as is would compliment a vanilla or.chocolate desert amazingly.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Almost 10 years in and I've never had this? $1.50 a single, 8 months past the best before date says I gotta try this. Since I'm one of those who says beer does not get better with age, I don't expect much ...    Surprise, surprise this little stout has held up remarkably well, though I have no idea what it tastes like fresh. Chocolate milk stout smooth creamy delicious. Classic for good reason, obviously.   
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 Got 4 pack of 14.9 oz cans for 11$ not to bad really. poured from 14.9fl oz can with widget into stout glass.  L: appears almost pitch black once settled with 1/2 inch beige head that stays the whole way.  S: chocolate hits the nose first and more chocolate with slight hints of malt and a touch of fruit.  T: wonderful chocolate and lots of it with roasted malt flavor. Love it!   F: it is a bit thinner than I would have expected but it still goes down smooth.  O: overall I see why this beer gets high ratings and I really enjoyed my experience and probably will buy more in future I only wish it had a bit more body but can for sure see why this is a classic!   
look: 4.5 | smell: 4.5 | taste: 3.75 | feel: 4 | overall: 4 L: Very dark with a generous brown head. Good head retention. Looks lovely.  S: Roasted malts and deep chocolate smells emanate from this brew. Invites a hearty sip.  T: Warm chocolate from start to finish. Roasted malts come through and a dry finish. Some metallic tones.  F: The sweet chocolate plays well against the roasted flavors. Creamy and smooth.  O: Very satisfying brew. Very glad this is in a regular rotation at the local LCBO.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 1 | feel: 2 | overall: 2 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 First things first...how did I get almost 1300 beers into BA without having tried this classic? Shame on me.     Pours a pitch black color with a nice thumb and a half of root beer head. Retention is excellent and there is some fantastic lacing. The smell is sweet fudgy chocolate, malty goodness and some vanilla. The taste follows the nose fairly closely with the chocolate being dominant. Feel is much thinner than expected, not a bad thing just not expected, and the carbonation is fine.    A good sweet stout. Would pair nice with some cookies or a plain donut at dessert. A classic, and now I understand why.   
look: 4 | smell: 3.5 | taste: 3 | feel: 2 | overall: 3.25 Nice pitch black color, good head retention, whiff of molasses, pretty thin body 
look: 3.5 | smell: 4 | taste: 3 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 5 | smell: 4.75 | taste: 3.25 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.75 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Beer pours a very dark almost black color with a dark brown head and has something floating in it. Has a sweet smell with hints of chocolate. It's smooth and easy to drink with chocolate and coffee flavor. Overall a very good stout.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 Poured into a nonic pint glass, the appearance was a dark brown close to black color with a quickly dissipating finger's worth of off white foamy head. Not much lace.  The aroma had a ton of smooth sweet fudge-like milk chocolate tones.  The flavor was the same with a semi-syrupy aftertaste of that chocolate.  The mouthfeel was between light and medium bodied with what I hate to say but a "watery" sort of finish. Carbonation did feel fine. ABV felt just as good.  Overall, the classic English styled "milk/sweet stout" where that watery finish is the norm. With that in mind, I can't be too harsh in my numbers.   
look: 4 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.5 A solid but not overly heavy stout. Dark, pours clean with a moderate head and good aroma. I was afraid it might be too sweet or too chocolaty but it was an overall excellent offering. Making this a regular purchase.   
look: 4 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4 Poured a motor oil black color. Smelled moderate chocolate scent, even a hint of coffee oddly enough. Rich malt taste. Not as creamy as I thought it would be but it's very satisfying. I'll be buying more most likely. Great brew overall.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4 Black in color with a malt chocolate aroma. Welll balanced and flavorabke beer that delivers chocolate without making it overpowering or artificial tasting. Only complaint was that it appears thick and creamy it felt and tasted a bit thin   
look: 5 | smell: 5 | taste: 4 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
