look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 2.75 | feel: 2.5 | overall: 2.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 Poured into a Samuel Smiths pint glass. Dark orange. Beautiful foamy head that settles to an inch. Medium lacing. Smells of orange, very sweet. Tastes like an orange liqueur chocolate. At 7.5% ABV, it goes down extremely well. A superb after-dinner ale. This would be an excellent beer for Christmas. Lagunitas hits it out of the ballpark again!   
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 2.5 | feel: 2.5 | overall: 3 Too sour for my taste 
look: 4.5 | smell: 3 | taste: 2.75 | feel: 2.75 | overall: 2.75 Bright, light gold with faintest bit of haze. Good lacing with what little head there was.  Aroma was fruity-hoppy when first poured, almost watermelon. Half-way through the glass it transitioned to horse-barn (not wet horse blanket).  Taste is not reminiscent of the aroma. Was okay for the first few sips but moved on to have an odd taste on the back end that's tough to describe, but I'll fall back on "horse barn". I liked the bittering, prominent but not overpowering.   Throughout there was a slickness remaining in my mouth after each swallow.  The redeeming factors were the color and initial aroma immediately after the pour.    Maybe the one I had was past its prime, but if my bottle is indicative of the brew it's not for me.   
look: 4 | smell: 3 | taste: 3 | feel: 4 | overall: 3.5 
look: 2 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3 
look: 3.5 | smell: 4.5 | taste: 4.75 | feel: 3.5 | overall: 4.25 Poured out of a bottle into glass. Medium head with moderate lacing. Look is light golden and clear. Smell is sweet, floral, and citrusy. Taste comes on citrusy like grapefruit, definitive boozy, and finishes bitter and dry with decent malt. It is refreshing and tasty and very unique for a wheat beer. This is one of my go to beers.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 1.75 | smell: 2 | taste: 2 | feel: 2.25 | overall: 2 
look: 3.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 They had this on the Norwegian Cruise Liner 'Sun' Panama Canal Cruise 2018. I loved it and 3 days later? Gone. In San Francisco I said "It's made in California. It's right over there. Go get some." They were not amused. I paid extra to find the leftovers. It continues to be excellent and available. Now it’s a go to Beer. August 2018.   
look: 2.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 This is a great beer which defies categorization. Beeradvocate has it listed as an "American Pale Wheat Ale," whatever that is, but I'd say it's closest to an IPA.     I poured from a bottle into a pint glass. It's a clear, pale, golden color, with moderate carbonation (perhaps a little more than average) and a thin but long-lasting head. It's hoppy but not particularly bitter, and there's no annoying bitter aftertaste. The wheat content gives it a smooth malt flavor. Crisp, slightly piney. Given its smooth, refined taste, the relatively high ABV is surprising. Overall, a pleasant, clean-tasting, IPA-like brew.   
look: 4 | smell: 3 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 12oz bottled 6/7/18 (40 days ago) poured into a Spiegelau IPA glass at fridge temp 7.5% ABV 64 IBU. The beer pours bright golden amber in color with abundant sticky nearly white head. The aroma is mild with pine, light caramel and tangerine intermingled. The taste is piney and citrusy with a little semisweet caramel. The mouthfeel is medium bodied, adequately carbonated and mostly dry in the finish. The finish is nicely bitter with a resinous note, but the wheat keeps everything a little soft and less dry. Overall, very good. Really enjoy this one fresh.   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 The beer is a clear golden yellow with a nice head and little carbonation. Off the nose i get some citrus and lots of pine hop like aromas. The beer starts very hop forward with that IPA like flavor but the wheat and some sweetness come through at the end. The beer is a little boozy and feel a little thicker for the style.   
look: 3.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Lagunitas makes great beers but they don't put the date on the bottle which is frustrating, there is a code for it. The one I am drinking was bottled about two months ago.   Pours a slightly darker than straw color with only moderate carbonation. Decent head of foam. Smells fresh with fairly typical IPA flavors of fruit and pine. Can also smell the wheat malt, it smells really good.   The taste is initially strong hop but it quickly fades to a rich malt on the palate. Tastes of grapefruit, peach, and orange. Finishes crisp and refreshing as expected. Extremely easy to drink for a 7.5%. For those wondering how this compares to Lagunitas IPA, the flavors are a little different. Much more rich maltness with this one. I find Sumpin Sumpin to be lighter body than most beers at this ABV. Overall, it's not an absolute hop bomb but it has lots of sharp flavors and freshness.   Overall grade is a very good A-   
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 Clear light amber.  Lasting foamy head.  Prominent bright citrus aroma.  Light cereal sweetness.  Complex citrus hoppiness that Lagunitas does quite well. Finishes with a bit of lingering bitterness.  Feels a bit thin, and carbonation is a higher than average.  Tasty hoppy ale.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 5 | taste: 4.5 | feel: 3.75 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 A - Golden color, pretty clear. A little less than a finger of head with very nice lacing.    S - Malty smell with some hops and pine.    T - Very malty with a little bit of hop taste. Pretty boozy.    F - Boozy aftertaste, but very smooth.    O - Fine beer. A little too boozy for my tastes, but not a bad beer at all. Goes down very easy.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 1.5 | taste: 1 | feel: 3 | overall: 2.5 
look: 4 | smell: 3.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 4.25 | overall: 5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 Amazingly clean yet complex beer that I tried on tap. Nice golden color with a little head and great lingering lacing. Smells faintly of citrus hops. Tastes of nice fruity hops - mainly orange, lemon, grapefruit and a little mango. Also has some malt sweetness in there, as well as just a touch of hoppy bitterness. Smooth finish and mouthfeel with some good carbonation. This one started off really subtle and then the IPA flavors hit me in a gradual, amazing way. Very impressive!   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 5 Wow. If this is how they make wheat ales in California then all the German breweries should dry out or burn down to the ground. This one is huuuuuge!  First of all, if this is a wheat ale, it was a genius who got rid of that typical German/Belgian yeast and now this is all pale. Because it lets all the hops take control - it smells oranges instead! Amazing! Fruity but not that IPA punch but nice and subtle with minimum bitterness.  And then you drink it and it's all good. Like a pale ale, maybe with a little more characteristic body (guess these are the wheat malts) but everything else is 100% typical American - in a good way. This is a punchy pale - wheat - ale. Outstanding. Loving it bigtime. And we are on 7.5% ABD and nowhere is any booziness. As light as SNPA! This beer is truly a materpiece, full of hidden layers but then again it is so simple that you couldn't be wanting for more. This is a bullseye. Wish all wheat ales were like this.    As the notes are taken, let me quote the real one here:    "So, we're all on collective disability. That's cool. Let's put some ice on it and keep ourselves elevated for a while. So, what's on the tube...? Honey..? Get me a beer from the fridge... Will ya..? Sweetie..? Pleeease..?    Beer Speaks. People Mumble."   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Way drinkable. 
look: 4 | smell: 1.75 | taste: 3 | feel: 3.25 | overall: 3 I drank A Little Sumpin' Sumpin' Ale at a festival in Van Nuys, CA. I had drink tickets for the beer.  Look: A Little Sumpin' Sumpin' Ale is a beautiful golden colour with medium foam.  Smell: A Little Sumpin' Sumpin' Ale assembles an alcohol associated musk.  Taste: A Little Sumpin' Sumpin' Ale has a sweet hoppy flavour.  Feel: A Little Sumpin' Sumpin' Ale has a medium amount of carbonation with a good alcohol content.  Overall: People who enjoy sweet and hoppy beers would be happy with A Little Sumpin' Sumpin' Ale.   
look: 3 | smell: 2 | taste: 2.25 | feel: 2 | overall: 2.25 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3 Golden colour, medium head with long retention, good lace.  Aroma of pine, resins, citrics, malts.  Medium body, harsh texture, good carbonation.  Taste of pine, citrics, resins, grapefruits, malts.  A bit bland for my taste.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 Enjoyed at the Amtrak Legacy Club at the Chicago Union Station, poured from a 12 oz bottle into a glass.    Pours a light amber with a faint white head.    Malty aroma with a hint of hops.    Odd flavor --- mostly malt, prickly citric beginning with sweeter finish.     Medium mouthfeel with some prickliness.    This apparently is a a wheat pale ale, so I wish it had more of the wheat element to it.   
look: 3.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 Off the bat thiss is a great beer, pours with an pale orange color with a very frothy head. Smells is best described as citrus like, mostly like grapefruit. Most would find as a good smelling beer     The taste has a citric flavor with a more hoppy aftertaste, the amount of carbonation on this feels about perfect, very drinkable definatlely a favorite. The strength of this beer for me is the easy drinkabliltiy this is the perfect beer to get people into more craft beer, since it’s a delicious with out being too outlandish. A personal fave.   
look: 3.5 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 I was finally able to track this beer down....and it was worth the wait. Upon opening, I detected a bit of a floral scent, nothing overpowering but nice. Nice hoppy taste that sticks with you for a bit longer than my other favorite Lagunitas beer, Hop Stoopid. Very pleasant aftertaste. I would definitely drink this year round if Lagunitas would release it year-round.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 3.5 | overall: 3.75 Pours a nice, clear pale orange with a big frothy head, good lacing. Nice citrus aromas and taste. Crisp carbonation, easy to drink. What the he'll took me so long to find this. Another terrific brew from a brewery that gets it right.   
look: 4.5 | smell: 5 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 2.75 | taste: 3.5 | feel: 3.25 | overall: 3.25 Very Strong Aroma  Taste not as strong as aroma might indicate  Easy to drink Ale 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Got a little sumpin sumpin today and what a nice ale. That said it pours a golden colour with a nice white bubbly head. The aroma is definitely bright citrus, hops, and a aromatic sweetness. The taste is nice with zesty orange peel, overtones of hops, a kick of grapefruit, and also has a nice dry finish. Overall... Simply Outstanding !!!   
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 12 oz. bottle poured into a tulip glass.    L---Clear gold color. One finger pure white head that quickly thinned down to a cap. Left good lacing.    S---Sweet, citrus fruit (orange & grapefruit). A bit of pine in there as well.    T---Hops are prominent. Orange & grapefruit are at the front of all of the fruitiness.     F---Quenching. Nicely carbonated feel helps it go down easy. Feels like one you'd have several of on a hot day (7.5 ABV might make that a questionable idea, though).    O---Lagunitas produces high quality stuff and this falls in line with what they do. Excellent.   
look: 3.5 | smell: 3 | taste: 3.25 | feel: 2.75 | overall: 3.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 I 
