look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 From a 650ml bottle served at 14 degrees Celsius into a snifter. Bottled on 15.10.2016 – aged for 9+ months in the bottle.    Look: The beer pours a clear light brown with red highlights topped by 4cm of dense, creamy, tan head which dissipates into a craggy cap in 3+ minutes. Such impressive head for the hefty 11% ABV. Fine-looking beer indeed.    Smell: Complex! Strong and well-balanced - very enticing. Citrusy, resiny, herbal, and floral hops (grapefruit, pine & jasmin). Malty caramel, brown bread, and milk chocolate. Faint dark fruit esters and alcohol. Goodness me!    Taste: Strong and bitter – a punch in your mouth, just the way I like it. Rich, complex and follows the aroma seamlessly. Notes of caramel, dark fruit (raisins), resinous pine, and citrus (grapefruit). The finish is long, strong, and bitter with a touch of minerality.    Feel: Full body with medium-low carbonation. Heavy, borderline chewy with considerable – yet not hot – alcohol warmth. Slightly astringent which likely stems from the extreme bitterness.    Overall: Big, bold, and aggressive – I absolutely love it. I had the whole bomber to myself and I feel like I could do another one just because it's that delicious. A wonderful brew displaying excellent craftsmanship. Beer doesn't get much better than this for me.   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 Look: Cloudy, hazy brown. Light tan head fading quickly.  Smell: Heavy malt sweetness, mown grass and faint citrus.  Taste: Plenty of malt sweetness. Not as hoppy as I would have thought. Grass and pine. Dry finish.  Overall: Pretty surprised at the subdued hops.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 3.5 | feel: 4 | overall: 4 Bottled on 10/14/15. Served from 22oz bottle into glass at home. Pours deep amber red in color, medium high clarity, with a tan colored head. The head quickly diminishes to a a thin ring of bubbles on the glass. Legs visible when agitated. Assertive aroma, sweet caramel malt and lots of alcohol, resulting in a preserved fruit character. Some fruitiness that may be alcoholic esters or hops. Flavor is more malt with lots of alcohol and high hoppy bitterness. The body is full, almost chewy, medium low carbonation with a decidedly dry finish. Even with all the alcohol aroma and flavor there is little "heat" detectable at the finish. Overall this beer lacks the hop character expected, but that is most likely due to the age of the bottle. It comes off as an aggressively bitter American barleywine and really is an amped-up version of the original.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 A 10 oz. draft in a snifter glass.    Appearance- A bright red-brown color with about half a finger of tan colored head. Spotted lacing down the glass with a hazy color lighter than the beer.     Smell- Definitely get the alcohol smell but there are sweet smells of candy or sugar in there. A malty smell seemed to dominate the aroma.     Taste- The sweetness really gets pushed out by the alcohol. There seems to be some caramel or molasses mixed that I didn't get from the smell. I neat bitter finish and some citrus thrown in.     Feel- A thick mix with enough carbonation to make it. A dry finish, maybe the high ABV.     Overall- Very drinkable for 11%. Stays true to the style and the light candy sweetness mixes well. A great beer for a cool day   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 2015 release, 650ml bottle poured into a snifter.    Hazy deep ruddy brown in color with lots of sediment floating around, the pour forms up thick creamy light tan head that withstands with good retention before slowly sinking to a lasting bubble sheet on the surface and leaving lots of lacing patch and spot.    Rich and intense malt in the aroma with the array of sweet candy, caramel, burnt sugar, dough, butter bread, toasted biscuit, and charred nut while hop provides its citrus, pine, tropical, and slight spicy in subtle fashion together with a hint of alcohol perfume and cherry.    Super malty and cherry boozy in the taste, it kicks off with the vast malty goodness of sweet candy, caramel, burnt sugar, dough, butter bread, toasted biscuit, and charred nut. Hop is being nicely complement with slight citrus and pine as well as a very extreme bitterness while alcohol wraps all the things up with its sweet, spicy, and warming touch.    Full of chewy malt and rather syrupy body with smooth mouthfeel and medium carbonation that is well enough to carry all the things well, finish is very dry.    Complex and more arrogant than its little brother, the aging helps to develop some more on malt while being a bit drop on crisp hop character. Still a truly great brew in anyway.   
look: 4.25 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 Pours a deep amber with moderate head. Strong, boozy nose. Strong ale taste, hints of fighting and cherry. Moderate hops. I didn't find it to be as malty as they claim. Overall, a nice ale.   
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 This is the 2013 release, which I've been sitting on for a while. A 22oz bottle with a bottling date of Aug 2013. ABV is stated as 11.2%. Acquired from the Brewdog webshop ages ago and carefully stored.    A: Poured into a tulip. Bottle conditioned. A deep ruby-red hue with light carbonation and some floating sediment. Yields a decent head of creamy off-white foam that lasts for a minute or two before collapsing to a patchy surface layer.    S: Aroma of sweet caramel malt and pungent hops, with notes of toffee, barley sugar, grain, pine resin, spicy hops, sherry, oxidation and booze. Complex, but definitely gives off an impression of being past its best.    T: Tastes of sweet malt and exceptionally bitter hops. Hints of caramel, sugar, grain, leafy bitterness, pine resin, spice, mild sherry and a warming touch of alcohol in the rear. Quite oxidised, and lacks much of the aromatic hop character that might be expected. A forceful flavourfest nonetheless.    M: Mouthfeel is smooth and thick, with hop oils and booze tingling the palate. Carbonation lightly tickles the tongue. A big, chewy texture followed by an aftertaste of sweet malt, stinging hop bitterness and oxidation.    O: An impressive brew, but I suspect I held on to this for a bit too long. Looks nice, while the aroma and flavour are huge blends of sweet malt, pine resin and leafy bitterness. Quite a bit of oxidation present, as well as the loss of aromatic hop notes that would have provided more balance to the malt. Good body. Interesting, but probably best sampled younger!   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.75 Had two bottles of this. Both are gone now. Review from notes. Purchased from the LCBO for $10.95 CDN per 22oz bottle.    Appearance - A bright red color, a finger of light tan head and some lacing. Also a not inconsequential amount of haze.    Smell - Big and boozy with plenty of molasses and inviting. Burnt sugar in there too. A malt bomb that doesn't shy away from hops either.    Taste - boozy and very bitter, some elements of smoke within, peat flavors and boozy finish.    Mouthfeel - Smooth and thick, chewy with good carbonation and a very dry finish.    Overall - A fine big beer that left me a little disappointed. Certainly drinks like an 11 percenter. Wouldn't turn it down, but won't go out of my way to purchase a third bottle.   
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 4.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4 | overall: 4.5 Very good beer, not what I was expecting from all ive heard about this beer..    Almost smells like a light chocolate stout with just a hint of hops , the flavor matches the smell.    Super drinkable and mask all the alcohol .    Would buy again .   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 Poured into a chalice: color is amber, a little hazy, tan head with an amber tint, bubbles are fine to small, presenting 1/2 inch thick and lingering with a solid top, head laces the glass sides.     Smell is sharp, might be the booziness, the smoothness and caramel flavors are hidden at first, then come through lighter than expected with moderate hoppiness.    Taste is huge malt, heavy caramel and lighter molasses, sharp alcohol, big bitterness. Definitely a doubly arrogant beer, but also one I think needs at least a few months aging to soften the bitter, boozy blow.     Mouthfeel is less sharp as it warms, moderate carbonation, smoothness starts to exude itself but the bitterness overtakes and bits the tongue.    I tend to like big, malty, hoppy, smooth brews but the double bastard seems a bit young yet for the 2016 release.   
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 3.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 2.75 | feel: 3.25 | overall: 3 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured from 750ml bomber into standard pint glass. Bottled on October 22nd 2015.     L: Hazy Garnet, incredible retention of the finger width tan head.     S: Pineapple, Caramel, Alcohol very present, Pine Hops and lots of malt.     T: Incredibly smooth flavors present themselves beginning with the hops, slight citrus and pine, morphing into the malty backbone of toffees and caramels, then finishing with the bite of the very present alcohol even after over a year of bottle aging.     F: Medium-Full bodied, super-smooth on the palate.     O: What an excellent beer!    UPDATE: 2009 release! 8 year old bottle! 22oz poured into Snifter. No exact date just 2009.     L: Murky russet brown. No head whatsoever but it bubbles a little.     S: Surprisingly I still get a decent amount of alcohol, but mostly this is some rich caramel malts like, citric and pine hop notes, some honey like sweetness as well.     T: Lots of malt again, caramel and toffee, with almost a toast flavor, alcohol is still present. Citrus and pine hops are gone from the flavor.     F: Full body, carbonation is less than average, dry finish.     O: Honestly not as good as a fresher one but still neat to try.   
look: 5 | smell: 4 | taste: 4 | feel: 5 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 What an incredible beer. I don't know about you guys but Double Bastard is widely available here in New England pretty much anywhere you go. Even the street corner liquor stores carry it and it's pretty much guaranteed to be on tap at most bars. It's cheap and it truly does live up to its reputation. Silky smooth mouth feel when strong notes throughout the taste profile. This is a damn good ale that you simply can not go wrong with. Is it the best in the world? Probably not, but it's a sure fire go to in times of need.   
look: 4.5 | smell: 3 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 
look: 4 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Poured from a bomber into a tulip    L: Pours a hazy dark copper color. Three fingers of foamy white head last awhile... great lacing.    S: Rich caramel malts... hops... aggression and arrogance.    T/F: Rich, malty, and assertive... caramel and dark sugars followed by some big time hop bitterness that is pretty much a kick in the jaw. Full bodied and thick. Well carbonated. Warming with the EtOH, but dangerously drinkable. Becomes more rich and full with a few fruity overtones as it comes up to room temp. Finish is sticky and bittersweet.    O: I love Arrogant Bastard... and I really love Double Bastard. Just outstanding beer, and always a treat.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 3.99 on 11/8/16    2014 vintage on 8/31/18 = 4.13 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 2.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 22oz bottle poured into a globe. 2014 vintage is exactly two years old at this point.    A: Deep red-brown color with orangey hues. Fairly hazy. Cream -colored head settles shortly. Specks of lacing.    S: Loads of toasty bread crust. Chewy caramel. Deeply toasted biscuits. Scones. Big raisin and date fruit character. Hops still retain a fair amount of earthy and spicy pull, though they've subsided a bit.    T: Chewy caramel leads. Subtle hints of toffee. Aggressive toasty character. Heavily toasted crust. Scorched pizza crust. Raisin, fig, and date fruit. Hops are still pretty aggro, retaining a lot of bitterness and spicy, oily, and earthy flavor. Alcohols pick it up and spike hard toward the back end. Almost vodka-like. Oily hop finish leaves a strong trailing bitterness.    M: Big, thick, and weighty. Round and chewy in texture with a mild coating feel. Abrasive hop astringency dries things out. Medium-low carbonation.    O: This strong ale is very American Barleywine-esque, and quite aggressive. Huge, overly toasty, bitter, and boozy. Untamed and unashamed. It takes the palate a good while to get used to the beating this beer dishes out, and even then it's still a slow sipper. It's a weird sort of beer in that it's kind of too much and a part of me thinks I shouldn't like it, but yet I somehow still do enjoy it.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Smells of pungent resin and bitters, with plenty of caramel and white chocolate to balance. The head is a lovely tiramisu ice cream color, and is smooth and long -lasting, leaving spotty lace. The body is a very deep copper, and while the clarity is murky, it's more romantically mysterious than it is off-putting. The bitterness is strong, thanks to heaps of resinous and floral hops, but is made quite palatable by equally massive toffee and sugared hazelnut flavors. Oaky booze plays a big role as well, but is made more sophisticated by a complex garnish of spices that run the gamut from white pepper to cloves. Medium-bodied and delectably creamy, the mouthfeel is quite seductive, with a nice kick of carbonation to boot. Lots of alcohol warming, and a residual stickiness which leads to uncontrollable lip smacking. It's a big-bodied brew for the fearless, and yet, it's stylistically sound. For those of us who are both hop heads and big beer lovers, Double Bastard does not disappoint.   
look: 5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Awesome beer. My first ever Stone/Arrogant Bastard beer. Let this bad boy age! 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4 L: Hazy dark red color, one finger off-white head, high carbonation.    S: Fig, hops. Lovely.    T: Fig, hops, bitter, very malty. Boozy on the back end.    F: Full bodied, great carbonation feeling.    O: Great beer. Not for every day but would gladly have it again.   
