look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 12 oz can into IPA glass. Dated best by 5/17/19.  Look is fairly clear reddish brown. Smell is fairly light hops/yeast/malt balance. Taste follows nose. Very balanced. Feel is light. Overall a nice beer but I would not seek it out but would drink again.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 A: poured from a 12 oz bottle into a pint glass, deeper orange amber colored with a large off white head that lingers leaving good lacing, clear    S: fresh earthy and citrus hops balanced with sweet grain, citrus pine    T: big blast of bitter hops up front, pine, lemon, grapefruit, middle sweetens to balance with malt, caramel, bread, finish is pine bitter    M: thick and sticky    O: great beer picked up in PA   
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured from can into pint glass. Poured a clear orange tinted amber with a nice fluffy cream colored head. Notes of citrus, pine, and resin on the nose. Taste followed aroma, smooth with a crisp finish. Pleasantly surprising with the stated high IBU. Very easy to drink. Lives up to the hype ... though admittedly I did not know there was any hype until a friend/coworker who lived in Hershey prior said I had to try it and gave two cans to sample. I would highly recommend. To bad it is only brewed once a year.   
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Nice pour for a deep amber color. The aroma is hoppy, malts and pine. The taste is amazing, flavorful throughout with a good crisp finish. Definitely not too much hops. Very easy to drink. Lives up to the hype.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.5 Purchased a case of Nectar at the brewery in Feb 2018. Very disappointed! Compared to the 2017 version, the 2018 version lacks the the aroma and taste which made this an outstanding brew. It is a very good brew but not as good as the previous batch. I will cautiously try the 2019 version and hope for the best.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 This is a great go-to beer, especially for a group with different tastes. The flavor explodes and this hoppy brew starts well and finishes even better. The IBU is 93ish, but well hidden in this delightful brew. BUT, it is a brewed ONCE A YEAR, so get it when it is available. Straw/orange in color, this beer pours great out of the bottle. Love this one in a snifter. Great pine and mango flavor will leave you coming back for a second one. A great complement to any meal. Once again, the Troeg Brothers have produced a must try!   
look: 5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 4 | overall: 4 Pale amber color, brilliantly clear. Poured good sized just off white head with good retention.    A bit malty caramel sweet, and a complex hop nose with some citrus and pine. Hop aroma fairly intense.    Big malt up front, somewhat caramelly and sweet. Then loads of piney/earthy hop flavors, yet the overall flavor profile stays somewhat sweet most of the way. A funky animal urine hop flavor that I don't like. A very subtle, smooth bitterness in the finish. The 93 IBUs are well hidden.    Medium body and carbonation. No astringency, minimal warming    I liked everything about it accept for the flavor. Hop preferences are very personal, and this one didn't match my tastes. Still a good beer, but for me some hop variety swaps would improve it for my palate.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Clear reddish copper appearance with slight white head. Aroma is a hoppy sweet. Taste is a sweet hoppy very much like an IPA that is unlike and amber red ale I have had.   
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 4 | smell: 4.25 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 Clear amber color, above average carbonation but still feel a little thin. Aroma is pine,malt and mild citrus. Taste comes off almost identical,pine is dominant,not overpowering yet still lingers a while   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Poured into a pint glass.    Apperance: Crystal clear amber brown with a tan head.    Smell: Some pine, some malt.    Taste: A hint of pine and mango up front. Finishes with a strong malt flavor.    Mouthfeel: Medium body and good amount of carbonation.    Overall: A nice ale that is easily drinkable. Will have this again.   
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 Poured can (enjoy by 5-17-18) into pint glass. Head quickly fades to a low white skim that then lingers. Clear amber color. Not as much hops smell as I was expecting. Tastes like a good amber/red ale. Medium amount of carbonation. I'm not getting hit with the hops taste that I was expecting. Overall a good beer, I was expecting more though based on the hype. At 6/$12.99, I don't think I will buy again. Maybe these cans aren't fresh enough.   
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 Could be my favorite beer, especially for cold or cool weather. Wonderful taste, amazing feel. No alcohol sharpness. Great for sipping all night. 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.5 Had on tap at Red Robin.Delicious beer,that goes down smoothly.One of my favorite brews from Troegs.Very glad that it's not offered year round,as I would probably burn myself out on it.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 5 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Well, that's just darn yummy. This was recommended to me, and I love this brewery so I went for it ... Nugget Nectar is indeed that ... Rich, deep brown color with a hint of gold, nice head that laces down the glass. Is there a tea leaf reading equivalent to head lacing? As I've come to expect from Tröegg's, the flavor is very complex. Crisp at the start, but grows as you drink it. The hoppiness is exquisite without being agressive, the pine and resin notes are there as promised by the advertising copy on the bottle. The mango is a bit more subtle, and really comes out in the finish. I need more of this, definitely!   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Pours a mostly clear copper amber with half of a finger of foamy off white head.  Smells of piney hops and sweet malt.  Taste follows, piney hops up front, a little tropical fruit. Sweet caramel like maltiness.  Medium bodied with a little bit of prickliness from the carbonation.  Overall an excellent red ale.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Had it in a growler from State Line. What a yummy beer! Very malty, yet hoppy. A bit strong, but that's OK. We need to find out what makes an ale "red". Besides the color.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 L: Poured from a bottle to a pint glass. Had a rich amber color and a clear texture. There was a half inch of off white, foamy, fairly long-lasting head. Very good lacing.    S: A decent, but not spectacular, aroma of malt, hops, citrus, pine, and caramel.    T: Tasted of a pinch of pine resin (fleetingly so), a ton of malt (pervasively so), a fair shot of hops, a hint of caramel, light citrus notes (lemon), and some tropical fruit (mango). Kind of a one-note flavor - it seems a like a malt bomb to me - that only partially succeeds. Not terrible, but underwhelming.    F: A solid amount of carbonation with a vibrant finish. Light- to medium-bodied.    O: Like a lot of Troegs' beers I've tried, this one is overrated. It's not bad, but not great either.   
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 looks like a typical amber but just a little darker. smells of citrus, some mango and a little piney. this years batch didn't impress me as much as previous year but is still delicious with hints of citrus, mango and herbal qualities to it. Overall a a very drinkable ale that I could drink forever.   
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 3.5 | feel: 4.25 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Tremendously crafted ale 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 A little dissapointed after getting this due to the high ratings.     Color is a medium to dark amber - very clear. Medium head that dissapates quickly.     What struck me was an overwhelming malty, caramel,burnt sugar, sweetness, yet not a lot of flavor. For me, this was too sweet, and it lacked the citrusy and piney notes that are typical for an IPA.     Not a bad beer by any means, and it's worth a try as it's different and the sweetness is distinctive, but I probably won't ever get this one again.   
look: 3 | smell: 4.5 | taste: 4.5 | feel: 3 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 Appearance: clear amber hue with average carb for an amber/ipa    Aroma. Wet forest soil, Pine, grapefruit. Even an unexpected a weird hint of maybe dandelion?     This beer just shines when consumed. Not too dry, nice malt backbone to support heavy dose of hops. I love how the ubiquitous but unloved Nugget hop is front and center.    Slightly cloying MF.    Overall: just a nice rounded out amber ale. This has been a solid hoppy seasonal for years and continues to impress.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 4.75 | overall: 4.75 Wow, this is phenomenal. Don't find myself writing reviews too often. Incredible fruit aromas. Pine, mango, and pineapple on the nose with some nice sweetness. Balanced bitterness and crisp refreshing tropical fruit on the palate, again with a hint of sweetness on the finish. What a joy of a beer, and it clocks in at a reasonable abv too!   
look: 4 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 A: Beer pours a nice dark red body with almost 3 fingers' worth of creamy white head. Minimal lacing but a nice slight head remained the entire drinking time.     S: Pine like hops are the first thing I smell. Also getting some spicey malt notes too but only to a lesser extent.     T: Beer blends the hops and malt well. The hops seem a bit more obvious than the malt, but both areas are present and nicely blended.     M: Very easy drinker. Soft mouthfeel. The malt gives a slight spicy feel but is well done.     O: If this beer was easier to get in Oklahoma I would drink it in bunches. Malt and hops mix well to make a well balanced beer.   
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 2018 - review .  4 years drinking this brew. Times have changed.  Reading my review from 2015....... “oh my”.  But here is the 2018 version:    A-ppearance - clear copper filtered color still there.  S-mell - hop is there but malt more present this time, For 2018.  F-eel: STILL PRIVATE ! Mouthfeel was not private way back in 2015, for me, but now, It’s a “Thing”.........  T-aste: Still a “Home Run” Drinkable a 7.5 and 93ish IBU’s(I LIKE that LOL!)  The 7.5 is the “Drink a few and then the alcohol hit is you” thing.  O-verall: Been purchasing it since 2015.. Got Cans this year (and cans last year too!) Always good In My Humble Opinion.  Craft beer Enthusiast’s: Enjoy.    2017 -didn’t write a review. Didn’t have to, it still a great brew! Yes I got cans on this year.    2016 got another case. great beer. Thoroughly enjoying it again this year.    Happy 2015 .. This time I bought a case. IMHO it is still great!   Isn't buying a whole case make that pretty obvious ?  I do enjoy this beer.    A - nice clear copper color. ( if it was an unfiltered copper color I would be totally ok with that also)     S - definite hop aroma.  ( i am not a -hop head- as in hop to the tenth power) so i appreciate the malt that is brought into the recipe. I poured the bottle into my Guinness glass.     T - taste IMHOpinion - home run... WOW right up there with dog fish head 90min IPA in my humble opinion. the hoppy taste is there , don't get me wrong, but I like how the malt gives it a great taste.     M - good body. not like arrogant bastard ( which is awesome also, the kind of beer that punches U in the face with flavor, - thats a good thing) this does not punch U in the face with flavor.. IT has it.. don't get me wrong but it has   good drinkability!  I can see drinking a few of these in a row no problem and then finding me under the table with my wife asking -- R U ok? and I would say something like --- ummm yeah... i'm happy.... how U doing ?...   and she would say something else that I probably won't remember...   maybe it has something to do with it being 7.5?    O - Overall - Ummmm overall... HMMMmmmm how about .. must get another 6 pack?!?!!  these guys a Troegs.. keep up the good work... dammit!!     must be the chocolate aroma floating around Hershey!    BYway - i still have 1 bottle left of the mad elf i'm holding in the fridge for myself.    ALSO of all places to find this beer.... A&P in Bergen county. go figure.   I hope the manger has another 6 pack hiding somewhere.    this concludes my review..  (also my first complete review since I joined this site)   
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 I really wanted to try this beer at the brewery last year (Feb 2017)as I had never tried it before but was told that they weren't happy with the way that the batch turned out and pulled it. So, no tasting for me. I did finally pick up a 6 pack of bottles earlier this week (I don't know the best by date, though) and tried one last night. Although I have nothing to compare it to, I thought it was a well-made beer. Poured into a Sam Adams Perfect Pint glass, it had a mild hop aroma and a 1 finger head. The taste had a mellow, but not overbearing, hop flavor with a sweetness on the back end (not a distinct mango flavor, just a sweet flavor). Overall, I thought it was good and would purchase again.   
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 4 | overall: 4.75 An amazing beer. The smell alone is absolutely delicious. 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Had this beer in 2016 and 2017. To me the only flavor is resin, not citrus or pine. 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 Poured from a bottle into a glass with sediment roused.     Overall: Excellent brew. Surprised at how good this is.    Look: orange tinged amber. Hazy. Frothy head that stayed til the last sip. Lacing everywhere.   Smell: fresh and juicy. Not as off-putting as an IPA can sometimes be. Fruity like fresh mango and pineapple.   Taste: very hoppy, yes. But not as extreme or unpleasant as I expected. A fruity hop burst that twisted to a sweet, bready, caramelized malt finish. An excellent balance of malts and pine.   Mouthfeel: substantial body. A little sticky. Smooth.   What a great hoppy amber ale.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 4 | feel: 3 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 Poured from a 12 oz can into a tulip.    Pours a clear copper orange color with a finger of effervescent off-white head. The head has great retention, settling into a thin film. Leaves a minimal amount of lacing.    The aroma brings notes of caramel and bready malts, followed by a wave of piney hops and citrus.    The flavor is the perfect balance of sweet malts and bitter, piney hops. There are notes of caramel and toffee, finished off by pine and grapefruit, with a touch of orange rind.    The feel is medium-full bodied with moderate carbonation. Slightly sticky, yet incredibly smooth. Has a beautiful lingering bitterness that coats the mouth in piney hops resins.    Overall, a truly great Amber ale that definitely lives up to the hype. It's very hoppy, but it's also very balanced. I would drink this all year long if I could.   
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 Troegs redesigned all of their packaging and I saw Nugget Nectar in cans for the first time with this release.  Gave it a try after years of not having and was really impressed. Remember it being good but this time taking one from an ice cold cooler at a pregame tailgate it was just perfect. Says 96 IBU but does not feel overly bitter hopped. I ran out to get more thinking this beer was readily available and the liquor store was down to last case. So I took it.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Pours a deep copper amber with smaller than expected head that leaves good lace. Nose is muted compared to expectations. Malt is well present and the hops are certainly West coast style with some resin, but doesn't pop like you'd expect from a highly ranked beer. Taste is fuller, with lots of pine and resin along with the amber malts and some stone fruits. Overall, a very good beer that didn't quite meet the very high expectations.   
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
