look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Very Early hop forward - bitter 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 A: poured from a 12 oz bottle into a pint glass, red caramel colored with a short white head that dissipates leaving some lacing, hazy    S: sweet caramel with a nice pine hop profile    T: huge pine resin blast, caramel malts in the middle, assault of bitter pine and grapefruit on the finish    M: full and sticky    O: good quality pale ale that isn't very pale, more of a red ale   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 2.25 | smell: 1.75 | taste: 2 | feel: 2.75 | overall: 2.75 
look: 3.25 | smell: 2.25 | taste: 2.25 | feel: 2.75 | overall: 2.75 Really not that great Does have a piney taste but A little too bitter. 
look: 4 | smell: 3 | taste: 2 | feel: 3 | overall: 2.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Tap    Pours mostly clear amber, yellowish white head is finely textured and retains well.    Aroma of biscuit, caramel, walnut and dry woody hops.    Flavor is of biscuit, walnut, almond, pine and earthy hops.     Medium body, lightly stinging carbonation on the roof of the mouth.    This is an exceptionally well balanced IPA. Good flavor and body. Would have again, very enjoyable.   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3 | taste: 3.5 | feel: 3.75 | overall: 3.5 9/12/18 (Chicago): Purchased at Three Floyds 7/21/18 ($11 six pack). Dark murky copper pour, light off-white head and lacing, Faint lemon citrus aroma. Unique blend of citrus, lemon, hops and malt. Balanced, not bitter. Slightly dry mouth feel, thin texture, slightly fizzy, easy smooth drinking. Overall very good offering.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Poured from a the tap into a pint glass at Beer Head Pub in Schaumburg, IL. The appearance was a dark Amber color with a large white head. The aroma was citrus driven with some malt tossed in.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 Pours a hazy copper color, big billowy white head that slowly fades. Faint aroma of lemon and a little soap. This is basically an IPA posing as a pale ale; quite bitter, nice floral hops. Appropriate carbonation, medium bodied. Overall a good beer.    8/14/18  12 oz bottle dated 6/31/18  4 rating   
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 12 oz single from Whole Foods - bottled June 28/18 - so just over 3 weeks old. Poured out a near clear golden amber with off white head. Aroma is citrus peel, a bit of caramel, some floral hops. Taste starts with the sweet caramel, but then overtaken by the hoppy citrus - some mango, pineapple. This is a (great) hoppy pale ale (IPA wannabe) -medium in body lingering bitter finish - just plain great!!   
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Their flagship brew, I think. Hop-forward but with excellent balance. Strong but not too strong. 
look: 4.5 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 One of my favorite IPA's 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Along with Zombie Dust, it’s a hop lover’s friend. 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 3.25 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 4.75 The best beer I’ve ever had. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 People go nuts for Zombie Dust, but Iactually like this better. It has a much more complex set of hop notes. I know citra is all the rage, and they are delicious but,this one takes it for me.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5 Have we a better APA here? 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This is the best pale ale (in most cases, IPA) in the world, hands down. You don't need commentary if you've tried it. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4 A great beer, although it has somehow become the bud light of 3F offerings for me. Maybe just because it is so available? Still, a great beer, no doubt.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 3.25 | taste: 3.75 | feel: 4 | overall: 3.75 This beer pours a rich amber with a large head. The aroma starts with a decent note of caramel, followed by a huge whiff of pine, then lemon and orange peel, dried mango,and roses. The flavor starts with a good balance of bitter and sweet tones, with notes of caramel, pine, dried mango, violets, roses, orange peel, lemon peel, and butterscotch. The mouthfeel is swiftly approaching fullness, with and solid amount of bubbly carbonation. Overall this is a very good beer, with loads of bitterness and solid balancing malt. but I must admit, it fails to capture my attention as much as I thought it would - maybe my expectations were to high, but while this is tasty, it is not exceptional.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 One of my personal favorites 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 On tap. Yum. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 Poured into a clear glass. Has a very dark orange appearance, along with particles floating around from within the beer. Has moderate carbonation, thick head, good lacing.    Has a lot of herbal and floral elements, along with caramel malts. Also earthy and piney. Tropical too, with smells of tangerines, oranges, pineapple, and other sweet citrus. All very sweetly pungent.    Tastes grassy, earthy, and piney of course. Has a very relaxed caramel malt that balances with the bitter hops. Also tastes of grapefruit and lemon peel. Feels medium bodied, thick and crisp.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Pours amber/copper with with thick white foamy head. Head doesn't go anywhere fast and leaves abundant lacing all over the glass when it does. Hop, citrus and pine on the nose, taste follows with a smooth almost creamy mouthfeel with rich maltiness and perfect carbonation. Great beer!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 Poured from a brown 12oz bottle into a pint glass. Brought back from a trip to Kentucky.    Appearance - Pours a beautiful cloudy copper color with a thick white, bubbly head that sticks around forever and leaves wicked (say it like folk from Boston do) lacing on the glass. The lacing is like glue on the sides. Probably my favorite feature of the beer.    Smell - Malty, a little bit of bitterness, some fruit. Not as strong of a nose as you would expect.    Taste - Excellently balanced between malty goodness and a nuanced hop flavoring that is superb.     Mouthfeel - Another stand-out aspect of this beer. Goes down smooth, perfectly carbonated, a bit chewy, just excellent.    Overall - As the ratings and other reviews indicate, this is a must drink. Not quite Zombie Dust, but close. Very well done.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Smooth citrus depth with a beautiful lingering aftertaste. A pale ale you must try! 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.75 A - Pours a nice amber/golden color with a nice white head.  S - Great citrus and hop notes. Maybe some pineyness in there.  T - Excellent blend of pine/orange/dankness/hops.  M - Light/medium bodied, aftertaste was excellent with lasting hops/citrus flavor.  O - Excellent execution of an APA, but the stand-out aspect for me was the citrus profile. This was hands-down the best orange/citrus flavor that I've ever tasted in a beer. Most PA's have a (IMHO) fatal flaw in the citrus profile where it is either too bitter/sweet/distorted/muted/sour to rank high on my list. This may not make it fantastic for others, but in my book it makes it shine. Buy more (and more) for sure.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4.25 12oz bottle (date missing) poured into a tulip pint glass at fridge temp (no ABV listed on bottle). The beer pours bright honey colored amber with sticky khaki colored head. The aroma is citrus and pine. The taste is faint caramel followed by grapefruit, pine and an exclamation point of bitterness. Mouthfeel is medium bodied, adequately carbonated and mostly dry in the finish. There is some hop stickiness in the finish, but no sweetness. Overall, very good. This bottle was a gift and probably a little long in the tooth. Still enjoyable, but not what I remember.   
look: 4.75 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Poured from a 12 oz. bottle into a pint glass.   Dark gold in color with some orange hue. The crown is a light golden color and about half a finger worth.   The smell is dank and malty. It's got a sweetness to it.   The taste is amazing. Lightly dank with a very nice malt backbone that is sweet almost like honey.   Mouthfeel is wet and sticky.   Overall, this has always been a classic to me.   
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 Pours a nice amber to goldish orange with a nice traceable white head, not too thick.    First whif of the head is intertwined malt and hop.    The taste was quite layered, first tastes are caramel and malt with a nice medium mouthfeel, aftertaste gives way to an almost pinelike bitterness with fading hop flavor.   
look: 4.5 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 3.75 Gifted by a friend - first beer I've had from these guys. No date found but likely two months old.    Pours a surprising amber color for a pale ale. thin white head that laces well on the glass.    Smell is mostly sweet malt with a hint of citrus peeking through. If "aggressive" citrus was a goal of the hopping it doesn't really come through in the aroma.    Taste is similar to the smell in that it is malt forward with a nice solid base of caramel malts with a layering of citrus hops on top that come through closer to the finish. There is a lingering bitterness in the finish that works well to counteract the sweetness up front.    Feel is slightly sticky as this is a medium bodied beer with all the malt., but otherwise it has a clean finish. There is a slight alcohol burn in the finish - I guess due to the unusually high ABV of 6.66% for a pale ale.    This is like a pale ale that wishes it was a strong ale. Flavors are clean and well balanced and I can see how they want to make this a flagship beer. My personal taste is for less malt, especially in the a APA so this is not one I would reach for again. That does not take away from a grade as an excellent beer though.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 4.5 | feel: 5 | overall: 4.75 Sweet and tasty, good beer! 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Too malty, but still tasty enough. 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75 A very nicely hopped , smooth pale ale with a great finish. I enjoyed this far more than zombie dust. Only down side is the price. Otherwise this is one of the best pale ales in the area.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 Poured from a bottle date smudged out into the. test glass  A - Beautiful summer straw color, aggressively carbonated leading  S - lots of fruit, pineapple, guava, oronge and some onion,   T - Sweet malts, nice tropical structure, following the nose well  M - Medium body, sweet Start, excellent dry finish.  O - This was a surprise gift, so hlad to have experienced such a wonderful APA.  The water profile is a bit hard, and adds to the offering g   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 For what is meant to be a Pale Ale, this pours way too amber, and with a head that is about 2 fingers. The aroma is floral but what I'm getting primarily is a malty sweetness. The taste is similarly malty with a faint late bitterness and some floral notes in the aftertaste. Not a bad beer but it tastes more like what I expect from a not so terribly fresh English Pale Ale and not an APA.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 12 oz. bottle    Pours hazy red amber with a dense creamy off-white foam head. Smells sweet and floral with toasted bready caramel malts, toffee, brown sugar, vanilla, molasses, orange citrus, grapefruit, berry, candied papaya, with floral resinous spicy earthy herbal grassy pine. Tastes like orange citrus, grapefruit, berry, candied papaya, toasted bready caramel malts, toffee, brown sugar, vanilla, molasses, with floral resinous spicy earthy herbal grassy pine. Feels medium bodied, creamy with moderate carbonation. Overall a real nice balanced pale ale.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 From a 32 oz growler (growlette?) purchased at the Nova, into an Spieglau IPA glass...because there's no way that this isn't an IPA. Pours a clear deep rusty carmel amber, with 1 finger of off-white head and good retention. On the nose, this actually reminds me of a lot of a number of oldish school ipas from the PNW: caramel (almost candied carmel) and biscuity malts with some resinous pine, candied grapefruit peel, and just a little faint spice. The taste carries the nose forward, providing a little more of the spicy and earthy hoppiness, especially at the end. It is very well constructed and everything fits together great. For all the serious flavor and hoppy heft, this one is also quite smooth. Even though there is a great deal of bitterness that always feels right around the corner, it never really bites...in fact, with the biscuity malts, there's also something kind of like honey in there that really mellows it out in places, while at the same time balancing that with some spicy and green herbal notes. Though it is fairly substantial in feel, it isn't too heavy or boozy. A little sticky sweet in the middle, but dries out decently by the end, and finishes clean.     Always nice to find this one, even if I have to cross a state line or two...can't believe I haven't rated it before. The more I think about it, the more this one kind of reminds me of a Boneyard beer, which is probably the last really nice, really memorable beer-in-style I've had. Now that would be a fun side-by-side.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 I had this on draught at a pub in Cincinnati. 16 oz. pour served in a pint glass. It pours a beautiful, rich amber with a finger of light beige head and thick lacing that coated the glass and never dissipated. It's a very attractive pour. The nose features grapefruit, caramel malt, pine needles, and floral hops. It's a pleasing - but not overwhelming - aroma. The taste is magnificent: a solid base of caramel malt and some subtle sweet fruit notes balance the pine and earthy hops. The favors compliment each other very well. This ale is medium-bodied and fairly creamy with pleasant carbonation and is easily drinkable with a temperate ABV of 6.66% Overall, this is a stellar APA that absolutely merits its lofty rating. I'm very pleased to have finally experienced this gem of a beer.   
look: 2.5 | smell: 3 | taste: 2.25 | feel: 3 | overall: 2.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 I thought I reviewed this one before.     Old school Pale Ale, really an IPA. Soft pine and great malt combo with a hint of grapefruit in the end. Three Floyds yeast is the character here with good feel overall. I haven’t had this in a few years but I’m glad I grabbed some again. Great beer. Doesn’t get old. I like the fruity iPas but they can wear down the palate. Alpha King is refreshing. It’s a solid 4 beer   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 Relatively fresh, 6/11/17. Bee honey color with a buttery popcorn colored head. 10% transparency.     Aromas of sweet grapefruit, tangerine, and orange pith. Very sweet, candy like. Some floral notes.     My initial remark is that it's very bitter, very resiny, with an overwhelming hop presence. Slight insect repellent. Underneath all of that is a pleasant grapefruit-tangerine flavor, with honey and herbs. Finishes on pine and hop oils. Slightly palate scrubbing.    Feel is resiny, oily, and mildly carbonated.     Overall, definitely respectable but WAY OFF THE CHARTS bitter for an APA. Way more herbal than fruity, lots of pine and honey. Zombie Dust is 4x better when you can find it.   
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Bottle purchased 8/15/17 at brewery. Poured into Belgian ale glass.    L: 3F head with good retention, lots of lacing and a cap and ring. Beer is a very deep clear amber color.    S: Caramel malts and some grapefruit-like bitter citrus. Earthiness.    T: Generally follows nose. The caramel malts predominate, but the bitter hops have their say on the finish.    F: Medium-ish body. Moderate carbonation. Construction is good, balance I guess could be a tad better as bitterness pretty pronounced. Still quite drinkable.    O: LOL on the ABV, of course. It's good, but I guess not my favorite way to do an APA.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 Bottled 10 weeks ago.    L -- Pours a moderately turbid tawny color with an average-sized off-white head that retains minimally and laces fairly well  S -- Herbaceous and earthy upfront. Some citrus flesh, lemon peel, pine, and citra rubberiness  T -- Grass, earth, pine, light biscuit malts, and a touch of caramel. Not really getting any fruitiness, which may be due to the age of the bottle  F -- Nice and crisp, much like Zombie Dust. The hop bitterness is definitely there, but doesn't overwhelm. Medium+ carb, medium mouthfeel  O -- Not getting the hype on this one. Pretty standard west-coasty pale ale that is judiciously hopped but lacks the brightness of what's coming out of the northeast these days    74/100   
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 Nice very drinkable ale. 
look: 4 | smell: 4 | taste: 5 | feel: 4.5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
