look: 3.75 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3 | smell: 3 | taste: 2 | feel: 2 | overall: 2 S- Fruity hop notes.  L- Quite dark gold. 1mm fine white head.  T- Oh-hhh it's a hop-bomb. Pretty eye-watering. A bad sign on the 1st sip when I wonder whether I can finish it.  M- Intensely hoppy dry, with perfumed notes wafting in afterwards.  O- It's out of balance to me. More like a challenge than an assured and balanced brew.  Bought from M+S at Paddington Station W2. Perhaps aimed at US commuters >< the 'Silicon Triangle' of US corporate offices out to the west from there. No visible BB. £2.75/330ml    Observation: The hoppier a beer, the shorter the reviews people write on it - ?   
look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3 12 oz. bottle. I bought a 6 pack of Hop Shovel, found one was a Racer 5. Pours clear dark gold with a small white head. Aroma of sweet malt, citrus. Taste is bitter hops, backed with a little malt sweetness. A decent IPA but doesn't stand out when there are so many great ones.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 Amber color. Good clarity. Big white head, creamy and lingering.     Floral pine hop aroma. Old school hops. A bit of caramel malt aroma    Nice meld of malt and hop flavors up front. A nice piney/earthy hop flavor. Strong earthy bitterness into the finish. Classic traditional American IPA flavors    Med body and carbonation. Hops are drying on tongue, but not astringent Very slightly warming.     A big and assertive IPA. Big hop flavor and bitterness. A classic.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Wednesday, December 12, 2018	11:07 PM	  22 ounce bottle to wine glass  Sight: amber, of white head disappears slowly, some lacing  Smell: nose: hoppy, citrusy, drink: very fragrant	  Taste: very bitter, medium sweetness,  Mouthfeel: long finish, medium body, creamy, average carbonation	  Overall: Very good beer. ok to repeat, look for   
look: 3.25 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 12 oz bottle into IPA glass. No Date,  Fairly clear yellow look. Nose is hoppy. Taste is west coast style hop IPA. Feel is fairly light. Overall, I know this is a favorite but I have had better west coast style IPAs. Not bad but I would not seek it out.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 It pours a straw yellow with a foamy white head with good retention and nice lacing on the glass. The smell is of pine and citrus ( grapefruit) to me. The taste is of citrus to begin with and pine then flows, it has a good hop bitterness. The feel leaves a dry feeling from the hops but is smoother than you would expect. Overall a really good IPA, smooth and bitter at the same time.   
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 Had my fair share of West Coast Brown IPA's. Sample is a 22 oz from the bottle, served at 37F, in a coozy, while watching a Dodger /Brewers baseball play off game. Very nice pine, citrus and a medium hoppy feel up front. A little thick feeling on my palate. Flavor improves a bit in the citrus department as the beer gets a little closer to room temperature. Consumed over 55 minutes. Citrus and grapefruit and pine finish really stand out as the beer approaches room temperature. No idea what the IBu's are on this one, not really overly hoppy, but has, IMHO, a very well rounded, balanced taste, flavor and finish. Really, really enjoy this IPA. Been drinking it now for a few years, this is the first time I've tried to review it. Great example of a good West Coast style medium flavored and bodied IPA. A keeper. Balanced, I think describes it best. Very well balanced.   
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4.75 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.5 Pours a frosty, lightly foggy orange with a finger of off-white, foamy head. Head retention is fair. Aroma is pine, citrus, dank, and resin forming a classic IPA aroma. Citrus bodes well with the more evergreen-like hops. Biscuit, bread, and pale malts behind further mellow it out. Flavor profile is a lovely blend of biscuit, bread, and pale malts with resin, dank, and citrus hops. The duo works together well to form a hoppy, but balanced IPA. Hop notes are firmly on the traditional/classical side. Mouth feel is medium-thick with a fizzy texture that imparts a little grainy abrasiveness around the edges. This mash up of textures with the slightly thicker feel creates a rather bold mouth feel overall. Overall, this is a great classic IPA. Hop notes are plentiful, but are well balanced out by malts. Neither one side dominates the experience.     Served in a 12oz snifter from a 12oz bottle.   
look: 3.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4 Way maltier than expected, a pleasant drinking experience. 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3 | overall: 3.75 
look: 4.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 I have consumed a variety of beers over the last 10 plus years. I have passed this beer on my way to get other beers to think I have drunk that. Sadly, I learned the other day I have not drunk this classic. I nabbed this beer today as I doing shopping for a BIF. The beer is 43 degrees and served in a pint glass. A firm pour on the beer produced a two finger head with excellent retention. The head is bright white foamy and rocky. The color of the beer is a straw color with golden hues. The clarity of the beer is clear. The beer is active with effervesce.     The aromas in the beer are grapefruit, pine, citrus, toasted malt, and yeast.     The flavors in the beer are pine, citrus, grapefruit, toasted malt, and yeast.     The mouthfeel of the beer is astringent and dry.     The body of the beer is medium, medium carbonation, and a medium finish.     A great IPA simple flavors and tasty.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 One of the best tasting IPAs I've had. Honey and orange up front with orange zest finish. Look is nothing too great. Smell is very nice fruity and floral in a sweet way. One of my top 3 IPA out of the 20 I've had.   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 08/05/18  Blind comparison of 6 IPA's  1. Deschites Fresh Squeezed IPA  2. Cigar City Jai-Alai IPA  3. Southern Tier 2XIPA  4. Bear Republic Racer 5 IPA  5. Smuttynose Finest Kind IPA  6. Avery The Majaraja IPA  ---  Bottle to Snifter, blind.    LOOK: yellowish color, small head.   AROMA: medium pungency, pine, grapefruit  TASTE: pine, leaf, ash  FEEL: a little thin, ok carbonation.    **   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 DL remembered that I liked this a lot a long time ago -- had tonight at Del Pez on draft for just $4!! 
look: 2.75 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 Very impressed and pleasantly surprised by this beer - it definitely lived up to its hype. Nice orange/golden color with some great head and lingering lacing. Smells of floral hops and a little malt, very nice. Tastes of hoppy goodness - mainly floral and herbal but also some fruity zest in the background - as well as biscuit, grain and a great malt backbone. Great smooth finish with nice mouthfeel and just the right amount of carbonation. I will definitely check out other beers from this brewery.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 Goes down smooth. Malty with a nice hop finish. Little unbalanced, but very flavorful. All in all a nice IPA. 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 2.5 | smell: 2.75 | taste: 3 | feel: 3.25 | overall: 2.75 Quite bold tasting for a west coast IPA. Not as balanced as I thought it would be. I do sort of like the hop profile on this beer, but not something I would care to seek out again. Cheers! C   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 A very solid IPA. 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 From a 12oz bottle. Pours a clear orange with a finger of white fluffy head. Citrus/floral hop smell. Slightly sticky feel. Juicy citrus taste with some sweet malt and a touch of bitterness. Man, this is one drinkable IPA.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 I remember when I first had this beer. I think this is the one that made me decide that IPAs and me were gonna be a thing.    L: Opaque body, orange-tinted peach in color. Lots of white head. Beautiful lacing. Classic IPA look.    S: Peach cobbler, applesauce, pineapple, mango peel, banana, navel orange and pine.    T: So tasty. Sour apple and peach up front with that topical fruit right behind, a bit of cooked onion that doesn't really make it through on the nose. Finish is granny smith apple peel with some grapefruit and pine. Very mellow profile for 7.5%.    F: Super smooth. The only brewery to beat out Stone and Sierra Nevada for supremely drinkable IPA.    O: World class, my ass. There's only one place in the world they make beer this good and that's southern Cali. Whattup!   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 L: Clear golden orange color with a creamy thick white head that leaves about an inch on top and rings of lacing all around the glass.    S: Citrusy, floral and earthy hops mixed with some sweet malt. Very inviting.    T: Citrus, earthy and floral hops, so.e tropical fruit mixed with some sweet malt and a medium to strong bitterness. Slight onion and alcohol at the end.    F: Medium body with good carbonation.    O: This is a classic IPA.   
look: 4 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 Smooth and balanced; great head of foam with good lacing. Would definitely recommend! 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a clear gold color. One inch head of an off-white color. Great retention and good lacing. Smells of slight piney hops, citrus hops, floral hops, sweet malt, and slight alcohol. Fits the style of an American IPA. Mouth feel is smooth and clean, with a low carbonation level. There is a noticeable hop bitterness. Tastes of slight piney hops, citrus hops, floral hops, sweet malt, and slight alcohol. Overall, good blend, body, appearance, and aroma. It has been soooo many years since I have had a Bear Republic ... I've missed you ole buddy.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 On tap, pours a clear Amber with a half inch fluffy white head that left blotches of lacing. Smells of citrus fruits and pine. Tastes predominately of bright citrus fruits, pine and some sweet malt. Medium bodied, moderate carbonation, mild bitterness, slightly dry finish, crisp, clean and refreshing.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 from 2014. This west coast IPA has a bit of a softer side. Piney, light citrus hops, light amber body with soft head, some lacing. Taste is more citrus than pine, easy on the palate, smooth, sweet and delicious. Not as "in your face" as so mmany other left coast IPAs.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 5 Have been wanting to try this beer for quite a long time and now finally I was able to find it. Although it wasn't a fresh batch anymore, I was absolutely satisfied with it and do agree that it lives up to its fame!  Looks: perfectly rich hazy golden amber. Smells suggest citrus and pine that comes to life richly in its flavor: hop galore. Citruses and mostly pine that dominates with a certain character that makes it distinct and different from the rest. It is very well balanced, no wateriness, no weak spots but not too hardcore either - a perfrct balance of pleasantly drinkable brew all the way, without a flaw. Nomen est omen: a number 5 IPA in overall. This is Racer 5! Go! Go! Go!   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 12oz bottle, plastic hotel cup, best by 6/28/18 (come on Bear Republic, use a packaged on date!!!).     Racer 5 is the color of honey and has a delicate white head of about a finger. The lacing is nice.     The aroma is sharp, the oily citrus hops are like sharp edges to the olfactory sense. Resin plays around the edges.     Hops and carbonation combine for a biting sip. After that comes the hop assault with orange, grapefruit, and resin as bitterness and malt roll further and further back. The malt is caramel, but savory or rather a bit biscuity, which helps contain that cheap sweetness.     It's the mouthfeel that makes this beer. It is all at once crisp, biting, tangy, and full. There's plenty of carbonation.     When I picked up this six pack and checked just to make sure I'd reviewed this home state brew, I was surprised to see I had not. It's a pleasure to get reacquainted with one of the original great West Coast IPAs.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 Yes it is a classic hoppy West Coast IPA, clean and well crafted, but I find it too one-note and overly bitter. As it warms and breathes it certainly mellows out and by the end of a bomber I was appreciating it as a pretty delightfully balanced drink; however, this journey took too long and my senses were probably dulled by that time.   It is alive with juicy, tropical, citrusy, and piney hops and all those notes are great but for the puckering bitterness.   
look: 3.75 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4 | taste: 3.5 | feel: 3.75 | overall: 4 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 5 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 Crisp, citrus-y, a good hoppiness    Had this on 2 separate occasions at the same restaurant when a friend recommended it to me and it was ok, seemed thin at that time.  Upped my rating after buying some bottles, trying it at home where i could actually take time with it, and really enjoyed it. Now i wonder what that restaurant was doing to it.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 IBU 75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 Poured from 12-ounce bottle into a glass goblet. Clear, deep golden color, with a thick white head that left loads of sticky lacing as it settled to a thin ring. Light caramel up front on the aroma, with pine resin and citrus notes. Similar flavor profile, with slight malt sweetness providing structure for the piney and resiny hops. Good carbonation, medium mouthfeel, lots of bitterness lingering on the tongue. My sample may have been slightly past its prime, but still solid and highly drinkable.   
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 12oz bottle bb 4/3/18 (almost impossible to read cold-etched in glass near the bottom of bottle) poured into a Spiegelau IPA glass at fridge temp 7.5% ABV. The beer pours just slightly hazy and golden in color. The head is off white and leaves abundant lacing on its way to a firm 1/4" cap. Aroma is fairly big with grapefruit and caramel mixed equally. The taste is semisweet caramel up front with citrus and pine playing in. The finish is crisp and drying with a nice bitter exclamation point. Mouthfeel is medium bodied, adequately carbonated and a little chalky(in a pleasant way). Overall, excellent. Really glad I had the opportunity to pick this up fresh and on the shelf. Perfect balance of hops and caramel malt. Recommended.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 I was pleasantly surprised by how good this IPA was. 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 L - Hazy golden, thick two finger off-white head. Great lacing and retention.  S - Citrus hop smell which kept the whole way. More noticable malt smell at the end.  T - A "heavy" IPA, kind of like a DIPA. A bit bready.  F - Medium to full mouthfeel. Semi-dry aftertaste.  O - A pretty big beer for an IPA. Packs a good punch.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 Serving: 12 oz bottle (stamp illegible) poured into a Spiegelau IPA glass.    Appearance: Slightly hazy golden orange. Billowing head of bubbly white foam with sticky rings of lace.    Smell: Light, citrus aroma with herbal hops and grainy malt.    Taste: The lean biscuit malt body does its best to balance the bright, lemon citrus and pine hop notes.     Mouthfeel: Medium body with slightly oily, creamy feel and moderate yet soft carbonation.    Overall: Quintessential West Coast IPA - just enough malt body to support a refreshing burst of pine and citrus hop.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 Best By 02/21/2018 (stencilled into the bottom of bottle)  Poured in a chilled tulip  Tangerine-gold. Great foamy head  Lacing.  Taste is bready, sticky, a little dry, not boozy, and clean.   Very, very good IPA.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 Poured from a bottle into a pint glass. A hazy golden color, with an orange tinge. Thick, foamy, lasting head and above-average carbonation. Very refreshing beer which hits the spot. Ample hop character, yet not particularly bitter. Smoother than expected for the relatively high alcohol concentration. Well-balanced barley malt. One of the better IPAs.   
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 A quintessential West Coast IPA. Perfect balance after drinking too many NE IPAs. 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Had it in a pint glass poured from tap. Clear yellow with a nice head and good lacing. Pleasant citrus smell and taste. Definitely some pine notes included. It went well with the duck sliders for dinner.   
look: 4.25 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Pours a slightly hazy deep golden color with a generous white head that lasts and clings.    Grapefruit dominates the aroma, but not offensively so - it is simply string and present until the end. Biscuit-like malt aromas are secondary but have a definite presence.    This is a full-flavored beer. There's enough malt to counterbalance the abundant grapefruit and there's a very refreshing minty/herbal component to the taste that brightens things up. There is just enough sweetness to keep the bitter tamed down, and a very slight biscuit contribution from the malt. Very round, complete taste.    The mouthfeel is smooth, moderate body, not thin at all. Carbonation appropriate to the sty.e    Overall this is an enjoyable beer to drink. The flavor is full and fresh, nothing sticks out at the expense of any component in particular. This is simply a very good beer.   
look: 3.5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4 Looks: golden,a little hazy, orange, unfiltered    Smell: It smells like a brewery, you can def smell the grain, Sweet smelling, a little honey, smells yeasty with a hint of belgian maybe. Some pine and green, a little citrus.     Taste: fresh malt flavor, taste like an old school beer. Hint of belgian, Smooth, bready, hint of honey, not sweet, classic hop flavor, I recognize centennial and columbus. Well blanced. Green and earthy Without too much bitterness. 7.5% abv is hidden.    Feel: smooth, medium body, looks heavier than it drinks. Definitely not light... Has a creamy feel, balanced.    Overall: well executed. Seems like its almost a Dipa. Priced right, easily availible, 12 pks... Racer 5 is a winner.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 L: Hazy orange with a big foamy white head. Fairly good retention, lots of lacing.    S: Crystal malt, orange marmalade, orange peel, pine, woody hops.    T: Candied orange peel, grapefruit pith, orange marmalade, crystal malt, dried candied mango, some pine, earth/wood. Fairly sweet.    F: Medium-bodied, slick, smooth, moderate carbonation.    O: A decent IPA. Pretty well made.   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
