look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Very nice double IPA with some great flavors and nice blend of hops. Pours a slightly darker yellow color with some faint haze, small amount of white foamy head and some spotty lingering lacing. Smells great, nice combination of citrus zest and floral hops - and those floral hops really pop at the end of a long inhale. Also a little malt, vanilla and caramel. Tastes of fruity hops - mainly grapefruit, mango, tangerine and pineapple. The floral hops are less pronounced. Nice notes of vanilla, bread, caramel and malt. Smooth, clean, crisp, mild mouthfeel and good carbonation. I didn’t experience as much bitterness as other reviews had described - instead, I was struck by the bright floral hoppy notes and good mild malt backbone that didn’t overwhelm the flavors. Very well done.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 2 | smell: 2.5 | taste: 2 | feel: 4 | overall: 2.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 L - clear golden colour, white head    S - citrusy and a lot of tropical fruits    T - Follow the smell plus some berries notes and floral notes like violet (I love violets)    M - Nice mouthfeel    O - a greatly hopped refined dipa   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Wonderful and unique DIPA! Poured from bottle to nonic pint glass. Clear and copper-gold, with a finger of spittle foam atop. Piney and resiney in aroma, but quite different in flavor. Lots of earthy, floral, and herbal notes, some tea.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Near perfect imperial IPA, done with a dash of East Coast panache. Lightly hazed golden body with small soapy head. Aroma is citrus and pine in equal amounts. Taste is pure hop goodness, nice silky mouthfeel, buttery bitter finish.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4 | overall: 4.75 When you first see DirtWolf it immediately pulls you in with the graphical design. The bottle and color design is prestige and has a great weight.    The smell is that of a spicy strong hop packed with flavor. At 65 IBU and 8.7 abv you get a smooth bitterness and strong content beer where you don’t taste the alcohol.     I fully recommend this beer when relaxing and hanging out with friends and family.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 
look: 2.75 | smell: 2 | taste: 2.25 | feel: 1.75 | overall: 2.75 Look: Yellowish golden, a lot of effervescence going on, small head  Smell: Citrus, not much to speak of  Taste: Crisp, almost woodsy  Feel: Biting  Overall: Starts out pleasant then abruptly turns bitingly bitter. Not a fan   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 3 | overall: 3.75 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 Look: Hazy golden color with effervescent bubbles; finger-width head  Smell: Anodyne, hoppy aroma; not over-powering or particularly strong  Taste: Crisp and piney; aftertaste of a bitter, citrus tang  Feel: Surprised at how carbonated it is; well-bodied and sits on the palate smoothly  Overall: Drinkable and inoffensive, though maybe a little too "tangy"   
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.25 Hop forward and boozy. Enjoyable but missing something. That’s just my opinion. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.25 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Victory is a very nice brewer, and this is a great example of their handiwork. Great aroma, solid taste, well disguised alcohol content. If you see it, gab it and enjoy.   
look: 4.25 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 Fantastic smell, overflowing head. This beer pales by comparison to its predecessor - Hop Wallop in both taste and smoothness. It is a very good IPA and is of very good value for the ABV, but it simply takes a back seat to both the legendary Hop Wallop and Hop Ranch (also now defunct). If this beer was available in cans I might buy it once in a while, but it simply lacks the taste of Hop Wallop. Whereas Hop Wallop and Hop Ranch were case-worthy, Dirtwolf simply is lacking the qualities of these other superior beers. When will Victory come to their senses and start brewing fantastic beers again?   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Decanted from a 12oz (354 ml) bottle into a conical pint glass; not production information evident.  A: Pours a slightly hazy, amber color with a one half inch head, low retention, but decent lacing.  S: Fruity with aromas of grapefruit, lemon, and pineapple as well as some pine.   T: Follows nose but caramel malt component more notable. Alcohol content noticeable. Bitterness light but evident early and throughout.  M: Medium bodied with moderate carbonation.  O: A very drinkable and enjoyable EC DIPA.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.25 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 A nice IPA. Drinks easily, in spite of the high ABV. 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 new years eve 2017 beer    12oz bottle poured heavily into my sierra Nevada spiegelau ipa glass. bottle marked enjoy by 09 JAN 2018 1141 P    Appearance- a transparent golden color with a head that's the slightest bit off white. nice lacing.     Aroma- hoppy, grapefruit, tangerine, pineapple with a tiny bit of pine. not too shabby.    Flavor- like the aroma but with some caramel malt. nice. the alcohol is easily detectable but nothing overly crazy. bitterness is there and hangs for a bit.     Mouthfeel- medium with the slightest bit of heaviness in the body. really good carbonation.    Drinkability- easily will purchase this again.    Overall- any hophead out there needs to try this beer. i'm not a huge fan of the tropical ipa's out there but this one isn't strongly in that category. real hop forward beer. only thing negative is the abv that is really noticeable but like I stated it's nothing too crazy.   
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 Excellent start, great fruity finish.  My "go to" beer. 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 3.5 Feel is on thin side but alcohol is well hidden that makes this dangerously drinkable with flavors of malt, bread, citrus, melon, mango, and cantaloupe but is way sweet which must mean it has some hefty dose of sugar because something about this causes a horrible hangover headache even when consuming just 1. For this reason I'll never seek it out again.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Pours a clear gold with a nice head. The initial aroma is grassy with some pine notes, grapefruit, but very subtle. The first sip brings mild piney and grassy hops up front, with moderately bitter finish. This beer has a medium body, medium carbonation, and a substantial alcohol warmth. Nothing jumps out at me however. Its very balaced is the best compliment I can give it.   
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4 Pours a clear gold with slight head that quickly dissipated to a ring of foam. Leaves a solid amount of lacing for the style. Smell is fresh strong hops with faint malt. Taste is similar, with just enough malt to keep this from being totally hop-oriented. Extremely drinkable. Quaffable, even, yet no sacrifice in terms of flavor. Great balanced example of the style. If you want the full flavor experience of a DIPA but none of the heavyness or cloying mouthfeel, here’s your beer.   
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 Clear medium amber, slight suspended particulates.  Wonderful aroma, tropical.  Slightly grainy malt, but overwhelming hoppy. Piney resinous. Bright citrus and grapefruit. Lingering bitterness.  Slick mouthfeel  Strong DIPA.   
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.75 | feel: 3.5 | overall: 4.75 Dirtwolf got me hooked on DIPAs before I even liked beer. Despite the name, this is a delicious and refreshing beer that will make you fall in love with hops.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Well balanced. Not too hoppy and not too malty 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 3.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 This DIPA has always been a favorite.  Taste is great, and (I know) it can be enjoyed out of the bottle.  It satisfies, but it opens the door to a night of mischief.  Highly recommended.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Ah! DIPA! 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 3.75 Poured into tulip, then poured second into a goblet from a bottle that said enjoy by Oct. 2017 so still fresh, not sure when it was bottled and,1st time I ever seen this in a store and in goblet tasted better:    Look is golden orange with a bubbly head that dissipates to thin lacing that slightly stains the glass.    Smell is boozy with slight earthy, spicy hoppiness and passion fruit     Feel is on thin side despite 8.7% abv that finishes with a piney hop kick that lays itself on the tongue which makes this beer dangerously drinkable and bit dry in finish     Taste is pine, bread, simcoe, mosaic, caramel, melon, cantaloupe, malt, mango, alcohol is well hidden in the flavor     Overall there are better IPAs out there but this would be perfect to getting a night started. Down 4 of these and you'll be off to a great night that you'll need a friend to explain to you on the next day. This is super smooth for an IPA and is sickening how drinkable they made an 8.7% abv beer to be. After demolishing one you want to grab another.    Also as other reviewers pointed out this beer most likely will result in a hangover. I woke up with a hangover from just drinking 2 and i drink high abv beers all the time and don't typically get hangovers for I don't tend to drink more than 2. Makes me believe this beer has a high sugar intake that would be the main cause to it. Nevertheless beer tastes good.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 poured into a tumbler it had about a half inch head. fairly light in color with lacing sticking to the glass on every sip. smells of sweeter tropical fruit and grapefruit with a little bit of pine thrown in for good measure. mouth feel is on the medium to lighter side. In all a very good beer that isn't as bitter as I would like but easily one of the best ipas coming out of Pennsylvania. great beer that I would recommend to anyone who likes ipas   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 I think this is Victory's best beer. Storm King still a formidable challenger though, being former champion and all. Pours a hearty golden color, 1/3" white head on the top. Aroma smacks of dry hopping, they really nailed this, has all the proprietary aroma hops like Mosaic and Citra.     Standard hop bearers like Simcoe & Chinook provide the bittering. They got away from using excessive caramel like malts like they did in Hop Wallop and that other hoppy beer of theirs (I forget the name). This is a light Golden Promise(?) like affair, just pale, lightly toasted malt that lets the hops shine. Equal parts citrus, tropical and pine. Any use of caramel is well restrained. Price is good, availability is good, alcohol well hidden. Sure, you could stand in line for hours at a time and spend $5 a can on something comparable. But don't you have more of a life than that? Grab a 4 or 6 of this from the gas station and go chat up some honeys, not neckbeards in line.   
look: 3.75 | smell: 5 | taste: 4.25 | feel: 4.25 | overall: 4.5 This beer is shocking smooth and refreshing. High velocity flavors of grapefruit smack your throat upon taking a pull from the chilled glass bottle's neck. I recommended this beer to be paired with grilled meats and marijuana cigarettes.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.75 | taste: 5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 Tastes good. Gets ya twisted. I felt hungover fairly easily after drinking it but, could have been related to something else. Pretty good overall 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 12 oz bottle  L: Color about what I would expect for DIPA nice white lacing on pour  S: Good citrus mango smell notes  T: Balanced for style, nice bitterness but not overdone...... very well done   F: about what I would expect from the style for DIPA, not too boozy, alcohol is well hidden-but there... does not compete or nullify the hops bitterness  O: This is one of my go to IPA's Love this one. Does not get all the acclaim that Victory's Hop Devil IPA seems to receive, but in my opinion DirtWolf is clearly superior   
look: 1.25 | smell: 1.25 | taste: 1 | feel: 1 | overall: 1 My father likes it, IPA, little bitter, 8.5% something like that. 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 3.25 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured a golden / yellow color; head was about a finger’s worth that died at a nice pace; adequate foamy lacing; smell is pure bitter piney / resinous hops showcasing a nice citrusy sweet background; the taste is an absolutely almost perfectly balanced citrusy bittersweet flavor; superb bittersweet aftertaste that fades into a dry finish; not as heavy as I expected on the palate good and bitter as I like my DIPA’s; overall - a very well done DIPA that I would have again.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 It doesn't get any better. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Quickly receeding head on this golden see through brew. This beer has a strong scent of citrus and pine. Good flavor translation with sweet citrus with tropical flavors and slightly bitter pine edge. Less than average carbonation and a sticky feel on this wolf. The slightest heat on the finish. This is a good brew here !   
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Outstanding display of hop reduction going on here. Thick bodied double IPA that will put hair on your chest. Smells of nice hops potpourri and citrus pith. Taste is overwhelming lupulin and hops cone medley. Coats the pallate with a oily hop slickness.   
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 On tap at Capital Ale House poured into a large tulip.    Appearance- A clear bright goldish color with over a finger of white head. Really nice lacing around most of the glass.     Smell- Piney hops and some citrus notes. A little more alcohol coming through than I expected.    Taste- A mix of grapefruit, pineapple, and melons meet a dank pine hop. The malt was present and a nice bitterness for the finish.     Mouthfeel- A nice thickness with medium carbonation and a dry finish.     Overall- A great double IPA with a good mix of citrus and piney hops notes. Solid beer   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 From Untappd 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 3.75 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 5 | feel: 4.25 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 So, I've seen this in beer stores coast to coast for years and am psyched to finally be giving this beast its due. Pale in color with lots of carbonation and limited head and almost no lace. Nose is grassy with citrus and medicine with booze lingering in the background.     Serious hops and pine in the flavor, but withering bitterness is not brutal and the alcohol is likewise under control. Balance is nil but that kind of goes with the territory. Serious lemon and medicine flavors dominate. Texture is thick but doesn't completely mask the octane. A little simplistic, but delivers on its promises.     Personally, I could go for a little more nuance, but Dirtwolf makes no apologies, and I can respect that.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
