look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 It was just aight. 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 2.5 | taste: 1.5 | feel: 2 | overall: 2.25 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 Cloudy orange yellow color . Body is at least a medium with about average carbonation .  Aroma is grain / wheat, honey, yeast, but the aroma is subdued.  Taste is very similar to the aroma, much more bitter than the aroma hints at but not off putting. The wheat is more subtle than most wheat beer but it does come through. It is not overly complex but still flavorful and makes for an easy to enjoy beer. Goes well with food as it isn't too strong on it's own that it takes away from anything else   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 2.25 Had this one back in July 3, 2018. Written from notes.    oberon- hefe glass    appearance - opaque, very cloudy dark yellow. tons of sediment. 4    smell - fruit, citrus. very hefey. 3    mouthfeel - smooth. slightly syrupy but also astringent. 3    overall - meh 2.5   
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 Can Date: 7/17/18  Palate Contaminants: none    Look is an opaque yellow-orange. Lots of fine head that sticks around for a bit, but leaving merely okay lacing.    Scent is honey wheat bread. This is what I'm looking for in a wheat brew. Mellow, yet the scents that are there have some depth, like you get when something is fresh.    Field-fresh wheat is both the canvas and the color. There's also a barley-like grain flavor, as well as white grapes. It's not complex, but for the type, it's again about ideal. Finish is honey and light herbs.    Aftertaste is a far diminished version of the taste. Carbonation is a bit prickly, and it's easy to bring out with a swish around the mouth. I get a surprising amount of alcohol for a fiver. Weight is pretty good, though.   
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 pours a deep gold, decent head retention, OK lacing, large white yeast sediment, grainy nose. some sweetness, palatable, minimal alcohol hit. 
look: 2.5 | smell: 2.5 | taste: 3.25 | feel: 2.75 | overall: 3 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 A: crystal clear; deep gold in color; 1+ finger ivory head that receded to a wispy cap; nice lacing;    S: grainy and doughy with a bit of malt sweetness and floral hops;    T: doughy for a moment, then grainy with a little sweetness through the finish; very mild bitterness at the end;    M: medium bodied; moderate carbonation; lightly dry finish;    O: easy drinking;   
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 The perfect warm weather wheat ale. Reminds me strongly of the summer beers I had in Germany. Not very much of a head on the pour, nor a strong hop flavor or aroma, but exceptionally smooth and satisfying. A personal favorite.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Significant wheal malt taste takes you to the grainy heartland. Gold and light color, and pretty decent body for a summer wheat ale. Solid, straight down the middle effort.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 2.5 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.5 
look: 4.25 | smell: 4 | taste: 2.5 | feel: 2.75 | overall: 2.75 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 L: orange, few bubbles   S: orange   T: Matly, orange, slightly spicy   F: Smooth  O: A simple, refreshing, and satisfying beer 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4.25 L: Golden/straw yellow with burnt orange highlights, hazy. Great head and retention. Only negative is some clear floating sediment.  S: Strong yeast, bread, grain, reminds me of a bakery. Slight fruity notes  T: Repeat of the nose with a nice dryness, straw-like finish  F: So drinkable. Body is smooth and creamy, silky, but balanced by the dryness. Full yet light. Great carbonation. Perfect summer quaffable brew  O: Excellent beer for a hot, lazy summer day. Cannot go wrong with this one   
look: 4 | smell: 3 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 Very nice refreshing beer without much hopatude than goodness feels great tastes great think I shall have another. I hope they sell it year round 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Definitely a great summer time beer as others have stated. I wouldn’t go out of my way to get my hands on it but it’s an enjoyable beer. The readily available aspect is a positive as well.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 3 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4.25 Lovely gold color, rich with bubbles. Strong nose and a full bodied, full flavored first taste. Malts come cheap and the hops balance it well. Some slight coffee notes make it in there too. All in all I really enjoyed this beer.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 1.25 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.25 $12 for a sixer of this locally. Hazy, cloudy look with many large chunks of particulates floating around like pieces of cheese - not appealing in the least bit. Mild, rather nondescript grainy aroma. Taste is citrusy, lacking the spice that one would generally expect from the style. Mouthfeel is on the creamier side. Overall, not bad but not great - perhaps it would benefit from the addition of some spices.   
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 Pours a cloudy Orange with a nice head. Very smooth.....creamy...almost has a light amber taste to it. Very drinkable. Definitely worth a try. 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 3.75 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 A: Pours a golden yellow color with 2 fingers of head that fades down to a thin cap that leaves good lacing    S: Light fruit and wheat notes as well as some bready notes and spicy hops    T: Follows the nose. Starts off with the wheat and bready malt notes and then goes into some fruitiness and spicy hop notes. Finishes with lingering wheat and some yeasty undertones    M: Medium bodied with moderate carbonation    O: A solid summer wheat ale that is super drinkable   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Very nice, refreshing, drinkable wheat beer - I thoroughly enjoyed it even though wheat beers are typically not my cup of tea. Nice hazy golden color with some nice head and lingering lacing. Smells of wheat, citrus fruit and some grain. Tastes similarly, along with some caramel and nice malt backbone. Perfect balance of sweetness and that wheat aftertaste. Mild mouthfeel with good carbonation. A very refreshing, sessionable beer.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 nice bready wheat and spice character 
look: 3 | smell: 2.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 Best summer beer there is! I hope every state has something similar to drink out on the patio garnished with orange. 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 12oz can purchased at Moonshine in Harwich. Hazy amber color and a wheaty nose with hints of citrus. Flavors include wheat, yeast and hints of mango and orange. A hint of spice, maybe clove, comes in on the finish. A nice summertime brew. We're glad Bell's is now distributed in our area.   
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 On tap at a local tavern. Just what the doctor ordered on a summers day. Very solid example of a wheat and a beer that a German would appreciate. Will drink again.   
look: 3.75 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 5 Favorite beach beer. 
look: 3.75 | smell: 3.75 | taste: 3.25 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Poured from a 16 oz can into a tulip glass.    Pours a hazy bright orange gold color with 3 fingers of fluffy off-white head. The head slowly dissipates into a thick blanket of foam, leaving plenty of sticky cobwebs of lacing along the way. Beautiful beer.    The aroma is very bready and yeasty, with notes of lemon, grass, and subtle notes of clove and spicy hops.    The flavor is more of the same. Lots of wheat bread and yeast. Some citrus rind and spicy hops.     The feel is medium-light with moderate carbonation. Refreshing and highly drinkable.    Overall, a pretty good beer that's entirely underwhelming, but it's drinkable as hell and I'm pretty sure that's exactly what they were going for here.   
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3 | taste: 4.25 | feel: 3 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 3 | taste: 3.25 | feel: 4.25 | overall: 3.5 L -- Pours a lovely hazy golden orange with two fingers of merengue-like white head produced with moderate pour. Good retention and spotty lacing   S -- Wheat, lemon, touch of fruity yeast ester   T -- Nice, soft flavor palate from the wheat. Almost tastes like a munich helles lager. Clean and simple   F -- Refreshing and quaffable. Light mouthfeel, medium carb. Really mild throughout   O -- Although there's other similar beers -- Weihenstephaner's hefe in particular -- that I would go for before this, it's still a solid offering from Bell's. Glad to be seeing distro in MA finally!     69/100   
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 Look: Orange with a huge, foamy white head.    Smell: Spicy malt, citrus, sweet wheat notes.    Taste: Average bitterness covering a foamy, wheaty malt taste. Some spice and citrus notes.    Mouthfeel: Fairly thick, decently carbonated.    Overall: The taste could use some of the smell's complexity.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Absolutely beautiful beer poured into a pint glass .. Gorgeous orange juice color with a foamy white head .   Wheat ale is not something I would normally choose, but we recently got distro of Bells, so I’m going to have to try them all :)  Easy drinker and probably something I would like by the ocean or pool otherwise it wouldn’t be my first choice .  Overall I enjoyed it , but so far I like their Two Hearted Ake way way better .   I’ll review that one tomorrow .   Cheers !!   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 2 | taste: 2 | feel: 2.75 | overall: 2 It has a bitter/citrisy taste that stays on the tongue for a while. It has a cloudy appearance. I feel it's highly overrated, at least here in Michigan. To me it's just an OK beer. Personally I don't think this beer is worth the cost @ around $9/6 pack. I can get a 12 pack of a cheaper beer like Old Milwaukee or PBR for the same price. I think those are much better beers anyways. Individual bottles of Oberon can be had at Meijer stores for $1.99 each.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 From the 5 Liter Can, it pours a hazy amber with a nice head that lasts and lasts. It also leaves lacing as you enjoy it. Bread and a bit of spice in the nose. ...and the mouth. Nice!   
look: 3 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3.25 I had this beer last year and loved it, I am a huge Bell's fan but, this beer for some reason this year just isn't doing it for me. I might have got a bad batch, it is a good beer just isn't as good as I remember it.   The beer pours a hazy orange, with a good amount of head. This beer is unfiltered and it shows as the last of the beer pours out there is a fair amount of sediment (not unappealing). The smells is sweet: wheat, spices and orange. Taste is a slight hint of orange, spice and a lot of wheat. The mouthfeel is more full then I remember. Overall this is a good summer sipper.   
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3 Not enough hops 
look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 3.5 | overall: 4.25 
look: 4 | smell: 3 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 From Bell's Brewery comes something different, Oberon, an American Pale Wheat Ale. Heard lots about this beer on social media and was fortunate enough to get my hand on a bottle, here in NoCal through a co-worker.    Oberon pours a cloudy, golden color with particulates floating under a thick and rich looking, off-white head.    Aroma was citrus and fruity with a definite wheat presence and a clove-like spice.    Taste wad a good mix of citrus flavors the orange standing out, followed by an earthy, grainy type of flavor before finishing with a touch of spice.    Crisp and clear, at 5.8% ABV it's a tru summer time brew.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Pint Can poured into Glass @ Nonic Bar and Kitchen - Columbus, Ga    This shit is goood. Poured a nice orange hazy color with a small amount of head. Smelled like wheat beer, subtle and not overwhelming in any sense. Felt smooth and refreshing, could easily knock down a few of these every hour. Very subtle orange/citrus taste and not overly malty. First time I ever had this beer was at Bonnaroo in 100F, perfect beer for a warm, active day as it doesn’t weigh you down.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Pours dark cloudy orange/yellow. Head is off-white with good retention. SlightLacing.  The nose has a bit of funk. A good funk. There is orange, sour lemon and heavy wheat notes.  There is tons of orange and grains upfront. Finish is sweet and sour with some lingering bitterness.  The mouthfeel is good. Its medium bodied and smooth with plenty of carbonation as to not weigh it down.   
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 Enjoyed on tap at the Flying Saucer Pub in Fort Worth, and on sale for $3/pint.    Very pretty in the glass.    An odd beer. My understanding from the Brewery's website, is that this is a wheat beer but brewed using Bell's special house yeast, so all of the spicy notes from the magic of the hops and not from added spices. My only gripe is that is a bit heavy for what it is described as being, a great summer beer.     Very full mouthfeel.   
look: 3 | smell: 3.25 | taste: 3.5 | feel: 3 | overall: 5 Oberon is an old friend; back in the day it was called Solsun and sold in 22 oz bottles that were perfect for enjoying on the front porch on a hot summer day. It's still the taste of summer for me.    Purchased 6 pack of bottles from a local grocery chain. Pours orange yellow with an aroma of wheat, yeast and citrus. I have always found Oberon to taste like it smells; wheat and yeast dominate with a citrus note. It has a smooth mouth feel and a dry finish. It pairs nicely with grilled foods, especially chicken.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 12oz bottled on 3/18/18  Pours a hazed gold/amber color beer with a 1/2" off white head and short retention.  Wheat. Orange-y. Yeast.   Taste follows the nose, it's not simple or complex...somewhere in the middle with definitely enough to keep interest and come back for more.  Full bodied. Low to medium carbonation. Clean and finishes quick and dry...a plus.   
look: 5 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Yeah, like Alexis Ren's instagram, I'm into it. Bright orangish hue like I feel F.W. Murneau's masterpiece, Sunrise: A Song of Two Humans would look like if it was shot in technicolor. Taste is like waking up next to Alesandra Ambrosio on a cloudy day, and then having her freshly squeeze you some orange juice - I can get used to this. It's not the most vibrant, it doesn't speak to me like Sartre at midnight, but it is there and proud. And that is enough for the Raul man.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 From Siciliano’s in Grand Rapids MI ON March 26 - Oberon release day. Pours a slightly hazy amber golden with fruity citrus aroma with bit of yeast. Taste citrus - orange, slightly grainy, mild clove with touch of spicy hop. Smooth juicy mouthfeel, well carbonated. Though still winter like while consuming does taste like spring - really good.   
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Grand Rapids local Family Fare sells a ton of Bell's products. Pint can poured into a Witbier curved glass.     Orange to amber pour with a thick couple inch head. Little to no lacing and aesthetically pleasing. Aroma is of huge wheat presence with undertones of orange peel and a typical malt backbone. Mouthfeel is of standard wheat taste but is most definitely of a higher quality than domestic wheat beers. The orange notes are diminished and very subtle to the taste. It's an interesting beer that definitely isn't something to write off. I see why many people rant and rave about Oberon but I'm not overwhelmed   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 3.25 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.5 I've been waiting patiently for Oberon season since it was recommended to me about six months ago - and I wasn't disappointed! Poured a very hazy hay color with a barely there head. Strong smell of wheat and clove-like spice. Taste followed suit, finishing with a subtle fruitiness. Pretty big for an American Wheat.   
look: 3.25 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 Pours a hazy gold amber with a finger and a half head that retains mildly well with a small amount of lacing.  Relatively malty with a good use of wheat, with nice spice.  The aroma is pretty standard across wheat and pale ales, overall a solid beer. I will be buying it again through the summer!   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
