look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 2017 bottle. Thanks to Phil for this one.    Dark brown body with a brown two finger head. Soapy, foamy, creamy. Its it an intense looking beer.  An equally intense aroma. Roasted malts, dark molasses, very woody with lots of anise, dates and dark currants.  Aggressive yet balanced taste. Roasted malts, dark molasses, oaky, intense spices, a solid dose of valilla, espresso bitterness and barrel char in the finish.  Surprisingly smooth mouth feel, drier in the finish. A good nip of alcohol. Tannins and cherries in the after taste. Heavy body medium carbonation.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 1 PINT 6 FLUID OUNCE bottle  Served in a snifter  2014    This beer pours dark and foreboding. It is topped with a couple inches of deep mocha head that clings to the sides of the glass as it recedes like my hairline.    I notice dark fruits at first. Cherry and plum come to mind. Anise is the next thing my schnozz detects. Dark chocolate and coffee round out the aroma.    The taste starts with dark fruit. Chocolate follows with anise right on its heels. The finish is slightly bitter with roasted grain and black coffee.     Full bodied with smooth mouthfeel    This beer is fruity and complex. Each sip has several flavors, and the beer has held up nicely.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 Bottle Date: 2015  Palate Contaminants: none    Here's hoping I didn't wait too long. I'll revisit if I think age is too much of a detriment.    Color is that opaque dark brown that doesn't really let any light through. Head is a very fine light brown that looks like a mousse. A reasonable amount of lacing considering the type.    Smell has tons of dark fruits like raisins, prunes, and dates. They're sweet, and that's nicely integrated (or "natural" if I wasn't tryin' to be so fancy). It just smells thick and heavy. It's fair to say there's a little bit of cocoa and a little brown sugar in there, as well.    Those same fruits are also there in the taste, but they have a lot of anise flavor to compete with. Coffee, too. Bitterness and some charcoal taste hit late, and they're every bit as intense as the other flavors. There's also a mineral quality that isn't particularly common in the brewing arts. It could substitute nicely for a ruby port.    The aftertaste has too much of the charcoal. The bitterness is okay, but I'd love it if some of the other things left the party late, too. Good medium-heavy carbonation, and medium weight for the type. Alcohol is noticeable, especially later.    So, I might not require a revisit to the baseline Abyss, but I am curious about how it is when younger.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Date: Bottled on 10/30/17, savored on 12/05/18.    Appearance: Pours black as night with a dark mocha head the barely cover the top of the beer. The lacing clings to the glass beautifully when I give it a swirl before slowly cascading back down.     Aroma: The aroma is a large amount of vanilla bean, dark chocolate, bourbon sweetness, roasted malts, chocolate covered fruit, coffee, some licorice, and syrupy molasses.     Taste: Big bourbon barrel character with a significant oak presence which gives way to sweeter flavors of vanilla and rich dark molasses and then the beer descends into the abyss with bitter dark chocolate notes and a bottomless cavern of roasted malts. The aftertaste is a whole bouquet of dark fruit and coffee notes. As the beer reaches room temperature, or I find the bottom of the abyss, a few things happen. A very slight soy sauce flavor does come out, but nothing that really damages the rating as it can easily be ignored with the myriad of other flavors. The ABV does become a little more noticeable, but I wouldn't say this beer is hot. Also, the malt roast and oak characters intensify. The mouthfeel on The Abyss is thick and full with the texture remaining totally smoove. This is one of the best damn beers I've ever tasted. I have without a doubt spent more money on The Abyss than any other single beer and every time I crack a bottle I remember why it is worth every penny of the $18 it retails for.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours a deep, thick black with no head or lacing.    The smell is oak and red wine with a little chocolate and bourbon.    The taste shows the red wine and some black liquorice. There's also a strong leather/char taste. It's pretty bitter on the finish.    The mouthfeel is thinner than expected but still velvety.    A very nice beer although less depth of flavor than expected. I'd like to try one that fresher to compare.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 A very nice imperial stout but the stronger flavors of raisin and licorice were just a little too much for me. Pours a deep, rich dark black color with great dark tan head and sheets of lacing. Smells of deep rich chocolate and coffee, along with fainter dark stone fruit, malt and caramel. Tastes of deep dark roast coffee, dark chocolate mocha, vanilla, caramel, raisin, molasses, brown sugar, malt and licorice. Just too much raisin and licorice for me. Smooth mild mouthfeel, surprisingly not that creamy. Clean and silky, just enough carbonation. A strong beer but a little disappointing given the huge ratings and reviews here.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 A lot toastier and maltier with some good dark chocolate taste. Not sweet like so many in this style but in a good way. Oddly, I drank the bottle over two days and it actually tasted better after being exposed for a day.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 Smells like hot caramel. Looks quite alluring in a sniffer. Wow. Intense flavor here. Obvious roasted malts, but something else...maybe kahlua-like. Very thick. Super alcoholic. Delicious. Like hot fudge. Rich.   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4 | taste: 4 | feel: 3 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 2016 Bottle. Pours a pitch black color with a small amount of caramel colored head. Laced the glass with each sip. Scent was roasted malt and some excess booze. Taste was strong of cherry and a slight roasted malt aftertaste. Smooth for the ABV and alcohol scent.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 Beautiful dark and rich looking Beer. Good thick and creamy head. Great lacing. Rich aromas of molasses and licorice and so many to ponder. Taste is lots of molasses and enough bitterness to know this is a beer. The alcohol is strong and that adds to the overall flavor. Overall this what we dream about in craft beer. On draft at Ron’s Corner Tavern. The 2016 version I’m told.   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 Pouring a 2017 reserve from a 22 oz. bottle into a snifter glass. This beer pours out pitch black and forms a thick and creamy caramel colored crown. Bubbles of all sizes bursting with sweet and roasty notes to my nose. Almost a burnt chocolate smell with the molasses definitely being present. Black licorice is making its presence known with that sharp smell, (metallic too?) It's like a big roasty, burnt sweetness. It comes in with the taste being roastier than any beer I've had in quite a while, maybe ever. It's not like a coffee roasty though, it's like a burnt sweetness just like the nose. Its even almost metallic. The mouthfeel is dry leaving a smokey note. Overall, this is really not what I expected and I'm not quite sure if I like it. I like having something different and a change of pace, but I don't think I would grab this again. And the metallic notes were a little much for me.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 2015 reserve. This bottle has a "best after" date of 12/08/2016.    Appearance - Pours a dark molasses brown with two fingers of mocha head.    Smell - Oak bourbon barrel, vanilla bean, earthy and leafy hops, black licorice, vinous and woody aromas.    Taste - Roasted malts, earthy and leafy hops, vanilla, licorice, warm woody oak flavour.     Mouthfeel - Medium to full bodied with moderate carbonation. Smooth and slightly sticky with lingering oak notes and warmth from the alcohol.    Overall - A deep, rich Abyss brew from Deschutes. Even after aging for 2-3 years, the flavours in this beer are well-balanced and harmonious.   
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4.25 Pour: bottled 10/30/17. Poured into a tulip glass. Jet black, absolutely opaque. Two finger tan foam head. Slowly dissipates leaving cloudy bubbles on top and beautiful lacing. Initial temp about 45 degrees. Warmed to about — when drinking     Nose: red wine upfront, bourbon, dark fruit, oak, molasses. Lots going on and well balanced. Could smell this all night.     Taste (45-50 degrees): surprisingly bitter hops/dark chocolate upfront. Not at all what I expected based on the nose. Molasses sweetness in the middle and backend with a little oak. Even a little grapefruit aftertaste. Don’t get a lot of bourbon, wine or anything else initially.     Taste (55-60 degrees): Bourbon notes more pronounced as it warms. Much less bitter as well. Red wine notes now very evident and more dark fruit as well.   Less chocolate but still present. Molasses still there as well. But, this isn’t a super sweet desert beer. Definitely better as it warms.     Mouthfeel: low to moderate carbonation. A little thinner than expected but still substantial. Creamy but not overly viscous.     Overall: this is a really good beer but slightly disappointing taste relative to the description, expectations and the nose. Definitely let it warm. I will probably buy one more to cellar but have mixed feelings.   
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Reviewed from (long-standing) notes. Poured from the 2012 bottling, 22 oz. bottle into an El Catador Barrel-Aged glass. Consumed on 7/29/17.    A: Very dark brown and opaque, with a thin tan head that lasts quite well. A fairly low amount of visible carbonation.    S: Sweet malts and oak, bourbon and chocolate. Tannins and vanilla, with some tobacco and licorice. Leather and cacao powder. Smells quite good and fairly complex.    T: Chocolate, roasted malts, and bourbon. Oak, vanilla, and some char with a mild smoke character. Tobacco and anise. Dry tannins and a mild coffee. Roasted bitterness, with a milder amount of hop bitterness, and sweet chocolate in hang.    M: A medium body for an Imperial Stout. Low carbonation overall, but probably average for style. The alcohol presence is restrained for the style, but certainly still warming.    O: Very enjoyable. The roasty and char and anise aspects add up to maybe not blowing me out of the water, but remains interesting, enjoyable, and complex. Big roastiness for sure though. In the interest of full disclosure, this my opinion of this may have suffered a bit from being drank directly after the Cycle DB Vanilla DOS.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 (2017 Bottle)  Pours into a small 1/2 pint glass with a dark chocolate foamy head. The Foam looks thick.  The smell is strong on roast and light on coffee.  The taste starts good and as it warms it changes to even more complex. I love the vanilla that comes through in a stout as it warms. I also taste hints of cherry as it warms.  Thick and delicious. Shared a 22 oz with 2 buddies will definitely find another bottle to put away in my cooler.   
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 3.5 | taste: 4.25 | feel: 3.75 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 3.5 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 3.75 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.75 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 Definitely under appreciated. Pours dark black. Lots to smell -- licorice, vanilla, bourbon . Sweet smelling. The taste is incredible. as the smell is complex so is the taste. we get the licorice, vanilla, bourbon but also coffee, malts and some hops. The finish is slightly bitter from the hops. Amazing stout that does not get the love for some reason.   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.5 Happy birthday to me! Not only is it my birthday, but I’ve also got a beer I’ve been waiting to get my hands on since I joined BeerAdvocate and began my craft journey all the way back on Jan 13th 2011: Deschutes The Abyss. Even saying the name of this beer out loud fills me with a sense of awe (and trepidation at the 11.4% ABV within) this brew is going to be BIG in so many ways, with headline ingredients such as: black strap molasses, licorice, cherry bark, vanilla bean, and 50% aged in bourbon, wine, and new Oregon oak barrels - PHWOAR! Let me repeat myself for emphasis: PHWOAR! The only [first-world] problem I’m facing is the prospect of finishing off a 650ml bottle by myself... yes, it’s not a terrible situation to be in.    Poured from a 650ml US Bomber sized wax-sealed bottle into a Duvel tulip.    A: Inky black like the expansive vacuum of space, with a deep tan head that hangs around for as long as I’ve seen in any Stout north of 11% before fizzling out leaving a patchwork of bubble and lace. Peering down into the glass is like looking at a mini universe - epic in many ways this beer. 9/10.    S: Red wine really comes through in the first whiff, then licorice, molasses, dark fruits (plum and prune), oaky vanilla/woody tones, espresso coffee, and finally a sweet lick of bourbon. Incredibly complex aroma that shifts as it gets warmer - it’s hard not to like it, there’s something in this that every Stout drinker will like, and the name is fitting - it really is like peering into the abyss. 9/10.    T: Yep, Deschutes nailed it. Flavour incorporates all of the above: red wine (Shiraz I think), licorice, molasses, dark fruits, oaky vanilla/woody tones, espresso coffee, and a touch of bourbon. Then it throws in a bit more: burnt sugar, light bitter herbal notes, red coffee cherries, touch of smoke and a hint of cinnamon. Possibly one of the busiest Imp Stouts I’ve ever had the pleasure of tasting. Balances a tad on the sweeter side, though more herbal bitterness comes through in the aftertaste with a delayed reaction. Brutal and inspiring this brew is. 10/10.    M: Heavy bodied and viscous, it’s about a Barry White on the Founders Scale IMO. Carbonation is dying star dense and lush almost to a fault. 9/10.    D: As I imagined all these years? Yes, this beer terrifies in name and in taste - it’s every bit the behemoth I dreamt it would be, and Deschutes does not disappoint. As far as the bottle goes - I am going to struggle on my own, this is too big a brew for one man, but I’ll go down fighting the good fight ;). 9/10.    Food match: Replace the after dinner port with this beer, and cigars: yes.   
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Outstanding! 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Wonderful aroma, dark color, rich flavors. Consistently one of my favorites from Deschutes. I grab a few bottles every year when they release it. Highly reccomend.   
look: 5 | smell: 4.75 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 3.75 | smell: 4.25 | taste: 3.75 | feel: 4.25 | overall: 4 Thick, dark, black color from a tall beer. The aroma is incredible....chocolate, licorice, and more. Smokey. The taste is intense...slightly sour though, with a plastic note and lots of spicy, smokey, deep fruit. Light bitterness. The taste does have an overdone licorice flavor. Full in body, Thick and satisfying.   
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 2016 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 2015 vintage, drinking on 3/28/18.  Pours jet black with thick tan head that dissipated pretty quick. Dark cherries and currants on the nose, with booze and a little molasses and a little roasted malt. It's really more carbonated than I anticipated. Upon taste I immediately get dark fruit, burnt molasses, dark roasted malt and a surprising amount of bitter hops. The alcohol is there, but not overpowering. It's honestly not nearly as sweet as I thought it would be, definitely more bitter. It's sips sweet at first then shifts to bitter. I had this beer beer fresh but honestly don't remember a lot about it, it was pre beer advocate for me. Overall a solid ba stout. I wish I would have noted my first so I could comment on what age did for this stout.   
look: 4.5 | smell: 4.5 | taste: 3.5 | feel: 4 | overall: 3.5 First smell comes off with the sweet molasses and vanilla. Taste at first is smooth and what you would expect from a good barrel aged beer. Unfortunately the aftertaste comes off almost too sweet. Tough to finish the bottle as the sweetness of this beer is overpowering. Overall a good beer!   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.5 
look: 4.75 | smell: 3 | taste: 3 | feel: 4.75 | overall: 3.25 2017 Vintage. It was ok. Not necessarily complex, just dark, dark fruits, molasses, espresso by barely. Honestly it need to age. Good I picked up a couple of these. Going to let one set for a year or better.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Appearance - Pours black with thick mocha colored head that lasts forever. Lots of lacing.    Aroma - Roasted malts, vanilla, rich chocolate, oak, slight vinegar aroma, alcohol comes out pretty well.    Taste - Smooth smoky taste, roasted malts, vanilla, oak, molasses comes out well, cocoa, not getting the vinegar I was expecting.    Feel - Full bodied creamy smooth feel, light heat from the alcohol that warms you up.    Overall - Well done stout pretty complex flavors that all work well together.   
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 I just drank the 2017 version ABV 11.40% (while grilling), brewed with blackstrap molasses and licorice, dry spiced with cherry bark, and aged in bourbon and wine Oregon Oak barrels (according to label). It is a really great stout. I've told it has kept up its great flavor and it also ages well.    Look: Jet black with a very thick and fluffy mocca colored head    Aroma: roasted malts, dark fruit, chocolate    Taste: The flavor is roasted malts, chocolate, dark fruit, hint of coffee, maybe cherries and red wine, mild bourbon, maybe licorice but not much, mild booziness.    Feel: medium to full body   
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 Beautiful black with cocoa-colored head poured into a stout glass. Roasted grain, a little coffee, some sweetness (dark fruits), definite bitter dark chocolate--a little too bitter--and nice, moderate booziness. I really like the mouthfeel--not cloying but coats the tongue and then dissipates. I like it, but would rather age it for a year or two.   
look: 4.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 Poured on tap at The Answer brewpub.    Pours pitch black with a finger of creamy tan head. Leaves some random spots of lace as the head disappears.    The aroma is very nutty, bringing notes of pecans and almonds. There's some vanilla and oak before a strong roasted malt character. There's also some subtle fig and raisin with the faintest hint of chocolate chip cookie dough.    The taste is very roasted and malty up front, followed by a ton of dark fruits and vanilla. There's a suggestion of coffee beans and dark chocolate on the finish.    The feel is medium bodied with lower carbonation. Smooth, yet exceptionally dry. Boozy, but not overly so.    Overall, a great stout that is more about the malt and roasted character than chocolate and coffee, making this a unique imperial stout. The body is disappointing but this is an otherwise great beer. Over hyped to be sure, but still good.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 I had two bottles of this, the other having been drunk quite a while back. This one is enjoy after 11.11.2015 ("2014 Reserve"). It seems like February 2018 is long enough to wait.     It pours black with a reasonable head and consistent bubbles. The aroma is complex to a fault - roasty malts plus all the amazing barrel agedness that is this brew. The taste follows suit with deep roasty taste plus all kinds of tasty boozy undertones. The actual alcohol taste is balanced with all the other barrel aging all nicely mellowed together. It's sweet but not at all overly so. Plenty of bitterness still shines through. It definitely aged very well.    Highly recommended. I need to find some more to set aside for the future.   
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 4 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 (2016 reserve bottle... poured into a snifter, refilled once)    L: impenetrably black liquid, 2-finger high dark tan messy froth of foam... the head eventually recedes, leaving a strange, webbed, honey comb pattern of bubbles crusted against to one side, climbing up into craggy lacing in spots    S: predominant dark chocolate note, with alternating aromas of toasted almond, espresso, vanilla, barrel char, prune, deep-toasted hard cookie... bold vinous/perfumy booze... smells of dessert and medication - one of the more booming bouquets    T: semi-sweet dark cocoa, espresso, ember-like burnt caramelized sugars; quasi-bitter-herbal, liqueur-like booze... heavy, palate-coating roasty malt flavors in the finish... charcoal, dark coffee, cocoa nibs most prominent in aftertaste, while the sweetness dries out much, in its place a lingering bitter dark grape skin essence hangs... nutty/woody flavors gradually creep up in the aftertaste    F: has a refined dry, hard fade in finish at start... but after the liquid sits in the glass/bottle, its satiny plushness, fleecy caress emerges and it flows like a creamy stout liqueur... it stuns and soothes best at mid-50s temps, or higher (glass still cool to touch)    O: the variety of ingredients, agings, and adjuncts look enticing on the label, but in the end it drinks like a clashing blend of barrel-aged stouts - sanded, leathery woods and interwoven layers of sanded-down roasted malts... its flavor intensity is more than enough to coax me into buying another several bottles - one of the more distinctive, enthralling American strong stouts, but not quite as nuanced as some European stouts using less additives   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 L: Poured from a bottle to a pint glass. Had a dark brown / black color and a thick, opaque consistency. There was a 3/4", khaki brown, creamy, long-lasting head. Excellent lacing.     S: An overly subtle aroma of roasted malt, bourbon, dark fruit, and a burnt quality.    T: Tasted of a moderate amount of bourbon (and its accompanying oak barrel), some mild dark chocolate notes, lactose, a bit of the burnt quality, dark fruit (plums, raisins), a lot of roasted malt, and a tinge of coffee. An uneven flavor, to be sure. Some of the elements are omnipresent (the char), while others are barely there (the chocolate).     F: A solid amount of carbonation with a dry finish. Medium-bodied.    O: Definitely an uneven beer. Like a lot of Deschutes' offerings, this one is overrated. Not that it's bad, just wildly uneven.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
