look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 The look is a cloudy, straw yellow with plenty of bubbles, a large pillow of white foam that lasts, then settles to an eighth inch and never gets any smaller.(to the last swallow!)  This is a beer you can smell when the bottle opens, wheat, yeast, banana,& slight clove  The taste is what you smell, plus the little bubble gum on the tongue before you swallow, not bitter at all. So good!  The feel is creamy with some carbonation. Smooth!  The flavor is different than most beer styles, but I could see this flavor could become a craving. This brand is exact to the description of a German Hefe Weiss!   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.5 Greate tasting Hefe with a perfect blend of cloves, bananas and yeast. I was very impressed with the character of this smooth tasting balanced golden balanced wheat beer. Very enjoyable beer!   
look: 3 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 Smells of sweet wheat, banana and spices. Taste is the same and the mouthfeel medium. A wonderful beer! 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 12/29/18 (Chicago): $6.63 16 oz draft pour into Weizen glass at Fischman Public House. Heavy voluminous white puffy head, leaves generous lacing. Nice lemon banana aroma, strong and pleasant. Light wheat taste, lemon, banana, very nice blend. Light crisp mouth feel, full body, excellent Hefeweize beer. Overall very good pour.   
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 3 | smell: 2.25 | taste: 2.75 | feel: 3 | overall: 3 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.75 All around one of the greatest drinkable beers! 
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 Bottle, best before 9.10.19 so probably two months old?    Standard hefeweizen look, beautiful sticky fine-bubbled foam. Nose is dominated by clove, not so much banana. Spicy notes in general. Taste follows suit with a nice fuller than average body and a bit yeasty aftertaste. Yeasty in the sense of slight sharp bitterness that lingers on the tongue. Soft carbonation for the style, or rather, probably the thickness plays down the carbonation. In sum, the benchmark for hefeweizen. Pure, balanced, very very drinkable. Many hefes are either too sweet or sharp to really want to drink too many in a row. This one is one that beckons beyons the first acquaintance.   
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This gets a perfect 5 because it deserves it. When you think Hefe, you think of this beer. It's iconic and perfectly delicious to boot. When found fresh, especially on draft, you won't find a better one!   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Best beer on the planet by true masters of their craft. Hoping to take the wife soon and visit the actual brewery. Fingers crossed! 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 I mean, what to say about this one that hasn't already been said. Best hefe in the world. Probably one of my top 5 beers 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4.25 Weissbier | German | 5.4% | bottle    L4.5 Excellent head, nice cloud, deep golden.  S4.25 really wheaty  T4 really wheaty - with a slight sweetness  F3.75 smooth.   O4.25 from the world’s oldest brewery - they should be able to make a good beer. They can. Probably the best weissbier I’ve had from a bottle.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Hands down best hefeweizen you will ever drink. Have had draft and bottle both never disappoint. Been in business since 1040 they got it perfected! 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 Pours a pleasant murky-blonde with a prominent head. Tastes like banana, bubblegum, coriander, clove. Love the balance on this easily drinkable wheat beer.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 89,5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 My favorite summertime beer right now. 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 500ml bottle poured into a wiezen glass    =====    Look  Pours a yellow marmalade and murky color. Nice turbid activity. A white fluffy head that just sits there.    Smell and Taste  Floral, banana, sweet fruity spices, coriander. Some wheat bread, some clove.     Mouthfeel  Crisply carbonated, smooth bodied.    =====  Easily drinkable. Great, great flavor balance and finish.   
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 Poured from bottle into wheat glass.  Look: golden straw cloudy color with thick foamy head about 2 inches. Disapaited in 45 seconds leaving thin lacing in some spots.  Smell: banana  Taste: malty taste of banana and cloves. Extra banana at the end.  Feel: medium body and   Overall: World Class. Description of what a hefeweizen is.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Exceptional wheat beer. By far the best of them 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Cabeza blanca y espumosa que duró por varios segundos. La cerveza tiene carbonatación alta y cuerpo medio. En su aroma destacan la malta, la banana y los cítricos. Al paladar es una cerveza suave, dulce, con un ligero amargor.   
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 This weissbier is what I consider to be a benchmark bier. Top marks across the board which against others are evaluated in this style. I am not an everyday weiss fan but this one I could drink just about anyday.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.25 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 One of my favorite German Wheat Beers. I have only enjoyed it here in the US but I am told the Weihenstephaner Hefe in Germany is a even superior brew.   
look: 4.75 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 4.5 | overall: 4.5 Look: Light orange, cloudy, big fluffy white head.    Smell: Banana, some cloves, yeast, hints of citrus    Taste: First thing I noticed was a kind of bubblegum taste, mixed in with the fruity citrus-banana combo, some hints of cloves and nutmeg that become more pronounced after swallowing.    Feel: Full-bodied, normal carbonation   
look: 3.75 | smell: 4 | taste: 4 | feel: 3.5 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 5 | overall: 4.5 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3.5 I should start by saying that I am not a great fan of wheat beers. I find them a touch chalky and with an off putting fruity smell/taste. Obviously, that is characteristic of wheat beers, but not to my taste. L. From 500 ml bottle into tall glass. Impressive white head above a golden, slightly murky body. Dissipates reasonably quickly to lacing. S. That fruity, sweet slightly pungent smell that I find slightly unpleasant. Other touches of perhaps a little spice. T. Similar, the high carbonation adds a slightly astringent feel that dries out the sweetness on the finish. F. Almost bubbly, but quite smooth and drinkable with it. O. I don't doubt that this is a great example, but I enjoy the dunkel more as it pushes the fruity sweetness down under a darker grain taste.   
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 Classic, best enjoyed in the beer garden at the brewery. Nothing special in the look, just a nice clear amber. Smell is OK but nothing striking. Taste is brilliant -- perfectly balanced, everything you want in a beer. Good round mouthfeel, unusually so for a hefeweizen. Classic, reliable.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 500 ml bottle - frankly in my fridge quite a while but still great. Pours a slightly hazy golden pale orange with well packed 2 finger white head. Aroma of banana, bubble gum, little bit of spice. Taste is ultra smooth - sweet clovey citrus, banana, again a bit of bubble gum - void of any happiness with nice creamy but still well carbonated mouthfeel. Very easy drinking - great summer beer on our last week of summer (though high of 6 C today....).   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Friggin delicious. Incredible hefeweizen, and very affordable in my area. Nose is upfront banana and taste also banana but also wheaty. Very satisfying.   
look: 3.25 | smell: 4.25 | taste: 4.25 | feel: 4.75 | overall: 4.5 I have no idea how to say the name. 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 This was on tap at a restaurant. The bartender recommended "The Dude" imperial stout beer that she liked that I did not (a strange Imperial, too sweet, like a Red). Then I asked about this beer and she said this beer was not well-liked by customers. I tried it and really liked it. Then I looked it up, admittedly for validation of my own tastes. If you like Hoegaarden, you should like this beer. The oldest brewery in the world has nothing to prove. To each his own, and I'm not sure what they're drinking and liking at that restaurant, but this is an excellent beer.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 11 Oz Bottle poured into glass  Look - Partially clear but a little hazy deep yellow almost like gatorade. Very thick foam head leaves lacing on glass  Smell - Strong mix of cloves and banana puree. A wisp of nutmeg, cinnamon, garlic, and some wheat.   Taste - Similar to the aroma, some vanilla notes added but the yeast really makes an appearance. Smooth and fresh taste. Carbonation is medium. The spices aren't too dominating which is nice. Everything is balanced, not too sweet either. On the light side but it is a wheat beer so that is to be expected, very easy drinking.     If you are new to these styles of beer, remember to swish the bottle around when you get towards the end of the pour so that the yeast is able to come out. Kicks up the flavor a notch. This is an excellent beer as the rating suggests. Mostly a summer beer because of the light-ish body. Would like to try it on tap but for the bottle version, I will give it an A-   
look: 3 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3 | taste: 4 | feel: 3.75 | overall: 4 
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.75 The perfect beer with the perfect amount of spice for a summer night on the deck. A classic. 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Served in a pint glass. Beer pours a rich golden straw color. Very cloudy, large foamy white head with great retention and lacing. This is about as attractive as a beer can get.    Banana, cloves, yeast. It smells exactly what you’d expect from a Hefeweizen.    Taste follows nose exactly as anticipated. Strong banana on the front end with excellent balancing of clove and spice to keep it just in check.    Sweet and refreshing. Light bodied, medium carbonation. Very sessionable.    This beer is incredible. It’s available on tap all over in my area, if you can get it try it! But even out of the bottle it’s right there. For the style, this for me is at the very top.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75 Served at P.F. Chang's in the bottle with a nice tall glass. First time I drank this beer. I am hooked. Great Aroma some say bananna I just think it smells like malted wheat and that is what it tastes like. The head stays as long as the beer does which in my case is not that long. Love this beer.   
look: 2.25 | smell: 3.75 | taste: 4 | feel: 1.25 | overall: 4.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 Widely available and delicious. Lots of banana and clove. Light and refreshing. I think this might have been the beer that got me into craft beer! Still my favorite wheat beer after a decade+.   
look: 2 | smell: 2.75 | taste: 3.75 | feel: 3.25 | overall: 3.25 M47 
look: 3.5 | smell: 4.25 | taste: 3.75 | feel: 3 | overall: 3.5 Weihenstephaner Hefe-Weissbier - 5.4% ABV - 14 IBUs   Date: Code 1128   Appearance: Cloudy yellow in color with an expected three fingers of fluffy white head, and a good amount of carbonation rising up.   Aroma: The nose is largely a huge ripe banana aroma but the typical yeast and some subtle spices are also present.   Taste: The taste follows the nose quite closely with a lot of banana, yeast, perhaps a little orange, and tinges of spice before coming back around to banana for the finish. This one feels light for a wheat based beer, with a very creamy mouthfeel that is reminiscent of a NE IPA. As expected, there is some sweetness here but there is just enough hop character to keep it in check. This is a very well rounded and accurate example of what a traditional hefe-weisse beer should be.   Biased comments: This one has held up well for its age, although I must say that after so many thick, chewy, and high ABV craft beers, this one does almost feel watery. However, the fantastic mix of bananas and yeast help to give it a good boost in my opinion. But, the wateriness, the carb, and caloric content for what you are getting, a relatively low ABV beer, is really the only thing that prevents this one from being on permeant rotation in my fridge.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 This is a delicious, easy drinking hefeweizen. Pours a very opaque golden yellow with a slight smell of banana. Tastes very yeasty, with banana and wheat notes.   
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 I love the banana nose and enjoy this beer when it is especially chilled. At the end of a desperately hot summer day, sitting on the patio under an expansive umbrella, enjoying the view of the hills and sunset, ... a good time to enjoy this one.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3 | smell: 4.25 | taste: 4.25 | feel: 3.5 | overall: 3.75 Even though there is not a lot of head or lacing, when you take a drink, it feels light and fluffy as if there was foam in it (which I don't like). The smell is not too strong but enticing, bringing to mind fresh spring air. The flavor fulfills its promise. The beginning is bright and the aftertaste is a pleasant sweetness. It's also cool to taste from the world's oldest brewery.   
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 4.75 | feel: 4 | overall: 4.75 Current fave 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 5 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Coded 1128 on the back label of the bottle, which translates to 3/21/18, ~3.5 months since brewing.    Pours a cloudy deep golden straw in the glass with almost four fingers of dense creamy head. One of the best heads on a beer I've ever had. Nose starts off with spicy clove that transitions into a bread pudding consisting of fresh bananas, wheat bread and vanilla. I also get some white grapes, cinnamon and cardamom at the end. Taste follows the nose closely; it's crazy how close this is to a well made banana bread pudding. Big clove, cooked banana, wheat bread, cinnamon and vanilla stand out on first taste. The rest of notes of the nose follow closely afterwards with an addition of yeastiness that I didn't catch initially. Creamy medium body with consistent small bubbled carbonation. Medium-high sweetness, so if you're not looking a big desert-like punch of flavor, this isn't for you. I can't get over how well this is brewed and how distinct the taste is, even from other Hefeweizen. You can pretty much pick this up from anywhere these days and it's not one you want to miss.   
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 500 ml. bottle poured into a 20 oz. mug. A gentle pour creates a finger thick eggshell white long lasting head.   Large and small bubbles shrink to a creamy foam. No lacing yet it has "legs".  Vintage maple or orange-pineapple juice colour, hazy and opaque.   Smells of yeasty sourdough bread, banana, fruit cocktail with a faint must.  Sweet malt, banana, slightly sour apple juice and peppery hops control the taste- in that order.  Medium to rich oily body with lots of CO2. Great balance between sweet, a little sour and bitter hops.   Centuries " spelled correctly this time" of practice have paid off. I tried this beer's Dunkel cousin, I don't have a favorite as both are outstanding and suprisingly different. This verion has more pronounced fruit flavors, might be a better choice for the upcomming heat wave.   
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 On tap, poured into a pint glass.    L---Slightly hazy golden color. Big, thick head that had very good retention and left ok lacing.    S---Banana & clove. Some yeastiness as well.    T---Banana is the dominant taste. Breadiness & cloves come in as well.    F---Light & bubbly. Crisp & fresh.    O---World class beer. Seek this one out. If you see it offered, get it.   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75 Wonderful hefe. This is a style that I’m generally not a fan of but the bright banana/grainy taste of this is undeniably excellent. I’d still take a world class ale over a world class hefe, but for the style this is certainly among the greats.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 Has a deep straw look and a bit murky, and a wild, large white head that is still good after sitting a few minutes. Great banana and clove as expected, and are just right. Low bitterness, malty, and nice and smooth with a good level of carbonation. Really enjoyed drinking this beer.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Actually so goddamn delicious. Not normally a weissbier guy, but this is changing my mind big time. Have had too many bad american examples so I figured I better go to the experts.   
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 5 A: Pours a thick foamy head. Color of a ripened apricot. Bubbles and light sediment floating around.    S: So yeasty and malty. Bananas and cloves are front and center as well.    T: Starts off with a mix of bananas and cloves and melds into a nice long bready finish.    O: Unbelievably creamy and smooth. Has to be the best beers of this style I've ever had.   
look: 4.75 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 4.25 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.75 The best hefe there is. Busy yet balanced. Strong yet smooth. If only it were cheaper I would drink this mead from the gods every day. Maybe I’ll move to Germany.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 3.75 | taste: 4.5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 Good tasting beer no sediment that I like in the wheat beer's. But over all a nice refreshing taste. More widely found wiess bier in store's. 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 5 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4 
