look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 "break in case of emergency" 
look: 2.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1 Simply dreadful bland fizzy pee water.   Had the misfortune to get a pint of this at wembly watching the NFL. 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 I’m the type of guy that drives Chevys and Fords because it’s American. But I can’t stomach this toilet water. 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 2.25 | smell: 1.75 | taste: 1.25 | feel: 1.75 | overall: 1.75 
look: 1 | smell: 1 | taste: 1.5 | feel: 1.25 | overall: 1.25 Why do so many people love this beer?  Is it just to fit in with the crowd? Is it to look cool? This "beer" is barely drinkable. Only way I'll drink it is if it's given to me. You can buy cheaper beers that taste better. Hell, Keystone and Busch are better than this. Overrated swill.   
look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.25 | overall: 1.25 This is awful & I am not a beer snob I'm just telling how it is. An overload of corn syrup comes to mind as I drink this this. This is close to undrinkable. Cheers! D-   
look: 2.25 | smell: 2.75 | taste: 2.75 | feel: 3.5 | overall: 2.75 
look: 2 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 1.75 
look: 2 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 2.25 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.25 
look: 1.25 | smell: 1.5 | taste: 2 | feel: 2 | overall: 1.75 
look: 3.5 | smell: 2 | taste: 3 | feel: 3 | overall: 3 A good beer just to chill with on a hot summer day or game day beer a little bit overrated not much of a taste or even aftertaste 
look: 1.75 | smell: 2 | taste: 1.5 | feel: 1.75 | overall: 1.75 
look: 3.5 | smell: 2.25 | taste: 2.25 | feel: 2.5 | overall: 2.5 
look: 1.75 | smell: 2 | taste: 2 | feel: 1.75 | overall: 1.75 
look: 4 | smell: 5 | taste: 5 | feel: 5 | overall: 4 Great beer for back yard get-togethers. Game day and tailgate events. Makes a good rotational beer. The presentation could be much better, I gather that AB has no need of a redesign because of its number one statis as far as sales go. The blue can has become an icon That everyone knows. The smell is of faint white bread. I was expecting to be blown away by a pungent aroma but to much of my surprise, very little if any smell at all. The taste is very light. A nice white bread and yeasty top note, quickly turns to a seltzer water taste with a very clean and dry finish. There is a light to some-what medium body, is stress the "some-what". The feel is typical for a light beer. What can i say? This is a well done beer with many middle road characters and flavor. Bud light is not offensive to anyone and its made with social drinking in mind. Would I buy this beer again? Not really. You can get much cheaper beer for a way better price. Milwaukee's best light tastes a tad better and is cheap as chips.   
look: 2.25 | smell: 1.75 | taste: 2 | feel: 2.25 | overall: 2 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 It’s wet, ain’t it? 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 1 | smell: 1 | taste: 1 | feel: 3 | overall: 1 Look: Hardly has any color to it. Highly carbonated  Smell: Hardly any smell, Very faint "beery" smell but very faint.  Taste: Hardly any taste. Not able to discern any individual flavors in it, not even whatever adjunct they're using. I damn sure don't taste even a hint of hops. There's just nothing there  Feel: It's like a Perrier. That's really what it reminded me of.   Overall: As a beer, it's horrible. As sparkling water it's actually pretty good.   
look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5 
look: 2.5 | smell: 2.25 | taste: 2.75 | feel: 2.5 | overall: 2.5 
look: 3 | smell: 2 | taste: 1.5 | feel: 2.5 | overall: 1.75 
look: 2 | smell: 2 | taste: 2.5 | feel: 2 | overall: 2.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 2 | smell: 2 | taste: 2.25 | feel: 2 | overall: 2 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1.5 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 3 | smell: 2.5 | taste: 2.5 | feel: 4 | overall: 2.5 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1.75 Its bud light!..not terrible but not beer... nothing offensive about it except the fact that some people consider it beer! just fizzy water with alcohol!..im rating this as a beer and not just a drink.   
look: 2.5 | smell: 2.25 | taste: 2.75 | feel: 2.25 | overall: 2.25 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 1.75 
look: 2 | smell: 1.75 | taste: 1 | feel: 1.25 | overall: 1.5 
look: 3.25 | smell: 2.75 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 The worst beer I've ever had. Not drinkable. 
look: 5 | smell: 3 | taste: 4 | feel: 5 | overall: 5 I actually love this beer. I have been drinking it for years. 
look: 1.5 | smell: 1.75 | taste: 1.5 | feel: 1.75 | overall: 1.75 
look: 1.5 | smell: 1 | taste: 1.25 | feel: 1.25 | overall: 1 
look: 1.75 | smell: 1.75 | taste: 1.25 | feel: 1.5 | overall: 1.5 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 2.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 2.25 | smell: 2.25 | taste: 2 | feel: 2.5 | overall: 2 
look: 1.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1 Not very drinkable,it was always a huge struggle for me to finish one. No body at all, very little head, no lacing and a metallic after taste, even on draft.   
look: 2 | smell: 2 | taste: 3 | feel: 2 | overall: 3 
look: 1.25 | smell: 2 | taste: 2 | feel: 2 | overall: 1.75 
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 1.5 | smell: 1.25 | taste: 1 | feel: 1 | overall: 1.25 Horrible beer !!!!!!!!!!!!! 
look: 1.75 | smell: 2.5 | taste: 2 | feel: 1.25 | overall: 1.75 Drank from a 12 ounce can. Scores are based on the style.    Look - A very blue can with a lot of words and a banner label that is weirdly cropped off. Not a nice can.    Smell - Nothing.    Taste - The slightest hint of a sour metallic sweetness, if you concentrate hard enough.    Feel - Horribly carbonated, painfully so. A very uncomfortable beer.    Overall - An unenjoyable experience. Leagues below regular Budweiser, which is saying something.   
look: 2.25 | smell: 1 | taste: 3 | feel: 2.25 | overall: 3.5 
look: 2 | smell: 1.5 | taste: 1 | feel: 2 | overall: 2 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.75 It's Bud Light...What else can you say about it? Simply a watery beer everyone knows it taste like water and goes down like water. For someone to try to make this beer anything more than what it is, is funny.   A beer you can have at anytime if there's nothing else around you can grab a cold one. One of the few beers that you can have ice cold from the can, why you would pour this in a glass to try and ANALYZE this as if it's the craft beer of the year is funny.   
look: 3 | smell: 3.75 | taste: 3.25 | feel: 4.25 | overall: 3.5 
look: 2.25 | smell: 2.5 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5 
look: 2.5 | smell: 2 | taste: 2.5 | feel: 3.5 | overall: 2.5 
look: 1.5 | smell: 1.5 | taste: 1.25 | feel: 1.5 | overall: 1.5 A - looks like urine  S - smells like a beer covered bar at last call  T - tastes like rice flavored ditch water  M - feels like carbonated water  O - watered down version of the king of beers   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 1.75 | smell: 1.25 | taste: 1.25 | feel: 2.5 | overall: 1.25 
look: 2.5 | smell: 1.5 | taste: 2 | feel: 1.25 | overall: 2 
look: 2 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 2 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 2.5 | smell: 2 | taste: 2 | feel: 1.5 | overall: 1.75 Not a fan of light beer. This beer honestly has no taste. Not sure why its the top selling beer in the US. That just tells me that most of the drinkers don't like a real beer. Too mainstream.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 I have had all different types of the macro lagers and light beers. Bud Light doesn’t necessarily stand out but it’s not bad. I’ve had it on tap a few times and it definitely beats the cans or bottles. But I would get it again. Cheers.   
look: 3 | smell: 2.5 | taste: 2.75 | feel: 3 | overall: 2.75 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 Might as well drink water. Only pussies drink “light” beer. Shittiest beer ever 
look: 3 | smell: 3 | taste: 5 | feel: 5 | overall: 5 Sure, it doesnt have much flavor, but it is perfect for what it is made for. The perfect party beer. Light flavor, very drinkable, great finish, no off putting flavors or smells, and lower alcohol content so us lightweights can drink more beer in a night. What more can you ask for in a light beer? And I think it is even better right out of the keg. A product that sells 33 million barrels a year shows that you low rating people dont know what a good party beer is.   
look: 2 | smell: 1.75 | taste: 1.5 | feel: 1.5 | overall: 1.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 I use to drink this junk at the bar before I started to switch up to better tasting beers and this beer is junk taste like warm water in a ca. 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 This is by far the trashiest of trash macrobrews. Conceived in the blackened hearts of the world’s worst kind of economic exploitation, this piss serves to maintain a fixed price point in an oligarchic supply chain and deceives the masses through bullshit feel good marketing. Fuck you.   
look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.5 | overall: 1.75 
look: 2.25 | smell: 2.5 | taste: 3.5 | feel: 2.75 | overall: 3.5 Crisp with a sweet after taste. Ok. 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Imagine your sitting out in the hot sun and you are quite parched. Can you really imagine having anything other than a bud light at this time? Not only will bud light quench tour thirst, it provides a lifetime of satisfaction that no beer can provide you. One of the things that makes bud light so great, is that great taste of it. Bud light provides the same great taste on the first sip as the 20th beer. Can you really tell me any other beer gives you that?   
look: 1.25 | smell: 1.25 | taste: 1 | feel: 1 | overall: 1 473 ml can, now unfortunately available in Norway. ABV here is 4.1%. Golden colour, fizzy, moderate head. Surprisingly strong aroma of artifical candy. Fizzy mouthfeel, a little sweetness, no real flavour at all, hardly any traceable hops, no aftertaste. Crap.   
look: 1.75 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 2 
look: 2.75 | smell: 1.5 | taste: 1.5 | feel: 2.5 | overall: 1 Aroma of watered down malt, cereal, and perhaps some citrus. Taste is weak,non complex,watery. And as it warms it just doesn't taste good. I had this at a party and didn't even finish it, I guess I've become a beer snob but life is too short to drink this   
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 2 | smell: 2 | taste: 2.25 | feel: 2.25 | overall: 2.25 Rice, musty corn husk, faint malts and weak hops, both in aroma and flavor. Light in color, body and flavor. Active carbonation and dry finish. Sort of.    As boring as this beer is, it serves it purpose. I have had worse.   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 had family visit and they brought this shit and left a couple bottles in fridge maybe I can clean old paintbrushes with this shit pity the poor motherfuckers who think of this as beer   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1.5 | smell: 1.25 | taste: 1.25 | feel: 1.5 | overall: 1.25 Pretty terrible 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 4 | smell: 2.5 | taste: 1 | feel: 1.5 | overall: 1.5 Water with some alcoholol and malted barley. Basically beer for girls and old men. 
look: 1.75 | smell: 1.5 | taste: 1.25 | feel: 1.5 | overall: 1.5 Very light golden in color very light Chris Smooth watery flavor 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 2 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.5 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 4 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5 25 ounce can into lager glass, best before 6/27/2018. Pours fairly crystal clear pale golden yellow color with a 1 finger fairly dense and rocky white head with great retention, that reduces to a small cap that lingers. Nice spotty soapy lacing clings on the glass, with a fair amount of streaming carbonation. Aromas of cracker, white bread, light biscuit dough, and mild herbal/grassy earthiness. A bit of fruity aromas, but not overwhelming. Okay aromas with pale malt/grain and mild earthy hop notes; with poor strength. Taste of cracker, white bread, light biscuit dough, and mild herbal/grassy earthiness. Very mild herbal, grassy, spicy bitterness on the finish. Lingering notes of cracker, white bread, light biscuit dough, and mild herbal/grassy earthiness on the finish for a good bit. Nice robustness of pale malt/grain and light earthy hop flavors; with a nice malt/bitterness balance, and zero cloying/astringent flavors after the finish. Moderately crisp/clean finishing. Perfectly clean on lager flavors; with zero yeast notes present. Lightly increasing dryness from lingering bitterness and carbonation. Medium-high carbonation and light-medium body; with a very smooth, fairly bready/grainy, and lightly sticky balanced mouthfeel that is good. A bit thin, but not watery. Zero warming alcohol as expected of 4.2%. Overall this is a very solid pale adjunct lager style. All around good robustness of pale malt/grain and light earthy hop flavors; very smooth, crisp, clean, and refreshing to drink. I liked that they don't use corn, so you don't get much fruitiness. Very clean barley/grain flavors and decent earthy hop presence/balance. An enjoyable offering, and very well made style example as expected. For a light beer expectation, it nails it. A bit lighter bodied than regular, but just as flavorful for the most part.   
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3 Straw filtered with a little carbonation and 3 fingers of white head.    Smells of skunk, card board, beer.    Light and watery with hints of pale, toasted malts, and bread.    Light body, and moderate carbonation.    There's a first time for everything, and at age 44 having tasted and reviewed more than 2,000 different craft beers, I'm tasting this icon. Its all you'd expect, no more.   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 1.25 | smell: 2.5 | taste: 1.25 | feel: 5 | overall: 2.25 
look: 2.5 | smell: 1.5 | taste: 1 | feel: 2.5 | overall: 1.25 
look: 2 | smell: 2.25 | taste: 2.25 | feel: 1.75 | overall: 2 
look: 3 | smell: 3 | taste: 3.75 | feel: 3 | overall: 3.25 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 How bad does a "light beer" get? When Kirkland's variation (Costco) gets better ratings on here, tastes better, AND is cheaper per can than this crap!    Someone seriously needs to get a large class action (as in hundreds of thousands of people) suit together and sue Anheiser-Busch for 168 billion dollars in damages for making and selling such a shitty product.   
look: 1.75 | smell: 2 | taste: 3 | feel: 1.5 | overall: 2 
look: 1.5 | smell: 1.5 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 1.75 | smell: 2 | taste: 2.5 | feel: 2.25 | overall: 2.25 Nice safe beer that’s ubiquitous and associated with parties, bars and lounges - drinks smooth and easy but without much flavor, intensity or complexity. Quenches the thirsty when you’re in a pinch but not much else. Faint grain and biscuit notes. Starts off decent carbonated but goes flat by the time you’re done. Slightly sour mouthfeel.   
look: 3 | smell: 2 | taste: 1.25 | feel: 1 | overall: 2 Taste like water. No flavor I guess it’s ok if your a ninny 
look: 2 | smell: 2 | taste: 1.5 | feel: 1.5 | overall: 1.75 
look: 1.5 | smell: 2 | taste: 1.75 | feel: 2 | overall: 1.75 
look: 1.75 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 2 
look: 3.75 | smell: 1.5 | taste: 1.5 | feel: 1.75 | overall: 1.75 
look: 2 | smell: 1.25 | taste: 2.5 | feel: 2.75 | overall: 2.25 What's to say about Bud Light? You drink it when it's offered to you, its on sale at Wally World, or you're hanging with some buds (lol). It's really carbonated and doesn't have the most pleasant taste/smell, but its consistent and decent cold.   
look: 1.25 | smell: 1.25 | taste: 1.75 | feel: 1.25 | overall: 1.5 
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 America's pisswater...drink it fresh 
look: 1.25 | smell: 1.25 | taste: 1 | feel: 1.75 | overall: 1.25 Sigh. I don't know what to say about this stuff that hasn't been said already. I'm not trying to hate on this stuff to look cool or be a hipster. Hell, I actually like some other mainstream brands like Hurricane and Heineken.     The absolute most accurate way to describe Bud Light is "The reggie of beers", if you know what I mean. It's backed by an expensive and persistent ad campaign, and it probably needs it due to how subpar this stuff is. During my earlier drinking days, I'd occasionally have one because this and Natty was literally all my friend's dad kept in his garage fridge. Why he loved it so much I have no idea. There's still a video of me drinking one on YouTube and you can tell how much I hated it. I thought this was because I was just inexperienced at the time, but now I remember how bad it tasted.    Like pretty much everyone else said, there's barely any color, it's super watery, carbonated af, and mostly tastes of old, bitter corn. I don't even understand buying this stuff as a party beer considering how weak it is. Like other beers of this style, it's almost always served ice cold to mask the taste. The most astounding thing about it is that despite what you might think, it's actually not all that cheap. They still demand about 9 dollars for a friggin' six pack of Bud Light, like seriously? If you want cheaper stuff that tastes way better, just get Rolling Rock for 5. Better yet if you like the brand, try Bud Light Platinum, which is surprisingly much better. Hell, if you've got 9 bucks to burn, do yourself a favor and get Sam Adams or Tarantula Hawk. I can't think of a single reason to actively choose Bud Light over other beers. Sorry fam.   
look: 2 | smell: 1.5 | taste: 2.75 | feel: 5 | overall: 4.75 Dude honestly it’s bud light. It is what it is. It’s not disgusting enough to get a bad review. Also i think it taste like cherry 
look: 2.5 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2.75 Bud Light is near universally panned but I don't really see why. Yeah, it's a little bit overpriced, but Bud knows its purpose and it fits it well. I don't grab a Bud Light when I want something flavorful and thought provoking--I grab it when I'm hot, stoned, thirsty, or otherwise in need of a beer that is cool & refreshing. There's nothing to dislike about the flavor just like there's not really anything to enjoy, either. It's about as basic as a light beer can be.   
look: 1 | smell: 1.5 | taste: 2 | feel: 1 | overall: 1.25 
look: 1.25 | smell: 1 | taste: 1.5 | feel: 1.25 | overall: 1.25 
look: 2.75 | smell: 2.5 | taste: 2.25 | feel: 2.5 | overall: 2.75 Look: Typical pale gold with a foamy white head that quickly disappears.     Smell: Barely there. Corny malt and a tinge of lemon wafting in the breeze.     Taste: Corn, corn, corn. It’s like you took corn-flavored water and held it in a brewery for a few days. Thin and weak.     Mouthfeel: Carbonated water.     Overall: While not disgusting, nothing about Bud Light is enjoyable. It doesn’t even have the alcohol content to make getting drunk viable. That said, I’ve had some overtly bad tasting lagers and this isn’t one of them. It’s just dull.   
look: 4.5 | smell: 2.5 | taste: 2.5 | feel: 2.25 | overall: 2.5 
look: 2 | smell: 1.75 | taste: 1.75 | feel: 1.5 | overall: 1.75 
look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 1.75 | overall: 1.75 
look: 2 | smell: 1 | taste: 1 | feel: 1 | overall: 1 This beer is pi$$ poor. Nothing good about it. Ive had some GREAT lagers but this is far from anything you could even consider good. Not worth trying. Avoid. Its just carbonated rice water.   
look: 2 | smell: 2 | taste: 2 | feel: 1.25 | overall: 2 
look: 1 | smell: 1 | taste: 1.25 | feel: 1 | overall: 1 The beer for the masses that don’t like beer. Only a hint of beer flavor in a watered down version of a lager making it palatable for people that don’t like malt and hop. The only redeeming quality is that these beers are less filling if you plan on eating a big meal. There is nothing off putting about this product, it just lacks flavor.   
look: 2 | smell: 2 | taste: 1 | feel: 2.5 | overall: 1.25 
look: 3 | smell: 1 | taste: 1 | feel: 1 | overall: 1.75 
look: 1.25 | smell: 1.25 | taste: 1 | feel: 1 | overall: 1 This piece of shit should never exist 
look: 1 | smell: 1.25 | taste: 1.75 | feel: 2 | overall: 1.5 One of those beers almost everyone knows is trash, and yet I meet people all the time who make it the only beer they’ll even buy. I’m convinced they’re putting addictive cactus juice or something in there because it’s truly awful. Watered down swill that goes flat by the time you’ve gotten to half the bottle/can. It’s not the ABSOLUTE worst you can do, but it’s certainly no good.   
look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5 
look: 2.5 | smell: 2.5 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 2 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 1.75 
