look: 3.5 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Not as good as the nitro, somewhat more bitter 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 4.25 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 On nitro at Old Chicago- Lakewood. Wowzers! Well deserving of its reputation. Slick and smooth , creamy and velvety. Beautiful roasty notes throughout, made slick and creamy by the lacto. Perfecto!   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 I actually enjoyed this one more than the nitro version I sampled on tap. Dark black color, great head and lingering lacing. Smells of dark rich roast coffee with just a hint of chocolate. Tastes of dark coffee, dark chocolate, caramel and malt with a little biscuit and brown sugar. Moderate mouthfeel, slightly creamy, nice amount of carbonation and smooth aftertaste without bitterness. Very tasty and easy to drink, not overly sweet at all.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 12oz bottle bb 10/5/18 poured into a tulip pint glass at fridge temp 6% ABV. The beer pours dense very dark brown with light brown head. The head is minimal and recedes to a film quickly. There is hardly any lacing. The aroma is a mix of roast malt and semisweet chocolate. The taste is mostly semisweet chocolate up front with a roasty bitterness showing up promptly to lend balance. Mouthfeel is medium bodied, lowly carbonated and mostly dry in the finish. The lactose adds a touch of sweetness that keeps it from being totally dry. Overall, good. This is a pleasant enough example of an unadorned milk stout.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 L - Dark pour with near 2finger toffee head. Decent retention and nice lacing.  S - Slight roast.  T - Yum. All I can say.  F - Medium to full body. Smooth.  O - What a nice, easy drinking, tasty beer!   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 A; opaque; very dark brown in color; 1 finger medium brown head that receded to a wispy cap; very nice lacing;    S: roasted grain; coffee with cream;    T: deeply roasted grain for a moment, then coffee with cream and a bit of bittersweet chocolate; finish is mildly bitter;    M: medium to full bodied; moderate carbonation; lightly dry finish;    O: nice flavor;   
look: 4 | smell: 2.75 | taste: 2.5 | feel: 2.75 | overall: 3 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 Milk Stout - Left Hand  6% abv    L - 2 finger chestnut head atop an opaque dark brown body.    S - sugar, chocolate, a little coffee.    T - follows the nose. The milk sugar is the most prominent element, but there is some roast to balance things out. Rather sweet, low bitterness, no booziness.    F - medium-light body by stout standards.    O - Always enjoyable.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 Just an all around good beer that has nice coffee notes. 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.5 While it doesn't have as thick or pronounced a head as many other stouts, the creamy mouth feel is dominant in this brew. I taste strong notes of dark chocolate and coffee, with a balanced finish that has just the right amount of bitterness and spiced bite. This is currently my go-to beer.   
look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 3.75 | taste: 4 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 4 Motor oil with a quickly dissipating brownish head. Lacing remains on the sides of the glass (snifter). Creamy chocolate smells dominate. Tastes of chocolate and coffee notes. Sweet with a dry, roasted finish. Medium carbonation with slight metallic tones. Overall a pleasing brew.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Almost completely black, medium-light carbonation with an almost oily smooth body. Not as creamy a feel as some other milk stouts I've had. Aroma is black coffee and bakers bitter cocoa. Taste isnt overly creamy and sweet and actually has a dry slight bitter quality. Overall very good   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 5 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 4.75 | overall: 4.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 I bought a six-pack of Left Hand Milk Stout in a bottle shop. Poured in to a pint glass.     Pours a black walnut color, opaque with a bubbly tan head.    Smell is a dark roasted coffee aroma.    Taste is dark and sweet. Burned sugar, charcoal and licorice.     Mothfeel had a lot of body, with a cloying sugary nature.    Overall a nice stout. Not the creamy feel I was expecting from a milk stout. But it's good.   
look: 3.75 | smell: 3.25 | taste: 4 | feel: 4 | overall: 3.75 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Purple can with cartoon cow, black tab with the Left Hand logo.  Excellent start.    Aroma/flavor are smooth and malty, none of the extraneous "other" adjuncts/additives. It's an excellent Stout in a world that keeps trying to "improve" a classic beer style by additions to attract attention but fall flat by forgetting to taste like their core identity.    I love this beer. Just don't let SMOS find out...   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3 | smell: 4 | taste: 4.25 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.5 | overall: 4.75 Creamy and smooth when chilled, yet evolves into a complex set of milky bitters as you work through the bottle. As it gradually warms true character of the beer is released. One of my all time favorites.   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours a deep black with very little off-white head that fades to a little ring around the glass. Smells of milk chocolate, coffee, and roasted malts. Taste is a little light roasted coffee with half and half, milk chocolate, a hint of bitterness. Slightly lingering sweet flavor. Creamy, medium body. Classic, solid flavors.   
look: 4.25 | smell: 4.75 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.75 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 5 | feel: 4.25 | overall: 4.75 I had this on draught, nitro infused!   Instant eye candy of cascading, dark waves from nitro pour. Pours a decent head with very uniform lace. The nose is strong with dark chocolate and toasted malt. The taste is sweeter for a stout, as was the purpose in this particular brew. The mouth feel, off the nitro, was excstacy. To.my surprise, the finish had a tinge of biterness to it and a small drying effect. Not what I was consider, very hoppy, but a bite more than is usual for a stout, let alone a sweet stout. Overall, It was superb. You'll catch me ordering this any time! Pairs great with sausage and bratwurst and any baked goods containing chocolate or caramel!   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 From notes taken 05/05/17:    Not the Nitro Version! I still need to review that one.    Dark reddish brown, so dark it seems opaque in all but the most direct light. It has a brownish tan head of fine-bubbled, creamy foam. Great retention and crooked bands of lace still attached in places to the head. Pleasantly smoky aroma, like cigars or even pipes, with metallic, roasty, faint cocoa and cinnamon, and almost meaty suggestions beyond that, definitely not as sweet as expected. Palate is definitely pipe smoke, it’s strong with wood smoke, tobacco smoke, dark roast coffee, soil, toffee, with faintest hints of dark fruit and cocoa. Nice smoky and soily retro-olfaction. A perfect bitter-sweetness (but also semi-tart and almost metallic), but not so much from any hops that might be in this, serving mostly to balance. Body is lighter, especially for a stout, but I’d still call it medium. Even though this isn’t the nitro version, carbonation is very fine and active, achieving a much sought-after velvety texture. I haven’t had many in this style, but suffice it to say, I really enjoyed this take on it, more than I would your average English, American, Irish, or Oatmeal Stout, even. Can’t wait to try the Nitro version! The only other one of this style I have had so far was much fancier and much boozier but had too much going on, at least compared to this (I still very much enjoyed it about as much, but for other reasons). Licorice notes, for example, are really only good in moderation if you are someone who has never really enjoyed that flavor by itself. This doesn’t have them at all. Hops, then. If this had any more or any crazier hops in it, it would detract from everything else. That’s why this is slightly better to my palate than a number of the otherwise amazing West-Coast takes on the American Stout. Subdued hops that taste like soil and tobacco are the way to go. Pine or leather are too much for something already so robust and gritty. If you’re going to go that far you might as well brew a Cascadian Black Ale, heavy on the citrus and the molasses notes.   
look: 4.25 | smell: 4.75 | taste: 3.75 | feel: 3 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Pitch black colored beer with a slowly fading tan head...taste is sweet milk coffee and cocoa...a pretty decent beer but does not really separate itself from other stouts.   
look: 3.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 12 ounce can from a variety pack to tulip glass   Sight: Black liquid, small to no foam   Smell: very good, fragrant, nutty aroma   Taste: low bitterness, sweet   Feel: very good, medium carbonation   Overall: very good beer ok to repeat, not look for   
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3 | feel: 2.75 | overall: 3 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 2 | feel: 1.75 | overall: 2 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 Left Hand Brewing CO. "Left Hand Milk Stout"  12 fl. oz. brown glass bottle  $2 @ Weis, Conshohocken, PA    Notes via stream of consciousness: It's been a long time since I've had a Left Hand Milk Stout as I usually come across the nitro version these days. And there was a time once, long ago, that I thought the nitro version was better but I've changed my mind and now I think I like the original better. It's an opaque brown-black in color beneath a creamy head of dark tan. It's not that carbonated so the head falls rather easily but it does leave some nice lacing behind. The aroma is clean and fresh, and like dark bittersweet chocolate with some coffee like roastiness. The flavor follows with some added sweet-apple-like fruitiness, dark caramel, and nuttiness. In the mouth it's medium bodied and velvety smooth once the initial caress of carbonation has passed. It's moderately bitter, but roasty, and although there's some residual sweetish malt it doesn't finish sweeter than semi-dry with lingering notes of chocolate and creamy coffee. It's very nicely balanced and rounded, and as far as milk stouts go it's right on for style.   
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 Pours dark with a small head that dissipated almost immediately but left a little lacing. Roasted malt on the nose with a little bit of chocolate and coffee. Strong roasted malt flavor. Very sweet on the tongue with hints of coffee in the back. Light body. It's okay, I guess, but nothing to write home about.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4.75 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 A little sweetness in the finish brings you back for more. 
look: 4.5 | smell: 3.5 | taste: 3.5 | feel: 5 | overall: 4 On tap into a tulip glass. Great tan head and good retention, pitch black otherwise. Smells of typical roasted malts with a touch of chocolate, and the taste is similar with a bit of sweetness. Mouthfeel is absolutely incredible. This is the silkiest, smoothest stout I've ever had, yet it doesn't coat my mouth unpleasantly. Overall, a great feeling beer without a stellar taste to back it up. Still, definitely worth my time.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3 | taste: 2.75 | feel: 2.75 | overall: 2.75 Average rating from 8 members of the Eastman Craft Beer Club. 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.75 | overall: 4.5 Dark, viscous, yummy, round, bitter sweet. Love stouts and porters, and this is my favorite standard go-to.   This is to beer what chocolate cake is to dessert. And incidentally, they taste great together.   
look: 5 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 On nitro tap! 
look: 4.75 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 Poured hard from a bottle into a glass.     The nitro is the star with its cascading micro bubbles. Very dark black. Thick coolwhippy head. Sticks everywhere. The nose is roasty, sweet, and creamy with coffee and dark chocolate aromas. Taste follows. The mouthfeel is crazy smooth and creamy, mostly from the dence pillow of cream on top that slips in each sip. But aside from the creamy head, the actual brew itself is a little lighter than I expected it to be. Sometimes borderline thin for a sweet stout. Great nonetheless. Never too sweet. Very drinkable.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4.5 | taste: 4.75 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 3.25 | taste: 4 | feel: 4.5 | overall: 4.25 
look: 5 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 Exceptional beer. Recommend. 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4.75 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 5 | feel: 4 | overall: 4.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 The appearance was a dark black color. Thin white foamy head that’s fairly level and lasts for a good minute. The smell had some dark roast coffee backed up by a decent amount chocolate malts. The taste was a roasty sweetness all the way through, slight roast chocolate aftertaste with a super dry finish. On the palate, it sits about a medium on the body with not much of a sessionable aspect to it. Carbonation is good for the style and for me. Really smooth and creamy. Overall, I say this is good milk/sweet stout that I would have again.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 Pours a dark black with a small slightly tan head. Smells of milk chocolate, roasted malts, and some coffee. Flavor follows the nose exactly with some cream. Medium creamy body with medium carbonation. Overall this is an incredible stout. Pretty much on par with the nitro version but the nitro looks better and feels slightly better.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 3.25 | feel: 3 | overall: 3.75 Backlog from 2009. 12 oz bottle. When I had this at the brewery a couple years ago, I was completely blown away. I thought it was one of the best stouts ever. Now, in the bottle, it’s merely great rather than extraordinary. Aroma is quite spicy. Tastes like a very good stout.   
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 A: Pours pitch black with brown when held to light, clean, and with a small tan slightly creamy looking head that doesn't leave much behind. Minimal lace.    A: Bitter chocolate, burnt toast, and a little bit of iron/metallic aroma.    T: Again with bitter chocolate, maybe some milk chocolate due to a hint if sweetness, but mostly roasted grain/toasted bread. Less iron presence than anticipated.    F: Not as creamy as I was expecting or hoping for. Still smooth with some coating, but medium carbonation, pretty well balanced and a dry finish.    O: Very rarely do I want more sweetness, but I think this one lacked in that area along with a creamier feel. Still a pretty good stout, but not the "Milk Stout" I was expecting. Cheers!   
look: 3.25 | smell: 4 | taste: 3.5 | feel: 3.25 | overall: 3.5 Look - Pours black with lighter amber highlights, a small cap of tan foam, no lacing.  Aroma - Creamy milk chocolate, toast, soft caramel candies.  Taste - Light on the roasted malt, creamy sweetness, chocolate malt, mineral-like. Finish has a bit of coffee but it is very faint. Sugary aftertaste.  Feel - Medium bodied, a touch watery, smooth carbonation.    Overall - A little thinner than expected but still enjoyable.   
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 I normally do not like dark beers but this stout was a pleasant surprise for me. It was much better than I was expecting. The color was dark brown and the aroma was of roasted malt. The beer had a smooth roasted taste with pleasant hints of vanilla. This beer was better than expected and I would recommend it.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Pours a very dark brown, almost black with a one inch tan head that left some lacing. Smells and tastes of roasted malts, milk chocolate, coffee, vanilla and caramel. Lactose sweetness is very evident in the flavor. Medium to full bodied, moderate carbonation, creamy mouth feel.   
look: 4 | smell: 3 | taste: 3.5 | feel: 2.75 | overall: 3.25 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.75 | overall: 4 
