look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 4 | taste: 3 | feel: 2.75 | overall: 3.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.5 | overall: 2 The pineyness in this beer is just too strong & offensive for me to get into. The beer is very one dimensional & that dimension is not where i'm trying to go. Cheers! C-   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 Reviewed from notes. The appearance has a golden colored body with a two finger white foamy head that rose and settled slowly. Decent amount of foamy lacing graced the sides of the glass. Carbonation was seen lightly rising in streams. The smell has a floral/light fruit hops with some light malts coming through as it warms. The taste has a combined bittersweetness through previously mentioned flavors. The palate is about a light to medium, is sessionable, and has a bittersweet aftertaste and finish. Overall, this is a pretty good AIPA that I would have again.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3 | smell: 2.75 | taste: 2.75 | feel: 3 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 2 | overall: 2.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 From the can of indeterminate age (3 plus years), it pours an ever so slightly hazy amber with a significant, fluffy, head. Citrus in the nose. Pine in the mouth. Yum!   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 This is good stuff but not as intense or tasty as New Belgium's Voodoo Ranger. Still very good. Big time hops in there .....if you are into hops, you will like this.   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 2.75 | smell: 3.25 | taste: 3 | feel: 2.5 | overall: 2.75 
look: 3 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.5 | taste: 3.5 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 5 | smell: 4.75 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 3.75 | taste: 3 | feel: 2.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 I like this a lot. Very tart, sharp piney hop taste. Aroma is more subdued hops. Pours clear golden with short head and sticky lacing. Aftertaste of tangy hops. Cheers!   
look: 4.5 | smell: 4.5 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 Clear not quite copper with massive comically huge billowy white head.     Heavy carbonation allows the pungent hop bitterness to roll over the tongue. Fruit flavor is present but muddled - mostly citrus zest and vague Granny Smith tartness.     Overall ok. Not great.   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.75 Poured from 12oz can with freshness date of 22JAN17 into standard pint glass.     L: Pale amber color with finger and half head. Excellent lacing.     S: Grapefruit, herbal hops.     T: Mild hop bitterness, fruity flavor. Bitter like an IPA should be. Faint biscuity notes.     F: Medium body, refreshing, crisp and very drinkable.     O: Quite delicious and refreshing. Highly recommend.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 L- Completely see through amber colored beer with frothy head that quickly dissipates to a side hugging foam. I see some foam islands in there as well.  S- Piney and earthy. Sweet smell. Grassy and slightly floral. Caramel as it warms. Interesting and original nose for an IPA. (sorry for the short sentences, I'm just typing as i get the flavors)  T- Earthy and slightly bitter. A bit sour too? Maybe some lemon. I immediately pick up the taste of watermelon? Maybe it's just me. Easy flavor that doesn't pack a punch. It gets a bit watered down as I sip though.  F- Medium bodied beer. Medium carbonation. Maybe a bit on the lighter side? Slightly watery.  O- Cool/interesting beer. I would definitely have this beer again. I know some people who swear by it and I can see why. Good ipa.   
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Bottle pour into pint glass. Slightly hazy deep honey color. Aggressive pour yielded a creamy half inch head which dissipated fairly quickly. Minimal if any lacing. There is something in the aroma that I can't quite place, perhaps caramel. The flavor follows and is not bad. Mouthfeel is actually a little effervescent though the beer is not powerfully carbonated. Finish is decently balanced. Not sure how fresh my bottle was. I would try again if I could get a fresh draft. All in all, an OK beer. Nothing that stands out but also nothing unpleasant   
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 A nice brownish color. Nice IPA, a little bit overzealous with the hoppiness for a normal IPA. Very floral and herbal. A strange hop taste, never had it before in an IPA.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Was shocked when I saw I had not reviewed this grocery store staple. This is a very solid, albeit simple and unsophisticated, example of an American IPA. Sure beats 90% of everything else you can find at most local convenience stores, but in the bottom 10-20% of what can be had at specialty store.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Poured from a 12 OZ bottle into a pint glass. The appearance is a cloudy pale orange with a small white head. The aroma is full of hops and citrus. The taste matches the nose.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 3.5 | feel: 4.25 | overall: 3.5 A: crystal clear; copper colored; with a fairly aggressive pour, a 2+ finger light khaki head that receded slowly to a thin cap; nice lacing;    s: pine and caramel with a hint of citrus in the background;    T: earthy with caramel from start to finish; moderate bitterness at the end;    M: medium bodied; moderate carbonation; lightly dry finish that increases to moderately dry in the aftertaste;    O: great aroma; nice dryness; I don't love the flavor;   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 Deep gold with a half-inch head resulting from the pour. Lively carbonation and a small amount of foamy lace remains along the side of the pint glass. O.K retention. Overall- it looks like a beer I want to drink.    Pine and a bit of dank-ness from the hops, with perhaps some grassy aroma as well. Tad of bready malt. Not too much citrus, if any. Mild aroma all things considered.    Tastes like the flesh around a peach pit, grass, and slight amount of green herbs teasing. Some grapefruit and orange begin to assert themselves as we're going. Good tasting bitterness. Tough to really delineate exactly what kind of malt presence I'm getting, so it's hard to call it balanced, but I'm gonna go with "even" (and not even attempt to describe what that means.) I'm not overpowered or underwhelmed by anything this brew presents to the palate.    Medium body, medium carbonation. Very fun on the tongue.    A solid IPA- lacking in standout aromas and flavors, but featuring a nice bitterness, mouthfeel, and drinkability to keep you coming back.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 2.25 | taste: 4 | feel: 3.25 | overall: 3.5 Taste like a Forrest. Id still drink it though. 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 3.5 | taste: 2.75 | feel: 3.75 | overall: 2 Gorgeous pour, with a two to three finger pillow of sticky foam that adorns the glass until the last swig.    Nose is flat. Some light citrus and pepper, but somewhat stale.    Taste is mild pine sap and woody notes playing alongside subtle citrus rind. Pithy. Alcohol is noticeable and brings a rubbing alcohol like quality. Unpleasantly bitter from the start through to a long, bitter, astringent finish. Medicinal.    Viscous and medium to medium heavy body. Not much tooth, but certainly not light.    This s a good example of the kind of IPA I don't much care for. Decent beer if you like this type of beer, but not my thing   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3.25 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Pours a hazy orange-gold with a rocky, half inch, bright white head. Delicates ringlets of lacing are revealed as the head recedes. Nose expresses citrus rind, a light peppery quality and biscuit malt. Taste follows nose with the addition of a piney characters towards the finish and a more assertive malt profile that suggested by the nose; albeit not at all unpleasant. Mouthfeel is light-medium in body with an assertive carbonation and a kiss of oiliness to the texture. Overall, a solid offering with a nice blend of citrus, piney notes and malt - none particularly overwhelms and it all balances out nicely. Well done.   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 A good, drinkable IPA. On tap at Anthony's Coal Fired Pizza. More or less was what I expected. Didn't leave much to be desired. Sessionable in my opinion. Moderate hop backbone with pine and citrus flavors apparent. Good stuff. Recommended.   
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.25 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 New Belgium is an old well known craft brewery that has some good stuff including this IPA.      (L) It has an amber clear hue with an inch thick white head.      (A) It has a nice aroma of pine and citrus      (T) The taste is piney, grapefruit, orange, there’s some dankness, pretty good.      (F) Smooth, slightly carbonated, clean and crisp, drinkable and affordable.   
look: 4 | smell: 3.75 | taste: 3.25 | feel: 4 | overall: 3.75 Clear dark orange, very earthy aroma for an ipa almost a pine and snuff smell. Taste is pine astringent and floral. Certainly terrible with glutinous volume of ipas on the market I'd have a hard time reaching for this, the price is certainly attractive though   
look: 3.5 | smell: 3.75 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 Looks an amber with good lacing.    Smells Herbal, Pine and citrus right off the bat.    Tastes orangey and piney. Picking up some bready malts. Very herbal.    Bitter, herbal, clean; my first IPA, and so has a special place in my heart.   
look: 3.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3 | smell: 3 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 2.5 | taste: 2.5 | feel: 3.25 | overall: 2.5 After all these years, New Belgium gets into New England! They have a pretty legendary status as a pioneer of the craft brewing world.    Nice labels, including a date stamp of enjoy before the 16th October, 2016. Custom glassware with the collar is very classy. Pours a surprisingly clear light gold with a pure white head that looks creamy and laces very well. Smells dull and musty, reminding me of what Cluster hops used to smell like, when brewers used those way back when. A bit piney. The taste falls flat for me. Stale biscuit and herbs with a sterile bitterness in the finish. I don't know if it's the yeast (chico?), or if this is filtered/pasteurized in a way that zaps the soul of it, but this beer really disappoints for me. Tastes like a brewing conglomerate trying to make a craft beer. Bummer.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Bought a 6-pack $7.99 Foodland  Clear golden slightly orange color  High carbonation  Medium-light mouth feel  Bitterness not overly done but present  Overall just ok for me. Much better IPAs out there so probably won't buy again.   
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 12 oz bottle poured into English pint glass.    L - Pours a bright, clear golden color with a very bubbly head that leaves a thick lacing around the glass.     S - Pine needles, citrus rind, floral hops, very fruity and pleasant smelling IPA    T - The earthy, cascade hops hit up front, surprisingly citrusy (lemon, some grapefruit), not overpoweringly bitter like some other IPAs    F - Sharp, astringent/bubbly, carbonated but very smooth and drinkable    O - Big fan of Fat Tire, enjoyed the Trippel, as I drink more and more IPAs, this is a very solid addition to the repertoire. A citrusy, drinkable IPA I'll definitely drink again   
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.25 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.75 | overall: 4 Looks like a nice head that sticks in the glass, not on it, as there is no lacing.  Smells of citrus with a little pine , orange and ruby red grapefruit, very nice.  Taste is a bit subdued with a slightly bitter finish and a medium mouthfeel. Overall I would love to try this on tap. Hopefully someday soon New Belgium will come to Vermont!   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3.25 | feel: 2.5 | overall: 3 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Good IPA. I've seen this one around and finally picked it up in Virginia at a Food Lion. Decent carbonation, very hoppy, but not too much. Smooth finish. All around a good beer.   
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 4.5 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.5 | overall: 4 Pours a clear pale orange-yellow with a 15mm white head. Head retention is moderate, with good lacing. Especially early in the glass. Wonderful hop aromas right off the bat, with notes of pine, citrus, and resin. Flavor profile is bitter with notes of pine and resin right off the front. More subtle biscuit malts and citrus along the back. Mouth feel is harsh, with a medium consistency. Overall, it's an alright brew. The hop notes in the aroma are pleasant, while the flavor doesn't quite deliver the same oomph. A nice, tasty IPA that leans bitter.    Served in a 12oz snifter.   
look: 4 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 A-Darker, but still clear golden color with a very thin head and lots of lacing.     S-Fruity is the first scent followed by sweet caramel and pine.     T-Very mild bitterness at 70 IBUs. A piney hop flavor mixed with caramel malts.     M-Sharp and appropriately carbonated. Very drinkable.     O-This is the first IPA that I've genuinely enjoyed. The 6.5% is an added bonus that will help to get the job done since you can't just have one of these.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Comes out a golden hearty color, 1/4" white head. Nice dry hop aroma, seems like it has some simcoe going for it, maybe even some amarillo.    Taste offers a light body and good hop mouthfeel without being overly alcohol or over the top bitterness wise. These do age fast though and will take on some maltier woodsy dimensions with time. Good stuff, consistently done well.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Big, tacky pine resin aromas and flavors in this 6.5% IPA make it taste bigger than it is. Shellacs the tongue with bitterness. A sticky, dank, drenched-in-pine kinda beer. I really dug it. Great aftertaste...   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
