look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 Can’t believe the low ratings here. It is a unique floraly taste but very delightful. Not real hoppy so that may be the reason but a solid tasteful PA.   
look: 3.25 | smell: 4 | taste: 3 | feel: 2.5 | overall: 3 12 Oz Bottle poured into glass  Look - golden orange with some touch of amber. Very small foam head and only minimal glass lacing  Smell - bar none, the strangest beer aroma I have come across. Cherry-apricot bubble gum. Some slight wheat or grains. Very sweet smelling and honestly it smells like a strange fruit cocktail more than a beer...  Taste - It's got a strange taste too. I don't know what's in it so it's hard to describe. It's like a fruity highly carbonated ale. Not saying it's fake but it doesn't taste like fresh hops or anything. Not one single characteristic stands out. It has quite a bit of carbonation. The bitterness is perhaps more than IBU's suggest. It's sweet but its not overwhelming. Drinkable i guess.    Overall, this one is just not my thing. I don't enjoy the taste enough to buy it again. Grade is a B-   
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 3.25 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 2.75 | feel: 3 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3 | smell: 3 | taste: 2.75 | feel: 3 | overall: 3 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 Pours a hazy orange color with a one-finger foamy white head. Smells of toasted malts, a hint of apricot. Tastes of bready malt with just a faint fruitness, finishes fruity. Medium-light body with medium carbonation, foamy mouthfeel and crisp finish.   
look: 4 | smell: 4 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Poured from 12oz bottle into glass. No bottling date information found.  Clear, medium amber colored body. Creamy off white head sticks around. Leaves a few spots of lacing.  Aroma is predominately floral and slightly sweet. Grassy, vegetal in the background.  Quite a floral grape emphasis in the flavor, with some minor hop bitterness at the end. Rather dry finish.  Medium thick body. Okay carbonation.  Tastes like a old school craft creation. Comes from the "Magic Hat". Overall, kind of thin in flavor but has that grape floral signature.   
look: 3.75 | smell: 4 | taste: 5 | feel: 4.5 | overall: 4.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4 | overall: 4 great beer; i’ve been drinking it for years, but reading that the style was “fruit/vegetable beer” kind of made me feel like i was living the end of Soylent Green   
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 2.25 | taste: 1.75 | feel: 2 | overall: 2 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 Decent beer that’s easy to drink and always a safe bet. Nice golden color, some nice head without much lingering lacing. Smells faintly of fruit, tastes mainly of malt and a little fruity sweetness. Not much hop taste at all. Thin mouthfeel, decent carbonation. Slightly sweet but overly so.   
look: 3.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 5 | smell: 4.75 | taste: 5 | feel: 4.5 | overall: 4.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 4.25 | overall: 4.5 Poured from a botttle to a glass.   L: gold color with solid lacing and head retention. Carbonation seems non-existent.   S: like a small citrus hop profile with grapes/apples. almost like a sweet wine.   T: a sweet IPA with a grape/apple wine feel. Not too bitter.   F: easy finish with little carbonation. Extremely crisp.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 Look: Hazy amber with a huge white head of bubbly foam.    Smell: Malt, some citrus and fruitiness, and a bit of hop at the back.    Taste: Very fruity, almost like juice mixed with malt liquor. Balanced by hop bitterness and flavor.    Mouthfeel: Thin and highly carbonated.    Overall: Pretty okay. I would have liked a bit more of a strong fruit flavor.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 2.75 | smell: 2 | taste: 3 | feel: 2.5 | overall: 2.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 Hazy amber; Head dissipates; Pleasant fruity smell; Mild sparkly mouthfeel, then shifts to kinda smooth; Flavor is slightly nutty but very mild, subdued. The flavor is a little weaker than I expected from the aroma. Not bad but not great.    You can't read it on the BA picture - on the lable it says "Not quite pale ale"   
look: 3 | smell: 1 | taste: 1 | feel: 2 | overall: 1 Slightly funky smell. Taste is slightly cloying. 
look: 2.5 | smell: 2.75 | taste: 3.25 | feel: 2.75 | overall: 2.75 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.75 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 3.25 | smell: 3.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 3 | taste: 3.5 | feel: 4 | overall: 3.25 The fruity flavors it tries to have don't really come through, but was still refreshing 
look: 3.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75 Very much a pale ale. Just not a good one. The misfortune of having to try this again reminds me of why I never liked it. A forced, artificial fruit flavor, like Jolly Ranchers and cough drops muddle the beer.     If Harpoon is a Camel, this is vaping.   
look: 3.25 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 2.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 4.25 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 4.25 | overall: 3.75 12 oz in a tulip  Look: burnt orange amber color. thin white head  Smell: Pretty smell, fruity, vanilla, perfume  Taste: Perfume, fruits, no bitterness. Flavor fades quickly but is very unique and interesting. Has a bit of a veggie juice taste.  Feel: good mouth feel. Coats well  Overall: interesting, unique beer. I didn't get any pale ale or ipa characteristics at all.   
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 My personal favorite. great mouthfeel, delicious flavor. Always enjoyable. If you like IPAs this is for you 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 3 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3 
look: 4.75 | smell: 4.25 | taste: 2 | feel: 2 | overall: 2 A nice amber ale colour with medium carbonation  Smells like raspberry  Tastes like cough syrup, not in a good way  Overall this isn't very pleasing to the sense of taste at all, if there was a date on the bottle I could maybe tell whether or not it's been sitting on a shelf for too long, but there's no date and I can't tell   
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3.5 | overall: 3.25 this is probably an unfair rating. I do not enjoy IPA and expected this to be a more earthy darker lager. It was crisp and weak in that amber that I enjoy. It did burst with flavor just not the flavor I enjoy. If you love IPA's this is close with being called an IPA   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.25 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 Poured gold with a barely-there head. The bottle suggests the beer is a bit more complex than it ended up being... but I enjoyed it nonetheless. Smelled like apricots, taste followed suit with some floral notes as well. It's a crisp, easy to drink beer, all in all, I'd drink it again.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 2.5 | smell: 2.75 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 2 | smell: 2.25 | taste: 1.75 | feel: 3 | overall: 2 
look: 3.25 | smell: 2.75 | taste: 3 | feel: 3 | overall: 3 
look: 2 | smell: 1.25 | taste: 1.25 | feel: 1.25 | overall: 1.5 
look: 3.75 | smell: 3.75 | taste: 2.5 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.25 | taste: 2.75 | feel: 3.5 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 3 | taste: 5 | feel: 4 | overall: 4.5 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Tricky situation, here.  Overall, #9 is a decent beer...but it's definitely old school. I mean, it popped up in the mid nineties, somewhat as a pioneer in the craft beer scene. They did things with beer that no one had ever done, before. Apricot flavored beer? What?   It was different, and stood out in a crowd. Jeez, back then, green bottled imported beer was "fancy," and most people (in the northeast) were just drinking Bud. Beer was beer...all the same...bottles were better than cans...etc, etc.  Then #9 appeared. People were like: what's that?   Fast forward to today, and the flavor trend has shot into the stratosphere...only, the flavor comes from hops....hops that didn't even exist back then. So...cheers to Magic Hat for paving the way..sort of.  Today, there are certainly some fruit puree flavored IPAs out there that sell well...  What I liked was that I found a Can-tastic mixed 12-pk. Let's face it, cans are where it's at, today. Three cheers for the "old man" keeping it "young."  And, anyways, they've been bought and sold a few times...they aren't quite who they used to be.  So, as a beer goes, when you have a #9, you're drinking a pioneer...enjoy it for what it's worth... I do.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3 
look: 3.25 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.5 The clear apricot/amber colored beer pours into a shaker pint glass with a 3/8" head of foam that recedes slowly and doesn't leave much lacing behind. Sipping creates a few scattered patches of lacing.    The aromas are slightly malty but heavy on the apricot.    The flavors focus on the apricot and some caramel malt sweetness without much in the way of hops showing even during the ending of the beer.    The mouthfeel medium is bodied and fairly soft with the moderate carbonation.    A drinkable beer but one I'll not be revisiting. While it is tasty and fruity, that's about all it offers.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.25 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.25 I had two and really enjoyed them. Although I wouldn't want to drink too many. It was very filling, with a sweet fruity taste. Almost no head, but a really nice color.   
look: 4 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.25 This is my first review, so I may not use all the correct vernacular, although I read the "How To Review A Beer" thread. This beer is described by the brewer as "Not Quite Pale Ale" and I should have known better than to let the eye catching can fool me. This beer is less than stellar, being of thin body, flabby in flavor, and slightly under-carbonated for my taste. This reminds me of a sweeter version (and by sweeter I do not mean maltier) of a readily available commercial English Pale Ale, a beer I hold in low regard. Oddly, on a positive note, I enjoyed the aftertaste more than the beer itself.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 With pulled pork sandwich for lunch, on tap at the New American Cafe in Boston... medium amber with a finger of tan foam... had a moderately fruity and earthy character... smooth and easy-drinking... cafe called it a pale ale but it was darker, maltier, and less hoppy than most I've had; not sure why the site categorizes it as a fruit/vegetable ale, but then again, I'm not sure if it is brewed with any additives... Decent enough, but not to my usual tastes...   
look: 3.75 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3 | taste: 4 | feel: 4 | overall: 3.75 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.25 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 1.5 | smell: 1 | taste: 1 | feel: 1.5 | overall: 1.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3 | smell: 3.25 | taste: 3 | feel: 2.75 | overall: 3 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 Pours a hazy gold into a fifteen ounce glass mug the same temperature as the beer. Two finger white head that dissipates rapidly to a thin rime. Really pretty lacing.    Mild fruit with hints of apricot and apple.    Tastes bright and clean. No funk at all. Fruit is definitely not the predominant flavor. Thought it would be more fruity. Reminds me of a weak lager except for the lack of hop bite.    Light and refreshing on the palate. Good carbonation. Faint sweet finish.    Overall a nice beer. Very drinkable. Mild is the best word I can think of to describe it.   
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 I drank this one right out of the bottle at a picnic. The color was a golden amber. I couldn't tell about the head and lacing. The nose was intriguing: malty, with apricot and interesting spices. The first thing I tasted was apricot and bready malt with some sweet vanilla or caramel. It's medium-bodied with moderate carbonation. You don't even notice the 5.1% ABV. Honestly, I expected a little more from Magic Hat. It was okay to drink with burgers and hot dogs but I wouldn't seek it out.   
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 Crisp and refreshing with not much of a head. Smell and carbonation is not strong, but the flavor is subtle but interesting...I just bought a 12 pack and this is the first of many...could grow on me!   
look: 3.75 | smell: 3 | taste: 3 | feel: 3 | overall: 3 L) Pours an amber with small white head that dissipates rather quickly.    S) The smell is interesting. It isn't strong on the hop aromas, it more or less has a belgian import funk to it.    T) Honestly, the same can be said of the taste as the smell. It is definitely interesting, but it isnt super complex or flavorful.    F) Medium-high carbonation. It's fine.    O) eh   
look: 5 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 5 Natchitoches July 2, 2017 
look: 2.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.5 Look - Pours a clear light copper color with a thin and crackly white head that dissolves immediately.  Aroma - Apple cider, grains, sourdough bread.  Taste - Fruity up front, juicy apricot, syrupy sweet, a faint hint of caramel, thin malt towards the end with a tart aftertaste.  Feel - Light-Medium bodied, tart, ample carbonation, refreshing.    Overall - Dude I don't even know.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 4.25 | smell: 4.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 2.5 | taste: 2.25 | feel: 3.5 | overall: 2.5 Can stamped J086 1306:14. I hope that's not the 130th day of 2016. English pint.    A: pours a slightly hazed orange copper with 1 finger beige head and loads of streaming carbonation. Very nice lacing and pretty good retention.    S: a little bready caramel. Vague fruit. That vague fruit grows more prominent as it warms and becomes cloying and awful.    T: there is something off here. Arrives with an immediate medicinal fruitiness. Bready and ever so slightly citric middle turns to a refreshing but weird end, which leaves a disgusting artificial cough syrup aftertaste.    M: mid bodied, high carbonation, and pretty clean.     O: I seem to recall having had this a couple of times about a decade ago and liked it, or at least thought it was okay. I am going to assume this can is a year and a half old. This was unqualifiedly awful.   
look: 3 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Wonderful. 
look: 3 | smell: 3.25 | taste: 3.25 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.25 | smell: 3 | taste: 3.5 | feel: 4 | overall: 3.5 Different but enjoyable. Apricot-forward taste. Good feel and easy to drink with light fizz. Give it a try. 
look: 3.5 | smell: 3.75 | taste: 3 | feel: 3 | overall: 3.25 
look: 3 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 3 | smell: 3 | taste: 3 | feel: 2.75 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 2.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3 | smell: 3 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 4 | overall: 3.5 Tried this at a pool room where this was considered top shelf.   Certainly better than the usual pedestrian fare. Not a bad brew, aroma is light and okay, mouthfeel decent, nothing really good nor bad here. When I'm back at that pool room, rack em up, Gimmie a #9.   
look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 3.75 A decent crisp beer with a medium sweetness and light body.    Looks typical clear amber poured into a pint with a standard thumbs width of foam. Smells good to me, light and floral. Would probably breach the cusp of cloy if the beer had more character, but it knows it's limits and settles well into average and drinkable.     Likewise taste is interesting without being adventurous. It hints at an interesting concept but chooses to suggest instead of delivering. Probably for the best, as I could see this idea turning into a nasty end product.     As is, I'd actually recommend this if it showed up on your doorstep. Very drinkable. Light, smooth and not overpowering. Standard.   
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.5 | smell: 3 | taste: 4.5 | feel: 4 | overall: 4.25 Crisp and refreshing with nice after taste. 
look: 3.25 | smell: 2.5 | taste: 3 | feel: 3.75 | overall: 3.25 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.5 | taste: 3 | feel: 3.5 | overall: 3.25 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.5 | overall: 3.25 Ordered at The Quarry in Tuchakoe, NY. Poured golden to light copper color with a 3/4 inch head that dissipated fairly quickly leaving significant lacing. Nose: just a hint of apricot/pear; palate: like a lager, but again with fruity notes, especially on the back end of swallowing. Light body and mouthfeel. Refreshing, if not very complex. Probably good for the beach.   
look: 4 | smell: 3.75 | taste: 3.25 | feel: 3 | overall: 3.25 
look: 3 | smell: 3.25 | taste: 2.5 | feel: 3 | overall: 3 
look: 3 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 2.5 | smell: 2.5 | taste: 2 | feel: 2 | overall: 2.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 From the bottle at Firebird Tavern, Detroit, Michigan on 02/17/17. 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25 
look: 3.5 | smell: 4 | taste: 4.75 | feel: 4.75 | overall: 4.5 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3.5 | taste: 3.5 | feel: 3.25 | overall: 3.25 
look: 4 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.5 
look: 3 | smell: 3 | taste: 2 | feel: 2.75 | overall: 2 I drank it from the bottle. It tasted like if you mixed a pale ale with that lavender scented toilet paper that I bought by accident once before I knew it existed and I thought it was just regular angel soft.   
look: 4.25 | smell: 4.25 | taste: 4.75 | feel: 4.25 | overall: 4.5 
look: 3 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 3 | feel: 3.5 | overall: 3 
look: 3 | smell: 3 | taste: 3 | feel: 2.5 | overall: 2.5 Pours a light amber color with a white head that goes away quickly. Has a somewhat fruity smell going for it. Taste has a sugary sweet potato to it, very odd   
look: 3.25 | smell: 3.25 | taste: 3 | feel: 3.25 | overall: 3.25 
look: 3.5 | smell: 4.5 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.25 | overall: 3.75 Refreshing brew for a hot day.  Hints of apricot/peach flavor. Not real bitey, would not classify it as a pale ale, but nice alternative to your ordinary go to.   
